Ltag-Rtag	total	ISU_0	ISU_11	ISU_12	ISU_14	ISU_16	ISU_17	ISU_20	ISU_35	ISU_37	ISU_45	ISU_49	ISU_54	ISU_56	ISU_64	ISU_66	ISU_69	ISU_70	ISU_73	ISU_80	ISU_85	ISU_92	ISU_93	ISU_94	ISU_96	ISU_100	ISU_108	ISU_112	ISU_116	ISU_123	ISU_125	ISU_130	ISU_133	ISU_140	ISU_153	ISU_163	ISU_167	ISU_168	ISU_171	ISU_173	ISU_179	ISU_182	ISU_185	ISU_191	ISU_195	ISU_198	ISU_201	ISU_205	ISU_221	ISU_224	ISU_226	ISU_227	ISU_231	ISU_232	ISU_238	ISU_250	ISU_257	ISU_262	ISU_271	ISU_284	ISU_310	ISU_313	ISU_326	ISU_334	ISU_336	ISU_339	ISU_345	ISU_355	ISU_364	ISU_370	ISU_380	ISU_402	ISU_418	ISU_427	ISU_438	ISU_443	ISU_449	ISU_452	ISU_455	ISU_471	ISU_484	ISU_490	ISU_502	ISU_510	ISU_517	ISU_519	ISU_532	ISU_534	ISU_555	ISU_568	ISU_572	ISU_579	ISU_580	ISU_582	ISU_588	ISU_589	ISU_593	ISU_599	ISU_602	ISU_603	ISU_615	ISU_642	ISU_651	ISU_655	ISU_656	ISU_674	ISU_681	ISU_700	ISU_704	ISU_709	ISU_717	ISU_728	ISU_744	ISU_755	ISU_756	ISU_758	ISU_764	ISU_780	ISU_797	ISU_805	ISU_821	ISU_830	ISU_845	ISU_856	ISU_857	ISU_858	ISU_862	ISU_877	ISU_886	ISU_892	ISU_919	ISU_954	ISU_958	ISU_974	ISU_1013	ISU_1035	ISU_1036	ISU_1066	ISU_1085	ISU_1092	ISU_1116	ISU_1120	ISU_1131	ISU_1152	ISU_1165	ISU_1188	ISU_1206	ISU_1226	ISU_1264	ISU_1281	ISU_1290	ISU_1307	ISU_1315	ISU_1333	ISU_1342	ISU_1373	ISU_1391	ISU_1420	ISU_1457	ISU_1468	ISU_1470	ISU_1480	ISU_1507	ISU_1516	ISU_1524	ISU_1534	ISU_1541	ISU_1561	ISU_1608	ISU_1614	ISU_1675	ISU_1677	ISU_1700	ISU_1711	ISU_1728	ISU_1730	ISU_1752	ISU_1764	ISU_1767	ISU_1781	ISU_1789	ISU_1790	ISU_1794	ISU_1837	ISU_1845	ISU_1847	ISU_1898	ISU_1915	ISU_1957	ISU_1973	ISU_1980	ISU_1981	ISU_2012	ISU_2036	ISU_2050	ISU_2100	ISU_2115	ISU_2366	ISU_2390	ISU_2475	ISU_2568	ISU_2576	ISU_2637	ISU_2642	ISU_2729	ISU_2733	ISU_2734	ISU_2740	ISU_2780	ISU_2924	ISU_2932	ISU_2937	ISU_2949	ISU_2960	ISU_2976	ISU_2996	ISU_3017	ISU_3059	ISU_3103	ISU_3157	ISU_3159	ISU_3210	ISU_3258	ISU_3265	ISU_3283	ISU_3284	ISU_3288	ISU_3366	ISU_3384	ISU_3398	ISU_3474	ISU_3506	ISU_3551	ISU_3585	ISU_3646	ISU_3714	ISU_3788	ISU_3869	ISU_3878	ISU_3881	ISU_3908	ISU_4003	ISU_4039	ISU_4052	ISU_4070	ISU_4223	ISU_4231	ISU_4302	ISU_4346	ISU_4365	ISU_4462	ISU_4477	ISU_4488	ISU_4733	ISU_4886	ISU_4903	ISU_4949	ISU_4984	ISU_4987	ISU_4993	ISU_5061	ISU_5125	ISU_5195	ISU_5200	ISU_5277	ISU_5331	ISU_5360	ISU_5415	ISU_5456	ISU_5629	ISU_5731	ISU_5825	ISU_5908	ISU_6308	ISU_6364	ISU_6778	ISU_6861	ISU_6880	ISU_7000	ISU_7136	ISU_7138	ISU_7239	ISU_7307	ISU_8180	ISU_8240	ISU_8368	ISU_8416	ISU_8482	ISU_8503	ISU_8886	ISU_8955	ISU_9994	ISU_10216	ISU_10712	ISU_11701	ISU_12269	ISU_12990	ISU_13078	ISU_13162	ISU_13408	ISU_14237	ISU_14698	ISU_14765	ISU_15584	ISU_15902	ISU_16013	ISU_16017	ISU_18611	ISU_21170	ISU_22116	ISU_24046	ISU_29787	ISU_31327	ISU_31966	ISU_43094	ISU_52913	ISU_63197	rem
863_HL	16966	258	0	34	16	462	6	77	49	24	274	32	124	20	2739	14	5	313	31	0	17	1	0	30	12	8	276	112	1	5	375	32	93	1	62	15	9	95	64	8	0	45	7	8	90	1	209	22	91	6	102	5	16	4	13	2	1	1	11	2	18	615	27	4	2	26	14	2	8	67	72	13	17	11	3	1	41	17	0	12	19	1	35	4	0	43	24	1	10	16	28	0	6	1	33	7	0	2	11	5	7	182	249	22	293	21	8	46	0	35	7	3	19	15	6	8	43	9	20	5	3	5	8	0	36	2	1	1	2	6	21	46	1	6	0	9	11	5	10	0	3	0	47	6	13	13	0	17	0	3	8	28	2	0	1	0	5	21	8	9	3	2	3	19	5	0	10	0	11	5	6	11	34	1	1	8	17	67	6	6	15	1	0	16	11	2	0	7	1	8	22	5	18	6	1	16	8	7	2	0	2	0	0	31	0	4	2	1	1	1	6	9	0	5	1	1	2	19	1	3	0	0	41	0	6	1	23	8	2	2	11	16	1	5	2	2	4	2	0	12	1	0	10	19	15	5	0	0	2	1	0	3	3	4	1	3	0	0	0	26	0	4	1	0	0	2	6	0	3	1	0	4	4	0	0	30	0	9	0	4	0	5	4	3	0	6	1	1	14	2	14	0	4	0	17	0	0	1	0	3	5	4	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	7228
548_LL	17017	225	2	87	26	2549	26	129	19	24	298	95	35	24	1190	5	19	315	14	0	57	0	2	38	31	42	5	72	3	1	83	34	97	35	5	16	10	566	32	0	1	32	8	9	82	0	89	95	44	27	14	90	26	3	19	7	1	2	14	1	4	598	23	11	1	51	33	1	23	1	16	9	23	71	9	23	19	7	0	12	11	0	129	1	10	7	24	24	16	14	97	2	2	13	37	11	0	17	44	2	9	5	57	19	141	8	1	60	0	34	0	11	2	22	18	3	15	5	9	8	4	22	12	0	65	45	14	2	0	11	14	75	9	0	4	9	8	9	6	0	7	0	48	3	5	41	6	4	1	0	3	78	4	0	2	1	1	5	3	0	0	1	6	1	9	1	8	3	24	12	9	7	11	0	4	0	10	29	4	1	21	3	29	35	3	1	0	7	2	0	20	1	3	5	0	6	11	12	3	47	0	0	2	1	0	3	3	0	1	0	15	4	15	7	0	1	2	6	1	1	29	0	8	12	0	1	12	2	0	0	6	12	1	6	9	2	6	2	0	19	1	0	3	14	8	1	6	0	4	0	6	6	1	1	2	4	2	1	0	26	1	3	2	0	2	0	2	2	0	0	1	5	1	4	2	3	0	7	0	14	0	1	5	0	0	1	2	0	4	1	10	1	2	3	3	0	0	0	1	1	1	1	0	0	0	0	0	0	19	0	4	1	0	0	0	2	5	7157
007_HH	16375	416	0	73	30	508	4	34	42	219	514	70	274	27	691	16	26	474	63	0	35	0	13	35	161	32	6	210	1	4	217	12	1	41	19	15	10	199	96	0	11	204	29	0	3	4	51	150	57	31	202	64	19	40	7	70	5	5	27	1	4	353	45	60	2	81	68	1	15	1	42	14	28	42	26	117	12	19	1	8	91	0	343	0	4	70	23	1	17	25	85	45	0	9	37	0	0	0	175	1	16	10	0	24	144	3	2	26	1	41	19	26	5	11	13	4	0	10	4	20	2	39	0	0	62	0	1	4	21	10	23	125	29	5	1	13	15	7	5	1	3	0	44	4	11	24	0	7	2	9	4	34	26	2	2	6	14	8	7	32	0	0	0	2	1	0	10	0	8	7	4	7	40	0	36	16	16	0	28	5	28	40	12	29	7	1	3	31	0	2	11	6	3	7	0	3	3	8	2	25	0	2	2	1	0	5	10	2	1	9	19	0	2	6	10	0	0	3	0	2	1	0	7	4	4	0	7	6	0	3	5	33	10	10	4	1	2	1	0	26	0	0	5	13	9	0	1	1	4	4	21	56	1	0	0	2	4	4	29	13	0	5	3	1	0	1	1	0	2	1	0	8	4	2	10	6	1	9	36	3	0	2	18	4	0	8	1	0	1	2	13	0	1	0	4	1	1	4	1	1	6	4	0	0	0	0	0	0	5	0	3	0	0	0	1	0	0	7021
553_LL	26777	1652	0	153	55	1578	19	164	49	235	884	100	438	53	1725	2	3	535	19	2	186	1	1	47	33	67	6	301	27	6	378	27	293	3	35	7	11	658	96	31	3	270	34	5	72	14	190	90	95	87	95	61	32	12	49	1	17	12	21	7	5	293	19	16	2	21	41	4	23	3	79	39	13	14	5	73	86	28	9	69	72	0	674	0	21	52	27	0	81	22	97	8	44	6	46	14	1	41	23	1	47	36	13	14	170	7	17	28	10	57	4	1	0	17	17	13	1	13	46	9	13	12	14	5	71	1	5	0	0	11	31	48	17	5	1	10	2	19	10	16	13	1	6	17	64	13	1	5	29	16	3	45	6	1	2	0	14	0	9	25	1	3	3	6	0	6	15	0	45	16	23	14	31	0	5	1	27	41	3	4	10	41	2	2	9	1	3	49	0	3	10	5	0	8	1	7	9	14	6	57	2	5	12	1	3	6	9	12	9	0	1	1	3	14	24	0	11	9	7	3	1	0	12	2	1	17	13	6	1	8	21	16	2	22	3	2	2	0	0	10	30	0	1	0	20	3	8	0	0	3	9	3	9	4	6	4	4	3	0	9	10	1	0	10	1	5	4	17	3	0	1	10	11	1	0	4	2	15	1	17	0	5	3	1	0	12	3	0	11	7	6	0	5	3	5	0	0	6	0	1	1	2	0	1	1	0	1	0	0	0	21	0	0	0	0	0	0	11501
52_LL	27859	871	1	351	59	564	5	103	42	12	1676	54	369	97	3006	20	9	55	24	4	148	1	45	65	13	17	12	696	44	12	143	95	14	47	1	16	3	282	203	2	13	1828	1	0	71	1	163	33	88	8	51	74	23	4	3	49	8	9	13	6	17	848	68	12	0	27	67	5	21	1	35	2	8	45	11	95	73	15	53	64	88	28	245	1	0	4	26	1	27	22	36	2	26	2	17	10	1	23	9	39	36	9	3	18	294	11	21	24	6	50	9	11	17	11	22	5	11	23	89	13	7	19	6	0	40	3	13	11	1	8	36	44	10	1	1	6	1	9	18	1	11	18	4	8	18	14	4	15	7	13	0	21	1	2	0	12	5	15	13	46	12	5	0	5	1	0	19	0	24	9	29	23	30	0	0	0	14	1	0	3	14	4	0	17	17	6	38	3	1	29	30	2	1	0	1	10	20	16	3	5	2	6	0	2	3	10	9	35	2	4	5	0	4	17	1	0	0	15	3	3	0	0	15	20	10	4	33	9	2	6	15	5	11	43	5	10	2	1	0	20	9	2	5	0	17	3	0	2	1	4	10	17	2	2	4	8	3	8	0	27	11	2	14	9	13	2	9	1	0	1	1	10	13	8	12	0	1	16	1	8	1	1	1	2	0	0	5	1	18	3	1	3	1	2	9	0	4	29	1	2	1	6	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	11940
528_HH	25385	205	0	1344	30	2703	16	111	98	327	841	27	241	14	1701	7	1	51	52	10	158	1	151	48	6	25	10	51	28	3	541	8	11	9	2	9	6	506	29	20	10	294	38	3	73	1	267	53	56	6	75	16	42	5	17	8	13	19	22	16	6	315	17	8	0	27	13	3	17	2	116	26	12	20	6	54	21	14	9	29	18	0	375	0	27	111	56	46	33	14	74	1	7	12	46	87	5	68	6	1	21	146	60	22	153	7	12	7	10	61	1	4	1	37	21	9	0	12	48	25	18	5	24	5	26	3	0	0	0	11	48	16	2	18	7	11	6	10	5	0	10	1	0	12	23	7	3	6	7	8	4	104	3	2	4	0	5	2	7	27	7	5	5	4	12	5	11	3	36	21	8	7	38	0	1	13	26	43	2	8	10	1	0	22	9	0	2	62	0	0	12	1	0	0	3	6	10	16	2	2	0	35	7	1	0	6	11	13	2	1	6	0	8	8	32	1	2	10	3	6	1	0	28	41	1	6	11	8	4	5	25	50	4	17	17	16	1	4	0	8	16	0	1	0	22	2	10	1	3	1	1	5	4	2	4	1	1	8	0	12	11	4	0	9	0	3	7	41	3	2	3	4	13	9	4	0	2	14	0	23	0	4	2	2	0	7	0	0	6	5	4	0	4	0	3	0	0	1	3	2	0	0	0	0	0	0	0	0	0	1	0	30	0	0	2	1	0	11006
862_HL	30234	1394	14	444	38	3601	13	88	103	25	1039	129	83	63	1224	4	5	439	18	3	137	2	3	84	237	41	9	209	27	9	394	193	326	13	163	40	8	69	56	23	4	71	28	56	502	15	528	92	106	65	48	66	84	3	100	6	20	13	18	11	3	99	53	5	0	9	21	14	26	280	66	47	20	135	1	28	63	29	1	28	6	0	304	0	3	164	44	4	47	25	63	0	50	25	62	8	8	147	196	19	21	41	58	17	97	3	20	124	2	62	26	15	6	13	14	17	10	9	45	8	6	20	17	1	50	2	15	0	3	10	54	189	2	0	9	28	4	17	5	0	12	0	3	2	10	25	5	5	16	3	2	59	15	1	7	4	14	5	9	7	4	10	10	2	0	0	23	0	61	13	20	20	48	1	1	8	24	9	2	11	3	3	2	6	29	2	3	4	6	9	2	9	1	2	8	5	6	12	6	1	14	11	48	0	1	10	3	1	1	1	2	18	16	25	0	0	8	7	3	13	8	0	12	4	1	11	12	3	9	6	22	18	1	19	4	1	1	1	0	17	3	1	5	1	20	5	3	1	2	15	0	3	8	7	6	5	10	10	0	1	17	1	0	2	0	1	12	5	6	0	1	10	19	0	9	4	2	6	0	22	0	4	10	2	0	0	1	0	5	4	1	0	5	2	6	0	2	5	0	4	0	4	0	1	1	0	0	0	10	1	3	0	0	0	0	0	0	13269
508_LH	14046	325	28	778	36	68	6	25	25	6	416	13	188	2	444	6	8	350	32	0	40	1	1	59	202	37	138	39	3	3	213	208	2	31	121	30	8	348	51	3	11	86	33	3	148	1	83	211	55	37	124	108	19	11	51	1	3	4	12	1	1	33	48	4	1	65	66	0	26	1	45	1	18	38	18	45	45	7	1	15	19	0	59	0	0	8	74	1	18	19	194	7	2	0	19	0	2	0	166	131	2	7	33	16	56	3	2	1	1	27	0	16	2	24	8	4	0	11	5	29	1	14	2	9	60	0	19	7	2	4	4	14	0	1	2	3	8	2	115	1	6	0	60	2	13	14	1	5	0	9	3	18	0	2	2	1	2	6	2	29	0	2	0	0	0	7	14	0	5	7	17	12	42	0	2	2	5	13	17	2	20	0	2	36	2	10	0	2	2	0	2	6	12	12	12	5	0	5	2	24	1	3	2	1	0	3	6	1	1	0	11	1	0	3	6	11	8	3	0	2	0	0	44	3	0	1	0	4	0	3	5	92	10	8	2	8	1	6	0	32	2	2	5	16	13	0	1	0	6	7	0	17	2	2	1	3	2	0	0	0	2	3	4	0	1	0	5	6	0	0	0	6	3	5	5	1	0	6	1	0	83	2	14	2	0	4	25	0	5	3	10	0	1	0	0	3	2	0	0	1	2	17	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	5977
587_LL	20551	340	0	787	36	196	6	110	38	7	556	112	642	66	1531	6	3	54	33	22	576	3	14	136	27	118	2	305	26	11	201	72	10	33	97	24	12	167	76	18	0	229	17	1	81	2	43	280	172	145	30	183	56	0	13	113	13	50	8	1	11	86	23	5	1	98	13	6	12	0	37	37	17	69	27	23	52	62	19	18	11	13	69	6	6	66	76	0	35	53	107	8	19	1	37	0	16	7	22	0	10	3	105	16	134	4	11	84	26	27	1	15	3	18	24	7	2	21	79	7	43	40	5	0	103	2	4	0	11	6	80	119	8	4	1	13	3	12	8	0	10	18	11	2	4	17	1	8	2	27	2	137	47	9	7	0	7	9	3	1	8	0	10	8	0	2	39	0	16	12	9	17	19	0	10	30	18	4	0	7	46	3	2	11	7	14	9	2	6	1	2	5	3	4	4	3	9	11	18	6	4	33	5	2	0	3	8	5	3	7	12	23	0	17	19	2	0	8	3	4	13	0	5	20	17	2	18	13	1	5	13	18	2	7	9	1	0	6	3	12	10	2	10	1	11	6	11	0	3	12	11	8	3	8	23	5	1	2	0	7	5	0	2	1	0	3	6	23	2	0	0	8	6	3	2	6	9	13	0	5	0	0	8	7	0	2	2	3	6	1	2	10	9	5	4	0	4	19	5	2	7	23	0	0	0	0	0	0	0	2	2	0	0	22	2	1	0	9018
856_HL	24434	694	6	313	28	3672	23	138	27	151	525	122	192	33	802	12	10	223	3	3	90	3	2	34	14	60	441	49	28	13	468	7	170	65	18	5	4	923	18	18	0	123	15	42	35	11	86	50	155	45	179	67	24	25	97	4	6	9	20	6	4	670	14	23	24	14	34	3	11	1	115	20	21	30	5	63	26	33	6	9	84	0	124	8	22	21	21	29	19	15	33	12	35	33	38	8	5	153	19	0	17	84	4	8	84	2	11	22	5	26	3	3	9	8	13	17	10	12	28	11	10	13	8	1	52	1	1	7	1	9	8	32	1	0	9	6	6	6	29	0	7	0	7	2	10	14	0	4	1	8	5	38	5	3	4	0	9	11	9	47	4	4	11	2	2	1	27	0	33	10	1	8	73	16	5	5	14	93	5	3	21	31	0	6	9	0	4	31	6	1	23	4	1	7	3	5	2	4	11	29	0	14	17	0	0	8	5	25	2	1	2	33	28	15	18	1	1	5	8	7	32	0	2	26	0	4	5	15	4	11	8	12	3	15	6	12	3	2	6	5	34	1	14	2	22	10	4	0	2	1	0	21	3	6	1	6	0	1	0	18	17	0	12	6	0	2	10	2	3	0	1	3	6	1	0	0	4	13	0	32	0	14	2	5	0	5	1	2	11	5	3	7	3	1	1	0	5	1	4	4	8	1	1	0	3	0	0	0	0	3	11	0	0	0	2	2	0	10223
