td_A_700038857	td_A_700023382	td_A_700099065	td_A_700113553	td_A_700095837	td_A_700102525	td_A_700038905	td_A_700107822	td_A_700032228	td_A_700103608	td_B_700033928	td_B_700113016	td_B_700035243	td_B_700100477	td_B_700038113	td_B_700024958	td_B_700097487	td_B_700016462	td_B_700109512	td_B_700099008
OTU_97.10	0	0	0	2	0	0	0	0	0	1	0	3	1	0	0	0	0	1	1	0
OTU_97.10006	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10025	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	1	0	0	0
OTU_97.10026	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_97.10038	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.10047	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1005	0	0	0	0	0	3	0	0	0	5	2	0	0	0	0	1	0	4	2	0
OTU_97.10075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_97.1008	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
OTU_97.10081	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	1	3	0
OTU_97.10082	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.10090	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10091	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.101	1	0	0	1	2	0	1	0	1	4	2	1	1	0	0	1	0	0	2	0
OTU_97.1010	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0
OTU_97.10104	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10107	0	0	0	3	1	1	0	0	0	3	1	0	4	0	0	2	0	0	3	0
OTU_97.10111	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_97.10115	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1012	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0
OTU_97.10132	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.10138	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
OTU_97.1014	0	0	0	0	4	0	0	0	0	0	6	1	0	0	1	0	0	0	5	1
OTU_97.10147	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_97.1016	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3
OTU_97.10169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_97.10174	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
OTU_97.10185	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10190	0	4	1	0	1	1	0	0	1	5	1	1	0	0	1	1	0	5	1	0
OTU_97.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU_97.10201	1	0	0	0	0	1	1	0	0	4	0	1	0	0	0	1	1	0	0	0
OTU_97.10204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_97.10207	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.10215	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10220	13	0	0	4	5	0	0	0	0	8	2	1	0	0	0	0	0	2	5	2
OTU_97.1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_97.10238	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10248	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.10251	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.1026	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10271	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	1	0	0	0	0
OTU_97.10278	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.10288	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
OTU_97.1030	1	0	0	3	2	3	1	0	0	0	0	3	1	0	2	0	0	1	5	4
OTU_97.10310	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU_97.10315	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1032	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
OTU_97.10320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_97.10328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_97.10332	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.1034	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.10341	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.10349	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10351	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10353	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_97.10355	0	2	0	0	0	0	0	0	0	6	0	1	0	0	0	0	1	0	0	0
OTU_97.10362	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
OTU_97.10372	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_97.10383	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_97.10384	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
OTU_97.10385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_97.10388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_97.10396	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0
OTU_97.104	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10400	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
OTU_97.10407	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10415	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
OTU_97.10419	0	0	0	0	0	0	6	0	0	2	0	0	0	0	1	2	0	0	0	2
OTU_97.10424	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1043	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.10436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU_97.10439	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
OTU_97.10463	4	0	0	0	11	1	0	0	36	0	2	3	0	0	12	0	0	9	52	5
OTU_97.10465	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10476	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
OTU_97.10492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.10494	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4
OTU_97.10497	1	14	0	0	0	0	1	0	0	28	0	4	0	2	0	24	0	1	0	0
OTU_97.10499	18	9	23	1	9	0	2	0	2	62	10	4	0	5	0	7	0	1	10	11
OTU_97.105	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
OTU_97.10506	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.10517	0	0	2	0	12	0	0	0	0	0	17	1	0	0	1	0	0	0	18	4
OTU_97.10522	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10528	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_97.1054	0	0	0	0	4	9	0	0	0	0	3	0	0	0	0	0	0	0	9	0
OTU_97.10546	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
OTU_97.10548	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_97.10558	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1
OTU_97.10559	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.10562	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
OTU_97.10594	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.10596	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
OTU_97.10602	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.10608	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU_97.10611	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10613	4	0	0	1	1	0	3	0	0	2	0	1	1	0	1	1	0	0	0	0
OTU_97.10616	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU_97.10645	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_97.1065	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0
OTU_97.10651	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
OTU_97.10664	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.107	0	0	0	1	15	2	0	0	0	0	7	0	0	0	0	0	0	0	19	0
OTU_97.10707	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_97.10715	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1072	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.10730	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.10732	2	0	0	0	0	5	0	0	0	2	0	1	0	0	0	1	2	1	1	0
