S1	S2	S3	S4	S5	S6	S7	S8L	S8R	S9	S10	S10L	S10R	S11	S12	S13_T1	S13_T2	S13_T3	S14R	S14L	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38I	S38U	S39	S40	S41	S42	S43	S44	S45	S46	S47U	S47I	S48	S49	S50
S1	0	0.496830589326335	0.121048124958189	0.420243298929109	0.226514195247508	0.626111459799973	0.369667178461797	0.269266950123185	0.595139247726921	0.49410317279983	0.402675484386145	0.254325877363124	0.626110603692403	0.154122494153442	0.534631968960933	0.244640663524158	0.355844686738755	0.167009562483894	0.220244690874214	0.45922988723404	0.43056695392644	0.250093778360763	0.241170338620053	0.367064752660809	0.237185270682471	0.149140612085847	0.288610504327545	0.200968459481488	0.616629463822886	0.242108484174366	0.394934276662858	0.207532764667238	0.165526443173733	0.132310242202183	0.490994808756062	0.353756807939956	0.0906115034644873	0.418353163984031	0.169871219263786	0.348170288373269	0.182491722615123	0.267596177437645	0.348131239950046	0.967535269661602	0.245765962200983	0.41540687988821	0.241168541600248	0.427214157193634	0.193946975857051	0.176658141877689	0.208590878096373	0.315743241877058	0.247933239673927	0.387138211259544	0.349162654056661	0.364795656077655	0.0958679123286802	0.181746647813393
S2	0.496830589326335	0	0.518063138942191	0.233663158165057	0.346837117247077	0.445360820505446	0.249864468535238	0.331925994243231	0.225829240828759	0.267167817200887	0.209314392460261	0.399576589129036	0.283930942276566	0.447356119254348	0.238664480981567	0.417763536092219	0.267414237341225	0.485156931629367	0.626208407973579	0.354419752156399	0.233168349547745	0.646910191525952	0.394237103708341	0.314541897792289	0.643178574732247	0.608528978474892	0.345871870077084	0.4878774990801	0.848020814062285	0.413991245969763	0.3337742988007	0.476224009826815	0.467375961733898	0.504584743148008	0.185744486735325	0.381653187049205	0.535995221852423	0.744610445564411	0.554550021821161	0.338631529024011	0.597337390447425	0.461887441921683	0.413065055061264	0.988411989299659	0.392900749656955	0.296920457847768	0.645646003594589	0.424426748158173	0.633232364401303	0.401565330824378	0.518647157198636	0.340953188214615	0.614390500507386	0.281262042411229	0.302103014797073	0.321307244866937	0.44441619746821	0.575772181866816
S3	0.121048124958189	0.518063138942191	0	0.457123024623844	0.289536882650761	0.648086632716486	0.426188483059256	0.301488043375982	0.610448180835827	0.547713295180078	0.387505099921123	0.326041539148787	0.652805726291574	0.233311332344601	0.546979815920401	0.282164580227488	0.398411167652683	0.218004854799242	0.185635503949346	0.468812854291294	0.466948009387021	0.209728887853205	0.265949575202012	0.398914256270639	0.214054842549249	0.21649921855877	0.270552236177052	0.237982222632825	0.604604104285052	0.280071695102671	0.470869096554957	0.223401212359131	0.188715400358409	0.146612056059631	0.508175521430036	0.371343132613067	0.172275115554458	0.4528390555482	0.110801717462164	0.416506127046199	0.158705377792186	0.355939408454795	0.380360621166501	0.967971637331524	0.286562341342833	0.495149326071121	0.164153159028509	0.456575414842682	0.174876807693641	0.240574283604926	0.161589968360072	0.294336008140934	0.283662929843575	0.407550927548954	0.432106021336669	0.424040456506497	0.1506148445415	0.158348457039286
S4	0.420243298929109	0.233663158165057	0.457123024623844	0	0.227728945501605	0.456487637847857	0.127664277216099	0.211270825685587	0.280805386492144	0.204717082214028	0.17098281255618	0.294599123449902	0.365971261675615	0.377105677349532	0.304388436181329	0.353755543293364	0.11932072276713	0.438633744149344	0.564171166939576	0.306149022108423	0.146646001704793	0.551965992492466	0.275918395056279	0.203061044756398	0.572942112662605	0.527856382207141	0.261803626882953	0.448283791570885	0.817311947393638	0.365959564694712	0.236838002510516	0.419931976769038	0.421356644442316	0.451807594090898	0.231499753016937	0.319854986219122	0.450478016848548	0.694360375900433	0.513891212935883	0.273972804651332	0.461111377712303	0.36949942416206	0.3710519436668	0.985915626720444	0.341542291136753	0.240922902388438	0.567987742940877	0.290097159668834	0.51532048237903	0.349281049510619	0.408730996663274	0.270936715258317	0.569878496861037	0.132221195574574	0.212578196089743	0.26650268295291	0.393978171250508	0.525234712184808
S5	0.226514195247508	0.346837117247077	0.289536882650761	0.227728945501605	0	0.545892995878568	0.229228308428789	0.107751919904021	0.450261622507924	0.364320534357765	0.248614391273188	0.147240446761084	0.51608799561652	0.178953134796455	0.421641381298235	0.159839230145208	0.175199066250681	0.24350223016188	0.399169130124531	0.365347104867358	0.28702556990378	0.414599788973301	0.119304270189624	0.240240893388227	0.41377530859738	0.344259473724955	0.153364382766951	0.260000958834165	0.724880876467323	0.169787716650193	0.28176774783853	0.228015483615317	0.224355772835136	0.262882842554851	0.367308942706895	0.230505441585996	0.257643194623556	0.568108754651739	0.338575463274011	0.238549328772	0.310463883701482	0.180100410157999	0.246534428656645	0.978324769348045	0.147285968705778	0.318256907629963	0.424635366386857	0.33210112065832	0.348770657719622	0.143877881755584	0.256868372110912	0.190557370583672	0.407710908305387	0.226595325119665	0.219106437532276	0.253851497364286	0.19893185932718	0.351052032526636
S6	0.626111459799973	0.445360820505446	0.648086632716486	0.456487637847857	0.545892995878568	0	0.412250020099622	0.528297369925454	0.382490868542366	0.408738206375536	0.450238595249036	0.535332783398061	0.412198286673559	0.630577041335896	0.360022949335093	0.591755669453608	0.493488167815967	0.65334098283784	0.727885083082798	0.432506845206891	0.398438072536874	0.707710047711682	0.543000220629085	0.460018080442243	0.664109313702567	0.694488612114024	0.52377093082073	0.653429632252503	0.880446082582304	0.63687408111444	0.559792975025929	0.60722108534162	0.640071003639849	0.643751390575761	0.369234177782444	0.580021517596547	0.648127410196256	0.820631889122985	0.688960088541169	0.578607423113405	0.594721918174918	0.647056648294559	0.599082037587275	0.991823037331528	0.584730590573613	0.548502745610918	0.698938133667247	0.429764223010635	0.636365496751	0.588335842598836	0.592546260546544	0.506240504485634	0.759628598990466	0.428347906566697	0.516636393053281	0.515150849039002	0.628794732943528	0.685256346100141
S7	0.369667178461797	0.249864468535238	0.426188483059256	0.127664277216099	0.229228308428789	0.412250020099622	0	0.207901005101503	0.332142919681597	0.235329393555854	0.155267388262093	0.259905438211615	0.388138630901277	0.351235659957697	0.303844949648504	0.336849792240381	0.1503557394712	0.417410684772561	0.524288324360145	0.256389605246406	0.166228997490092	0.541891761004068	0.262371063406843	0.172582794803821	0.539034528450788	0.493557430866139	0.24114385627521	0.421662834279054	0.803368832790197	0.357453096649724	0.231740490449536	0.369142494607383	0.39707273651326	0.420555282960343	0.242501163255759	0.299780932493693	0.419310121922875	0.672425656013439	0.487078404027449	0.246605181442741	0.458702351524111	0.356107352709769	0.317328528686019	0.984436120348956	0.292764097752889	0.218683645751914	0.549824407432315	0.246189765229679	0.49566815151488	0.311977376673873	0.396219886806159	0.245268745322868	0.559004130238513	0.149784327818569	0.164944415495855	0.201652795218208	0.365481472771987	0.49884903087725
S8L	0.269266950123185	0.331925994243231	0.301488043375982	0.211270825685587	0.107751919904021	0.528297369925454	0.207901005101503	0	0.393758873400648	0.35843260329358	0.220255261857158	0.185995621344966	0.494840373451666	0.217970517876809	0.397148375067231	0.178298056869197	0.165022498642949	0.274279290594274	0.435890438160529	0.351646311726821	0.256814985775912	0.428294144184919	0.135549480802759	0.221618241564632	0.442644438664285	0.39439002944119	0.135994630361173	0.290473053871543	0.746562414326041	0.213279369003272	0.295905838084057	0.25125125103279	0.254969174411681	0.291589337353944	0.348976536396282	0.232928827920163	0.310784235617398	0.59847199027808	0.356923021152321	0.248993234023406	0.328457730632114	0.238375232253539	0.254105305165162	0.979844755225428	0.179226055405902	0.333607206634992	0.439398743888768	0.322537522110543	0.375016971567361	0.194551467820384	0.267772017024382	0.17219473605691	0.444630575642972	0.199165161858726	0.240738593793561	0.275584536972297	0.227326426681765	0.373210651122765
S8R	0.595139247726921	0.225829240828759	0.610448180835827	0.280805386492144	0.450261622507924	0.382490868542366	0.332142919681597	0.393758873400648	0	0.280776285381935	0.329441976833249	0.501980599772969	0.177398131750029	0.555287577576415	0.227029829343885	0.508022520765609	0.355920127640342	0.597353724918997	0.706858921140364	0.431778082010048	0.281927076432629	0.688003954180821	0.472792881612863	0.389454899317117	0.702324101469808	0.697869196126174	0.436265447717748	0.602518161994163	0.888007550896306	0.545199674686644	0.458205691241955	0.56845375289122	0.580043934192934	0.606624723473574	0.218677399567702	0.489466578813104	0.63826059195957	0.810336330688748	0.652499226366288	0.469145555331492	0.613491034536452	0.586895427865701	0.534111229546725	0.991777001122632	0.51487058408348	0.430269920965145	0.675779445893897	0.479491951159026	0.663448900082506	0.521914989661364	0.547105629194498	0.451522243271211	0.70963140580355	0.315426526624656	0.425821587127903	0.440202056248841	0.560599939851953	0.654240245233477
S9	0.49410317279983	0.267167817200887	0.547713295180078	0.204717082214028	0.364320534357765	0.408738206375536	0.235329393555854	0.35843260329358	0.280776285381935	0	0.271600669307876	0.378008088084429	0.325065843040012	0.469123458131818	0.229243235714241	0.46972634259632	0.24832820090276	0.523425263053957	0.63713747229093	0.348149981610224	0.178684565943694	0.618752592562564	0.363872957960577	0.278503539628534	0.641640999130565	0.588083470833456	0.362890790507466	0.520606910751803	0.839087968527014	0.453120490091522	0.358529414995793	0.509961642734561	0.512096757418394	0.524097760605062	0.231999346836257	0.427739790873915	0.522868030624629	0.743792266046713	0.583286851972633	0.379337399901429	0.530097968426481	0.462330298536229	0.459461813769348	0.988505888227749	0.426972389369188	0.31230389282059	0.606392394248833	0.346798263964602	0.526919709508439	0.430982604749526	0.483485805977866	0.370831603551861	0.631659937740843	0.23603849372056	0.304459614396332	0.343927255210338	0.471159086035621	0.601058241912827
