S1	S2	S3	S4	S5	S6	S7	S8L	S8R	S9	S10	S10L	S10R	S11	S12	S13_T1	S13_T2	S13_T3	S14R	S14L	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38I	S38U	S39	S40	S41	S42	S43	S44	S45	S46	S47U	S47I	S48	S49	S50
S1	0	0.337147665058687	0.21131214482375	0.295954174564556	0.217160975341532	0.450827697840376	0.174009423288541	0.292191740767432	0.343042623026484	0.194242855445227	0.292595021774581	0.186500521246257	0.24645430995572	0.222109235008732	0.278508511019042	0.318218032537464	0.233033046368927	0.264134742028013	0.358767895270981	0.409012433908301	0.240268586030454	0.307771279777562	0.181035665541197	0.295362324057679	0.393783282024683	0.275414510919889	0.255636289085845	0.320542535378566	0.374938981433716	0.33783978889057	0.29909005269657	0.23373187552033	0.24267926174381	0.25447199367762	0.270517623163285	0.348582693887256	0.247932656976369	0.623826978219474	0.262336179169171	0.291773007612997	0.355094667707382	0.385147246407933	0.286281891211375	0.979634243923054	0.289748851541403	0.28890462910243	0.397726796078286	0.461922406692565	0.36286787108846	0.225890553698689	0.264547016463414	0.300922066395822	0.371930179471692	0.292792875840709	0.252353597123944	0.234138582954186	0.262988445208561	0.216561921909782
S2	0.337147665058687	0	0.272831424867327	0.281223608942277	0.32715134641428	0.458576567384161	0.297403530422098	0.263711181643238	0.217589048381725	0.32115161282051	0.185479437473103	0.331471032471446	0.176627385928435	0.269804778948741	0.247808083113948	0.216890918337681	0.27201312413949	0.20855558212956	0.496003757350998	0.449078520257103	0.25412315175375	0.413001594340776	0.347562975457446	0.324825502541201	0.478673217686172	0.501242716643677	0.201516890121002	0.244541945869983	0.559358245086794	0.241776605364526	0.37562937368318	0.303071060848542	0.224387722825486	0.266535806400099	0.228675542045636	0.238226885685029	0.425464947516514	0.713611784275205	0.270863653875144	0.244755135137535	0.391849752106353	0.505700018969932	0.240944367127647	0.984444792526392	0.21935896081934	0.309720205607977	0.497464053922056	0.472246459545454	0.511466783191401	0.25275277250699	0.318847298436306	0.258319928796393	0.443530215693682	0.281414337174237	0.338722687067221	0.283720315988733	0.223287267591832	0.261498874760024
S3	0.21131214482375	0.272831424867327	0	0.299711163445075	0.277220793933185	0.46331538573587	0.244346255456983	0.301924751831486	0.330613385927606	0.280753198846767	0.265708391950754	0.245566366635297	0.242638417991911	0.22806839444327	0.272784108581217	0.268498344711425	0.257570118092817	0.251545394670389	0.362800930893178	0.408495873716341	0.279297649253276	0.292232232508121	0.257430043416513	0.305243195818687	0.412850698496494	0.337885531932258	0.215400216297986	0.327942543509609	0.469303330011018	0.293450647489162	0.294810222786188	0.252012888651349	0.244683432140186	0.239808757367957	0.264957802981904	0.310227270303354	0.275868178640027	0.620654901205086	0.211824991676684	0.217952493003814	0.299896244855545	0.401498442364731	0.230756657099552	0.977124860244619	0.269119285774202	0.228877985248819	0.316913369529147	0.438275730932923	0.356988828671386	0.246005420157174	0.177158955531771	0.267900363343181	0.315138564315175	0.338679230984999	0.251989202653326	0.209327403090673	0.271346412912962	0.238615359711886
S4	0.295954174564556	0.281223608942277	0.299711163445075	0	0.151759702146725	0.417174930870491	0.249802763873938	0.112774520784429	0.185249724029317	0.315081854654873	0.237749108286501	0.309890681458165	0.211338117031322	0.285617652903011	0.310797173470204	0.181814882861842	0.243286430974749	0.276123984635077	0.466428130005896	0.419745174227359	0.246920420785589	0.324734950783305	0.296115500034779	0.332587786046103	0.383208413416742	0.438828181156122	0.276862590711563	0.333601945438641	0.475897897068211	0.310022285516182	0.338092716759688	0.294421094755924	0.26288074730473	0.276748814600187	0.276960323088334	0.302667920277266	0.381864525490247	0.694803189055264	0.301646028872553	0.327613784784462	0.337133448668428	0.44289690742483	0.349181171318874	0.983628800617081	0.312907078543371	0.373655795561337	0.481132896880631	0.469970681393041	0.484510951718693	0.323166437009556	0.295146648578721	0.30881233027885	0.458191039947755	0.254314102123443	0.344515149777373	0.304723198650951	0.287478994893104	0.241077353369981
S5	0.217160975341532	0.32715134641428	0.277220793933185	0.151759702146725	0	0.439808423698151	0.22250777837324	0.191039407858868	0.238438272447362	0.286710683974369	0.257210973937477	0.282225853465613	0.239228837636864	0.24532562589484	0.285746658409647	0.222243333703711	0.197721545721314	0.244952037849876	0.407988121059583	0.410789295534932	0.215750875064691	0.27140950048203	0.210649325057918	0.325135770495415	0.388333213780092	0.355088349758487	0.259291072665337	0.333011358833071	0.391611820743492	0.310666563243342	0.309019573312167	0.245825329365865	0.228725140193241	0.252718715740429	0.260462916973786	0.319411602202964	0.328072543705129	0.670193117129034	0.288169254422695	0.303476555222055	0.32962580750391	0.40281936951485	0.328544429938661	0.981090629827057	0.30424460468893	0.347738342991398	0.464174374047278	0.47446203214086	0.433542679227762	0.263623054722685	0.270383787578909	0.29905363846508	0.411159410467085	0.225951936576168	0.301148976855246	0.259007678468914	0.2715935534575	0.190639313160825
S6	0.450827697840376	0.458576567384161	0.46331538573587	0.417174930870491	0.439808423698151	0	0.363300143574881	0.436680801082565	0.423046838255562	0.447629964424357	0.449262632663635	0.436952913644166	0.412925079052535	0.496858693931859	0.430344488408943	0.452167448939183	0.456270419003947	0.507402461880975	0.546742231010898	0.38832987794983	0.420655919128358	0.453763748787699	0.500060821620242	0.449022141030812	0.353886331015066	0.490220254431959	0.462057647172474	0.52279354110062	0.58391935558899	0.541576171194057	0.503198634988416	0.443639056741607	0.514610101220672	0.470496415709345	0.46497095991949	0.499461626757657	0.493213279658743	0.689673423723952	0.49601204279851	0.476340111411413	0.411113097668891	0.555112983798232	0.4720227176831	0.984788117098344	0.46972698772993	0.490712229413455	0.574426049818328	0.353893557018526	0.526206670185743	0.504448312098809	0.411385687998068	0.434888193029241	0.60215555647498	0.395252364644577	0.461316055078164	0.425523399215518	0.488336337470394	0.4699053445263
S7	0.174009423288541	0.297403530422098	0.244346255456983	0.249802763873938	0.22250777837324	0.363300143574881	0	0.236826396978044	0.275084818728681	0.248747720257054	0.254599327916668	0.259405016918269	0.212720146170157	0.292368765338976	0.278457425006882	0.28168883163652	0.284486352730647	0.318649228834372	0.3809483279467	0.35201927543512	0.250332015593537	0.342388472645831	0.275644669089809	0.293575943972326	0.386387836903695	0.370525853766403	0.252890663613068	0.343895166171518	0.476798933556796	0.348453473249472	0.294177328367591	0.215996951791973	0.281065487076103	0.267624439486083	0.267469869188422	0.32258160571148	0.330736165289769	0.611179262129259	0.282584133684448	0.259405557495724	0.350348274243875	0.394577109535543	0.250586796553729	0.982938083450934	0.253841315454513	0.268587630570001	0.461663605326822	0.409788318332072	0.44831415460333	0.274296348643412	0.253029795062115	0.299673048822181	0.432345880520966	0.285875913645798	0.252912503651756	0.193435676289374	0.282665436918709	0.243899380769601
S8L	0.292191740767432	0.263711181643238	0.301924751831486	0.112774520784429	0.191039407858868	0.436680801082565	0.236826396978044	0	0.133051821546437	0.329890684155125	0.196828477702053	0.349375812648126	0.214931787328922	0.261957018615692	0.26012369154073	0.145788061147297	0.208253320879819	0.237967091281698	0.495668403071281	0.421820500930558	0.204793351808997	0.358042553791306	0.314189004754528	0.314356048476559	0.408111027623274	0.469035258964683	0.244257369728542	0.285887143714716	0.524176284466068	0.292316402670524	0.370681734170596	0.262780876558571	0.214421564896172	0.265461071457319	0.238667555325015	0.272962699390739	0.423706623494588	0.720510636493056	0.300338600074099	0.303813320643755	0.392633867073777	0.491056206541267	0.321517074246993	0.985145343199223	0.285913025373064	0.355133219304638	0.510935076575158	0.467038568886664	0.514841344730906	0.283307983492618	0.288439649969696	0.289843817604371	0.457777046835288	0.211033976393269	0.33443964098339	0.305311802402542	0.244383109735019	0.202822082405677
S8R	0.343042623026484	0.217589048381725	0.330613385927606	0.185249724029317	0.238438272447362	0.423046838255562	0.275084818728681	0.133051821546437	0	0.324580446980138	0.180610332234138	0.377448510847791	0.215384648869674	0.305416278168819	0.239827034950799	0.173368643607438	0.268581911943836	0.217076649826185	0.528094835828098	0.430493992741739	0.243137087645681	0.415456322893691	0.346555025703558	0.290874938183348	0.414392310417657	0.509176182960656	0.238928617038905	0.274144662999107	0.555433197268232	0.294699541871802	0.411634974260141	0.297819538402174	0.250713466114285	0.276888607117052	0.237119753845271	0.230254792315474	0.450304890654801	0.739535434258161	0.312970281861203	0.293925507750962	0.424780316403706	0.521321197298838	0.304491955611579	0.986360162202382	0.279320802954375	0.361279594119328	0.549881145511435	0.446502400468972	0.545286453585145	0.281217401631482	0.320537396936398	0.275574421818546	0.477469636749292	0.20118344784154	0.366514702197105	0.310036915213267	0.25183569803446	0.245578132303267
S9	0.194242855445227	0.32115161282051	0.280753198846767	0.315081854654873	0.286710683974369	0.447629964424357	0.248747720257054	0.329890684155125	0.324580446980138	0	0.298577872209691	0.287072702498228	0.265385446655243	0.299642500921692	0.254378686205609	0.343172760064195	0.303849551073844	0.305407097347586	0.449679271456811	0.431962238166793	0.258290801344107	0.364688372344197	0.274996115780477	0.31495633832599	0.435502505983584	0.387499717078544	0.260291760203807	0.302842766606122	0.392012811234414	0.313097598746324	0.381352156715845	0.286323241029278	0.30692819953361	0.234909159623481	0.281373231713624	0.335248616675995	0.344999098068442	0.67504182562695	0.289860912780343	0.309000310638981	0.415882877666139	0.423210321484591	0.291075563986618	0.983035243103966	0.282964663772186	0.311814527410227	0.467430524543549	0.449210398621848	0.422819883483432	0.25699959111736	0.299130301766922	0.303188310046383	0.392174071134305	0.285095008154302	0.329559248673211	0.256864996220209	0.258312101229764	0.276967690983672
