S1	S2	S3	S4	S5	S6	S7	S8L	S8R	S9	S10	S10L	S10R	S11	S12	S13_T1	S13_T2	S13_T3	S14R	S14L	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38I	S38U	S39	S40	S41	S42	S43	S44	S45	S46	S47U	S47I	S48	S49	S50
S1	0	0.152705279641024	0.0783966760753754	0.122076903233544	0.0826065475368817	0.141359238825258	0.125759603847348	0.11094385443089	0.104387323165099	0.0866240391155772	0.0823548297032041	0.106283014542795	0.118373590489438	0.0990469075870753	0.0911774460821025	0.0529844178541024	0.101218051978796	0.127353608590636	0.121293017672091	0.145764613219621	0.0792673824280965	0.11709376458074	0.14895824419628	0.113585954769491	0.0979076189304303	0.119123122500389	0.123166223089459	0.134527879155452	0.067419779775003	0.13855099222423	0.146751497034039	0.135825818754415	0.0988763890545841	0.119853291601057	0.0797851841256615	0.140276165069435	0.138619074715225	0.0715372089551586	0.130288651023517	0.120318626057855	0.16345856555813	0.0899076139335502	0.154509153347379	0.13887266637893	0.183220601636853	0.12910813810627	0.102275516724245	0.0949694534475037	0.0571586865450884	0.0611387015232364	0.124153731513886	0.167286175694051	0.0850200406121428	0.153142506647412	0.136828317819062	0.131276159447945	0.0988126788336532	0.134218697200935
S2	0.152705279641024	0	0.102282387434346	0.0836640122823312	0.134438559924147	0.0663017278586683	0.111562842949933	0.113676523220814	0.0819344671670626	0.0915703257778425	0.151307402440601	0.165953882544586	0.0528938494027791	0.170805228485464	0.112338608581267	0.135362358127644	0.140294278759699	0.17393015236112	0.111085016292952	0.139962610844854	0.138274914600197	0.140248682229033	0.150817708193447	0.177309292510489	0.207962028708325	0.204354281295616	0.105788948025577	0.131923880027408	0.154381108295508	0.177905795069204	0.130998207993884	0.125190584129034	0.184957017462222	0.226323689146589	0.165957005594632	0.221942049932573	0.203068209286827	0.150951999345409	0.165539766108536	0.124524125249297	0.186762140388595	0.158958875052389	0.120021311693511	0.142788346526138	0.146284288747213	0.153713400195753	0.163445448747938	0.172146890785066	0.144884537716763	0.179133153737135	0.16876525219566	0.124497267018905	0.143942625823002	0.174672189051961	0.139138750242817	0.125494144593469	0.201567896044907	0.240108207437981
S3	0.0783966760753754	0.102282387434346	0	0.144767111035047	0.112429801642599	0.126023189271199	0.152332387465576	0.0849444628010386	0.075319847170423	0.124103762713156	0.126115631552549	0.147766488298868	0.10815809379019	0.177424845362177	0.0846958680174066	0.0854710090387314	0.120887645776169	0.178469817907444	0.151441068982554	0.168177494177073	0.102351094535349	0.105442914080521	0.118792703805561	0.178052578421348	0.162900164209971	0.165377367506163	0.077727718755602	0.0827445863488984	0.117745232820258	0.17089392310676	0.175070690237783	0.158332391213236	0.138373602981638	0.155810215996387	0.155897036787656	0.194883944337254	0.164003850096096	0.113181832093587	0.141239938313516	0.0899706995444719	0.193019483460015	0.143683412669215	0.163139389843467	0.17645107835795	0.153683418915315	0.134273038271729	0.160604722426435	0.156729017319811	0.117441672355823	0.108510998445346	0.144110645915457	0.103476641771794	0.127035682095991	0.204241226883964	0.190363017091204	0.160633454486855	0.129224315567967	0.173123780839338
S4	0.122076903233544	0.0836640122823312	0.144767111035047	0	0.068728337744121	0.123882026159916	0.11069338581723	0.135141870794423	0.110941355990853	0.0768582616228992	0.155587230223129	0.175060696477637	0.108283015792015	0.107247412396885	0.12480082748334	0.142296778448956	0.120805197254964	0.108219930181093	0.111304879016164	0.149030698957339	0.149035695837412	0.151652811775648	0.214408004002501	0.15558660561312	0.128447925326624	0.166780241586659	0.148653434511827	0.161975116786456	0.108157469180181	0.112195572889177	0.110403566772996	0.13572275810291	0.119266782802488	0.188433596773015	0.140840187907675	0.229740930506515	0.15311564841702	0.141409207625989	0.132350488663641	0.184759016089329	0.119347982103674	0.129727126625313	0.132277409292573	0.110799569518782	0.158121897640161	0.192908927488399	0.139998838225383	0.173032587778006	0.145264300602311	0.149612835485844	0.16530866040516	0.175000733916761	0.101094379196989	0.106552221456728	0.140025696455775	0.120615940422199	0.159451692349589	0.203939540249557
S5	0.0826065475368817	0.134438559924147	0.112429801642599	0.068728337744121	0	0.130366727274658	0.104202438602398	0.158657188417982	0.122068158693416	0.0860587670573186	0.109525989710175	0.135590340780975	0.118046919454665	0.103484761701912	0.0994129290524229	0.085857018024371	0.087259892104867	0.0874691364579241	0.105945725137867	0.15634363294418	0.110965715781209	0.137175600984136	0.178775252201906	0.111210562904786	0.0889775696299623	0.127327374970253	0.0984510296383696	0.155629079093741	0.061330456796038	0.0914460283860265	0.10470087738968	0.1296577949143	0.0690818670092861	0.134993213612251	0.0837695713738734	0.167998231104454	0.163756504532483	0.0949894409677957	0.143113768340892	0.149578481935342	0.114705880515853	0.0751049813272838	0.138894527729249	0.116853289727227	0.158013215498573	0.169689675009166	0.0956415338173228	0.13036547805464	0.104533481907234	0.116352352499908	0.149692160957002	0.174864568934771	0.053718959224834	0.100257401784761	0.131625941053055	0.120318626057855	0.120742111644042	0.159546008460967
S6	0.141359238825258	0.0663017278586683	0.126023189271199	0.123882026159916	0.130366727274658	0	0.0545165862064873	0.148379230717821	0.0626333932750739	0.0697633165292421	0.147610335796587	0.122341737877413	0.0491780444584912	0.19175152514149	0.107780829344678	0.146453558059687	0.124021314191951	0.185150021955042	0.0902611431987153	0.117624683088497	0.119331117633428	0.166803976767006	0.146259928956858	0.155792102306123	0.180098800811243	0.172198733415824	0.111747102902625	0.187939530255797	0.146933883156704	0.207876457137075	0.0732773724405824	0.07992197371766	0.175804606998505	0.195878323471782	0.144461052130576	0.200424859728207	0.225298704121614	0.126041927571473	0.200297439286346	0.129091898246033	0.21150856434014	0.136719635677474	0.108748974858823	0.0840843748184727	0.165950134884531	0.0996452839758176	0.156314276273752	0.154577235838373	0.11028676470129	0.165843326572971	0.189870199794004	0.158510405065837	0.132981344772857	0.203898315988954	0.101708995445968	0.0816658848631386	0.204391757896164	0.20968033084343
S7	0.125759603847348	0.111562842949933	0.152332387465576	0.11069338581723	0.104202438602398	0.0545165862064873	0	0.159530393210739	0.0949788225976406	0.0425709197819611	0.121427308824053	0.0954816336549867	0.0781081062511594	0.179567257693478	0.0762573867941204	0.117139985721415	0.0951062430395022	0.152298658525083	0.0601343286285626	0.073474124593457	0.0871031149925765	0.19002260463623	0.149843316579211	0.119717751229076	0.16005818866845	0.149657182796491	0.128127500391943	0.199396751653187	0.121952605841728	0.164440452492475	0.040958176738399	0.0451892849402155	0.144689659393916	0.163359252566679	0.108365464313219	0.160031955048067	0.206294944593969	0.103500376952141	0.165568498168956	0.147130010699569	0.16807255969554	0.0990862580176502	0.0708107875145456	0.0509944103650283	0.18950105527861	0.128666538829818	0.120239925196705	0.121895766330897	0.0981024972532775	0.144598466332584	0.15700134728379	0.17556538136501	0.096697124732745	0.170023841364048	0.0823542050931949	0.0509869150449188	0.178892054273613	0.177143770858071
S8L	0.11094385443089	0.113676523220814	0.0849444628010386	0.135141870794423	0.158657188417982	0.148379230717821	0.159530393210739	0	0.0988526538742373	0.151891412799134	0.149384852832513	0.171059444759179	0.131673411413749	0.157822084835781	0.134238684721227	0.115477273877123	0.139274915224807	0.144371108289262	0.175262445510584	0.201281824660727	0.121085647149061	0.0816577649330199	0.120669032272975	0.154599721798702	0.169414846605151	0.19082273005792	0.137005707061653	0.0920600200249969	0.135342995217361	0.144752745004838	0.193100682761201	0.176247455494975	0.142359864059878	0.160068807038605	0.154298035164294	0.180006983139902	0.141812705691884	0.157790229725315	0.139447307587325	0.13228677844271	0.170181243086348	0.159321148857682	0.170063816404632	0.189045714581958	0.116517874152326	0.115363594855462	0.150028825751921	0.154149377982122	0.149941380350644	0.113261782174755	0.140066920716378	0.110331112011938	0.130416071465379	0.147685288997682	0.199085071258633	0.183491682380814	0.124823313443669	0.166105662776804
S8R	0.104387323165099	0.0819344671670626	0.075319847170423	0.110941355990853	0.122068158693416	0.0626333932750739	0.0949788225976406	0.0988526538742373	0	0.0796458960936265	0.140673417035239	0.154155624082214	0.0506571209601005	0.19460849132323	0.118093140595341	0.112648415145793	0.121601575016599	0.176868942454055	0.109902629545677	0.12810813748166	0.118024433494337	0.122973843206648	0.141762736891154	0.157291166328024	0.164765874307229	0.179285558579362	0.119699637538812	0.14449415646106	0.14202944536505	0.187973883806298	0.114517872903106	0.125092520357602	0.152699033540933	0.173673437647369	0.14933675786181	0.193837722571969	0.174838959924397	0.12048664615031	0.179305546099654	0.130317383083937	0.224485461889733	0.147225576030966	0.141080038151179	0.119103759590106	0.167675307729736	0.114887017418499	0.157793352775361	0.166513533112763	0.134381720413317	0.13256535450678	0.17893702619427	0.153542257053252	0.14595824232245	0.198009492822919	0.122326122627185	0.1291649776171	0.163006347911523	0.187475445019016
S9	0.0866240391155772	0.0915703257778425	0.124103762713156	0.0768582616228992	0.0860587670573186	0.0697633165292421	0.0425709197819611	0.151891412799134	0.0796458960936265	0	0.118601573142769	0.0982024348547376	0.0713160970119282	0.137016325431809	0.075524094643407	0.11098632791151	0.0977883184186873	0.161462936578974	0.0572036584657455	0.0775116036924445	0.0863898103621551	0.178927032434124	0.151971987490311	0.132125004450346	0.132805204750284	0.131567227712197	0.120237426756669	0.196448592410114	0.100758339012079	0.161719651292724	0.0698513865405288	0.0675728092272387	0.136819573278934	0.181686559454441	0.115491015297324	0.167116281771569	0.182267446762927	0.0794528916008068	0.168545389472448	0.142491656771803	0.186627224626624	0.108271772811851	0.0751443317578587	0.0731043554680546	0.202906435294463	0.145817080460388	0.127324251920207	0.125568473184555	0.092124979465946	0.102027546550622	0.182155641571294	0.190704678766195	0.109948850686353	0.167303040164297	0.0782117915126743	0.0627320816565157	0.162493543094031	0.195488566826088
