S1	S2	S3	S4	S5	S6	S7	S8L	S8R	S9	S10	S10L	S10R	S11	S12	S13_T1	S13_T2	S13_T3	S14R	S14L	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38I	S38U	S39	S40	S41	S42	S43	S44	S45	S46	S47U	S47I	S48	S49	S50
S1	0	0.232850825058508	0.180832213114116	0.199608320282999	0.131254789348619	0.430823842001882	0.107053844260636	0.188268322134972	0.2447877682532	0.128508923298676	0.185968549850512	0.163589947028944	0.141394233753285	0.155181051223841	0.235851384482737	0.210707980988027	0.131144308162501	0.174171746275023	0.215404364407532	0.303729385510705	0.134825416153332	0.226110683791658	0.114033128875252	0.230179553841295	0.325458831031099	0.178291515526597	0.18611587986087	0.234442128608665	0.180078432317323	0.24446880193795	0.23665574718958	0.119534034245637	0.115962019950257	0.159299435971396	0.158698427128523	0.264214206034635	0.134495021336237	0.329051429749182	0.200386108938988	0.236069488865154	0.25646749220843	0.264827422371909	0.226987724677158	0.409440916677783	0.220211776759877	0.242979813982187	0.272847214890903	0.407725702899877	0.246921179993611	0.133183069037208	0.215532307468619	0.209780376440935	0.273046482798101	0.208895107003218	0.205662883395706	0.18877192545643	0.185854294292458	0.109026672025171
S2	0.232850825058508	0	0.318858407897979	0.15277306912166	0.176558690157341	0.483925953249947	0.213867930588813	0.176029901515454	0.179706490071576	0.228295583305185	0.143985653145983	0.279552355876895	0.147722601864604	0.143306145531613	0.272639824887551	0.117648107089499	0.159686908123941	0.114164447413543	0.387499575052042	0.393878536721035	0.194276697386585	0.366366992047019	0.278407216702609	0.300662316617333	0.429286147112983	0.238427905085129	0.233801998927648	0.150400290053474	0.221448709444667	0.112183619889934	0.22498423828244	0.196685167847473	0.181282858248575	0.200545252778041	0.190535669055141	0.141299173108955	0.23537014521903	0.330962106289719	0.286994663400681	0.160971162977153	0.383857723011684	0.255768979187792	0.156441622805708	0.403514843072295	0.123943464385424	0.202640984345773	0.435859343152387	0.465075955669209	0.427893684732343	0.145817460991359	0.323598384995264	0.253511156855777	0.231762869023295	0.23232119086449	0.212540216809893	0.17205810174056	0.112611209701479	0.20551037127504
S3	0.180832213114116	0.318858407897979	0	0.306584918653527	0.248380265406095	0.411940126231102	0.239164561778032	0.296568192168819	0.339459457027791	0.259783540126554	0.274793795457719	0.226123180058911	0.229894718268786	0.267819779722557	0.249431749020044	0.292854280817513	0.235428976007041	0.2653146870481	0.127626787679149	0.292686622286115	0.241066603557992	0.112888023179164	0.141647445200225	0.279754796961674	0.335941771213218	0.303908939861586	0.137945688909258	0.341225178638771	0.311557654547709	0.33556501504748	0.353383687561077	0.214593423788109	0.179696858326422	0.240645723887363	0.207851677300555	0.351344407642317	0.234246196336575	0.441821734314578	0.112843835503347	0.325767323830521	0.123143296251381	0.383838359205633	0.321636207227518	0.515357451327568	0.325276687886755	0.337995137786458	0.137742054099774	0.380432558079231	0.153416407338536	0.24102382883023	0.0849618509867782	0.211300311994572	0.367210637893141	0.304810731588811	0.318020554308957	0.290529185922726	0.294822943231274	0.176281895543302
S4	0.199608320282999	0.15277306912166	0.306584918653527	0	0.089801799970794	0.442726289540845	0.171404099910718	0.0760389820727507	0.132282532071123	0.217739006956462	0.153672687646735	0.264236576703193	0.145619874858268	0.171453254445916	0.293730737155416	0.0967301825095214	0.127478311168105	0.150691490426199	0.355595777514895	0.360006842800174	0.170515733820416	0.309461048553353	0.241287486346533	0.282934742795505	0.365617953471686	0.242647172112142	0.25413532398535	0.17658455774021	0.213377595500317	0.168812000275117	0.244343005456831	0.178629201242911	0.17671263789429	0.194762397997638	0.206443040066738	0.177222053703812	0.212768331110942	0.354460457472573	0.276772829876476	0.222837205541547	0.343062695611309	0.26662372923239	0.227059422626437	0.427522580855786	0.193526070610806	0.253675301576832	0.406511741724467	0.443662190543048	0.393185157930564	0.168054591050535	0.293986354099789	0.270170783229529	0.265529356411325	0.20923486303069	0.238560048738214	0.201143505157394	0.146733913324016	0.180875371968437
S5	0.131254789348619	0.176558690157341	0.248380265406095	0.089801799970794	0	0.445344130322555	0.143240492949692	0.124120006212223	0.175673890538683	0.189639860734324	0.157511683672754	0.233926976713563	0.142509626745046	0.138843669775509	0.266366677229852	0.117543343033554	0.0825741933800824	0.121985769497522	0.287583072744685	0.335251453379371	0.134808294146774	0.249403085522095	0.170993431066873	0.264976969295923	0.350403011126625	0.189740024997822	0.222518543669318	0.187068302579837	0.15340925616768	0.182934532652768	0.223086872680047	0.119334261895505	0.128608658420439	0.171087591434687	0.176150269880577	0.195751816593586	0.154595382353404	0.331452964877341	0.247311919409069	0.20550956363789	0.294762187530151	0.242442680345518	0.213762915643652	0.406052164839478	0.194314329861984	0.234817570897242	0.344199633838472	0.430218922624625	0.322531550622136	0.118426419394466	0.252106983212588	0.240444863359804	0.243080427342226	0.187872915637753	0.210545263632274	0.17447146379485	0.145424867479835	0.123345515229881
S6	0.430823842001882	0.483925953249947	0.411940126231102	0.442726289540845	0.445344130322555	0	0.387241946927541	0.435646253043238	0.422910958246347	0.43423475314332	0.438296772810714	0.433182101901394	0.412471219383609	0.502332576864247	0.400054277758554	0.470919715887581	0.460973236461855	0.49855474043427	0.447648068885796	0.360093903272974	0.41601086163356	0.39225333260189	0.449849523094925	0.384365259204976	0.313566749563149	0.499320250346197	0.411242907090895	0.501341763180226	0.511134058324301	0.530056989632553	0.552477403885007	0.44693581241419	0.470939016808708	0.447722315881561	0.430632912405521	0.499844618527188	0.477195088955634	0.603906983108736	0.405977981626766	0.52883962654852	0.389363842486569	0.56791410640997	0.515759704185288	0.665061154246292	0.496640818116792	0.543650846290863	0.466509294976061	0.306968358937217	0.428485657664921	0.473496434593692	0.378647399331783	0.397138229169623	0.589095419609239	0.381621248129416	0.52011592382435	0.478434497372288	0.480048370962306	0.439293395790234
S7	0.107053844260636	0.213867930588813	0.239164561778032	0.171404099910718	0.143240492949692	0.387241946927541	0	0.150488267071629	0.206930241610893	0.15780712836658	0.166978922970773	0.220306361354277	0.138595573062671	0.195283403043704	0.244210233031551	0.190981560491788	0.171524811089897	0.20915892157803	0.270399906335942	0.278046643760656	0.152485944637241	0.267684225734767	0.19725753108739	0.234159403415907	0.329334804134375	0.230997308235677	0.203570313959055	0.240599665336781	0.240868025964483	0.243962546095955	0.24231458873752	0.119742797597921	0.163132202399267	0.175176617460757	0.176412698964658	0.247495308395188	0.19531578327092	0.338460844011066	0.224571668363774	0.217927023397978	0.305683316138043	0.274286444035895	0.20108768101051	0.414346640499852	0.187407276212623	0.230193060221787	0.352531114398092	0.380191538046465	0.334975312815733	0.160187044812239	0.233920152107017	0.228433818728888	0.309737431796799	0.206147189652836	0.210666676116724	0.162542683295248	0.188768222497786	0.157340663734288
S8L	0.188268322134972	0.176029901515454	0.296568192168819	0.0760389820727507	0.124120006212223	0.435646253043238	0.150488267071629	0	0.0937180504851978	0.21302953198224	0.119166515803847	0.285278054934798	0.141399824187943	0.191138807494775	0.25108248119683	0.112814907126479	0.129986090413455	0.164081868085371	0.359607346921698	0.346005427143013	0.143030379144116	0.312256794550216	0.241102381048309	0.257326477970486	0.356790542479396	0.282898018920647	0.224071103503111	0.179661540001755	0.260884915608173	0.190459746948251	0.282799340107672	0.169443923397214	0.148467784059947	0.179483943419106	0.172453354226382	0.188214892905601	0.250579062102247	0.395229335963978	0.254549867716245	0.241850484786123	0.358316266536613	0.312687921342653	0.244668527391218	0.465060940676801	0.207570505994991	0.27638812196613	0.410785446822321	0.42553966234234	0.396221790691054	0.174532720783428	0.278105359739259	0.24367486411812	0.301844289330762	0.17180600701633	0.264884349027844	0.229476324191564	0.154527343491162	0.156914858935969
S8R	0.2447877682532	0.179706490071576	0.339459457027791	0.132282532071123	0.175673890538683	0.422910958246347	0.206930241610893	0.0937180504851978	0	0.242259973553307	0.125199490620145	0.327543593233975	0.170600588976421	0.235452122045801	0.244872219920986	0.143135115251937	0.185463007959454	0.174754079528691	0.406584184607275	0.363968398565857	0.189791329955452	0.368604505413032	0.287377024338144	0.236820635853801	0.348570740717377	0.331843604326248	0.245433179987415	0.18505313164596	0.310403934427471	0.213556824430689	0.326057041668937	0.214494738686474	0.192128869041672	0.211682008303267	0.19498282841657	0.168551066510215	0.298699522720175	0.437365325615336	0.293171485647294	0.263211136336257	0.406695811300069	0.355891805520403	0.261960596444104	0.504201088048611	0.22930012433932	0.307679835068491	0.460307537275629	0.404270551890256	0.448407944698194	0.202559651145132	0.320925755193538	0.241261186702963	0.338144848144521	0.161538726039196	0.305667095007422	0.259535086184099	0.179556951259163	0.20347965523954
S9	0.128508923298676	0.228295583305185	0.259783540126554	0.217739006956462	0.189639860734324	0.43423475314332	0.15780712836658	0.21302953198224	0.242259973553307	0	0.196176841014796	0.238858109423977	0.165688687120942	0.216061388522945	0.206927565107103	0.234965860505934	0.197394919907609	0.215950510992576	0.311041196013836	0.337393806916326	0.152133859785062	0.285806335977959	0.203308116641494	0.253868991385301	0.36810813393944	0.255971768136334	0.213352557123633	0.220988265663986	0.221312894108516	0.233473917876363	0.290866624003443	0.182113448230451	0.185331143698863	0.135240814385451	0.184926118093453	0.256494798694239	0.22288407901444	0.374254895171483	0.244116324000395	0.250904785674296	0.342340914639596	0.300215891943189	0.234490659603325	0.450666462771088	0.217218442424487	0.261552834363838	0.369457371347149	0.411134403239578	0.325496486906673	0.167848299109555	0.262025961667009	0.232059869778937	0.294563995468676	0.2057635940319	0.263478513168178	0.211305945885974	0.182288774138063	0.173224961928184
