bm_700109181	bm_700038583	bm_700099010	bm_700038015	bm_700033734	bm_700024454	bm_700110295	bm_700033003	bm_700110762	bm_700016040	bm_700015137	bm_700108103	bm_700016632	bm_700033460	bm_700023288	bm_700014607	bm_700014517	bm_700024550	bm_700108604	bm_700108226	td_700038581	td_700103608	td_700110095	td_700103490	td_700038437	td_700014409	td_700033454	td_700023286	td_700103566	td_700038686	td_700102525	td_700034087	td_700024452	td_700033732	td_700101082	td_700033136	td_700016125	td_700021312	td_700016301	td_700095473	akg_700015140	akg_700105102	akg_700014606	akg_700038016	akg_700033735	akg_700015272	akg_700024551	akg_700014518	akg_700038689	akg_700023061	akg_700016041	akg_700099011	akg_700106863	akg_700021315	akg_700016128	akg_700014418	akg_700016635	akg_700038584	akg_700105978	akg_700016304	hp_700016347	hp_700014734	hp_700038014	hp_700108102	hp_700016629	hp_700101645	hp_700021313	hp_700023059	hp_700038582	hp_700024501	hp_700016126	hp_700038438	hp_700014974	hp_700110761	hp_700110594	hp_700033137	hp_700014412	hp_700038114	hp_700038217	hp_700023497	s_700016036	s_700014965	s_700033448	s_700110357	s_700015191	s_700014501	s_700033134	s_700103488	s_700014403	s_700015125	s_700024087	s_700014559	s_700102523	s_700014611	s_700108222	s_700109321	s_700038579	s_700108477	s_700033730	s_700015991
bm_700109181	0	-0.139710241369732	-0.198969168993365	-0.0656630275228728	-0.143113673467367	-0.100286860032437	-0.295680836595416	-0.124492935514157	-0.30224196956979	-0.0435735672000298	-0.0439544161944693	-0.240566824470305	-0.119778532809418	-0.116834101936212	-0.0981156031148681	-0.0488932036125672	-0.0819526821729764	-0.0960861250036804	-0.0307620579501378	-0.273140397304618	-0.286476130356941	-0.21908607870157	-0.0822941546250772	-0.159692487609966	-0.192363388433279	-0.188942840786386	-0.160015200869488	-0.110437934112781	-0.216641529501666	-0.138195110760269	-0.141227536685487	-0.109309118969141	-0.134656805876553	-0.126732791410818	-0.0789125258432986	-0.149414511921319	-0.176224177312824	-0.138206175617462	-0.137461359515937	-0.0997664383727319	-0.0493348270298859	-0.196392614156653	-0.0784998860122243	-0.113930029122604	-0.112819311011194	-0.0868434722393289	-0.134683688800652	-0.115574251234294	-0.0753476866963252	-0.0479420006400724	-0.0679126656572985	-0.134736354600352	-0.130236382543671	-0.0758715548429606	-0.189512064822535	-0.120450910139986	-0.22182572778062	-0.134247558875808	-0.159807280758529	-0.0788868497902075	-0.108363649671875	-0.0812179361957006	-0.0878735614177241	-0.158634070836045	-0.0701480663473217	-0.184528453436986	-0.133871989836245	-0.0697846376924608	-0.214592195125223	-0.0727356005324755	-0.202823083524402	-0.145653911298452	-0.0971832289878085	-0.219401765630261	-0.108214645151381	-0.0895265342381806	-0.0959278559582472	-0.0865853660284994	-0.0805953733537559	-0.0796621416310839	-0.156324503316206	-0.141417894656817	-0.16255982932087	-0.111744253556375	-0.121747990585291	-0.118307091449493	-0.114682753786466	-0.139028087708876	-0.142670879768345	-0.158342055131882	-0.152041445687184	-0.102066559519007	-0.135000581001714	-0.186221696986097	-0.132767443477291	-0.0996585211332363	-0.294214392841191	-0.134798991769937	-0.173082637452122	-0.0867577882567367
bm_700038583	-0.139710241369732	0	-0.216034280375885	-0.109888736412457	-0.114764074586484	-0.0997660088918139	-0.273148400494327	-0.13536586173642	-0.299008174435077	-0.150976855634506	-0.142145567128776	-0.207450804516434	-0.0991707816298021	-0.112989622341767	-0.100786653315609	-0.129051566089382	-0.103554601378829	-0.135294224895911	-0.130646966924913	-0.267838119499812	-0.313233601855317	-0.228200780516096	-0.167529478455307	-0.153043355605725	-0.24744029438025	-0.190546188530433	-0.199272218885936	-0.14553316972738	-0.24482789736167	-0.160381166516421	-0.147912588699912	-0.171691190577017	-0.190731978587673	-0.165101509709896	-0.173594087366193	-0.183505777746423	-0.196001303371002	-0.182440524243379	-0.20959805898225	-0.193245761061545	-0.139324417416218	-0.16045373073089	-0.139709008378467	-0.143444571781046	-0.100253572708984	-0.122727084699755	-0.120751679543184	-0.111321488165089	-0.13464219299712	-0.120048484140824	-0.131750787079454	-0.134552553987243	-0.138600848631259	-0.133040985166862	-0.143426495090545	-0.0996602265546888	-0.16941947407602	-0.105961125310898	-0.134424192042621	-0.155886198435889	-0.138309379450502	-0.180628206736444	-0.165577888591488	-0.157385405767936	-0.135069822390593	-0.161559035862562	-0.155973812996516	-0.145922242623634	-0.219305322496382	-0.140306249191943	-0.214651966251509	-0.169815920286	-0.14036066501605	-0.213546494658372	-0.155966974208735	-0.12980529032927	-0.13591344038189	-0.112763149322642	-0.174330450501934	-0.143098044453481	-0.204662199028275	-0.193069676546561	-0.203926961554461	-0.145555939559026	-0.170690604300669	-0.179582828679616	-0.171104229759062	-0.218491820808729	-0.192537070421901	-0.205728113405562	-0.231890798573725	-0.182921503407519	-0.160888649519993	-0.205224082717191	-0.226346966526136	-0.117868945213284	-0.30955844215976	-0.188774545069293	-0.179361137259014	-0.149440018648129
bm_700099010	-0.198969168993365	-0.216034280375885	0	-0.199123162733068	-0.231886201611571	-0.224608342894953	-0.282405473857234	-0.22085267583218	-0.250260130768005	-0.184326822090093	-0.19563113143406	-0.281190314499392	-0.214965796737077	-0.18066265094298	-0.195369130685726	-0.214379289408035	-0.178508085003554	-0.207785959488881	-0.195574430808148	-0.294633237566212	-0.180192627849891	-0.14450226747732	-0.157033431072816	-0.141386719356157	-0.142060490050994	-0.125337853181353	-0.20043802636507	-0.164403263482556	-0.153976747347954	-0.16817613789719	-0.162328316013122	-0.174329328331963	-0.190365035577708	-0.146026031093065	-0.141447366322654	-0.138804512448744	-0.122804056534771	-0.139630646560988	-0.122526857921772	-0.12952484746878	-0.212670214844687	-0.261136519130842	-0.215839212738859	-0.223824733178241	-0.225389319193511	-0.23036644083806	-0.226022785916919	-0.232176005267749	-0.177987674926923	-0.215651619951599	-0.200649350500463	-0.170189209775125	-0.210697471788684	-0.220628722116023	-0.211656390809575	-0.217540687615434	-0.276164023133981	-0.239110225690874	-0.251909826485776	-0.198621307517849	-0.217975396253032	-0.14303977231966	-0.167957786044802	-0.197015448472081	-0.174243848324619	-0.236883439200777	-0.138503040106619	-0.165181242446136	-0.153839076536942	-0.210985685476436	-0.171840787797483	-0.125762679155079	-0.167106341209143	-0.180305528493813	-0.195919469084425	-0.185421729812966	-0.165726781903629	-0.17769169823633	-0.156344219710313	-0.167493635547098	-0.161698239787023	-0.167640709453789	-0.203359754403004	-0.190637503145946	-0.178613591262966	-0.194173802649163	-0.173904921572018	-0.194307703222981	-0.169326996467181	-0.163366273426322	-0.225464876928599	-0.150328037762876	-0.185697193951243	-0.183200059415338	-0.162120274147465	-0.19287845266778	-0.211293449891235	-0.196076600989493	-0.15573835897243	-0.181515953195731
bm_700038015	-0.0656630275228728	-0.109888736412457	-0.199123162733068	0	-0.126142000009574	-0.0759055600338507	-0.273276998776873	-0.110559563539909	-0.289702524267312	-0.0827417622842345	-0.060025629773734	-0.218196971540833	-0.0995806717282606	-0.105805658911659	-0.0687837157037271	-0.0563929399404684	-0.0617770933998327	-0.0686407099473633	-0.0580906043836614	-0.264960665416121	-0.291958520640202	-0.215734127804677	-0.112951187323695	-0.142811622809401	-0.192939334967781	-0.17818755498537	-0.158058148827465	-0.0933776197242623	-0.216906806696127	-0.129006264937033	-0.129569482226494	-0.118858328932091	-0.141682096549467	-0.125143836284392	-0.106676628788726	-0.143670750891305	-0.167702816648307	-0.131960020651241	-0.145142662011341	-0.130539046514471	-0.0653025995980252	-0.178466569660159	-0.107861040132114	-0.0863252812159503	-0.0884190994005982	-0.072593836912986	-0.113895407642755	-0.0963898986590927	-0.0703513327690934	-0.064080265638727	-0.0788641160038312	-0.131907727303074	-0.110152143825684	-0.0697410858656844	-0.176104063725027	-0.103100010515186	-0.202820718548599	-0.114536365792371	-0.14239777598027	-0.0847857871762184	-0.104575379969554	-0.116697632552102	-0.105493356146449	-0.144286294332545	-0.0770173352756915	-0.168909623376469	-0.12149320449607	-0.0805103173782431	-0.212037677065636	-0.0894810308898989	-0.197336278357742	-0.135554920951734	-0.0942197419197058	-0.202488715291896	-0.102609302140875	-0.0744216442833324	-0.0867115605025055	-0.069050681876753	-0.108476997021215	-0.0852790897966056	-0.159189950583513	-0.139440136291584	-0.16293057879583	-0.0999734587539151	-0.124021973001683	-0.136656216461282	-0.123760490412161	-0.166958938638195	-0.1408002033183	-0.154936209654972	-0.185428927969552	-0.120027650773158	-0.130448142617232	-0.185684176407796	-0.16622797614484	-0.0865911233826555	-0.295955253109883	-0.140450906413585	-0.173331995920176	-0.104239826212214
bm_700033734	-0.143113673467367	-0.114764074586484	-0.231886201611571	-0.126142000009574	0	-0.105286858888347	-0.258721274862941	-0.0689389900848817	-0.282442690687069	-0.163361239879317	-0.13274744885093	-0.164074501827126	-0.0796711228029006	-0.148485742946992	-0.101318956984055	-0.125449064780931	-0.125221848360225	-0.132421626355011	-0.152060725284684	-0.199583193988423	-0.326372742326721	-0.247051764844328	-0.202113186183281	-0.18545466629378	-0.260366827489913	-0.184148045135525	-0.247621742250933	-0.177978718325002	-0.244429131001806	-0.201855501708308	-0.161519831389955	-0.212953686754558	-0.23825307372436	-0.189215584151426	-0.193852999369938	-0.214764365881503	-0.205637760344287	-0.211237027417661	-0.224161460715823	-0.215550701258427	-0.116522854790656	-0.090948804830978	-0.186239979687584	-0.17898785790769	-0.0854462833396082	-0.121378672926705	-0.121051194207243	-0.0793882202435189	-0.152831616014466	-0.128550195571473	-0.144157932350072	-0.12785309500894	-0.15352773704021	-0.112219603009494	-0.15889237062082	-0.101379024770253	-0.111294316400757	-0.0597595786118445	-0.0731255322419203	-0.138650538734025	-0.0838152253902302	-0.202007593543754	-0.199615920283183	-0.106294861569444	-0.151666293207342	-0.112618487885044	-0.175974307946042	-0.166975166409847	-0.251550078111075	-0.155957442254766	-0.18583538155671	-0.19358110421589	-0.11780749609503	-0.179280819611987	-0.183115707393347	-0.103658901822902	-0.116991531289336	-0.157016278659857	-0.186773248300172	-0.167414497154422	-0.239772682014864	-0.235712197000373	-0.25315305379417	-0.191639257480317	-0.220023778383371	-0.227777418608763	-0.219726275491742	-0.262739963417583	-0.224846820239742	-0.241306230183095	-0.275990060440161	-0.217654522219771	-0.213545727422292	-0.24488141275423	-0.255559451423577	-0.167634858606994	-0.32110024182172	-0.238259114321459	-0.210713996913858	-0.198677906908531
bm_700024454	-0.100286860032437	-0.0997660088918139	-0.224608342894953	-0.0759055600338507	-0.105286858888347	0	-0.266676373901342	-0.104229436070917	-0.303095259141331	-0.118074266920678	-0.0931320906587754	-0.198817075491561	-0.073262750242078	-0.127001914125366	-0.0663203854135391	-0.0828325037447964	-0.0909225362891894	-0.0744211198303189	-0.102138833036656	-0.252479184641295	-0.319437630942729	-0.234572607138285	-0.143586991622994	-0.167972657933377	-0.216457097461544	-0.194545244177155	-0.187084526736041	-0.110387850888224	-0.239435439990219	-0.154728815427197	-0.144148039300279	-0.147190235641371	-0.172575720217078	-0.150205398151275	-0.144106188528109	-0.170845669384976	-0.187717455025932	-0.148206329819093	-0.176700663356619	-0.166904293869252	-0.0795525922787342	-0.158168417811239	-0.125507104609053	-0.106211986428931	-0.0640744772529853	-0.0560871762472148	-0.0919074515735554	-0.0632538175042352	-0.100910115626504	-0.0745746279069217	-0.0969681874524102	-0.139566346617838	-0.126551487031032	-0.0811702922576257	-0.1808572740449	-0.0845167827846398	-0.170183322503466	-0.0888554531853429	-0.104153609279396	-0.101015376983092	-0.0974394551402844	-0.153120000280282	-0.143248930153299	-0.146445328635281	-0.103326104438154	-0.14219350214723	-0.132536644799155	-0.123007301552038	-0.232908510523027	-0.101883652357459	-0.207412184024374	-0.157001789272482	-0.105601391911738	-0.210311026457237	-0.131072076631095	-0.0882618182561049	-0.101075389825007	-0.0976607449281474	-0.143884918710116	-0.106547932270581	-0.191034487680557	-0.173695081843623	-0.196882671716329	-0.124666106882939	-0.159709235598086	-0.17052848662902	-0.156874282449214	-0.207641153519761	-0.173755433610698	-0.183577272482511	-0.221967206467839	-0.159147310285871	-0.151687520449108	-0.202867962770123	-0.205462891237838	-0.109254947582921	-0.321954366559225	-0.166518874082423	-0.199007756721796	-0.122066536364405
bm_700110295	-0.295680836595416	-0.273148400494327	-0.282405473857234	-0.273276998776873	-0.258721274862941	-0.266676373901342	0	-0.238571423742522	-0.275049562340204	-0.303395270379488	-0.292818362554806	-0.226661777172596	-0.268817098691218	-0.294948422568344	-0.242345271054441	-0.29245107594573	-0.265024417811538	-0.263914906573291	-0.286768919586506	-0.246220321803349	-0.375098961269763	-0.294258092386119	-0.274433537261283	-0.251938360278706	-0.338379278197321	-0.248872641956469	-0.336381824685155	-0.258317205766385	-0.319702714104957	-0.276732422007206	-0.223794504398153	-0.29812265181454	-0.307577953894859	-0.278616882973051	-0.275649346072128	-0.282385516822336	-0.285656761660687	-0.293064874285117	-0.290456667103661	-0.294670871693178	-0.289455007117715	-0.242872420530211	-0.321639335175238	-0.287067217545374	-0.268929529256886	-0.280049903945249	-0.26490506438158	-0.266391639541359	-0.271426875243877	-0.292160594219969	-0.288750456331743	-0.278084907955757	-0.316518845412739	-0.292738155074607	-0.303157023960384	-0.272196509857972	-0.247391739672851	-0.263181190343163	-0.260369334789525	-0.283908170730704	-0.280232881010192	-0.287165311205376	-0.298757222837148	-0.23458512028882	-0.288652574420039	-0.220298048831586	-0.281033107054282	-0.300029754448969	-0.282063513977915	-0.296183038278533	-0.251963330824946	-0.288773186970769	-0.286960475860402	-0.237896750482578	-0.293386105720425	-0.263964951199226	-0.281384930716015	-0.276866435056616	-0.300954057991196	-0.276692133406618	-0.341562629204112	-0.308754047724431	-0.355555871687275	-0.280276291619858	-0.318645060685338	-0.326286360371977	-0.29947155816653	-0.3507749319638	-0.321229435889931	-0.31515825120489	-0.366168558578014	-0.29438199404524	-0.296289219290229	-0.330105142152074	-0.338168695226719	-0.270913167000567	-0.397038974798824	-0.304255187686856	-0.308114976814821	-0.27749757699221
bm_700033003	-0.124492935514157	-0.13536586173642	-0.22085267583218	-0.110559563539909	-0.0689389900848817	-0.104229436070917	-0.238571423742522	0	-0.264659163545587	-0.140564491675815	-0.115108486216995	-0.178576105187826	-0.0835129436930827	-0.143174230544936	-0.0847743734111631	-0.112475235260599	-0.111370582786091	-0.10734467417723	-0.129760213679795	-0.184841952874332	-0.311333493888329	-0.230107232007581	-0.184903652565725	-0.178412639283097	-0.235207124589396	-0.170212800911831	-0.228917626102071	-0.157969104830191	-0.223776727145888	-0.179971107969429	-0.149537225100354	-0.192298717656396	-0.214480425608376	-0.167082697808882	-0.169542975549892	-0.19037324304365	-0.18306269274243	-0.192778025957484	-0.198458129795251	-0.191976055969368	-0.10265151583026	-0.115445485376393	-0.178556439655232	-0.156038063193114	-0.0858664221246208	-0.104557050430185	-0.102754097041849	-0.0774648529719205	-0.13308440660649	-0.125457471917545	-0.135700548917065	-0.123201734761034	-0.160273423712312	-0.0969289791646705	-0.173923464845294	-0.0937198083669058	-0.141955422626525	-0.0681491403329778	-0.0773295622836308	-0.120638002881054	-0.0773341686651865	-0.17810450184922	-0.181722861209277	-0.108517487680143	-0.136795536360866	-0.119764879479581	-0.155656458861017	-0.147427426474037	-0.242347092019021	-0.146702000873007	-0.175641852377272	-0.173928344359554	-0.108965523198135	-0.164874268422721	-0.159170278754528	-0.0865472393031399	-0.0986288577177721	-0.143984692046522	-0.165774417621743	-0.149307663188126	-0.218920763488808	-0.214200785897342	-0.236080229867303	-0.172915837750939	-0.203545345646715	-0.212181146321801	-0.200204707124002	-0.246454765842679	-0.205824647100088	-0.219312149742365	-0.260025168545892	-0.192753613736386	-0.196455889348794	-0.232663222937977	-0.231606526057335	-0.144400081119735	-0.320426348869181	-0.221125598076397	-0.209519830538134	-0.169078406262155
bm_700110762	-0.30224196956979	-0.299008174435077	-0.250260130768005	-0.289702524267312	-0.282442690687069	-0.303095259141331	-0.275049562340204	-0.264659163545587	0	-0.290299653553752	-0.287080554038365	-0.244227310346684	-0.29845061813965	-0.306849559173834	-0.282283794888226	-0.305870771468535	-0.286412893004115	-0.257054634767215	-0.298224100773849	-0.234883925832163	-0.328043521123376	-0.318081525073112	-0.304127827360486	-0.286016048623478	-0.309016580323595	-0.268120510671295	-0.351028729749	-0.312381928800563	-0.270020999814147	-0.303700562383707	-0.292863766961275	-0.331161888950379	-0.332464687946128	-0.297483613296722	-0.28996438707449	-0.291254208703842	-0.289478376390834	-0.305268031271951	-0.28100333154467	-0.306924172239583	-0.299930378867783	-0.268788812629932	-0.337569110123389	-0.295583955068609	-0.288233026652824	-0.308656823203449	-0.282114325320388	-0.286515332061952	-0.26621114437771	-0.310616524985476	-0.294946489720818	-0.260211306140408	-0.326308558488577	-0.302029856290041	-0.309921738024122	-0.291758206228109	-0.285062447793055	-0.283607488900944	-0.288603719681779	-0.297666363405455	-0.298252047189293	-0.289554334826819	-0.331859405650846	-0.239189986409905	-0.31227777745372	-0.273750449057108	-0.303369620228225	-0.296497709861034	-0.308125510695434	-0.321445776118439	-0.275847425817979	-0.297972606547226	-0.287763233720568	-0.201184437736801	-0.320657565280264	-0.284511089821709	-0.291522329617717	-0.29771097635131	-0.300443992422211	-0.304457242041688	-0.317226471519536	-0.335014727835151	-0.368096819988991	-0.31236774144516	-0.339457914374468	-0.344945338765593	-0.324026328434738	-0.356982210183061	-0.332922453889027	-0.323941908636743	-0.379505466272764	-0.314526918187113	-0.32980252259791	-0.349586370329474	-0.327280119192987	-0.302835835300148	-0.38186286092645	-0.357056294121719	-0.327376400364441	-0.316844324330954
bm_700016040	-0.0435735672000298	-0.150976855634506	-0.184326822090093	-0.0827417622842345	-0.163361239879317	-0.118074266920678	-0.303395270379488	-0.140564491675815	-0.290299653553752	0	-0.055798932441953	-0.255885080042834	-0.137993702135409	-0.123047047828274	-0.115712341535449	-0.0731708203677859	-0.095489212425756	-0.106009637783134	-0.0455938720873493	-0.280815750132891	-0.272825854506177	-0.209413224321565	-0.0816368211785044	-0.156344128858382	-0.178755872978145	-0.183682379876384	-0.155904395853923	-0.111736502275454	-0.201185488823989	-0.13540068583761	-0.143894865250552	-0.107799549568646	-0.130600711940832	-0.121359731895381	-0.0720655172436055	-0.142358147892585	-0.168048728643944	-0.135557862507869	-0.125473793204009	-0.089644101887639	-0.0677800942838061	-0.21375810208674	-0.0894516382435316	-0.120012855837062	-0.125419703041974	-0.100139953797042	-0.144024377905863	-0.135867400340071	-0.0771202529408194	-0.0624368881534782	-0.0746894993157478	-0.132744719218776	-0.136162126562098	-0.0912438733847485	-0.196194365953299	-0.132196316158716	-0.241725850370642	-0.154070719810461	-0.17806280115457	-0.0900387642955719	-0.124929282479882	-0.0783084981022748	-0.0887007099056936	-0.170129172961106	-0.0734792851996292	-0.203126117277674	-0.132144787080836	-0.0677328779677044	-0.210173869545073	-0.0847370878715899	-0.197148254333713	-0.147795495205746	-0.0963969884814281	-0.215335699180278	-0.113775423915302	-0.0936769718556353	-0.096413992200606	-0.0919962331058781	-0.0713407244259207	-0.0829282482095211	-0.127593755596488	-0.132800575904099	-0.156668182038214	-0.105284944841412	-0.117263982064561	-0.110281980190969	-0.107921584738313	-0.133232287006958	-0.13843899404323	-0.14999137719946	-0.145172736209048	-0.101781812595601	-0.130068713338717	-0.188748729494282	-0.116307281402783	-0.0991399107364607	-0.289018825387566	-0.137304654814904	-0.174027879498732	-0.0826624682263631
