bm_700109181	bm_700038583	bm_700099010	bm_700038015	bm_700033734	bm_700024454	bm_700110295	bm_700033003	bm_700110762	bm_700016040	bm_700015137	bm_700108103	bm_700016632	bm_700033460	bm_700023288	bm_700014607	bm_700014517	bm_700024550	bm_700108604	bm_700108226	td_700038581	td_700103608	td_700110095	td_700103490	td_700038437	td_700014409	td_700033454	td_700023286	td_700103566	td_700038686	td_700102525	td_700034087	td_700024452	td_700033732	td_700101082	td_700033136	td_700016125	td_700021312	td_700016301	td_700095473	akg_700015140	akg_700105102	akg_700014606	akg_700038016	akg_700033735	akg_700015272	akg_700024551	akg_700014518	akg_700038689	akg_700023061	akg_700016041	akg_700099011	akg_700106863	akg_700021315	akg_700016128	akg_700014418	akg_700016635	akg_700038584	akg_700105978	akg_700016304	hp_700016347	hp_700014734	hp_700038014	hp_700108102	hp_700016629	hp_700101645	hp_700021313	hp_700023059	hp_700038582	hp_700024501	hp_700016126	hp_700038438	hp_700014974	hp_700110761	hp_700110594	hp_700033137	hp_700014412	hp_700038114	hp_700038217	hp_700023497	s_700016036	s_700014965	s_700033448	s_700110357	s_700015191	s_700014501	s_700033134	s_700103488	s_700014403	s_700015125	s_700024087	s_700014559	s_700102523	s_700014611	s_700108222	s_700109321	s_700038579	s_700108477	s_700033730	s_700015991
bm_700109181	0	0.24221273826106	0.341340598707226	0.0848384530112404	0.14284338266304	0.170661244412046	0.487510880667685	0.140670410727221	0.435335029909403	0.0467585047388981	0.0469151677363295	0.375087567044634	0.184871722630944	0.212321669805101	0.140228228498063	0.052146936012004	0.144103421585997	0.148256254956859	0.0503510384256062	0.287998262486182	0.49655639790852	0.354825574860241	0.133951741902904	0.293384684549757	0.297922119779749	0.268724767790762	0.266812926280648	0.189579469346398	0.341781984746089	0.223375841476543	0.225810554405172	0.198054285999059	0.232954438485136	0.203702851846737	0.117117268979196	0.238989755094902	0.267836216429885	0.217657920439888	0.190420213620712	0.169761894998732	0.0595388719837536	0.220625841311535	0.16581483606697	0.183866582872409	0.169370133127539	0.157514439818073	0.219148757461986	0.177714513697549	0.0915978592222535	0.081418175562036	0.0982698887392397	0.186997216541027	0.193720202831294	0.0722501931562744	0.29214798965384	0.18498537605783	0.303480614882928	0.170380153668748	0.248442447325551	0.0930529185731312	0.0969136729902436	0.134323822310503	0.144807914324971	0.228615788742276	0.0892735169504694	0.265949979921973	0.236347852179695	0.0981550657311462	0.43256350936853	0.113834902989937	0.320216054371058	0.251164372715455	0.121217702499315	0.276104669545307	0.142911136573419	0.09101082682384	0.107354020488175	0.136330317293872	0.11211567726844	0.125577267026382	0.271060221325235	0.223016352167763	0.259956203496292	0.174525939547826	0.207516304249094	0.192221574008929	0.176633184703738	0.231254527336803	0.231047478868204	0.240154750911809	0.220876107195749	0.183230225952967	0.228585573846889	0.323691848740338	0.223500077416333	0.179841247048877	0.496895309239051	0.202942322361875	0.308364467598337	0.156092409727527
bm_700038583	0.24221273826106	0	0.255394352884781	0.18608240592922	0.209700865647709	0.103697873705092	0.357516866367261	0.226303349848254	0.383478682319855	0.246211738410492	0.245308742186332	0.267697965107389	0.106470776531861	0.13262553111137	0.138829284986811	0.221382996109337	0.13658293389612	0.176314525479499	0.218379583232026	0.324040677636932	0.406920681716782	0.269274508820566	0.211916497589058	0.175953467634899	0.265222673080978	0.197613334946087	0.199619322614695	0.158227277816527	0.284930872566407	0.157804348752019	0.147640532421292	0.194515459083078	0.190685956376151	0.189555535394646	0.253045890081126	0.192735868309681	0.22809461054523	0.193656036788076	0.265681101738186	0.261094060575785	0.232523250740326	0.19857308349051	0.167288089991653	0.157316961629904	0.118830611419775	0.136777086931274	0.1129048883119	0.129343114175081	0.202404759587268	0.181917091046881	0.182884011598522	0.188547582174074	0.206625681436293	0.228903533665683	0.209623173348879	0.0984134412127493	0.180772675447558	0.15655800754085	0.159852861517151	0.29515386750319	0.241595620588329	0.267699413760383	0.215346589999004	0.215083146405203	0.208415882138119	0.16728781906143	0.153323856861559	0.214552985289624	0.288762111876044	0.180415813308464	0.231591447248769	0.168398805664158	0.232645097550226	0.251577506956565	0.176898707184934	0.219888314641568	0.229271428643216	0.163991999012528	0.226835295486846	0.189424566960651	0.271858754294783	0.215510436114363	0.216376065441083	0.149975652156425	0.202382950942362	0.190881536090121	0.196621572989091	0.234109388050998	0.218556784794373	0.209968709569256	0.220057339343904	0.226504058083838	0.15595006177355	0.228170789366757	0.264108742608652	0.123214189705069	0.406932236615577	0.184352530560635	0.238346286068288	0.17121470588775
bm_700099010	0.341340598707226	0.255394352884781	0	0.3154217368256	0.335060580997295	0.314230753233209	0.381168190390554	0.325666390475249	0.32992772304582	0.333322038675762	0.336506652847002	0.347643234751164	0.294532389464451	0.227023815072323	0.283718945103873	0.341011848231321	0.257256576955001	0.28167997986699	0.328961766594399	0.360644418528258	0.228029530889898	0.11928630531777	0.277951975582466	0.164968952679867	0.137896757282489	0.134830552204732	0.212766122866694	0.247101978487439	0.180196975059911	0.200379451936678	0.203424541259036	0.249142742426216	0.220992550748592	0.192758768519647	0.278809140562795	0.167608593037281	0.137252370831162	0.183399270918288	0.229764734744058	0.248255780788102	0.345090716305405	0.349107873786859	0.283667331335344	0.29454365974918	0.316119439767285	0.330183379357153	0.288992887886105	0.318869204741605	0.280373359902865	0.331628275653199	0.310171982563381	0.225367121130128	0.259310078695556	0.342249816006749	0.242930730604385	0.291506906612039	0.333565568528219	0.323876744108706	0.327166427145878	0.365918334077417	0.341562113815014	0.282082927218019	0.269965766756281	0.272851079504195	0.308253445399979	0.30130162928326	0.184066816848903	0.284198180914898	0.195461679747573	0.317168877212541	0.163543217152974	0.162673956774508	0.287102685821363	0.192388811510891	0.274268081234573	0.308249073645987	0.280467632938521	0.273010444296495	0.269416241209348	0.281518974341292	0.165797566549363	0.205776009063518	0.205584392308925	0.258299204386563	0.22654484785255	0.243289363387175	0.245752491347533	0.233105820652284	0.184870746153681	0.186967614308714	0.255071587246988	0.228451276032234	0.223673331359565	0.1656001740527	0.214358540192636	0.264350902148747	0.259786589131246	0.260651778254701	0.168166104221089	0.285683578674046
bm_700038015	0.0848384530112404	0.18608240592922	0.3154217368256	0	0.127962424218265	0.132586619608139	0.447421662224236	0.121661158870631	0.416524514335067	0.100576136012544	0.0925229912754862	0.332575520940108	0.146929279274211	0.161176523336879	0.0950846258299177	0.069091975930344	0.0951979865571355	0.110078382094223	0.0556832473542107	0.270560390973541	0.473312357861101	0.322343563437135	0.112898381896653	0.24803444355419	0.281211263984927	0.229849138491549	0.228675617564138	0.141799130211119	0.31725884875486	0.181457845649556	0.176280260809474	0.15862786890334	0.196870073756666	0.176854694622497	0.116128270288912	0.202544499998789	0.243221246916421	0.178306157045017	0.176355207368301	0.167987430945644	0.0871178440951224	0.196259703683942	0.13329955140086	0.124302695297706	0.140452489983746	0.123932616409601	0.184577890382886	0.156381185282534	0.0833447684766269	0.0634567110322312	0.0749449137962672	0.169357184918144	0.16173752321873	0.103369632420727	0.257469359650971	0.148841257688476	0.262636792341587	0.145927210553725	0.222651840618066	0.140584797166957	0.138079278657235	0.13965730487998	0.117976999635171	0.18842654265137	0.0579684910638156	0.221396227873382	0.183769518559127	0.104672832456153	0.387700049757615	0.0767435355990578	0.291238649222392	0.198430553883857	0.142054992371451	0.259762054363572	0.111474150238619	0.0981733911272829	0.122919222448384	0.0888877160708342	0.107637330641023	0.0812992394032388	0.255449537071247	0.191859148334604	0.221979525975152	0.124119128187363	0.169624625008545	0.160058354205684	0.140698707923383	0.215004535833942	0.206400386488076	0.20655315455236	0.207527777679103	0.157779667390582	0.18296926643368	0.279806073107491	0.21795660114641	0.121539854435885	0.471420575646263	0.160873494614942	0.268813475112551	0.113523041510066
bm_700033734	0.14284338266304	0.209700865647709	0.335060580997295	0.127962424218265	0	0.152202911024724	0.422750464341624	0.065812458789956	0.394593888320571	0.169743817417511	0.134399032640291	0.293587316569558	0.139110621092349	0.22328379991723	0.131309668160061	0.112596300301029	0.153505689516053	0.158144266466995	0.13759261137516	0.218474867477142	0.484329080975931	0.370726864508131	0.209516270705633	0.309049442419084	0.352527105420481	0.260981600209156	0.31179184917001	0.229660503719963	0.360201855988669	0.269133857310333	0.229142173698556	0.250604329670522	0.289307821728785	0.261348555383686	0.212353909308895	0.288041877899294	0.301969404592358	0.26376536418928	0.262346321743579	0.258305883534613	0.0990853093476551	0.106344928808236	0.20869746826345	0.194030442077316	0.128986491474852	0.152354789066236	0.195335701479598	0.123492353160003	0.162575963499786	0.105367901884397	0.125099055980986	0.172941066261047	0.216107810622265	0.107340156661658	0.271376594382034	0.168654508492778	0.192327616014651	0.0772364974232312	0.16388633237692	0.185855770749475	0.0917262978686841	0.226900359948627	0.214986174257138	0.14931159073288	0.140965187401783	0.164439581405333	0.245916992107645	0.189432982098564	0.399273319806101	0.137529765959674	0.242470699428695	0.262771741185028	0.134542561751017	0.225749275655957	0.199910857128328	0.114702322812076	0.148329719599946	0.183579805723869	0.195406446788017	0.173940898306116	0.333178746058114	0.28305174645345	0.299719122823982	0.216353771715022	0.260196508565352	0.24932049528542	0.239256906218749	0.306351952754041	0.289635453047365	0.294963409262013	0.295553683557082	0.253737504339289	0.263865071497646	0.348844170313936	0.303769238965093	0.20192395789548	0.491507754527608	0.249018023375898	0.339218192138725	0.194896792110407
bm_700024454	0.170661244412046	0.103697873705092	0.314230753233209	0.132586619608139	0.152202911024724	0	0.374152927484205	0.162574577965536	0.398043447741723	0.195301324230302	0.17629535681603	0.281543291616749	0.0723850080892833	0.158597943942654	0.0889330388706926	0.145841447708743	0.120776763015225	0.0985011881445298	0.155467892272085	0.295591498827777	0.460511676914118	0.310103959875181	0.184088393857829	0.227412193673597	0.303821378060958	0.230266209343253	0.247236515471581	0.14937124703512	0.309464149284271	0.204041666030414	0.161332009733327	0.196569611488032	0.224612901563081	0.214046216782153	0.211754059194675	0.225404728393709	0.261539435009959	0.195761232348116	0.246126517877275	0.24944767111406	0.149043055587964	0.136303056580521	0.18520245385322	0.108337728415488	0.0645445724740236	0.0525670360899503	0.0913159982565702	0.0635214425965366	0.150927795903168	0.10280101461217	0.122976926884747	0.191573824001026	0.23117578439889	0.162969191060893	0.241718822442662	0.0698966320490334	0.187821900636904	0.0917079894441431	0.120192356113892	0.215283817176456	0.180648078267052	0.237855579891129	0.208042756619282	0.197577702155936	0.15541389219478	0.157244459016524	0.170105402795279	0.206329902390957	0.344638528234519	0.117874099110717	0.274910074268301	0.20335632375219	0.203576071840994	0.267055579029728	0.192337501303407	0.167574983481441	0.191897113323993	0.14910482605917	0.198735993638485	0.149229823922716	0.30914040999317	0.242029119116917	0.255649543025734	0.164526559570693	0.23289800609753	0.221127003576535	0.195503153844436	0.271567922283809	0.243419038096051	0.227576930621422	0.244364899460609	0.22965819653641	0.189458439123147	0.274345706375021	0.286104685795428	0.126422482038163	0.464471679634739	0.185892375255532	0.291524627221443	0.1185380735189
bm_700110295	0.487510880667685	0.357516866367261	0.381168190390554	0.447421662224236	0.422750464341624	0.374152927484205	0	0.424897382408181	0.276758547576845	0.489580417882316	0.480430880732495	0.240856184183047	0.365425168508688	0.419294604586714	0.387912935821033	0.464600373496596	0.405155379520297	0.395277882881923	0.470213016984679	0.354658329877502	0.397274281432629	0.392896256548651	0.451201181147175	0.374656269504908	0.442358154907098	0.388407636645178	0.457030923580641	0.411122413075502	0.401185253862863	0.415057293207222	0.369802235382884	0.456163759740092	0.455378317578814	0.436467876142383	0.472410603138133	0.414706606621262	0.411372524885153	0.423253669456289	0.453058732178466	0.482301863109091	0.467766245888324	0.366215856511743	0.462197908849836	0.401495339052722	0.385423327085013	0.393782886477531	0.348361429398647	0.37549140585366	0.441240249561326	0.439878100311978	0.438723312481107	0.399649260887908	0.485409813209053	0.464541055039661	0.444248650144343	0.366164366828915	0.308734432867452	0.387635871717674	0.345136201343464	0.508515080080991	0.466923948272983	0.488455073600618	0.481106827076683	0.357680475774091	0.460991632319808	0.317614122885232	0.408777501306522	0.478784071246088	0.339605797061879	0.434815280568425	0.361376987854231	0.404364178695606	0.465234586264856	0.338042346357857	0.450946141961317	0.452509713118819	0.469227603416046	0.434940249709588	0.464740649504401	0.441773330344145	0.494969562947141	0.470374790502234	0.480366535870299	0.428551143987765	0.473054365343113	0.468587582011202	0.451996362587587	0.489082269065193	0.460891072564458	0.417127836082017	0.474527329552664	0.474303200725761	0.423135056527718	0.408321658477149	0.495389002547578	0.399324576048582	0.429452372013761	0.442224384292268	0.455090843111873	0.41828780118402
bm_700033003	0.140670410727221	0.226303349848254	0.325666390475249	0.121661158870631	0.065812458789956	0.162574577965536	0.424897382408181	0	0.389899381529941	0.161362127651246	0.131245825624336	0.309334691386098	0.153412660830752	0.229263708452681	0.124960289237067	0.11025918451245	0.155822251610343	0.13355521176182	0.128870690908016	0.213227592804387	0.475166592950299	0.355082000723068	0.195664215365455	0.304331296923702	0.335790783371088	0.244819411797043	0.305886645507555	0.21844900827626	0.344739570948916	0.254490342788177	0.219861937476431	0.245671465111872	0.278891598687618	0.246365102468084	0.191111286832805	0.272010875465053	0.287422845042963	0.249677488615268	0.239563071810853	0.243887818126233	0.0956933709428586	0.138621284422153	0.216105462271886	0.188322816407066	0.136891241137487	0.152011547635072	0.192738144733596	0.130146153571729	0.145436656143682	0.122845281141893	0.132799836931181	0.167756085974703	0.224186182370366	0.103411955915314	0.285004834182563	0.173960376429006	0.229340414108582	0.0974846801559417	0.173583786160208	0.171341138987116	0.0849359651509432	0.204757341975679	0.207221917010021	0.16559379305819	0.130210614568727	0.183527513110045	0.237597135184543	0.182891510638032	0.396522793106174	0.142122881531093	0.248312292350343	0.256599098783998	0.137377174534321	0.225000901253619	0.18721142277584	0.106153723665782	0.138190931295111	0.177912848818042	0.18184080019185	0.161192881358215	0.324735077603047	0.274305833443825	0.294186925293363	0.21133970658685	0.253026623462103	0.243726730384581	0.229593199023708	0.302901011874833	0.280389813956945	0.279075090864819	0.292686760129243	0.23740498582331	0.261528091962333	0.350336055820093	0.288773851269051	0.199997741571652	0.489124800147086	0.247173511162636	0.336471121429432	0.188706740694342
bm_700110762	0.435335029909403	0.383478682319855	0.32992772304582	0.416524514335067	0.394593888320571	0.398043447741723	0.276758547576845	0.389899381529941	0	0.425797272008921	0.412451212668465	0.273676689411585	0.385923975988304	0.417410899954331	0.380486904163635	0.425735539819895	0.388974916184912	0.359446369197407	0.428377606676478	0.299763782204626	0.342122326065137	0.370065520803628	0.415448859736767	0.380891400694944	0.377001241490777	0.361797933705526	0.3943813880106	0.413556111374364	0.29532045793264	0.379338576962306	0.362619017029914	0.42566872284505	0.409757376058521	0.393252807084494	0.420758632794341	0.37254699471004	0.376684237913347	0.378565384451753	0.407019689864949	0.436085608212467	0.419527479527377	0.365376871496515	0.446865842970179	0.378662489910938	0.394222690602706	0.416441243878465	0.369135931559152	0.387433226267783	0.383480835961081	0.421139724301182	0.404490173597042	0.349283146642483	0.458692454190144	0.409200351841708	0.435239713086244	0.380755270914855	0.337718290737686	0.383560039878292	0.373808690531785	0.468669353689916	0.415817728312955	0.43663744846428	0.447329445926696	0.316611683710591	0.43020746315472	0.3318095607885	0.396510144104376	0.431356742455033	0.348738403336545	0.414514941103394	0.331580885733421	0.380600811725445	0.402724978151379	0.261364404311289	0.42938434662797	0.396627291075857	0.41414855080047	0.409761896991054	0.412076025436937	0.41506045364386	0.436718129306982	0.435762000711591	0.445001075998122	0.400538712238568	0.438238130859185	0.425961201165866	0.41446711414949	0.433475855856036	0.414229037045675	0.367090052679495	0.423168394414592	0.437420459591532	0.41020733623659	0.389901416696339	0.443893349939433	0.397557072807618	0.408049296681814	0.438209966846081	0.429303639846067	0.409636331743731
bm_700016040	0.0467585047388981	0.246211738410492	0.333322038675762	0.100576136012544	0.169743817417511	0.195301324230302	0.489580417882316	0.161362127651246	0.425797272008921	0	0.054890547072452	0.373216900686899	0.196595669237429	0.212892026121933	0.150357046122611	0.0811862384830273	0.145906067311892	0.16791583500198	0.0724726444853832	0.298019159580572	0.4835310212987	0.347978500363491	0.12926619520047	0.287208973195474	0.281458924821861	0.272395975505337	0.265385819218868	0.192365760203624	0.325307617588379	0.223222761625387	0.226281832151649	0.199160751477851	0.231662017594368	0.203217954554618	0.105730986776553	0.237041701226713	0.259744639589205	0.218999807049843	0.173321272768565	0.153645097327919	0.0880541895053704	0.240886445496742	0.178846184113418	0.192064953559196	0.188361201797457	0.180625889165651	0.230596066098326	0.201863660040477	0.101594866015972	0.10847755328598	0.113771277350056	0.183881321906291	0.203436078535096	0.0921864335744446	0.296030569094568	0.186517883339896	0.312549450422638	0.194449750524986	0.266578399861107	0.0959241656730856	0.122449849238155	0.121236080150017	0.151209583741374	0.227621260868334	0.0979489062089649	0.269637230481272	0.2374685025169	0.0981754838804628	0.432905260137251	0.129121723566027	0.321164428076194	0.25397345540459	0.108637324086977	0.263600563790198	0.150356851673601	0.0929335509342342	0.111072299348197	0.141391831694318	0.104781125442677	0.131545613587189	0.251191526376119	0.220937740018491	0.258925015737554	0.170738184611288	0.207855837166078	0.190952492269605	0.175257156422251	0.224649282300298	0.231062574033021	0.23442564476836	0.211146128765769	0.18758602001808	0.228300630833935	0.323793599241484	0.203568826341096	0.17687924339504	0.485038512476792	0.210750987051297	0.307387886218056	0.161924174467256
