bm_700109181	bm_700038583	bm_700099010	bm_700038015	bm_700033734	bm_700024454	bm_700110295	bm_700033003	bm_700110762	bm_700016040	bm_700015137	bm_700108103	bm_700016632	bm_700033460	bm_700023288	bm_700014607	bm_700014517	bm_700024550	bm_700108604	bm_700108226	td_700038581	td_700103608	td_700110095	td_700103490	td_700038437	td_700014409	td_700033454	td_700023286	td_700103566	td_700038686	td_700102525	td_700034087	td_700024452	td_700033732	td_700101082	td_700033136	td_700016125	td_700021312	td_700016301	td_700095473	akg_700015140	akg_700105102	akg_700014606	akg_700038016	akg_700033735	akg_700015272	akg_700024551	akg_700014518	akg_700038689	akg_700023061	akg_700016041	akg_700099011	akg_700106863	akg_700021315	akg_700016128	akg_700014418	akg_700016635	akg_700038584	akg_700105978	akg_700016304	hp_700016347	hp_700014734	hp_700038014	hp_700108102	hp_700016629	hp_700101645	hp_700021313	hp_700023059	hp_700038582	hp_700024501	hp_700016126	hp_700038438	hp_700014974	hp_700110761	hp_700110594	hp_700033137	hp_700014412	hp_700038114	hp_700038217	hp_700023497	s_700016036	s_700014965	s_700033448	s_700110357	s_700015191	s_700014501	s_700033134	s_700103488	s_700014403	s_700015125	s_700024087	s_700014559	s_700102523	s_700014611	s_700108222	s_700109321	s_700038579	s_700108477	s_700033730	s_700015991
bm_700109181	0	0.316733538195206	0.412184204901611	0.172660297210659	0.274766943660528	0.178744253123856	0.792407928122439	0.245675328134821	0.35943589706712	0.06576978569929	0.0949252281546236	0.343161254969615	0.258578090460766	0.352913390954575	0.236397134381599	0.117319442749035	0.216361945328866	0.144082345120778	0.0526364439246819	0.486473928079962	0.380082645672638	0.35932203455774	0.0773402865588176	0.294992996527207	0.235438291460297	0.313516353361684	0.232233664632326	0.20267450854178	0.315976038548022	0.239185193428258	0.344491599083337	0.136241672304364	0.177342954923684	0.237988391715378	0.085278937683006	0.274093909477973	0.243706400108597	0.240995590278942	0.226457632556012	0.0913424605388451	0.0465552938285021	0.237112842655719	0.0529105799540592	0.171536913152904	0.179225347956877	0.163370871484348	0.169696758087253	0.165781530899305	0.158871095549633	0.0544374152475945	0.0979346627918986	0.227008540436251	0.155888227425722	0.134023836626994	0.305269635068409	0.188922488433155	0.342806416800796	0.187907698821093	0.191518125717791	0.143595702795024	0.241521159057397	0.0769026085622197	0.111264104980128	0.321693303078249	0.196376720104031	0.31626464705365	0.243862556820535	0.157040419296519	0.410583640836165	0.0822793202025701	0.397829447959288	0.269009528106053	0.188129749832909	0.320988966259125	0.268180331269969	0.225305116113767	0.175368872619523	0.152523855049165	0.0877604592679877	0.134876949632658	0.244900391738117	0.265470298838804	0.256303067307209	0.227378385060976	0.218002990842031	0.142959154526339	0.167075031895552	0.0924934477418187	0.183051657030287	0.255796592150168	0.129168621710223	0.126609066279972	0.282857842434952	0.281830654355657	0.135353956883953	0.258913203163299	0.392189060015174	0.269385001340077	0.380225499290388	0.139709586904027
bm_700038583	0.316733538195206	0	0.270728843914892	0.227155255837686	0.147613162926169	0.219522742063553	0.68326990955212	0.203685379940089	0.174141592734297	0.309859188996047	0.282452756999117	0.171485751779841	0.185365273513866	0.188191875819587	0.186981764103932	0.264921798993366	0.206199565107745	0.250825529958285	0.304091431464135	0.352412983250469	0.234821988566774	0.199624522737693	0.321666340201813	0.158846539925856	0.263310316603506	0.158042784449329	0.254777595413656	0.236366060446007	0.178795101328506	0.227094447880744	0.188036909490201	0.282824606780404	0.26714626754204	0.229197161772841	0.313128470811837	0.225786917702907	0.233193284500866	0.23853732311553	0.265644629524622	0.314482245401633	0.302899748448144	0.162884767729363	0.304089756811661	0.244892563488239	0.22047028821157	0.246452929340716	0.22416793489691	0.223424737621863	0.243145862349826	0.296360013329233	0.283064743648372	0.199276562112478	0.244197865827919	0.250838551985916	0.147719278474584	0.210546032172081	0.160165388978397	0.190635208620115	0.209404057908469	0.280618141293211	0.220378548452342	0.320249159077277	0.309880040379328	0.145098586428221	0.250633792684787	0.136369398364187	0.219703782574877	0.250766521349724	0.25145295512188	0.309071874982246	0.249976112447092	0.207412311266704	0.232347215661093	0.162507391158018	0.253713127808474	0.216976273070565	0.231743838355014	0.244388489805696	0.308045194833277	0.263226008691413	0.244385895460878	0.243611843468817	0.246521819577731	0.235788001621225	0.241020476282269	0.302207325495807	0.279709469656749	0.32124621716172	0.257796537126475	0.245269589249329	0.335561236635635	0.300539991549925	0.232535829228577	0.212426265345016	0.326404778018249	0.222593273983579	0.233748107833021	0.265232270824297	0.22856075636998	0.29664609658142
bm_700099010	0.412184204901611	0.270728843914892	0	0.347167199820144	0.294051897341129	0.354863678166881	0.655296134139788	0.317801084693081	0.255484879514746	0.401363622421604	0.381799697932752	0.254068721180943	0.314337451288488	0.242060277384458	0.301190861235987	0.378600801044044	0.311855007315169	0.355570965395938	0.405032609706616	0.338926001690255	0.234909061416452	0.226274420580247	0.389100575643604	0.24649313202404	0.312750748612178	0.241423648440641	0.334637647157533	0.319894840336145	0.247545537391284	0.313421788831184	0.253212715997314	0.36382300026162	0.355776821443726	0.301395302472508	0.376746360741998	0.286251493150757	0.289417512101199	0.308619856209282	0.320171224013034	0.378252260625508	0.400316794714876	0.297105761616481	0.415728613878985	0.357628288600587	0.352298867575759	0.366444749087949	0.341364312461298	0.346558263602441	0.356694980551699	0.405900318297903	0.386598871155925	0.283779487793128	0.37429187531883	0.365018049494052	0.292921421596558	0.332952468045024	0.26501908275414	0.335161827234624	0.328178396700531	0.379084152393765	0.340205689661495	0.393555207450788	0.38623031168108	0.244529391309065	0.350491270970395	0.243466290809273	0.290186680880388	0.351213427943096	0.201594977599902	0.406633440705668	0.208482039144598	0.275032306971967	0.323417939289357	0.256485389662875	0.356488026927825	0.315792201210589	0.333654953121427	0.349106045792316	0.382015911045485	0.357536069111915	0.316469408829249	0.313117202079825	0.333709613136068	0.338667503719619	0.330492674983624	0.383471941826318	0.359411410948722	0.395554661199776	0.342410585054714	0.300948858685333	0.408596404568849	0.373331486531901	0.322411957540093	0.295194799573893	0.381685425184604	0.333992075072892	0.227341783335161	0.355455519077852	0.219194484235977	0.382914658038008
bm_700038015	0.172660297210659	0.227155255837686	0.347167199820144	0	0.188836863428643	0.0757331236145506	0.764401348986789	0.148607826160921	0.266048111296646	0.166091952132003	0.128979114817683	0.259705573815077	0.166769815493463	0.277567995338268	0.128282905185018	0.101531249636843	0.111871240588969	0.0891832589581465	0.159151611055958	0.409316321043697	0.316312278042	0.288087328444146	0.177313714065936	0.208997533109172	0.1424252164403	0.227971008462881	0.146185964255647	0.0914445972126194	0.238043215292772	0.139439790691209	0.272451255552051	0.129355490277792	0.106302068558638	0.144822064793311	0.167942592305833	0.186723618354541	0.149460079492923	0.144502137316302	0.143397706486581	0.169501495245126	0.159789664846349	0.143355533442229	0.177501344688636	0.0687101156785587	0.078599911273376	0.0845545611841354	0.087348887707843	0.0853743676802235	0.0776529378245277	0.153690058325334	0.140308872179167	0.130373732097369	0.105976724799371	0.0910130905664434	0.227468641699899	0.0851147825728487	0.26414395882112	0.0826279146201387	0.0878640363684427	0.118416609316892	0.149657077610802	0.171833275962157	0.153123144129272	0.234724673861213	0.108531695958121	0.233105566397762	0.143144587184025	0.0792371178880979	0.342924056912069	0.171684367906457	0.328384986243964	0.172184124031245	0.0880373464695297	0.236757357987786	0.190231887887266	0.126531265201659	0.0820659197988354	0.0842413061540494	0.161534319004908	0.0981034650807491	0.154864038109795	0.190696426189187	0.179688450411681	0.133581317733501	0.134253478638021	0.159996672907109	0.126102239518535	0.177986152229732	0.0947537390546539	0.163056683829294	0.195557839614467	0.148848800450742	0.20791921588059	0.192746275601676	0.180607747154591	0.171128578825469	0.322517207336485	0.203083657985397	0.309064449705035	0.148278901950896
bm_700033734	0.274766943660528	0.147613162926169	0.294051897341129	0.188836863428643	0	0.180867536691371	0.673211293976137	0.140427301237393	0.192903616424242	0.267147102571418	0.237983717909518	0.191631443341088	0.128915748044501	0.209757566595967	0.147547004931103	0.21717074981694	0.167993894290053	0.210346551157975	0.271856966407389	0.343286850666371	0.256483897719839	0.221290737471976	0.285395224902391	0.132831248549315	0.224762312714338	0.153090571957861	0.224678001897633	0.199063833854313	0.160037388795736	0.197665534579633	0.20370170478438	0.249873708894494	0.236294853190886	0.190661744698656	0.279496368745033	0.192038793937572	0.191882806209444	0.203530192381933	0.220709936709332	0.279647648659256	0.256897666285595	0.103372799888174	0.279574271773602	0.213082112743247	0.164814062118691	0.195316571048469	0.189979331898223	0.177645598829241	0.206584519440185	0.255122100141531	0.235879320200234	0.160949460920414	0.208659342931214	0.203150210854671	0.130296083815233	0.172782228426435	0.154803425302768	0.1609453480805	0.159583414822066	0.229327619813212	0.148340630033551	0.28356088951619	0.274698163588508	0.156740204977908	0.19373443125728	0.145780335505996	0.178677797752373	0.208339679127998	0.287843269485408	0.271737485565228	0.247719496462851	0.175085225219195	0.183669646764087	0.153825782379823	0.204188704093592	0.157007838056821	0.185138524259222	0.210763863715641	0.270479136176809	0.224591003718096	0.21073101646394	0.207442871791855	0.220777137417235	0.203303750818478	0.211819546867124	0.276399620432093	0.247983048413786	0.292791379562916	0.223118948202789	0.208076072432333	0.307082482649039	0.269327925108408	0.220481053840677	0.192445631658678	0.293319423575991	0.190778451279839	0.265129010820128	0.228759367812391	0.247472627094355	0.264169286205011
bm_700024454	0.178744253123856	0.219522742063553	0.354863678166881	0.0757331236145506	0.180867536691371	0	0.760408532599658	0.150592099610586	0.276448467737937	0.171165839213528	0.139386238857677	0.264933636379871	0.157979345310133	0.281287050439213	0.135024858053975	0.107124919607161	0.118886025797804	0.0873560815611343	0.170589217360202	0.405473209056077	0.324027436342641	0.291989920372338	0.186274152720851	0.21758648841503	0.157771263106939	0.231101211835176	0.160997033182746	0.110881708723277	0.242956057836623	0.152174700141209	0.276631356083328	0.140769673748396	0.115964655069995	0.152748456813135	0.177735010746172	0.197581630980194	0.156821718746834	0.162536668826091	0.157822696185381	0.178840733288511	0.161231049353392	0.141545417423685	0.180212472346389	0.089476873511381	0.0666479953870059	0.0756851284250229	0.0827463698960536	0.0773529230291743	0.0900274171172583	0.160830241385339	0.141174973156756	0.132352895369449	0.100955253787771	0.096069373501398	0.221276698207901	0.0849335327317571	0.253387250489466	0.0779727212772801	0.0792540950028098	0.122951149495699	0.150461406972115	0.182769109489646	0.173626888396948	0.244937184704265	0.117000162226221	0.227158790938364	0.155147911526457	0.0940108408258204	0.34808921823298	0.173482936950561	0.326664737397892	0.184765642792155	0.0929411256567794	0.245255710185671	0.202913768734312	0.134091385744981	0.0809001685421313	0.0914764023422963	0.170921268982118	0.106868912425685	0.172216658005404	0.208558217195081	0.19605862456318	0.14962117303701	0.154484663042004	0.172728108444778	0.139514380484067	0.191006790585409	0.103649621845721	0.184094653381224	0.205883120007906	0.162625395437125	0.221001720502069	0.199150256842736	0.190427578942679	0.180023051946483	0.33240202885287	0.214217618230658	0.314755143206342	0.155238755607494
bm_700110295	0.792407928122439	0.68326990955212	0.655296134139788	0.764401348986789	0.673211293976137	0.760408532599658	0	0.71429004924747	0.666917913517784	0.785623435414895	0.778604521357451	0.663656665576014	0.722012116771821	0.657022170153867	0.72252643688924	0.782371856404662	0.734668991348197	0.767147041502009	0.791010104545721	0.671364812318578	0.691729501740435	0.658331653825141	0.776909089659331	0.65509955544076	0.763353451029921	0.653856513711118	0.760620687970194	0.747272012328077	0.658678619408145	0.738961656793472	0.60491139979929	0.772187804677966	0.774159841089911	0.727616394711148	0.776390335153726	0.726790798401273	0.730106141088065	0.757485919639761	0.739624350152747	0.77662761489103	0.781515779981713	0.671512661234594	0.798208562683936	0.771462946854076	0.755489957401296	0.758995492360542	0.752029576729499	0.752373891437273	0.774334278314878	0.787352392459761	0.781227325985864	0.730946542427648	0.783598623497288	0.770457279200937	0.684491991631035	0.746280643010001	0.667274585757944	0.744319219960327	0.728761882465122	0.760129900684208	0.739551902254916	0.784642287335461	0.78482172575401	0.660965864194311	0.763609564482379	0.659407076936792	0.737809662376897	0.77575337889145	0.672614062346237	0.791077351199043	0.649867248729001	0.732762920032603	0.746651118171827	0.648308597298734	0.704438180058472	0.732569563475979	0.753190257831442	0.769423790235966	0.785306856542131	0.77955659800842	0.771072274421346	0.756687067922552	0.779671685883448	0.747491737844481	0.770413697996716	0.787965918262619	0.778103627255043	0.79981265255867	0.776864549416106	0.757101485174243	0.805220426436454	0.781465879910409	0.721370221306839	0.74319675219998	0.79285033173582	0.71489901071301	0.700650561525553	0.721947498713678	0.659940100426311	0.765161396259706
bm_700033003	0.245675328134821	0.203685379940089	0.317801084693081	0.148607826160921	0.140427301237393	0.150592099610586	0.71429004924747	0	0.226413127172452	0.231225817502727	0.203168834860888	0.232256884179397	0.120047421898646	0.24163508980454	0.104295719761804	0.180745076759054	0.128640132510473	0.168813543888552	0.237590702825619	0.345746184969102	0.291548121101023	0.254659891848456	0.253991854588556	0.181119543580059	0.179893952590775	0.187773922173028	0.184873372167264	0.152938586296065	0.201802614127477	0.155491167550829	0.234973069459946	0.213410752694289	0.198968679964713	0.147391093828604	0.24116363185779	0.17273091405183	0.145017622286907	0.162264363167994	0.172799161350673	0.24229039080762	0.222756485591845	0.132213765504422	0.252742580916897	0.170229762620801	0.144714769145971	0.153079123388128	0.148202790025045	0.147975060189686	0.169763551712248	0.232640329866056	0.211136616560801	0.130906533065644	0.184980809682236	0.164368866923308	0.17683810327203	0.144566755231664	0.204890243294275	0.137495530074359	0.132758456830956	0.18534598845367	0.108667257891608	0.245751324152785	0.240185091615041	0.203809273451447	0.154403449544272	0.189045668693336	0.13179657301396	0.171063046981408	0.317694467759372	0.242603232140546	0.269750461618318	0.154937148413322	0.146324985279825	0.193685425020731	0.173613624820314	0.113682841067026	0.143604774739203	0.173787260545506	0.239039206832577	0.182473217926034	0.164190083792883	0.189433180810521	0.182655046635334	0.160573381424517	0.171539722728635	0.245166901779645	0.211212499791734	0.263253504536121	0.183958952647267	0.163407252225602	0.279398533909886	0.231177949924907	0.204468901435718	0.1774358235373	0.256388402320039	0.157263830188268	0.302672863588981	0.202669739353516	0.287026507567215	0.210405929587806
bm_700110762	0.35943589706712	0.174141592734297	0.255484879514746	0.266048111296646	0.192903616424242	0.276448467737937	0.666917913517784	0.226413127172452	0	0.340679971313668	0.308183828621127	0.174125082413794	0.232763934557521	0.221472332820455	0.228613026244782	0.298055445128505	0.247418166427676	0.278868480211813	0.347620759506044	0.349461967524146	0.230402520520094	0.193759220024042	0.356147123947531	0.188488618514452	0.274819548997134	0.178571675146507	0.289962700582961	0.268963295321347	0.184730286053108	0.263048751644629	0.19785223452003	0.31650226021403	0.305132325891421	0.25700897444505	0.342147051652382	0.24779343131845	0.245452645482623	0.265803312546678	0.274472097566049	0.342984334060466	0.343324392731496	0.199177350397665	0.364262186386763	0.270904408674391	0.267711945056834	0.285648201060575	0.262873928548944	0.267884616553937	0.270589764286481	0.345482743084589	0.316255785891191	0.228264316340455	0.298071079643357	0.283192299902813	0.200167455936035	0.25544438432559	0.185486521633572	0.249365266843438	0.248378586678974	0.305548580742359	0.255321195808993	0.351292018978535	0.34865279712609	0.154048363549312	0.281479067808876	0.173002210709828	0.244887588833373	0.283569640866007	0.275975956078443	0.355060549218996	0.24054594285675	0.233523474051823	0.260227463824971	0.154991808697257	0.289946634576428	0.244711235498774	0.260859040980354	0.284479349988959	0.342985216669231	0.293354745154825	0.259249124304936	0.270822801309603	0.287744114819381	0.271556829574777	0.280631620714095	0.346915386084385	0.309140022803112	0.3581026648979	0.28367336559813	0.262000767138619	0.376655311214588	0.334003581967089	0.270448727933052	0.249012995497663	0.351359614115331	0.264077762076001	0.247226822046622	0.305237889530605	0.245312837118023	0.329452286135912
bm_700016040	0.06576978569929	0.309859188996047	0.401363622421604	0.166091952132003	0.267147102571418	0.171165839213528	0.785623435414895	0.231225817502727	0.340679971313668	0	0.0857818616128718	0.332365453242562	0.248488279562646	0.344053207195748	0.229340255016102	0.110554230010874	0.208535143018838	0.136877698140788	0.0559085756740866	0.4740822389689	0.372953469896555	0.352129892545828	0.0720176375983757	0.287287820711978	0.227495855474018	0.305164192526915	0.227579798491824	0.196356148384023	0.306382536776288	0.232866251668915	0.339296428200546	0.131438373390661	0.174078970292624	0.231218079570659	0.0758600105908369	0.266340562996375	0.234081399032161	0.235321143985995	0.215884082765046	0.0827616521666996	0.0690197956171604	0.226622041312023	0.0744878891171033	0.163688766155337	0.169862694730334	0.15532325819736	0.162229567008872	0.159546025392854	0.146333203359275	0.0628935547461338	0.0842993703828448	0.216341745390794	0.148398256865934	0.126439005386782	0.29652527795186	0.178499588407707	0.331424183713152	0.181242757153099	0.183462700724982	0.133409711425948	0.229916869229507	0.0667049877941933	0.104525900706671	0.312136080762583	0.186941918389179	0.310677826962745	0.237158268222881	0.148041186422135	0.40750268583473	0.0783577552484155	0.386762545582262	0.264582099031467	0.173921946844676	0.307982893443058	0.263387953189036	0.213955578291545	0.16499856220547	0.144695841507829	0.0787571100179241	0.126922316566826	0.217030063560574	0.249959832140731	0.247313018001159	0.218352130024023	0.209354511926406	0.13317624185099	0.157111931828826	0.08377521710855	0.17195941055689	0.245299222322873	0.120557302202801	0.118705237355788	0.274522895908338	0.275276763813431	0.121032482644754	0.252078094849447	0.383735735459164	0.268452395970469	0.374629012863377	0.128469064393095
