bm_700109181	bm_700038583	bm_700099010	bm_700038015	bm_700033734	bm_700024454	bm_700110295	bm_700033003	bm_700110762	bm_700016040	bm_700015137	bm_700108103	bm_700016632	bm_700033460	bm_700023288	bm_700014607	bm_700014517	bm_700024550	bm_700108604	bm_700108226	td_700038581	td_700103608	td_700110095	td_700103490	td_700038437	td_700014409	td_700033454	td_700023286	td_700103566	td_700038686	td_700102525	td_700034087	td_700024452	td_700033732	td_700101082	td_700033136	td_700016125	td_700021312	td_700016301	td_700095473	akg_700015140	akg_700105102	akg_700014606	akg_700038016	akg_700033735	akg_700015272	akg_700024551	akg_700014518	akg_700038689	akg_700023061	akg_700016041	akg_700099011	akg_700106863	akg_700021315	akg_700016128	akg_700014418	akg_700016635	akg_700038584	akg_700105978	akg_700016304	hp_700016347	hp_700014734	hp_700038014	hp_700108102	hp_700016629	hp_700101645	hp_700021313	hp_700023059	hp_700038582	hp_700024501	hp_700016126	hp_700038438	hp_700014974	hp_700110761	hp_700110594	hp_700033137	hp_700014412	hp_700038114	hp_700038217	hp_700023497	s_700016036	s_700014965	s_700033448	s_700110357	s_700015191	s_700014501	s_700033134	s_700103488	s_700014403	s_700015125	s_700024087	s_700014559	s_700102523	s_700014611	s_700108222	s_700109321	s_700038579	s_700108477	s_700033730	s_700015991
bm_700109181	0	0.100523447824585	0.136153325796209	0.0822091063995459	0.0893499045834883	0.0789006936753042	0.240228097228236	0.0961511189368746	0.102410089189058	0.083713389281387	0.0737992747518651	0.117060977109307	0.109033168894764	0.13729921740256	0.0899291381488359	0.0650720842234016	0.0951455237220068	0.0712020604203687	0.0696294944516362	0.176272263899277	0.133006518611273	0.118072647888334	0.0804141345766499	0.0983335866679786	0.108755323517649	0.0968117471926482	0.127207325611485	0.0904156300142251	0.106461999077274	0.101686940697691	0.1334532289334	0.0971870696359051	0.10233695905282	0.112914203541004	0.0922327597769955	0.128033490653962	0.0995548644104955	0.116564344412564	0.115527924644242	0.0963946999190632	0.0628247509102457	0.0655371999310692	0.0707106098224673	0.0798523905948927	0.0737675790697261	0.08235275328597	0.0691977050003122	0.0691521382691187	0.0778860967973624	0.0693996951719703	0.0765536272960802	0.0849098956979757	0.0736703253699142	0.0616786136009322	0.0942055535347107	0.075835214170896	0.101586827908863	0.0682515252290594	0.0674296711567394	0.087212534514286	0.112963232450303	0.0838381393763456	0.0931697145188449	0.107542868745142	0.115077015035123	0.0904523291021422	0.0973831629364676	0.0818307908474753	0.127877357589725	0.0779509623794143	0.126908416789509	0.100714493046104	0.0967170845422571	0.106359339912291	0.13661466661291	0.10345615838281	0.0875382472957876	0.07318166685113	0.0879118274816753	0.0724633654091105	0.12174974907585	0.145567055074654	0.139374849018322	0.128510489450352	0.12727312933212	0.119895518165769	0.114135861006281	0.0952474234414698	0.101394621182432	0.117616042437816	0.10907015835891	0.107597995555233	0.15707359283959	0.113474048908962	0.114683510572654	0.143479093637511	0.11491916205015	0.16557799779113	0.142098444018981	0.105463216535452
bm_700038583	0.100523447824585	0	0.150762399539597	0.0998908520431486	0.114937656782223	0.0944517479029531	0.259824762413612	0.129496919834159	0.127473109206814	0.112966180885851	0.10614957659237	0.134786502553468	0.121362029801312	0.144635349441545	0.110119779077298	0.0962187095881449	0.112269970373807	0.0956632422002432	0.0878185943757922	0.195510649492327	0.153481236837441	0.146192034064259	0.114988137572662	0.117779524254289	0.136769280786107	0.126064226084251	0.141977982557547	0.109901014094304	0.138421097128503	0.121961746059064	0.158963338996042	0.117563908736538	0.121115344027145	0.131928776072016	0.11607302783446	0.145292403836049	0.12906242765025	0.138429071306462	0.146180687054726	0.124027951615726	0.103169512372317	0.0985601024626026	0.087991904310758	0.102635555161934	0.0993402763778603	0.110339772575104	0.0957119807333139	0.0967335689773653	0.101277487879305	0.0957150408520264	0.103544477429447	0.101992304806587	0.0900878175892273	0.0917592008220774	0.117458278799375	0.0971439822709677	0.118431485896482	0.08106272338727	0.0988386626119721	0.122247610287404	0.135174489867601	0.112619181293159	0.11692103810395	0.126651969906748	0.139971750860323	0.116190585533613	0.123905033124668	0.10442489815333	0.134720922199162	0.105140295833068	0.152668741814322	0.124846120143611	0.12492000972537	0.141113018783656	0.158121515973876	0.127052153022465	0.114667227167243	0.0968879597842326	0.115096157529551	0.101724466241027	0.140849066792228	0.161441633093777	0.14521683900682	0.138186875195515	0.138924877547786	0.130017743104374	0.132128711273444	0.11395156144791	0.122992961391912	0.139408175274665	0.126632403016294	0.124771493452965	0.168276776792596	0.131074623228468	0.140206218496273	0.155061866330664	0.129603554919805	0.180869142957913	0.151431113656495	0.125210832686222
bm_700099010	0.136153325796209	0.150762399539597	0	0.136619290295928	0.165612686582083	0.149398435385873	0.258492158892532	0.156375483713747	0.145552469253346	0.13448020030599	0.134584467708544	0.149586576845109	0.16325331271811	0.163722359673175	0.134098467249079	0.141641146132842	0.13500767989282	0.132780427212675	0.13072856177436	0.194662616886204	0.136734569658521	0.138252388539922	0.119640545500782	0.122599948335368	0.127217198403243	0.133520908931202	0.145879030826899	0.123595827114908	0.128365278999623	0.141590240946376	0.165565020207393	0.130293511174627	0.141436587248396	0.130650450568975	0.11587718023686	0.135622115991678	0.119960607114151	0.133855288326284	0.125757454767481	0.122386834520507	0.144439524180578	0.14647235880763	0.146774863827509	0.140794967467253	0.154125514677904	0.164438427451901	0.140074633391636	0.146456656154675	0.138726639930462	0.142983376742718	0.142462709828934	0.104420832886135	0.152057455180708	0.135292136913285	0.165801498140308	0.14564396010186	0.161718987064968	0.148169429168359	0.14431904038251	0.158217675178674	0.168543855912635	0.12396556539993	0.131941083556765	0.141780928781768	0.158536664633661	0.130378502062956	0.121008775951398	0.132444149203794	0.138200076145582	0.143152509727324	0.150846474625976	0.122375777887202	0.131206789085562	0.154078853451697	0.181048506120405	0.14292545785351	0.144926529788525	0.128948131099506	0.119852788186959	0.124507251085309	0.135240159568438	0.147601810652139	0.147929533730605	0.154458531538376	0.138451698315628	0.136261859495654	0.1375229634547	0.11543310563742	0.135949995426574	0.11790657502244	0.131039912100882	0.129215902655167	0.173481212267145	0.12993491886944	0.122040460353538	0.174304205507745	0.123609117411506	0.198240565760108	0.154427796331454	0.136834771793881
bm_700038015	0.0822091063995459	0.0998908520431486	0.136619290295928	0	0.101369805183238	0.0913453476870026	0.24157631405574	0.107058074463857	0.112387036667035	0.097981561332876	0.0843646138146937	0.116555610789085	0.11565738776875	0.131037566754424	0.0897679793421884	0.0825826419121677	0.0959065998161025	0.0800015099563866	0.0756298958409301	0.185534885855897	0.137001715788459	0.1306867475975	0.0946246334418931	0.103841241934661	0.120040393567005	0.108093779459925	0.131275831617973	0.0873507535989062	0.120647257547297	0.105955984994697	0.140302645740667	0.099973899644412	0.107520331082508	0.118448662767212	0.100739286708665	0.128789876055141	0.112489003396397	0.115927370651072	0.129508802922882	0.109041187745989	0.0847547454455885	0.0845362708388221	0.0878639154040234	0.0730719493101387	0.0893077776937672	0.0983808733199083	0.0848647310261751	0.0813410378336772	0.0832180967826202	0.0800181060746595	0.0930107447022253	0.0947127514588334	0.0932840557428544	0.0750866019179797	0.116870512640245	0.0913298460637436	0.110878755527898	0.0849787818739564	0.0866782422544096	0.103009470397316	0.119829089019412	0.0937776506575179	0.0870520011333608	0.109318519380547	0.117587004814996	0.1015151049805	0.0979950749958035	0.0834813563384272	0.127934427686882	0.0901697930321097	0.134282119045096	0.106823941877401	0.106697069802313	0.11762877431859	0.144468517130131	0.108374707292386	0.101282982691008	0.0816055482409287	0.0959446391019959	0.0817847773836231	0.1272027242651	0.145516954006974	0.136345487849374	0.129360822729668	0.124241802539474	0.113396652475831	0.115255797445158	0.0943591178861593	0.108012675145727	0.114089199780074	0.107674185810185	0.10644768129556	0.160036435515648	0.113649592507221	0.128702003741163	0.144152297417628	0.114404012284701	0.16718201373904	0.133771950348792	0.109506660839784
bm_700033734	0.0893499045834883	0.114937656782223	0.165612686582083	0.101369805183238	0	0.0940009499769989	0.24888070573932	0.108898881057541	0.123181125187781	0.107407799125767	0.0948867761660532	0.135427742611852	0.111780284369908	0.147624482334571	0.113540143005825	0.0855577027264429	0.115001025809868	0.100690324809265	0.0944940311491047	0.193952311958776	0.160641512565305	0.149569332964481	0.109572710263381	0.127857991728968	0.140145730894277	0.12674808443828	0.155145025615092	0.119011143857856	0.135972287386247	0.128127862928125	0.158661169025657	0.129392808788036	0.131477933472796	0.132395790393483	0.120304077518838	0.150589938396683	0.129055681987103	0.143563548446649	0.143934649266281	0.126580448008081	0.0861937160127189	0.0845526212541327	0.0967978091336949	0.105335652024743	0.0795958990388659	0.0945353985933059	0.097200047219642	0.0824197631847839	0.0988385062555416	0.0818229060160482	0.0880403077943346	0.107881670793546	0.092396085237038	0.0815700329945574	0.110501087738182	0.095005339013688	0.10145216034888	0.0874005642903579	0.0881597864439198	0.102152458464752	0.108103026825961	0.110519984529648	0.115414968291474	0.122348549531651	0.119726184151466	0.108952891035985	0.12463977432853	0.0963239374659157	0.152215464522112	0.103078311900031	0.136011019107761	0.130736602962217	0.113688569931698	0.119312956442114	0.149054361892096	0.110002243714779	0.0990064330619693	0.0985829081648323	0.112770020575389	0.101428193141738	0.147272278306405	0.163379336001146	0.16574281980558	0.147445141508712	0.150708255541356	0.143984035561707	0.135785888184379	0.120202602195401	0.123529487315082	0.144368158638341	0.138464921602327	0.131617403408861	0.181343662388047	0.14477953240716	0.15010836059054	0.161445273964946	0.141312283886096	0.183773307299243	0.143716129986248	0.130773011673906
bm_700024454	0.0789006936753042	0.0944517479029531	0.149398435385873	0.0913453476870026	0.0940009499769989	0	0.249711896524208	0.107301365069817	0.117651244971326	0.0975347840008506	0.0926918892670357	0.124972188099913	0.107041880404977	0.141920465727731	0.0956895100805783	0.0782194487073288	0.101346240035488	0.0763119896009572	0.079671128818601	0.190413251162817	0.147610812315213	0.134378501616223	0.0998433643615224	0.110464232293835	0.12607159717312	0.109411149397341	0.136535661942208	0.0953446771412818	0.125727099283318	0.11318452147282	0.145605273053611	0.110234142637941	0.11037334453441	0.12209042740142	0.108103272528923	0.140825613327643	0.115039266125458	0.129511438645569	0.131977402921922	0.112325119520531	0.0746817281093459	0.0776273715780418	0.0799474999779426	0.0884111852476367	0.0739040782336101	0.0796943589168565	0.0771689568602557	0.0740182407645561	0.0907585866763548	0.0763573106291883	0.0843194268062602	0.0959378264289498	0.0789435800105451	0.0797280648959599	0.104444554390315	0.0830536768275638	0.103326695258301	0.0708228960762465	0.0711907357474692	0.10097759624548	0.112471982882098	0.0975743421777838	0.106323467279792	0.114187637321431	0.119333238104822	0.0928038628079538	0.111411082164076	0.0927751825712614	0.137460644248803	0.0879433221341178	0.133496807704262	0.116895842381996	0.105224058206585	0.121565695220441	0.14758197572209	0.114624854574559	0.095747965048977	0.0827999773506542	0.0999269033687105	0.0907710281809013	0.134188729582782	0.151012971887896	0.147291376127567	0.133207012228525	0.134674484339284	0.125934829969641	0.124083949554501	0.104456794865165	0.106260589658072	0.129016190820068	0.119881021690993	0.114983446879745	0.165414247935062	0.124271331568218	0.134832605363852	0.150140391322173	0.12814113088809	0.170648927210609	0.14612437640309	0.114123419501734
bm_700110295	0.240228097228236	0.259824762413612	0.258492158892532	0.24157631405574	0.24888070573932	0.249711896524208	0	0.230820934919875	0.244492584852122	0.246344827801871	0.23919567571721	0.251634120144951	0.237743079803987	0.25600446107233	0.229344059086648	0.244559952137063	0.248131423387415	0.245840958036056	0.240233413346875	0.284452262762342	0.279111618500138	0.251648772976159	0.23269634095798	0.245233334610244	0.257739123986294	0.239014637307247	0.263362170298733	0.231343411100927	0.250528211111559	0.250274489298017	0.226940414016192	0.243399161996542	0.256218289659446	0.242267186112511	0.239175126014907	0.243921191444936	0.242195686550477	0.261425159826985	0.230862525730405	0.240441523755958	0.247269475058972	0.246001625436779	0.258874428028632	0.246032896722892	0.250144668787381	0.246631161099503	0.251648214560335	0.245451585850681	0.247267889158033	0.246760802917075	0.249275103667106	0.247376936600036	0.266595911659063	0.242237567737235	0.269573965582152	0.251830213445514	0.239580826278959	0.252325818657142	0.246333436119073	0.247480891289729	0.247470527092046	0.240240203683288	0.241957131310699	0.245187700869152	0.236610210454639	0.23776758309032	0.245854561045515	0.237856884948806	0.262600379432384	0.250980014185996	0.24653169607303	0.239786189282191	0.247856191396353	0.239198177420099	0.231377764842385	0.232906126614534	0.244597544690298	0.243920364989517	0.248362719221488	0.237565860958257	0.263305725627299	0.25323250726136	0.276954726213748	0.251861484731627	0.254190391428272	0.265554064088937	0.249100475870796	0.255533024097541	0.25244402411865	0.252247752125023	0.26657824338241	0.247727510053998	0.252353560755251	0.256092981148664	0.262473909416689	0.244051503361496	0.264132181046004	0.229175998260423	0.251053256005399	0.230660915281507
bm_700033003	0.0961511189368746	0.129496919834159	0.156375483713747	0.107058074463857	0.108898881057541	0.107301365069817	0.230820934919875	0	0.115758148319933	0.099637889675126	0.0977058155992567	0.136925525533508	0.116502494275959	0.148815538612723	0.111686269481872	0.0925302837277294	0.120303764805977	0.102097599694256	0.0977344734993161	0.169870272186391	0.162471083832622	0.145211612234712	0.114104478037003	0.130008629758136	0.137819124870824	0.114032442395778	0.158769255992444	0.114022457920855	0.131008618478136	0.135006808764135	0.153596270497072	0.131551219965465	0.141363792161651	0.136690655838165	0.113680841456701	0.147903176503738	0.123325553856358	0.14305956699767	0.126779780120419	0.122945764086514	0.0878139036828752	0.0927876687490737	0.108179239417546	0.108207718624541	0.104277856098699	0.102770312068449	0.100333050365422	0.0998289125600116	0.106348015239391	0.0980785023198269	0.0997660349382911	0.111770411578149	0.111898668524479	0.0860685638583674	0.114752352075369	0.105092093379187	0.108189804644925	0.102312880162512	0.0943886022416375	0.0965231578950895	0.110883423884182	0.105869475215328	0.115523904050313	0.126631040481685	0.120257684332226	0.107871641645357	0.122284711434714	0.106529031312721	0.153847267241396	0.106891420845506	0.122665930749067	0.125792768984156	0.115660291531032	0.11461254708981	0.150735975302832	0.113039288685457	0.101511374762799	0.10807595482684	0.116859433670308	0.0985054670584363	0.139377909137034	0.160114993453691	0.163843781609826	0.149238840143531	0.149467790631145	0.146441400234378	0.134986750467757	0.126480424565784	0.121659174029286	0.14013297667687	0.141913362678457	0.128457015551099	0.176535992524376	0.142305191893455	0.139736322749157	0.156324221141154	0.142462866185364	0.188250573688496	0.158528645782436	0.102696601179754
bm_700110762	0.102410089189058	0.127473109206814	0.145552469253346	0.112387036667035	0.123181125187781	0.117651244971326	0.244492584852122	0.115758148319933	0	0.0971849029825101	0.100546387546612	0.132426637283571	0.134527062561893	0.166396769408105	0.118512500864148	0.0986617118058375	0.125453006460536	0.0994255799790505	0.0947249025871517	0.190205699169558	0.155131154566038	0.140627666086547	0.109853347719614	0.121678472880145	0.12792665453862	0.116143723277709	0.161026975839916	0.117783075778926	0.120677590694827	0.135180386738696	0.165065751787964	0.131782158413411	0.137587493987258	0.138418818791943	0.104057974284058	0.151032427095185	0.115568554979556	0.142752639324469	0.125194973676837	0.114029627980028	0.0975916977415765	0.0970526924521502	0.111746600727437	0.0991658719478806	0.112885389284514	0.118337761384675	0.103856810567818	0.107610928465705	0.0986392188164689	0.102251007689274	0.10455976674301	0.101665207153843	0.111562524535395	0.0931249072331713	0.128776384728846	0.1062043906896	0.126175730555877	0.104366398511665	0.104861467644103	0.109499200404382	0.13570788866216	0.103316643773479	0.12010718009949	0.121366631147698	0.136337982740707	0.118703322719338	0.122678528610044	0.107121644521198	0.156855453282318	0.111651603027552	0.137356533202679	0.12627329696855	0.113892682083485	0.103465294065682	0.168719354837629	0.124182565788923	0.105113357853744	0.107510860350142	0.111207707121175	0.0992941512308434	0.125502995845051	0.158258439533785	0.164676826335248	0.148291253164403	0.147403014618991	0.146590095199846	0.133751199616793	0.112311784550667	0.114401666938243	0.132967630533328	0.137420505319413	0.125314675692751	0.18364898160031	0.141597232312486	0.129742578123211	0.16648294413798	0.140047405036084	0.191578352273495	0.163850951668999	0.121003683199088
bm_700016040	0.083713389281387	0.112966180885851	0.13448020030599	0.097981561332876	0.107407799125767	0.0975347840008506	0.246344827801871	0.099637889675126	0.0971849029825101	0	0.0891352718775872	0.117507285372041	0.116717037635328	0.141732748664521	0.102707814169489	0.0852947112102312	0.0996028211614133	0.0910787376362549	0.0849348010437015	0.171212100736874	0.139950374702602	0.133034104352952	0.0993271647743257	0.10700625347544	0.122010707958464	0.107747829688981	0.139088739087019	0.106354046130284	0.116001818648654	0.120478682978514	0.148736690298452	0.115461495497884	0.122257996821721	0.125835655319397	0.100378103354058	0.137242817404392	0.107054992008511	0.127988929071251	0.115705389192934	0.108581589186657	0.0812855983107251	0.0828305115278804	0.0963451349305738	0.097404628440721	0.0950354711315213	0.104621862582577	0.0911209985457735	0.092321190506797	0.0880631358331972	0.0870329256488317	0.0847160360607069	0.0927200557611705	0.0957099034264507	0.0794132077180661	0.111980844997058	0.0905087067636776	0.107016841039453	0.0881682296911704	0.0902824366720159	0.095171724592443	0.109985870962835	0.0883820582782856	0.10329345834849	0.112175374733315	0.122422841172803	0.106282367875186	0.109042594953864	0.0947335692007316	0.140135768755987	0.0961302788583434	0.126415424963935	0.118219287883572	0.0944501173287487	0.109094885011572	0.147711081460472	0.108717842647579	0.0960358395742817	0.0931082887782655	0.0922908126860013	0.0871858645745581	0.0955579696492065	0.136116090629101	0.136827646407973	0.130051605439908	0.128696039860168	0.118675781650925	0.118100725035937	0.0994163102763812	0.103742268314112	0.119749481259621	0.112462177100238	0.112468788743588	0.15733915306859	0.124009010150995	0.108310712839018	0.147553898574487	0.120700396397056	0.179195503725136	0.148683573785326	0.108700621103584
