bm_700109181	bm_700038583	bm_700099010	bm_700038015	bm_700033734	bm_700024454	bm_700110295	bm_700033003	bm_700110762	bm_700016040	bm_700015137	bm_700108103	bm_700016632	bm_700033460	bm_700023288	bm_700014607	bm_700014517	bm_700024550	bm_700108604	bm_700108226	td_700038581	td_700103608	td_700110095	td_700103490	td_700038437	td_700014409	td_700033454	td_700023286	td_700103566	td_700038686	td_700102525	td_700034087	td_700024452	td_700033732	td_700101082	td_700033136	td_700016125	td_700021312	td_700016301	td_700095473	akg_700015140	akg_700105102	akg_700014606	akg_700038016	akg_700033735	akg_700015272	akg_700024551	akg_700014518	akg_700038689	akg_700023061	akg_700016041	akg_700099011	akg_700106863	akg_700021315	akg_700016128	akg_700014418	akg_700016635	akg_700038584	akg_700105978	akg_700016304	hp_700016347	hp_700014734	hp_700038014	hp_700108102	hp_700016629	hp_700101645	hp_700021313	hp_700023059	hp_700038582	hp_700024501	hp_700016126	hp_700038438	hp_700014974	hp_700110761	hp_700110594	hp_700033137	hp_700014412	hp_700038114	hp_700038217	hp_700023497	s_700016036	s_700014965	s_700033448	s_700110357	s_700015191	s_700014501	s_700033134	s_700103488	s_700014403	s_700015125	s_700024087	s_700014559	s_700102523	s_700014611	s_700108222	s_700109321	s_700038579	s_700108477	s_700033730	s_700015991
bm_700109181	0	0.472866536499867	0.594369061268784	0.319663979624012	0.155602102659846	0.402873926800664	0.448468579319731	0.171766863757045	0.475590930023205	0.218829328320747	0.161545259665371	0.349841769297508	0.374203930821584	0.515820045449714	0.336800222558568	0.159164697114153	0.384205010345078	0.367793976279181	0.227549815203444	0.182445085464829	0.743615915568122	0.668519740458174	0.505429684000049	0.606015010818951	0.717804406604751	0.525085435247106	0.671685494112076	0.55602202991993	0.692923041754589	0.57706010589561	0.501545497140445	0.617212644187684	0.662854201378795	0.551958499035822	0.478558428560748	0.601668289609674	0.620253733878454	0.571101577861878	0.615337223903282	0.605551827807215	0.186175144337476	0.200643599542046	0.527266288628436	0.49375920545166	0.355629525375227	0.404043738430241	0.436328274919946	0.315149314513035	0.324493371682116	0.279096459591844	0.325313142323086	0.365556854646806	0.531451025613962	0.149987702335798	0.541966232056709	0.396589215554869	0.30510928454351	0.24413856792958	0.397136629869647	0.38677731816276	0.161499292042109	0.537616293727327	0.518524418273969	0.233506781415371	0.391717025259947	0.280199004422625	0.538858999312336	0.395442301504899	0.618309470380217	0.377168597246438	0.436406533096148	0.578065250560421	0.274624011954837	0.410312116185149	0.479278214205379	0.245835665545285	0.294993487207812	0.460785650641134	0.416734131907316	0.436068511819368	0.680734598743896	0.64011143146257	0.677446424411765	0.531055581056053	0.624230063359818	0.605351813590902	0.575466127734515	0.691684378421213	0.625488771402375	0.62333929097321	0.671648016240492	0.598751153715724	0.610959149932132	0.659972587464448	0.679008877875758	0.507843004361997	0.729204368273722	0.638502556885846	0.648419121521682	0.537977349978772
bm_700038583	0.472866536499867	0	0.362087292857464	0.250919124967877	0.404759408214423	0.216645190835972	0.282172880536458	0.421643496676383	0.430616773897217	0.451163633819651	0.465187702784695	0.300369989002603	0.178565086131164	0.200591807748602	0.222536601816178	0.403714649871754	0.203027196201974	0.305636569574014	0.316716762345148	0.482116826026613	0.526559617233102	0.431542970912136	0.289572413053263	0.288736886461572	0.49746868556724	0.38192625678643	0.372179579696601	0.220354844054474	0.488234940544159	0.283051663721911	0.249676859812691	0.291937553894799	0.359213236256705	0.308905579196711	0.40518175787692	0.333650476927377	0.401520092213625	0.313542258815085	0.405747226999443	0.406851383140625	0.49867831328374	0.415812245084338	0.206550200206332	0.243838391083542	0.23128545481598	0.266131803400325	0.263851472183365	0.273369506365822	0.324455502254325	0.280693855343617	0.294660360976531	0.340454958368289	0.357634710113279	0.462571868628339	0.343197041246121	0.192988762031126	0.259133063937877	0.31286010804571	0.300516812444537	0.652565191150726	0.451614920677479	0.439021545667178	0.26518391739212	0.391019956212817	0.231894678493463	0.316914678293856	0.250596758555059	0.301291183404251	0.340225323745001	0.251402624359195	0.351769772325616	0.295970126885687	0.446176112585147	0.429283891748544	0.252906677285619	0.379173637678078	0.422424287726571	0.186553693804782	0.347797317311569	0.239532774887176	0.447793395140153	0.362551688878065	0.373773883404156	0.200907036373824	0.311651309307446	0.293397740374257	0.268622862680711	0.436312629655626	0.385708671727039	0.360616345197467	0.413031737063868	0.340230604191274	0.266447882268787	0.384633484821618	0.471209280583908	0.140975111213273	0.508348902523065	0.300653673642876	0.381591324342254	0.237112722273866
bm_700099010	0.594369061268784	0.362087292857464	0	0.429169605955829	0.573764097243762	0.507140253302463	0.357002928298438	0.54324514768751	0.350358521320723	0.489227703057005	0.537464387627792	0.465279731276308	0.434532119943134	0.28540007811501	0.402927814261843	0.577106102442229	0.33604983437507	0.464237300803742	0.483358875452558	0.509476935945646	0.299489102418708	0.21814717270392	0.27464150631444	0.233058921495763	0.238615807953111	0.203083777269029	0.331012609659608	0.275383884743203	0.284536958384431	0.255302335493166	0.263915736629465	0.26896234661859	0.318589035280418	0.205403898850103	0.243088362387294	0.18535372989451	0.171115150707734	0.188470732989625	0.14844291942705	0.155161525575687	0.650979469350688	0.603452028888503	0.393698238321136	0.453707369890697	0.51725287290735	0.540552199045711	0.496829872946375	0.555506584647895	0.354327125481353	0.55269440900304	0.455458669578823	0.336684982357298	0.406867381147923	0.604280489303342	0.362435158965858	0.463768627693771	0.496874945600005	0.567010853437166	0.56167359031859	0.701633924106262	0.548911578556759	0.252977212212572	0.22003690972596	0.43602972727574	0.326487655615927	0.468503783602822	0.198220532642906	0.274047616170692	0.23282273330712	0.478174614261427	0.257723889776652	0.173347917204764	0.425156579315751	0.336069175668195	0.30152644003025	0.440707873240168	0.402835164482266	0.327912064430822	0.248389193142268	0.312532178925435	0.251015827767346	0.229413656079508	0.304769998264076	0.274223843205147	0.261124111506989	0.280160132001962	0.217525774795623	0.286704092594695	0.237371060043993	0.224236406163452	0.332381795291183	0.188340582464237	0.279088208262717	0.277212934029318	0.225590581568411	0.306236510229846	0.311180629705506	0.302038985505047	0.248325706393936	0.353791338145681
bm_700038015	0.319663979624012	0.250919124967877	0.429169605955829	0	0.267620221229847	0.287372856602169	0.284399177501949	0.259438407451253	0.402636241666869	0.32820139063557	0.310877971919572	0.258088043161767	0.214222224183793	0.295712504475328	0.136045424317182	0.250207674835871	0.145225184353391	0.268639623918099	0.14975682724361	0.331648352127579	0.611927385740601	0.516920320876292	0.312069136712255	0.371454992171758	0.579536404429403	0.359831640942728	0.481879081456461	0.330114586079298	0.554272287058996	0.382244434683605	0.298606403289621	0.396541164898987	0.467946850536996	0.386386692708656	0.317885366678944	0.41719456914343	0.472689249354307	0.393867047800609	0.463489835083481	0.451968744326021	0.358649154907308	0.291306748944478	0.344779005972714	0.306106391693458	0.285505257375903	0.324448418490135	0.335488716954704	0.302571270975272	0.237999402907647	0.250841206495108	0.246569393566347	0.292637806047509	0.3744557976808	0.334221174022497	0.37835031148571	0.244379525462671	0.209885302303665	0.24739067960928	0.356368259336924	0.548996153903822	0.313774726461	0.378093217564974	0.301381836647191	0.23855826554454	0.188919044086349	0.188194180573763	0.333075589889063	0.256048775228382	0.434930956061512	0.25488831311181	0.308030035980076	0.372719871544451	0.341101755937056	0.30703700830332	0.280103347794072	0.233481824738102	0.308487641145821	0.214009434055228	0.296228476049287	0.225604011954792	0.533394704545584	0.447870743860658	0.484821316298029	0.299949709385633	0.40954423046711	0.401897184773009	0.359510693051621	0.528425654911361	0.464489253178687	0.444269511074582	0.515961627579308	0.39747294256912	0.39960327983946	0.486194365477451	0.536819248382312	0.271359263335942	0.593442680435859	0.428310081573724	0.47200113698122	0.32072754056174
bm_700033734	0.155602102659846	0.404759408214423	0.573764097243762	0.267620221229847	0	0.32407334545513	0.410847090205636	0.13998556180727	0.479776184328406	0.261690967786749	0.177272874738506	0.305435273999588	0.297012670600045	0.462208926896391	0.28431423958112	0.105347037994712	0.334947776082539	0.323621854669427	0.192047339170857	0.209144664299325	0.724473511188641	0.652355542589988	0.470789672147045	0.564307631052779	0.696604131207042	0.504336415963692	0.633661504682261	0.498681250798436	0.672440469962075	0.54857339735851	0.467476153837969	0.568524254936197	0.635220211939903	0.535705419950791	0.462560666822202	0.572121327734994	0.596957967776415	0.543133784545032	0.59471973793263	0.590904965850608	0.136621329561612	0.133159943420483	0.468897964377881	0.445262475944832	0.273436725483949	0.347722652698056	0.397474315286834	0.268754659159004	0.312711236793348	0.205761234452998	0.256700440391563	0.348794686019041	0.433154057739858	0.145671175414665	0.475225156102777	0.340026051939788	0.20536947845299	0.169363499757885	0.331805628150679	0.451880567806538	0.131958934545283	0.508664006160222	0.472168509417056	0.209928878153076	0.315407788912659	0.22332787954571	0.488081640312142	0.380984628459728	0.591206491428874	0.285057253676766	0.395444154577214	0.526318805336928	0.265303296034486	0.399745155777065	0.444794666473255	0.209432345622909	0.2807770039401	0.398591999816758	0.388411308288589	0.369280778537309	0.660970809775526	0.607098998510656	0.629678435479422	0.478026417866572	0.574281393326326	0.553315942403315	0.533349889457683	0.675298339167274	0.594613124030288	0.596794157438772	0.655735334345248	0.558325185987033	0.563693148572714	0.63588453504767	0.665452282511353	0.455703792572231	0.708398192624566	0.588775296989866	0.608913893539044	0.487955691415762
bm_700024454	0.402873926800664	0.216645190835972	0.507140253302463	0.287372856602169	0.32407334545513	0	0.2621224181226	0.344684270221093	0.429676441642522	0.463312061676391	0.416055274798968	0.251076911472166	0.159879745376235	0.357279126516116	0.226068928372231	0.321780305470657	0.3013472910521	0.222523746993752	0.292983152670743	0.426346112149769	0.626571508873554	0.538624808958496	0.37340485137325	0.439917139212627	0.601539665234306	0.479064794005404	0.500019122102652	0.321788810900114	0.566742026390986	0.422612883690444	0.337949496600843	0.405869646539605	0.482132709509025	0.453862340272797	0.465170486115961	0.454699295536352	0.522364947620595	0.407678912460481	0.515003400705783	0.54896516867776	0.393408682631378	0.323663487605448	0.333277089282359	0.224996600148392	0.146646226807703	0.104360400796394	0.158425261580716	0.15049315255522	0.329727588730524	0.191840534987498	0.252146103981665	0.404058436709933	0.482938863475823	0.394942855687957	0.487665476126449	0.162761494217982	0.213188701109982	0.228193905245128	0.141824059214929	0.617543729441583	0.393164676924245	0.532860812736428	0.39900295135721	0.372866122403871	0.291154880242943	0.258869534554567	0.346522506195454	0.439617207978447	0.447925005498095	0.203244383513588	0.414201339606867	0.405238382766089	0.479247995249232	0.463026453212528	0.386031084052891	0.397383215907419	0.463790056748512	0.318383815096809	0.420290573548129	0.282521006769406	0.592270126414594	0.484691709608664	0.509256740339887	0.332921668724097	0.451334316198925	0.438581369073659	0.40175272707065	0.577278569575913	0.511334838878117	0.471361124345928	0.548360229476891	0.458821236076706	0.39334524310194	0.489152307873737	0.589203931487054	0.283529317344399	0.61716025752154	0.405336138635799	0.523110572729253	0.239860183480249
bm_700110295	0.448468579319731	0.282172880536458	0.357002928298438	0.284399177501949	0.410847090205636	0.2621224181226	0	0.366904439985375	0.344790040235153	0.432643898259155	0.430059509327363	0.259857686845869	0.275490134887818	0.343479691534533	0.21871907112019	0.397971048407848	0.273375216572663	0.247085781404087	0.305755181379251	0.419308551135816	0.497141536463107	0.384315451991674	0.204727610842262	0.300017771790226	0.461631153565928	0.338657450813268	0.405188224688296	0.214417950934127	0.420459797153164	0.279693379582159	0.192025296753816	0.296438925380572	0.356102808541157	0.324746434703702	0.309304143219833	0.306227575488817	0.369283411430125	0.291941364513487	0.349696656287634	0.390576714208276	0.480657789834343	0.418794017182379	0.372741605280814	0.229366619189952	0.309136791961571	0.311986899753607	0.26774056797492	0.339671202051994	0.275129412198059	0.344108028757431	0.296162239637286	0.348952947243175	0.486171623511592	0.454935364617785	0.462619741709426	0.275091624756699	0.304052169228292	0.362084481438237	0.344279031380377	0.620532191717541	0.429370709475225	0.390570749544452	0.315078196729601	0.337764421236783	0.283268125781896	0.259583680933453	0.280541690218683	0.394096122117274	0.320461236709954	0.276534533305646	0.331016304434205	0.295606045271977	0.4515389302143	0.34857999901841	0.32343603662717	0.370841536175502	0.451879385295664	0.247796485894187	0.338054980077143	0.239485242467884	0.496212870993598	0.359542248952143	0.425998072910334	0.247690891055894	0.364271831591575	0.344684074135097	0.272457445531225	0.464447859592866	0.402288237780636	0.338641945458058	0.439996144218774	0.325199242044141	0.30334533263382	0.380912373483375	0.457603731225892	0.24620297334721	0.510379995237101	0.313005078958592	0.41553801881518	0.230287342107413
bm_700033003	0.171766863757045	0.421643496676383	0.54324514768751	0.259438407451253	0.13998556180727	0.344684270221093	0.366904439985375	0	0.422328380351731	0.267080149066218	0.215048553794726	0.3052188234239	0.312377664543672	0.45374994880164	0.265681207588584	0.149922887867194	0.323990149836212	0.269693070816726	0.171745418029205	0.178983860007081	0.694587874612599	0.612634222433123	0.438840571661641	0.53730633292709	0.662773290305908	0.460194680964388	0.617436532041408	0.473895027544139	0.635234281720793	0.517750884144875	0.436813077781547	0.547357947307903	0.606043837445996	0.502276169976586	0.418026050261245	0.539748527432826	0.563481328632336	0.517798997937181	0.552851119055513	0.551939765815526	0.175416934553444	0.152333047881472	0.485526498804562	0.424122547762708	0.283041937408317	0.338314562295437	0.374531568915359	0.26848938094729	0.281701150798821	0.226446329223422	0.262649913568567	0.344568702253179	0.468796043928046	0.188271320210172	0.490251740647788	0.341176619071799	0.232056890054254	0.194271920749569	0.324202662518481	0.443519279835421	0.158140314227821	0.466002292237284	0.45191934508294	0.199407432349988	0.303398501855703	0.210887950420642	0.463305137712547	0.356581674067551	0.565306165089537	0.287358693025728	0.359149063871909	0.504577059332677	0.293476062878621	0.356901652228785	0.415170506119396	0.204410636385229	0.287692299757861	0.382688117249106	0.362904823451968	0.344446304990113	0.635693900783584	0.582353447413493	0.621243281747965	0.463084047118384	0.564507966514402	0.546453034187532	0.50852836413337	0.662420490882903	0.572573876656394	0.56792951753651	0.643450773014859	0.521854899556262	0.554100076576011	0.626278903957375	0.630510244005302	0.429575303134421	0.696787855141165	0.580422152919164	0.595524924929997	0.449520798140621
bm_700110762	0.475590930023205	0.430616773897217	0.350358521320723	0.402636241666869	0.479776184328406	0.429676441642522	0.344790040235153	0.422328380351731	0	0.411598468664603	0.440088267982331	0.369629408696628	0.419104580804452	0.44357632877497	0.38451406787581	0.47605628572453	0.383752539433683	0.279155408597579	0.394335620000762	0.405744459273942	0.506263479648404	0.477858291800204	0.335018421265302	0.436281266040562	0.469424945016422	0.390599609746277	0.525895879557598	0.456647077868536	0.383267616457189	0.416036845105563	0.387067328524036	0.49443439411914	0.493544013444877	0.407867417009587	0.335339640818077	0.396859193895859	0.414722107816601	0.414303755179373	0.322747964540239	0.432407532860514	0.537366818416397	0.487938951243905	0.497228131078522	0.377087217767988	0.403961404569805	0.445177922850019	0.402973285092513	0.441998379938124	0.277627911074095	0.43712103990552	0.349149656852687	0.356431003825894	0.556353185458399	0.504878815012862	0.524882475009831	0.404879893707202	0.42590871844764	0.452008541141858	0.461261976892248	0.608843502533111	0.466338600334836	0.360418013539546	0.456392576619074	0.384759076192783	0.411297478802442	0.404521910636157	0.433476643024058	0.422555060981977	0.474364616741812	0.404744314964518	0.383706791866081	0.421851349156152	0.478363243078409	0.310572702532308	0.435527676978666	0.441929552690324	0.502648681308353	0.379580244627536	0.353447345546007	0.39231803446297	0.495616772315542	0.488055247805384	0.552685611842557	0.412847284597092	0.499225674496244	0.476049670014589	0.423198466044731	0.538701791805918	0.492498094818466	0.427742784088648	0.518393722483552	0.456400273483583	0.478749297321092	0.524832937849596	0.474916634655289	0.408344630292953	0.569059578379075	0.533836690837536	0.507083933719172	0.415224442742899
bm_700016040	0.218829328320747	0.451163633819651	0.489227703057005	0.32820139063557	0.261690967786749	0.463312061676391	0.432643898259155	0.267080149066218	0.411598468664603	0	0.171612747660656	0.359320583971442	0.3795793978261	0.47087489386072	0.333802512933497	0.281435553878023	0.341100602226147	0.432786925698119	0.2864271378267	0.176163987274735	0.651244526377065	0.596505046730308	0.432780279671713	0.510503989045116	0.621079254898756	0.474051783650246	0.617250159190236	0.510713457998083	0.589614004608849	0.517866387164844	0.451526391912008	0.563611851522641	0.607096637813546	0.494378131453096	0.379244838414031	0.540479451043804	0.540993450330305	0.525073257157987	0.506675159391989	0.495117189128163	0.320118582912385	0.326875970726244	0.530577257034618	0.490505272575055	0.426848260381216	0.479618323300349	0.480813199800432	0.428218685318948	0.287362429937151	0.377608942002094	0.34957484159898	0.313330710893295	0.527899370347997	0.236157636837123	0.5265501017284	0.405754065090153	0.351268903804979	0.353460298875153	0.49204255449325	0.431467894202048	0.244729009664694	0.433236813714306	0.479180929279427	0.195109270326207	0.363098989618515	0.295999899087317	0.495082365098302	0.345641058880597	0.563648910853838	0.404660420974993	0.379426503166994	0.533581230721984	0.195490610966843	0.293246918556007	0.445544548336359	0.213731879538312	0.25840500171423	0.42632616042956	0.337221836710023	0.408559340311702	0.576341572608768	0.574658814882853	0.620737771834146	0.465344461063545	0.566814475849438	0.543805510349306	0.51097190685079	0.618100709893338	0.577875363266093	0.54988884653415	0.596621292050426	0.551323813826774	0.556890091193282	0.615869482664477	0.571962562101433	0.442881092516191	0.642022127588935	0.596207000364772	0.596248823912016	0.487297881117383
