rab.all	rab.win.Healthy	rab.win.NAFLD	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
0	6.39580723775306	6.60576823521962	6.24180104200155	-0.246100586470114	1.20729589149132	-2.13222797063185	2.26084439734207	0.178700890962162	2.90036309673787	-0.192100533578071	-4.18477921746814	3.19286675763261	0.417200000283783	0.417502106418728	0.787447729458896	0.249767235563743	0.602672356795382
1	5.98444460352253	6.11780123423676	5.85471473146281	-0.184480072745845	0.995184637931693	-1.84251605516666	2.27954070416048	0.158405775997459	2.7593481338707	-0.166745834766825	-4.03918503432453	4.01270451134713	0.412717456808665	0.687033527052462	0.89336554704846	0.243481210745211	0.598143902647096
2	5.56664923841233	5.95448539689529	5.25075908363035	-0.616283955309922	1.27168409735926	-2.96256398794885	2.06192494311753	0.219514683480108	3.38963718295445	-0.449273991102229	-5.09344082203512	2.46924376740692	0.307600000752802	0.0196959626040883	0.360948046580461	0.00918137818223906	0.184960924854384
3	4.84231569946646	5.30702364338125	4.75308326380575	-0.309798657309476	1.64563998957665	-3.12914668529795	2.88770136427828	0.284274468941405	3.69891088155529	-0.183785172865934	-4.11937427407026	2.96850132424634	0.424000000259325	0.340546458626879	0.753041068796441	0.284533671042948	0.62820828870774
5	5.09247843937805	5.20799537819298	5.02107593568047	-0.230032085588897	1.11139095372862	-2.49507234666656	1.74294990072175	0.172341067526675	2.80603328208509	-0.195248262110132	-5.3845098444737	2.80347479538552	0.404400000330758	0.105171789416947	0.483307764624827	0.191936419629571	0.555332901743088
4	5.10625872852237	5.27303886679417	5.01225410427937	-0.296812623317674	1.10918605076784	-2.56447425371221	1.57930524800568	0.198234154992509	2.78126610244707	-0.24796733451128	-4.43179758764444	2.38060360825503	0.38460000040631	0.092412651489065	0.475339798390989	0.136243574360943	0.490753384690398
6	5.05888397464273	5.30782781379519	4.82117018695518	-0.528598441398443	0.92457061296272	-2.10449892299031	1.35534365539456	0.158742413460466	2.22212573647162	-0.533101272923427	-5.3275807309538	2.21036874759741	0.279400000913069	0.00396785332240333	0.154152832488159	0.00234911069871221	0.124967819762002
11	4.84953704877763	5.08554367587038	4.4723024214955	-0.625132240234496	1.16487790407569	-2.71117310442335	1.52330889644457	0.172345830183827	2.73413045111631	-0.492640611141148	-6.19125885084729	2.19275097933458	0.299940012791263	0.00496330535443015	0.16436334847976	0.00539919221798365	0.145956537571388
7	4.11131536071697	4.40833195812449	4.00299373876246	-0.352083928275793	1.68180960458389	-3.12826349408665	2.9870970729669	0.265723877986894	3.93536867497201	-0.185365816605669	-4.06038089619996	3.24670093296925	0.420200000272952	0.396812870188704	0.779640550103256	0.296429223313501	0.635741002961199
8	3.8770366378428	4.48656189359085	3.79262809001052	-0.275263944257384	2.0060718792527	-3.83786005727319	3.21649149811578	0.294901995953621	4.40050252776144	-0.136982912413426	-4.29690243341614	3.25725515879619	0.446600000180054	0.330882577590659	0.747901926843676	0.4838849530865	0.760225360915915
13	4.32168607999395	4.55253869005214	4.05418480913647	-0.521496153081169	1.13262383626213	-2.80551621068165	1.86809961144914	0.155535080245186	3.00701579049381	-0.42855067537092	-6.20679467136525	2.82153110767789	0.288142372386072	0.0234825144338827	0.366758828482267	0.00365956469860863	0.131606396236227
