rab.all	rab.win.Healthy	rab.win.NAFLD	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcus	-3.18022995881663	-3.18482569581167	-3.16990965965532	-0.308160729453217	3.55012588191958	-8.54530756492638	5.20355500140077	0.438742734510003	9.47507847846376	-0.0786617066738721	-6.16626621653345	3.15684703982904	0.455000000151225	0.155433640073842	0.551667238963193	0.518796205951223	0.745351605288343
Adlercreutzia	-1.1482439616693	-1.36995576975454	-1.05111737207508	0.381176437892164	1.86515776822287	-3.04026424923971	3.93614192113721	0.293118049194692	4.32515899424494	0.198356913937062	-3.12307016415656	4.61372224301955	0.415516896910446	0.22322360941124	0.633326769963572	0.224713028270645	0.502818413160604
Akkermansia	1.85336510661369	2.10057775856201	1.77063091987009	-0.273694705207153	1.16678562838207	-2.61462151325337	2.01521841168559	0.176153634033051	2.99094264193671	-0.212778003976632	-4.59993840346576	3.17610259109551	0.396800000359307	0.198174026152324	0.62909959171996	0.125842625994976	0.462010159696435
Alistipes	-0.237654257780567	0.226059520954065	-0.498391000822555	-0.515287425771271	1.93495532393997	-3.80262500032659	3.62195096592882	0.310204737804764	4.7522483009438	-0.245638662056295	-4.31675666219023	3.55442135688499	0.396920616235531	0.290677823878275	0.660413670118725	0.164003139165291	0.47190880783342
Alloprevotella	-0.981851623039204	-1.29971631235703	-0.656435949314744	0.5875190596586	1.08029466539459	-1.47550058424459	2.39442002289827	0.189221554947909	2.42826892634794	0.518741437901971	-1.9828058214721	5.27854237965365	0.285142972283756	0.0030407189829114	0.131709298709297	0.00342695862537968	0.115150038036416
Anaerostipes	1.37951515525831	1.79057662124298	1.30951196358825	0.0194769048446672	1.89083007558209	-2.86266063000323	3.67919396899675	0.294984293992125	4.27738401736839	0.0104499513984828	-3.29413668246529	4.34304369905812	0.496000000013334	0.702991756239214	0.884245180853511	0.929046496919825	0.952160114757155
Bacteroides	3.60734452720612	3.7772074776588	3.50022323721778	-0.208112906087773	0.905748337789512	-1.83956633988883	1.67971004873003	0.151660808531367	2.21171682217612	-0.214799940302294	-4.17182466489823	3.11988848171891	0.394200000369197	0.234161736409901	0.644337001881974	0.14034029390736	0.465108342837998
Barnesiella	-3.11727618433298	-2.95958711486722	-3.21028078727873	-0.230800725227947	2.60275322474997	-6.29617430314109	4.13234591844525	0.402866028310526	7.3699444345001	-0.0860591393707767	-4.95811248416907	3.07567990793136	0.457908418457587	0.361501624881558	0.696913908163127	0.568348803206692	0.775399422653695
Bifidobacterium	1.16763556826544	1.44111183532849	1.04313938731307	-0.318154311996284	1.53819242625479	-3.15045731026857	2.69030126071309	0.255635915972922	3.71372849103187	-0.187231772933144	-4.07879107988396	3.24690495269768	0.409518096692417	0.323487834567391	0.671229406095084	0.214053493646869	0.495315599498455
Blautia	4.49504718786226	4.51527195881572	4.46762982174673	-0.0781863705798189	0.822781192794429	-1.52931721730532	1.55487143892456	0.134229980866159	1.94468274541747	-0.0899929104239634	-3.86348571954358	3.40171109151743	0.454200000153958	0.623959195926057	0.848982865540694	0.534252792713712	0.759417818202872
Catenibacterium	-1.96178744157838	-2.26832528133983	-1.80772052231716	0.492203134631591	2.18894127215594	-3.88770056538895	5.11166363097059	0.330029618071398	5.47811105797249	0.208224126830218	-3.34931937815648	4.8166947507148	0.39652069622105	0.266296441340714	0.651103982119299	0.166001644859332	0.474342837665168
Clostridium_sensu_stricto_1	-0.940553383871618	-1.16433357497891	-0.691511176452675	0.202593731532072	2.68406666318241	-5.08850373325673	4.5320797960351	0.407694981198881	5.76435395947343	0.0710090555233212	-3.89598059912077	3.71207073993405	0.467200000109806	0.917273330024179	0.942708373237733	0.682099234984427	0.84386845461068
Coprococcus	1.83706984575375	1.98604999777861	1.80512157745489	-0.0603330863693952	1.49734879445753	-2.7692337997922	2.66285572407152	0.186362645552954	3.35300504591923	-0.03627775929409	-4.50050880475324	3.80590051988544	0.485502899468461	0.849463733317622	0.921469869570544	0.87880386901244	0.928988455502684
Desulfovibrio	-3.84226990611036	-4.268609659179	-3.55838740639884	0.577579239315565	3.55206067763389	-6.78570826659349	6.83133890858411	0.597143013847602	8.9390512770357	0.146618383168416	-3.40838298009437	4.07902121381431	0.434000000223901	0.514723123156242	0.784163297463469	0.361690736135825	0.620024053245604
Dialister	1.32974293359633	1.35023077614532	1.30592997109074	0.13278172615214	1.41775874227871	-2.29251453531283	3.0529859813287	0.233329885655385	3.47004184354601	0.0912082982104944	-3.20803402254134	4.136575449417	0.456800000145083	0.428755948838919	0.738915798721668	0.575437821806907	0.786452988372907
Dorea	2.96664893179638	2.89276876721581	3.00633277946674	0.0462879626594916	0.944652856604407	-1.94009952776934	2.01650107956978	0.131971318372526	2.52281063690577	0.0434937072932539	-3.8420315756652	4.30071097455949	0.473505299028741	0.819398084847348	0.913817930142696	0.718451371091554	0.859105595314107
Eggerthella	-2.18551321709124	-2.33470167115345	-1.9406021577638	0.659967729410406	2.21351046454937	-6.17185109302138	4.30607785209746	0.330356457188027	7.37026417757259	0.228401918360017	-5.15872391772649	4.76916892522017	0.382800000413379	0.602078851842741	0.84263740306527	0.115717607247902	0.460432725512423
Escherichia-Shigella	0.190829315841422	0.333791544161118	0.13211203976039	-0.249328481260287	1.29262086696584	-2.49779157665843	2.2244038996408	0.214586039022829	3.11699978265592	-0.176789179433509	-4.01191608060452	3.01742429123319	0.422000000266485	0.346589956355336	0.68362590684969	0.307933409650177	0.568155755968358
