rab.all	rab.win.Healthy	rab.win.NASH	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcaceae	0.638414073498585	0.743489772617919	0.528558298957854	-0.317698681333844	1.16969953643265	-3.80810945140643	1.30485546530669	0.173143162226813	3.94874997518922	-0.22932173257817	-6.43969653098127	2.07944826075961	0.381400000418902	0.0293634697318584	0.465890430212252	0.145766607479364	0.713338034859422
Alcaligenaceae	-3.46426721702048	-3.7319153842341	-3.16813487667239	0.607274304219136	2.98716887389347	-5.82887963991274	7.0671323856483	0.352802536810766	7.69582760919843	0.183419922584448	-4.12963885858135	6.93560157753861	0.379400000426832	0.210474993657544	0.811100159324358	0.131972540930098	0.70664596209441
Bacteroidaceae	2.92569127128976	2.9864803856997	2.81463036043825	-0.186563057344439	0.944309484201835	-1.85854159511136	1.56530135248839	0.147786586879442	2.20101366871648	-0.184190371797523	-4.2955634058593	3.15778957209319	0.425114977259841	0.401005790629702	0.811555071280144	0.37377636553505	0.744215880550018
Bifidobacteriaceae	0.403937560314579	0.681891460370773	0.305375666469008	-0.467780190032183	1.56043901967398	-3.11397598265161	2.73916676121923	0.23963195822684	3.7007248614542	-0.271390979704251	-4.52262885106367	3.4409524664141	0.382400000414954	0.295799891413677	0.811430900827366	0.203113412077183	0.725530641459786
Christensenellaceae	-1.46767115224794	-1.647210021452	-1.37963601500284	0.303183585528469	2.14489555942721	-4.60148342400377	3.90909929477621	0.28893814720143	5.6864556945393	0.122360434288387	-5.11473996848386	4.67068706303057	0.436400000215487	0.857130914996448	0.920128581060548	0.467821914923275	0.764786335600694
Clostridiaceae_1	-1.57148293936685	-2.029486667574	-1.09044918579444	0.304431787081169	2.84620493833584	-4.98849476961501	4.71131093015832	0.418473584063012	5.8035078099209	0.106410845915921	-3.57502047102422	4.17166951283893	0.459308138508815	0.63395305417523	0.827959498758134	0.593771950943508	0.791921330937857
Coriobacteriaceae	0.432734258125302	0.12275690439379	0.588546977375359	0.144620611554385	1.63373662665853	-3.43194105590183	2.6227057998866	0.250092226723652	3.84311286788222	0.0882156240641895	-3.91833439612997	3.55278270491115	0.467200000109806	0.955111811699967	0.966043006900615	0.600437140997122	0.792399674110618
Desulfovibrionaceae	-4.75246439496063	-5.02036572663713	-4.30958886320184	0.308687751659039	3.61487597692328	-6.9396414978481	7.65810205227685	0.62247292255531	9.27091306793856	0.0791229633638773	-3.73312435786151	3.86700602208181	0.465400000115888	0.750256517622561	0.870731078651708	0.634577563684794	0.81100904137346
Enterobacteriaceae	-0.471962991019084	-0.365617082848241	-0.512019812009223	-0.233724988986207	1.30438664191502	-2.77510451897585	2.26247023491118	0.188527817099445	3.32556498640297	-0.165311028701556	-4.57561162394082	3.39190540265206	0.414317136866818	0.287535638792613	0.811430900827366	0.264311686055679	0.731529567483467
Erysipelotrichaceae	1.91622152881697	1.98442086368521	1.90046896452964	-0.00130292507506669	1.05965971599138	-1.62527798858186	2.57711296669287	0.161203357677999	2.78193182788308	-0.00126197198857033	-3.29879631384323	4.34680399344345	0.49950009998167	0.568973483761558	0.821973224210306	0.947397264197332	0.958507098591894
Family_XIII	-3.19164517003159	-3.28875624766765	-3.1299367586605	0.204531021657102	1.73830597805039	-3.41406057799226	4.37709511959341	0.248971277407658	4.98434589436416	0.10538000899265	-3.49110130385713	5.22321723026411	0.441800000196665	0.271556699168183	0.810854482729256	0.448543814228179	0.758230967298154
Lachnospiraceae	5.70424436732683	5.88531220127122	5.66327292936809	-0.164884647248748	0.790464853902497	-1.43746349869459	1.49576527898341	0.114458130312947	1.88230203954293	-0.192112748530764	-4.09465269815379	3.52356231688389	0.419316137048672	0.497667037903984	0.817680324049739	0.361979578949412	0.742693246707992
Lactobacillaceae	-0.857289521600221	-0.86508449411136	-0.856297948499044	-0.08264319199633	1.85150656202364	-3.6261022174733	2.88605587861869	0.304727453810355	3.98622077418594	-0.040984035911465	-3.75301468864597	2.91968699358263	0.480703859292545	0.57153621491719	0.821788679316372	0.785450521283001	0.880185054301342
Methanobacteriaceae	-0.854704083233401	-0.703137740343045	-0.972180053983634	-0.000529477215330587	1.88323560887732	-2.95936799359645	5.83258044868254	0.324943740578285	6.77188002168189	-0.000330455738778292	-3.24098318050115	5.03839241869359	0.499900019996334	0.594847258808597	0.822847293567934	0.908159927501631	0.940125324895421
Pasteurellaceae	-3.3681556466725	-3.378306322929	-3.35938713442378	0.205071738088437	1.98219130598581	-5.05160751259756	3.51046420079914	0.301315011120542	6.18502205550407	0.0845591242805271	-4.77481736014784	3.8553413484216	0.459600000135552	0.913968504963358	0.945479473866506	0.590845842012412	0.795339511058566
Peptostreptococcaceae	0.884837607964451	0.923435705141212	0.863023536389016	-0.216565968152654	1.15727666895719	-2.33237145630269	2.07570397743507	0.174285060069724	2.79909469199294	-0.172893161736683	-4.31442242175174	3.25860923638482	0.428114377369153	0.37109279951793	0.811467781564674	0.37260169509008	0.743819321635619
Porphyromonadaceae	-1.13858364622224	-1.62546563613219	-0.947943148676308	0.542063701000219	2.05852882877136	-4.65419779409384	4.16975593509246	0.245979617965472	5.98620851160131	0.214583514080692	-5.00813858249851	5.48102543454216	0.386800000397719	0.620508403628098	0.826278093625072	0.155556293954582	0.713299373596355
Prevotellaceae	1.10680764400016	1.24679172963857	0.915384529975667	-0.280348636433398	1.31523776214349	-2.44519837123203	2.37646308211041	0.199449895573165	3.11121672670177	-0.198142519334102	-4.00308808378373	3.22500779742457	0.410917816743265	0.448861842524007	0.813658912710471	0.303442775396928	0.737891561910009
Rikenellaceae	-0.820521909992284	-0.558745590954625	-1.36135024684217	-0.48866763841915	1.97363941988323	-3.9393552895341	3.3641965467746	0.319338786412342	4.52411437319314	-0.243833050845078	-4.39235721421248	3.41248222429038	0.401600000341215	0.357575124659044	0.811474961880123	0.244417523717307	0.73100770536246
Ruminococcaceae	4.43389442248882	4.6287397536662	4.24238596546505	-0.33225255561117	0.844668130552414	-1.84883961232076	1.30069380440353	0.1372419929057	1.98269328941119	-0.36771957880884	-5.24612161286788	2.39269617432192	0.323535293613051	0.0504924120401988	0.467833545161289	0.0345325061998072	0.691555118146032
S24-7	-4.578535414393	-4.68105230072865	-4.38676986239901	0.277626086696007	2.36405784645727	-4.45031673733008	6.31699914125606	0.414191466181713	7.59441139939821	0.10438647796962	-3.26119593323887	4.63028959214041	0.446400000180744	0.426374575723308	0.81221794494814	0.513063902545708	0.775641093710853
Streptococcaceae	1.77981929234865	1.809545447126	1.64866106711757	-0.123721492695667	1.14389040819221	-2.78410945554469	1.80952017789394	0.194226597298449	3.19282182514335	-0.100657177757437	-4.34080558939827	2.93929626210737	0.458600000138952	0.388853781866106	0.811494388933952	0.629542792984843	0.799936285098102
unclassified	1.13874139682481	1.18674869853498	1.02245888174754	-0.0389613287501116	1.2851373335488	-2.88368268291857	2.27828001643925	0.206073367924922	3.50236021947084	-0.0285366659677297	-4.11974220579962	3.52437306858007	0.485702859475792	0.728354551948205	0.854905204729202	0.858894239461789	0.916623162925999
Veillonellaceae	1.58728948007624	1.45423318766332	1.74343646438575	0.434283760165624	1.27335856808854	-1.89934204801341	3.03722375486528	0.193935015883365	3.15408644841409	0.316134231111997	-2.50674818701958	5.41782788472477	0.358328334846389	0.0524557251288422	0.468613474475247	0.0842730570485258	0.702600973612727
Verrucomicrobiaceae	1.14952838736905	1.36910987599945	1.0284355821487	-0.157979907683912	1.30774196207102	-2.51879519860167	2.50312911285398	0.213999209118477	2.97863702272278	-0.116862244942666	-4.0529253454151	3.84419481698773	0.450509898186928	0.7081544792966	0.84888879775753	0.537466875452194	0.782037760026702
