rab.all	rab.win.Healthy	rab.win.NASH	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcus	-3.21416205170505	-3.18461461185912	-3.34379350702715	-0.47679426135111	3.41343091926888	-9.28323709874843	4.31503376037111	0.394550788957588	10.3962412076092	-0.128705425664631	-6.94769968394902	3.06581788519554	0.426514697310847	0.116885936132618	0.665196545705204	0.421361355320563	0.767989868438786
Adlercreutzia	-1.26328754073749	-1.37554801294513	-1.21199328525313	0.260553448545422	1.98221282338835	-3.09787844836143	4.28906637546654	0.292619746258925	4.70634514411252	0.12288486608428	-3.09936660563519	4.59534755918199	0.440711857828839	0.411161476649615	0.74104434639862	0.476814567999437	0.7763523084959
Akkermansia	1.9321621697711	2.10108956357037	1.84806287375052	-0.18546158762753	1.18404247977882	-2.51552856775105	2.20906356821006	0.164730739747162	2.93238555408026	-0.13551463771315	-4.38183582577959	3.87324152822575	0.426600000250056	0.540887002867188	0.773125537762524	0.39376617745756	0.763339460829737
Alistipes	0.0232761460072854	0.226876373347962	-0.585389111151347	-0.464485385743437	1.9803077729605	-3.97041452438982	3.41354396447886	0.336777038467971	4.75150867691071	-0.224613049230808	-4.16283652233257	3.05725183738776	0.417916416997734	0.301911763075231	0.679494241620701	0.255295832822748	0.75408535723796
Alloprevotella	-1.18318152849621	-1.30035234541628	-1.04107544825362	0.384064666613607	1.09692949983933	-1.67099289885943	2.12480834546602	0.180755693642989	2.35349636167483	0.341352596690802	-2.60150546298879	4.76489018346614	0.360327934917894	0.0784400218184369	0.664731565809826	0.0746659328545899	0.749854360078612
Anaerostipes	1.45642924299325	1.79674719981678	0.963348165449612	-0.147126440389779	1.9266374002133	-3.12571896160192	3.40245008762295	0.293188037479184	4.13924651172326	-0.0770811878580635	-4.06071134916762	3.6309510688812	0.47110577894083	0.808742870898526	0.91211914121195	0.774987880692964	0.842014945477032
Bacteroides	3.69244219572473	3.77625494576675	3.50980036535955	-0.22066873248257	0.938460973056941	-1.92426961294657	1.65194852760514	0.168668835364154	2.28632134314254	-0.227935335022172	-4.14708799283096	3.01028010195888	0.394200000369197	0.277904639639755	0.668116661347275	0.201382479794455	0.753172249964695
Barnesiella	-3.06518059717172	-2.95973596123024	-3.20605004334688	-0.168288432999117	2.59104070803621	-6.44825404102235	4.05395856827765	0.379864277449357	7.44289863183412	-0.0554135595950227	-4.68863503043475	3.44859172324841	0.472800000090936	0.434268590792258	0.743516112137318	0.728403982308189	0.834925222298686
Bifidobacterium	1.15503066909518	1.43829731152173	1.00469728214084	-0.427595768806156	1.58859640617835	-3.26334493855179	2.46523060489231	0.236458385869479	3.68049775912222	-0.250128264423845	-4.49754610414934	3.01149712583066	0.385722855830672	0.226535888011178	0.666479289872127	0.171542986386342	0.753172249964695
Blautia	4.46114490437965	4.51604927789654	4.31543108519687	-0.193978380298395	0.827793885623547	-1.66927287423162	1.45030849451247	0.13597949077565	2.02231493854872	-0.224898263593678	-4.55552607272724	3.02431063833252	0.394521096148669	0.252671138444751	0.666500521511487	0.189341596065404	0.753172249964695
Catenibacterium	-1.974262136585	-2.26521331174048	-1.36550285662362	0.702412947555453	2.28543622943075	-3.85718528550378	4.76062623245632	0.34059249191995	5.09804820132909	0.289992269321062	-3.02088289919241	4.72966087307829	0.374725055434377	0.191577317887976	0.666553323864188	0.14081502686565	0.752971853925962
