rab.all	rab.win.Healthy	rab.win.SS	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcus	-3.14131768149639	-3.17574789564012	-2.91018003690187	-0.177662264670643	3.69851251048356	-7.46248952146646	5.85000369719192	0.431987059094156	8.40168203798327	-0.0465011297088132	-5.66747988472581	3.7406750030828	0.478400000072134	0.522420159184845	0.799494783302663	0.845454746666181	0.955727034453614
Adlercreutzia	-1.09662395094637	-1.37146172250292	-0.806797941609241	0.619559333327057	1.70520141601914	-2.66565975971104	3.64659848085827	0.266054304657799	4.09258457608966	0.327479555743846	-2.70838370006823	4.68808639330039	0.363600000491223	0.145711387404698	0.490368160181818	0.148245607663414	0.455563880741649
Akkermansia	1.86599092729558	2.10144414600113	1.61229781943062	-0.463008172675971	1.1039643848746	-2.80019221865993	1.61680752052783	0.163552330434038	2.93640332908215	-0.368226856233255	-5.75523643127128	2.53097056151089	0.322335533570942	0.0488849844979599	0.334701073628108	0.0620795992304299	0.278135619291461
Alistipes	-0.0309004114113609	0.226143000940374	-0.431520390387901	-0.555186904111138	1.85926466173369	-3.71778921148143	4.13847888949935	0.251446089465218	4.72733408455563	-0.266752425475065	-4.60295202653757	4.18184874852198	0.384800000405527	0.490813663123429	0.790539329158374	0.23139332930176	0.537658882033846
Alloprevotella	-0.968972798132435	-1.30107275504891	-0.401449670372717	0.878778610992303	1.03028875014455	-1.03814045609772	2.71663504574448	0.170746886723846	2.27024665597764	0.798910314966178	-1.38567300503296	6.78139302637733	0.190361929287987	0.00061218675501429	0.0269147810729199	0.00064350795667515	0.0282442662530378
Anaerostipes	1.49292701436975	1.79579578845664	1.37082261089501	0.404014650738616	1.85213221233194	-2.36309960610865	4.1937910573727	0.19522057847156	4.17925160328213	0.197220455530525	-3.41764747835773	6.26331417255861	0.442111577879968	0.240486519257339	0.632021574098644	0.561749105266278	0.869648207004328
Bacteroides	3.701643223751	3.77756462452919	3.44599124849293	-0.23295658288752	0.844878557920441	-1.66322577064824	1.69778305401138	0.123985136702341	2.04649618252237	-0.25311755711254	-5.04161896926085	3.512709212829	0.386322735852328	0.413308213431259	0.774954652121927	0.24437583240946	0.550848817073975
Barnesiella	-3.07965999846297	-2.95144992228266	-3.21695651476071	-0.341885244162868	2.56708082752795	-6.5062747161073	4.16343233460117	0.356030785290075	7.34868509296167	-0.115770860121421	-5.31506271623396	3.13996470837212	0.433200000226713	0.365353228967153	0.735351304361728	0.512003347294049	0.828867857156224
Bifidobacterium	1.41966264656014	1.43911451623592	1.39705760740134	-0.207239001684915	1.45892464501548	-2.86762778857364	2.80662729306833	0.215931813767356	3.66875748854206	-0.126455498616338	-4.20819767617303	4.01810956996111	0.436200000216186	0.715364873987448	0.857037168792331	0.558971010212057	0.867489284574362
Blautia	4.55252383688625	4.51866895306927	4.60433398798306	0.0872849981623869	0.74017776036296	-1.18923909260137	1.63497674317045	0.108569124667806	1.75737396678736	0.110771029655935	-3.24902753127497	4.87973096883679	0.447910418091884	0.469956338204242	0.787855251846418	0.582178233342389	0.874948967175601
Catenibacterium	-2.08601108046274	-2.26438474854421	-1.94248289062603	0.275563510444031	1.84040236955171	-3.97070163427602	5.63137002549567	0.265963639211437	5.89777387230356	0.118127582484029	-4.30185969469822	5.33074325175426	0.429914017434768	0.668811334912581	0.84204520853454	0.480631647342025	0.812278558992539
