rab.all	rab.win.Healthy.Metagenomic	rab.win.NASH.Metagenomic	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcaceae	0.723252620499642	0.953073616604485	0.539462255651757	-0.560693346392133	1.21089790810931	-4.09606693639659	1.04730722375647	0.127735546452266	4.20257298385147	-0.395650923062824	-10.3994057663047	1.72376468308202	0.284743052270136	0.0690499730136827	0.431296327004065	0.116060631319145	0.542480670122905
Alcaligenaceae	-3.68728929658849	-3.41203327606585	-3.77177394145288	-0.290790705139193	1.65678555832965	-4.71233014257548	2.36305131312708	0.244761136543645	5.28130993876559	-0.144776655060539	-5.47560172964242	2.68466391519834	0.434313137595238	0.378695793256794	0.72921131327245	0.652257929377125	0.897384183812329
Bacteroidaceae	2.85452223320869	3.05598313250133	2.67900940062897	-0.286285426855007	0.88497985844558	-1.79557765194376	1.23615432573175	0.0968701780764987	1.88623570370557	-0.322979192375415	-6.08655564912227	2.93373127974343	0.35012997455386	0.30781018379334	0.668459732868635	0.280514581393838	0.68018826365171
Bifidobacteriaceae	0.43130968175852	1.03993109772382	0.129601334584063	-0.910102208033547	1.11085695780006	-2.65140343518628	1.48819758037867	0.106131752881329	3.06227751320714	-0.831597643039872	-10.2446208538445	2.12060037524963	0.189562089265733	0.0242120365250286	0.241027380020784	0.0208237242633527	0.27122008216242
Christensenellaceae	-1.47480956732519	-1.64581106481858	-1.34743318789083	-0.0842802441336348	2.48558040219313	-4.84466596883439	3.7132262497493	0.240460934463905	6.0686550218681	-0.0312856677708616	-6.921826499118	4.308115308991	0.49100000003001	0.578929874474475	0.869380676971873	0.934145564961354	0.973494349128724
Clostridiaceae_1	-1.48842823127433	-2.2794439704696	-0.498691128819738	1.28932573926214	2.5305379034332	-3.86226165206648	5.0593223069031	0.261408477759459	5.56543411550025	0.47492090574724	-3.03732539019898	6.79977261777928	0.339732054184444	0.205331525810375	0.652113388003739	0.240080203078655	0.650758212189123
Coriobacteriaceae	0.540985495968099	0.138523961662418	0.720038538252495	0.801303836205253	1.14180488858206	-2.47862252885572	2.685122674964	0.121238309092431	3.56471350825595	0.506270902251067	-3.42073098536391	8.21262192477253	0.256800001061895	0.212717130887585	0.6524312122925	0.0720261209378856	0.425678145359996
Desulfovibrionaceae	-4.63788768646904	-5.2879240002109	-3.75281983963064	0.678338288069776	4.60975927642359	-7.35781838500967	9.51124474738216	0.611982436720725	10.8807744557742	0.145136604222694	-3.11391713961442	4.3115575911514	0.445600000183505	0.605589255596602	0.854492567245527	0.713709746909437	0.91469652849638
Enterobacteriaceae	-0.45360958126928	-0.483184154874564	-0.45360958126928	-0.137044462379417	0.974267132637518	-1.90625418263579	2.42208904917576	0.0913871650908783	2.80379263411416	-0.118438716183817	-5.34772873889471	5.06535889884768	0.441400000198054	0.862133002661179	0.904674140212558	0.690836865920457	0.912016230195213
Erysipelotrichaceae	2.10217134115352	2.27188857070022	1.72356385014542	-0.307556031543974	0.93689501953591	-1.67766338770705	1.5366822022726	0.0800001995576801	1.8726688118249	-0.363041695134644	-7.36091143308005	2.76047028320262	0.322935413591993	0.238417202636598	0.655221177753052	0.198403451038126	0.634873681430186
