CL-116	CL-117	CL-118	CL-119	CL-127	CL-128	CL-130	CL-131	CL-134	CL-136	CL-137	CL-139	CL-141	CL-142	CL-144	CL-146	CL-147	CL-148	CL-150	CL-151	CL-152	CL-154	CL-160	CL-161	CL-165	CL-166	CL-167	CL-169	CL-170	CL-171	CL-172	CL-173	CL-175	CL-176	CL-177	HLD-100	HLD-102	HLD-103	HLD-104	HLD-111	HLD-112	HLD-22	HLD-23	HLD-24	HLD-25	HLD-28	HLD-31	HLD-34	HLD-35	HLD-38	HLD-39	HLD-43	HLD-45	HLD-47	HLD-50	HLD-51	HLD-53	HLD-64	HLD-72	HLD-74	HLD-77	HLD-80	HLD-85	HLD-87	HLD-94	HLD-96	HLD-99
CL-116	0	-0.247118109592361	-0.163571726750301	-0.168648967508314	-0.190058701036263	-0.233190883240085	-0.22486507497967	-0.0942312048251036	-0.204472041627899	-0.104646990719744	-0.302948007279678	-0.287740401094012	-0.131313564255328	-0.194607767909935	-0.205502059799362	-0.270573174694396	-0.160413217933765	-0.161862716677326	-0.093066584960702	-0.330921688266233	-0.262971002720451	-0.170361144233807	-0.339506810055968	-0.12079401857168	-0.127837398092234	-0.267548636805974	-0.308441048335071	-0.110533056458567	-0.127661132236873	-0.0951693784476242	-0.15759155336362	-0.217748181188213	-0.176911381534315	-0.181020685070829	-0.239740899863286	-0.220114593667379	-0.175432439719952	-0.384683619363977	-0.232809811320053	-0.139632883131052	-0.151690442141403	-0.204940957014573	-0.333889986193183	-0.367286395310078	-0.23216298089698	-0.275368831211554	-0.165591034635998	-0.431477980866113	-0.241499508820325	-0.115740933789063	-0.178416636758565	-0.198626752348957	-0.123164517789397	-0.185475698010187	-0.213781211394507	-0.219019035141768	-0.225929830442012	-0.239787341924696	-0.242535595400013	-0.190138751487785	-0.174246015936167	-0.217731221141555	-0.193435715338092	-0.27145036793484	-0.307753651952245	-0.156578348960393	-0.276569176471177
CL-117	-0.247118109592361	0	-0.262291432331973	-0.264358419381198	-0.269737467958526	-0.304934222270111	-0.344243360189969	-0.250421972264182	-0.289270703924308	-0.236543235595486	-0.312484492119431	-0.349332613259255	-0.251340024023047	-0.310723540616352	-0.333825722095159	-0.362193995879926	-0.295489774387377	-0.263447730577385	-0.249331174913491	-0.294793268996778	-0.331471165279728	-0.319212009172174	-0.304604357932738	-0.239040809514937	-0.271976004677822	-0.38480658009135	-0.37737002285209	-0.264185765804148	-0.242650929606857	-0.257535550504779	-0.277507047288872	-0.300839844587211	-0.283694988888222	-0.276825565951417	-0.32353575225694	-0.318667402206405	-0.281068326654184	-0.338638352995531	-0.279084734298815	-0.261193532049797	-0.267128674014704	-0.323357427579147	-0.383384087622164	-0.339515885179045	-0.310277387046951	-0.285128404168559	-0.288194629152963	-0.374718055401047	-0.282836723573933	-0.262283627731805	-0.263880766174777	-0.281099372164055	-0.25603133890092	-0.304662554460118	-0.313151582721325	-0.280232118097645	-0.333765073435793	-0.26740114099929	-0.295886159683495	-0.275283503353634	-0.26788090395641	-0.311901777399747	-0.312849592438597	-0.339769006810434	-0.387094516905582	-0.283553043032712	-0.332608691808212
CL-118	-0.163571726750301	-0.262291432331973	0	-0.210187341971435	-0.209237241774896	-0.205049885152786	-0.272525559894308	-0.108322180761616	-0.171904703174052	-0.147856818051463	-0.300649474013642	-0.292118117038839	-0.200761008392436	-0.221736077251693	-0.197116411506379	-0.345125891736346	-0.240965239668536	-0.126310360482017	-0.148817123163211	-0.300710671461864	-0.235512110999092	-0.244324652565032	-0.2897727327242	-0.155802298956385	-0.151592572459563	-0.290592611999151	-0.360724091064856	-0.127602724707181	-0.145248464854034	-0.153800318754392	-0.175252683333924	-0.286887753179524	-0.143440129841857	-0.245588696264911	-0.23746594882632	-0.244007735887676	-0.182700239370888	-0.387566445486255	-0.129868929572121	-0.170171211736859	-0.171631016043691	-0.238124001511864	-0.275276753080799	-0.375933661224283	-0.277878037015034	-0.241330771413501	-0.210394736460031	-0.376987926378225	-0.254289118348011	-0.112743602566452	-0.205232467424069	-0.140082427110549	-0.126679389946858	-0.174880087102885	-0.208482612052297	-0.151037141705003	-0.215561244220799	-0.245288265279221	-0.283037481043328	-0.196925066317767	-0.166650092808347	-0.220735359461121	-0.231559645228647	-0.272463390767165	-0.345587670832367	-0.199118297689871	-0.207490714085252
CL-119	-0.168648967508314	-0.264358419381198	-0.210187341971435	0	-0.238630384498053	-0.261842474803605	-0.254441920535089	-0.188801244697079	-0.241943986284375	-0.181068377507743	-0.36611444414716	-0.300132215467861	-0.172175215242332	-0.255867883735138	-0.269907906228119	-0.285302477047244	-0.20354631941627	-0.189538788735044	-0.173287360145607	-0.381279091119446	-0.29176796971348	-0.224945241303816	-0.389857320532226	-0.171081033938289	-0.201405845262324	-0.283219005924675	-0.283968850992369	-0.203303218296937	-0.172041958826086	-0.140519974915595	-0.243787691497278	-0.171921802881668	-0.228522380754011	-0.164097962061723	-0.243499193449704	-0.198741645861826	-0.206345977081246	-0.384868087469555	-0.279976759921345	-0.180015176460697	-0.174355811212201	-0.235350152173113	-0.362538051172493	-0.405065368849778	-0.286575552469864	-0.281175178585207	-0.18277367244991	-0.48112249735933	-0.168005307096572	-0.196820148436056	-0.22214942952613	-0.235821934975347	-0.202811642687337	-0.212440568574489	-0.227523763809916	-0.253520034050068	-0.231626533835465	-0.286396987846158	-0.322213196472349	-0.219094462282683	-0.216899232902984	-0.246691526160929	-0.241714912688928	-0.28988202616353	-0.296099395276048	-0.218468760166261	-0.291984472731658
CL-127	-0.190058701036263	-0.269737467958526	-0.209237241774896	-0.238630384498053	0	-0.227544046921603	-0.280934064329709	-0.18096468780383	-0.241462724177333	-0.183426200825128	-0.286599497787474	-0.272391334118572	-0.227409328011971	-0.286474771093355	-0.221062727645509	-0.239655801434755	-0.293295886364106	-0.220461688336523	-0.188289919079201	-0.293529011519289	-0.252405529276121	-0.288467466509895	-0.329678889783039	-0.168464436837597	-0.220756466909569	-0.292551730326134	-0.30817025564002	-0.171288625365224	-0.192115815932321	-0.195531274557062	-0.195834380080187	-0.283457669130675	-0.206043091145078	-0.229430816203811	-0.286379927752663	-0.252513981039833	-0.220966182429312	-0.436319865833292	-0.204204961874829	-0.244205628476718	-0.206734590911446	-0.243921884451065	-0.344865321590626	-0.329277282384402	-0.310530729786039	-0.271714873078288	-0.256494598876308	-0.415746044030952	-0.282585041238491	-0.180553470330676	-0.238152689158805	-0.231516407883166	-0.177562504206607	-0.261603460597329	-0.250735024921691	-0.258197729227485	-0.281545320178674	-0.291660268495845	-0.271199237773336	-0.248385994970577	-0.225172914678449	-0.290459789762729	-0.225577224520922	-0.281689986532562	-0.411389238587205	-0.231067985444893	-0.269263426166576
CL-128	-0.233190883240085	-0.304934222270111	-0.205049885152786	-0.261842474803605	-0.227544046921603	0	-0.291838890536431	-0.194162892634534	-0.175315033112171	-0.188001450674783	-0.343773844743774	-0.28476424714029	-0.252379472070002	-0.237966518499709	-0.216143886130719	-0.345067334270646	-0.294147914624272	-0.167364971693266	-0.193327508744192	-0.347751877299759	-0.23618414955092	-0.296941747168747	-0.321489873405631	-0.185573933712218	-0.230337665387581	-0.278027533273123	-0.401943300855726	-0.19034595346722	-0.200455384932324	-0.204849580369863	-0.216020149382194	-0.30923105282013	-0.175865294808186	-0.262230121256201	-0.272411912546561	-0.299941909888842	-0.196914824900593	-0.4018306817385	-0.212903389958505	-0.148284091153255	-0.213787608107576	-0.281198285772267	-0.298754180270232	-0.332040672405881	-0.332850194265473	-0.244202491047808	-0.221597010953453	-0.405501116501434	-0.262904262436264	-0.161424522817603	-0.223935292924865	-0.225744665632359	-0.189256000251246	-0.255835354006286	-0.202954896181022	-0.287272145994009	-0.230064995857549	-0.323373818486801	-0.275386781660833	-0.244421920547892	-0.185608540870803	-0.284633013519893	-0.278638419774855	-0.303055180920104	-0.376306418150283	-0.222892059083497	-0.200992948150174
CL-130	-0.22486507497967	-0.344243360189969	-0.272525559894308	-0.254441920535089	-0.280934064329709	-0.291838890536431	0	-0.230987395686754	-0.281394019105916	-0.221867815705076	-0.358927101664803	-0.325076207220174	-0.230399421383199	-0.213160672734578	-0.261784008601202	-0.366293192068575	-0.258834607949605	-0.242578566373171	-0.197215469949358	-0.418724414926279	-0.276628371212864	-0.286104847550642	-0.411438219443191	-0.2298546666294	-0.248066171713504	-0.260366444477812	-0.373653741838687	-0.232070415406378	-0.215273212875972	-0.224523266456734	-0.229422180512413	-0.302905398369879	-0.248199588944151	-0.286083131684252	-0.281135123865968	-0.268310720451007	-0.2506016744955	-0.403605395500629	-0.329871530573839	-0.241645055937231	-0.274488411419405	-0.280782271701641	-0.391226483745935	-0.421016424766796	-0.293292619469698	-0.337885487070885	-0.234069006724796	-0.487592103746403	-0.302999697096939	-0.233469834053548	-0.241181552536465	-0.296964804386704	-0.232550191421446	-0.286668812493991	-0.257060259735434	-0.304821536814684	-0.29637785418499	-0.363728951615816	-0.307047517233519	-0.242522882017696	-0.270352205745446	-0.276164704483083	-0.287831816381991	-0.250884600465853	-0.35482298750962	-0.237228074917857	-0.342033579566099
CL-131	-0.0942312048251036	-0.250421972264182	-0.108322180761616	-0.188801244697079	-0.18096468780383	-0.194162892634534	-0.230987395686754	0	-0.166416689410236	-0.120888143648206	-0.274376448666826	-0.263862064477142	-0.160722723142762	-0.180828327556489	-0.162587219322933	-0.3207635179637	-0.202664797389968	-0.126658663988196	-0.0942332692236882	-0.299169145025318	-0.217514538607424	-0.205341864894073	-0.297016037174217	-0.121049001266148	-0.138494650754399	-0.272063879702704	-0.349392277074624	-0.0891986900549176	-0.0986752296065688	-0.120662827630054	-0.128597187067745	-0.257328147816415	-0.128540071609395	-0.219505539460666	-0.231896205105366	-0.225440050255561	-0.158428274700599	-0.378216035095301	-0.17549235160321	-0.156414508343792	-0.157262355596091	-0.230272770658203	-0.295638922693055	-0.359430316332319	-0.248378199728985	-0.252303604586869	-0.191564505911342	-0.388864421229374	-0.243372402972322	-0.0645269220894579	-0.169545422753603	-0.159779257047338	-0.0855754996791196	-0.17618359129049	-0.208380983080116	-0.186192060939429	-0.215910233182931	-0.247152019798499	-0.231658559319228	-0.175085446764703	-0.160214213620082	-0.213104908083322	-0.22024795275966	-0.250059592072986	-0.322763598845313	-0.161023310205925	-0.236811575887496
CL-134	-0.204472041627899	-0.289270703924308	-0.171904703174052	-0.241943986284375	-0.241462724177333	-0.175315033112171	-0.281394019105916	-0.166416689410236	0	-0.157130954401442	-0.320242291396572	-0.243273654082153	-0.229454624371054	-0.208209180858137	-0.18313026366799	-0.352558390515189	-0.239074555951433	-0.182598856232618	-0.168062617838898	-0.34645274469065	-0.229197053821805	-0.234437891803337	-0.295385122013399	-0.160690647126042	-0.209756252001135	-0.245977192892164	-0.384207247106358	-0.148676577525622	-0.162039787804575	-0.186227995664213	-0.173104644914543	-0.276028956850908	-0.138687003553775	-0.286904355602619	-0.188191059193792	-0.297474031108175	-0.12872470136319	-0.327241848646439	-0.214534034012148	-0.19938872332814	-0.179631940760069	-0.265048429322444	-0.295426664001074	-0.36102000106184	-0.313544549183245	-0.219240998728421	-0.239293796704889	-0.386221068524481	-0.256508681485452	-0.14265090546578	-0.190996997710221	-0.229437727865959	-0.150020936894054	-0.178279570928448	-0.18187215676019	-0.24501506382793	-0.191480253847978	-0.253787700939318	-0.226982766404103	-0.24158304267965	-0.14062608175037	-0.268721951572205	-0.248461062276911	-0.289149226831268	-0.355231268468129	-0.201683916212032	-0.198043452036413
CL-136	-0.104646990719744	-0.236543235595486	-0.147856818051463	-0.181068377507743	-0.183426200825128	-0.188001450674783	-0.221867815705076	-0.120888143648206	-0.157130954401442	0	-0.30027561139294	-0.259871429634229	-0.175317313575955	-0.182052546104745	-0.185827557283301	-0.27432740607972	-0.208211549615457	-0.152525909373267	-0.0970364236384246	-0.327250635909461	-0.229593657549393	-0.206704104868142	-0.316228769983943	-0.0757483072870353	-0.159933775513959	-0.223618633979466	-0.319917741683269	-0.0937939536184694	-0.0933928149180582	-0.10338427648206	-0.147875010476889	-0.235985010977302	-0.13270028603339	-0.209139212595688	-0.187295913671017	-0.252588267907384	-0.133948510480166	-0.35553863007371	-0.222204176123845	-0.153459833303281	-0.143728113819494	-0.206679532571135	-0.299216236019502	-0.340620114034726	-0.243521958267353	-0.227927322708581	-0.184547362215451	-0.412472103606851	-0.22977319272407	-0.107523949149995	-0.184550627456571	-0.211323290439996	-0.0940820688732386	-0.179541052115986	-0.151747872464264	-0.2339879506221	-0.184940753415957	-0.261354786462313	-0.225803299320238	-0.210590807182436	-0.143932474103337	-0.24831136703011	-0.189867362632735	-0.280853254208296	-0.333626613179515	-0.160381961829553	-0.225216673200897
