CL-116	CL-117	CL-118	CL-119	CL-127	CL-128	CL-130	CL-131	CL-134	CL-136	CL-137	CL-139	CL-141	CL-142	CL-144	CL-146	CL-147	CL-148	CL-150	CL-151	CL-152	CL-154	CL-160	CL-161	CL-165	CL-166	CL-167	CL-169	CL-170	CL-171	CL-172	CL-173	CL-175	CL-176	CL-177	HLD-100	HLD-102	HLD-103	HLD-104	HLD-111	HLD-112	HLD-22	HLD-23	HLD-24	HLD-25	HLD-28	HLD-31	HLD-34	HLD-35	HLD-38	HLD-39	HLD-43	HLD-45	HLD-47	HLD-50	HLD-51	HLD-53	HLD-64	HLD-72	HLD-74	HLD-77	HLD-80	HLD-85	HLD-87	HLD-94	HLD-96	HLD-99
CL-116	0	0.32573827445854	0.232910796380769	0.493583679683051	0.259799665796344	0.394873214739138	0.638280265338384	0.203756666017846	0.252839594544885	0.115847181104561	0.419763998022968	0.390378928834909	0.230705632023047	0.372134596803954	0.211538994234535	0.220115643721296	0.374175541506173	0.42039685708055	0.214370207433191	0.376735971923073	0.344543715617845	0.333319875645016	0.425432346532174	0.258581328019196	0.239376452135663	0.317525913544247	0.380362414563618	0.222785722204571	0.250289053116367	0.183282619202927	0.146486250975432	0.30843438522467	0.280750134364743	0.406232861945911	0.455613055889618	0.504797966176256	0.262814903173651	0.502402263953926	0.337848406099146	0.303270180519307	0.294767334852278	0.422012631296441	0.42486241510456	0.546820186889895	0.322395566734342	0.409898669256923	0.400146609632105	0.532469002765972	0.29418959809539	0.235906956045514	0.304923911226587	0.32157799366349	0.231872617763448	0.186038492233763	0.404478195418216	0.45464993974652	0.359220002534078	0.337795765206522	0.425983336571513	0.359105484624873	0.354746235771725	0.182014867255125	0.219074966558075	0.486034086448593	0.440059685276459	0.267283716942123	0.42604804155292
CL-117	0.32573827445854	0	0.313702889029683	0.575689101096667	0.299608266651598	0.381244110115949	0.701825099920891	0.239838121664548	0.408007669544981	0.329006795845416	0.356604029073172	0.482463315897182	0.278946306717035	0.469697707946089	0.419036953176025	0.449078520780898	0.473919614335649	0.511382286248646	0.393823092317025	0.279734495803539	0.385678315417188	0.395604183316962	0.296344086783459	0.284806451164623	0.359505692708606	0.426502266627477	0.541911994921283	0.430917776230274	0.284729709156756	0.29350577854344	0.351721937344446	0.425054206925526	0.358232622965918	0.388236821734732	0.585998281218631	0.565634448101514	0.338571783819453	0.567538083688898	0.318114528550903	0.404624104360313	0.415609737172223	0.518338110482413	0.504641602016107	0.447827125569422	0.359419205385518	0.481640539827625	0.489253191390836	0.404292678297335	0.389274717588997	0.39396236129931	0.281795226726639	0.415712075253374	0.340556217943131	0.373522238014402	0.510317153205989	0.521973322173854	0.464945655928341	0.238626917823268	0.40589662577494	0.292445684697749	0.469740575406855	0.334768963708044	0.359705818692605	0.554581011103843	0.522926830070513	0.385291450772302	0.509887338805923
CL-118	0.232910796380769	0.313702889029683	0	0.460013271957278	0.149977339168614	0.304851655242234	0.614755319104592	0.180306080180222	0.204177305677752	0.185536260787492	0.426208531792824	0.32976423990716	0.204585930374651	0.339295584740813	0.248713639236175	0.367605853831294	0.34609355019712	0.36718369635959	0.203084646104624	0.315943284334615	0.238071188249618	0.220546444836581	0.331956980073504	0.255497727073205	0.21763062398012	0.185778524915287	0.422536291283943	0.232425297428601	0.262768000245717	0.122345089615993	0.197711891604332	0.318874931514362	0.119867793952757	0.302887943277665	0.411409924564946	0.462003289274306	0.160965857707063	0.468847792745829	0.219971483998528	0.261101306331405	0.24908576002606	0.386028298907162	0.364384302161706	0.449085393442856	0.302833300943312	0.346107808783487	0.36045016876252	0.4370168027552	0.249981291962502	0.16711642209842	0.22315613228379	0.259548133461921	0.283413100055159	0.187458654714138	0.363275711960277	0.397103044038096	0.266119880550584	0.313206595549076	0.319757314126947	0.286537790447218	0.291658353926627	0.245618012048363	0.238213341116045	0.444018903741913	0.422215595202081	0.265171236610992	0.348856930577432
CL-119	0.493583679683051	0.575689101096667	0.460013271957278	0	0.494855029884171	0.519967361232438	0.279865713697335	0.561464683620714	0.383704819613851	0.517375535761404	0.703014378474033	0.35846619103529	0.435646636517711	0.331220854247454	0.462051323898934	0.524457137181741	0.272135015929587	0.138864913448622	0.345645652901562	0.576777205265505	0.511087620623996	0.400311560789736	0.627496115481963	0.605037619412525	0.401700447760223	0.475424559543788	0.404515702795402	0.375618380319169	0.615176560198334	0.483300951036287	0.470689023120562	0.295419152888697	0.463909209453251	0.445808131273112	0.167696734809678	0.23246373226596	0.432660163733745	0.297317378883915	0.505861787511027	0.330439163252664	0.287585481144137	0.20638406090984	0.437517728910821	0.587548422239694	0.571469340230005	0.239860456312672	0.262306822504395	0.639116088994956	0.348428851680778	0.344327007572783	0.469137245596161	0.350614820490213	0.64026313278306	0.406757477349749	0.267493292797845	0.161023170494816	0.388536432395496	0.584486054818947	0.516935721180961	0.502388196263924	0.253469193563716	0.436524528097925	0.42080053675352	0.325366202657237	0.308232552314348	0.378844339810437	0.253227559844715
CL-127	0.259799665796344	0.299608266651598	0.149977339168614	0.494855029884171	0	0.28969194054209	0.635765611694482	0.191443250122691	0.25703425699759	0.205791805093638	0.389066063699412	0.356903511619422	0.210491188977811	0.384661006227613	0.256228557238387	0.323037939799973	0.401225356695737	0.425031151425237	0.269559334439172	0.2785008579932	0.219738049986958	0.282310585330482	0.320698004089285	0.238611073616379	0.240392127207943	0.22880777055378	0.434386602184927	0.288535229798719	0.267953405882676	0.153511543696072	0.203576478056413	0.36475058629988	0.16050829929179	0.289225876419066	0.467730579471761	0.484239257237238	0.190637257737272	0.51475341687794	0.222269945487713	0.316493531879808	0.297293562452933	0.419661618766764	0.412166868874693	0.408638430062608	0.307859545121857	0.38263525769524	0.403464060403307	0.445637264327154	0.300474433211101	0.234004363306034	0.218237615342443	0.32047152287857	0.279948666389315	0.224702350790311	0.401805994576651	0.452089664169443	0.325763627193279	0.308267705420971	0.299626959817238	0.288695622074411	0.352243966686801	0.274667232646094	0.248360323496486	0.479972413696871	0.471701990990982	0.2764120609281	0.39932579646921
CL-128	0.394873214739138	0.381244110115949	0.304851655242234	0.519967361232438	0.28969194054209	0	0.580861265811339	0.34954340379555	0.299396176113121	0.344388731896996	0.52391020159278	0.306369571300917	0.276108929200417	0.291172044863459	0.301908160188757	0.477483667102447	0.43621544213563	0.441952642083655	0.398408160646498	0.342541955227136	0.205672777021926	0.333953475942952	0.367620411415041	0.382707923665365	0.236636333086042	0.288718719466209	0.554921933480857	0.436390736707653	0.398553916000003	0.335296006572114	0.326461886927922	0.466343865527034	0.25626593883001	0.21085863689645	0.503533067982014	0.428185537989074	0.225868865182409	0.44210086661549	0.168000135236234	0.258886493424089	0.336074211981333	0.453887568237919	0.32671849389311	0.242161168671173	0.384121051872787	0.40989013945356	0.343631652714063	0.347806991244224	0.29552832470993	0.32650129756807	0.22397176793342	0.271370566176729	0.419823390504274	0.315213306494969	0.351427266077434	0.458011537154483	0.274728194209323	0.409896469844661	0.201267560374359	0.279960774145154	0.369458766172341	0.358189441783586	0.348591496950451	0.38453536530782	0.45154905093324	0.247887414858894	0.366557399904044
CL-130	0.638280265338384	0.701825099920891	0.614755319104592	0.279865713697335	0.635765611694482	0.580861265811339	0	0.692004834376164	0.535338358289366	0.657346573304081	0.784417959009129	0.462670309069448	0.57371361402643	0.409569674952179	0.592649831543889	0.669171471126296	0.433012788579397	0.328972735770627	0.519037052553706	0.688913322472452	0.588901270739754	0.538089765138348	0.718934028918178	0.726739766880033	0.516008087232393	0.58646474640593	0.552133203697451	0.543907170777738	0.73039840067174	0.633548810717438	0.612668648701358	0.486803310523207	0.607830437538029	0.549206104449938	0.353369285018775	0.344512008662731	0.564932703943081	0.421385458389715	0.613232912577342	0.473911831956538	0.462631531475736	0.375543239873405	0.505160663516341	0.615385270246891	0.680269860482978	0.416573044186593	0.393595332272136	0.7086774739396	0.50736651493318	0.518015814972456	0.589185595976461	0.482168765240437	0.748573448348312	0.571122270982174	0.374053073289359	0.337198762026844	0.472813861411621	0.708480250299411	0.546767748388075	0.610471609651068	0.424525896508291	0.581447699107861	0.564645859798631	0.350028526952239	0.444289550702533	0.501561717976348	0.408236361836439
CL-131	0.203756666017846	0.239838121664548	0.180306080180222	0.561464683620714	0.191443250122691	0.34954340379555	0.692004834376164	0	0.303634662065788	0.181343321874392	0.325729715049674	0.448569317174223	0.262164699876332	0.448644191464689	0.296030431020254	0.37935762945222	0.453261326048087	0.489957278112061	0.285922804063702	0.27842182269071	0.277914734804006	0.345471782765761	0.30547078789453	0.132578271840478	0.316255512490002	0.296888683367016	0.490777072880654	0.290605841145253	0.140384986208046	0.154050378540734	0.22491389876754	0.396141927745859	0.208054468894751	0.383844035438809	0.517602730068467	0.568401047573173	0.258203005752756	0.568269171582116	0.285702668317941	0.381870933417731	0.37800800043056	0.497607073893975	0.478737729033412	0.467611293965366	0.278676631341009	0.466418528678202	0.477579446360833	0.445497509374315	0.37232203415117	0.287462571777876	0.253259330031775	0.394303155469981	0.165765861484506	0.270469203337315	0.480932141886279	0.516906866725413	0.390563951680577	0.273024522986576	0.380992937400842	0.289620174417727	0.416593199604223	0.297356809960593	0.312806703800426	0.551136404920052	0.51925905688486	0.351369284778826	0.477082375612062
CL-134	0.252839594544885	0.408007669544981	0.204177305677752	0.383704819613851	0.25703425699759	0.299396176113121	0.535338358289366	0.303634662065788	0	0.242851263250296	0.513705868086617	0.204935553216561	0.251380244014351	0.219864428585256	0.160902460302856	0.358809737124221	0.274236084969549	0.309077116181066	0.159346453735263	0.375499859155176	0.244677232678302	0.254489363072668	0.365924312336665	0.355577013121879	0.178405916584902	0.214705602118449	0.364130324678651	0.17878904351734	0.376888555997818	0.241578399237262	0.179662772369828	0.260332176954879	0.158066063538672	0.311505514080234	0.316801525314271	0.369339492124312	0.142964587483613	0.340502320876993	0.2618639572933	0.174361784994681	0.160987884458856	0.312446255825456	0.251830870726439	0.421332120109394	0.393253042138139	0.23663292846044	0.256836081164253	0.428569943115895	0.178270805401514	0.102338147862397	0.250431041102323	0.184692673958224	0.389529518696578	0.140228555991458	0.252270574930403	0.325040781428471	0.242556975210151	0.400221688909241	0.295436556982711	0.315120254960084	0.180873653623134	0.224320697861545	0.225654705928383	0.345467209826775	0.326949442477683	0.146481269717832	0.228485284321855
CL-136	0.115847181104561	0.329006795845416	0.185536260787492	0.517375535761404	0.205791805093638	0.344388731896996	0.657346573304081	0.181343321874392	0.242851263250296	0	0.398484581432922	0.39343413311358	0.219986324681838	0.402647172132204	0.200698452846658	0.26342247346625	0.403074948868152	0.44252727181792	0.228612581607216	0.359838074854418	0.283455382685951	0.324086722343663	0.358937084193994	0.176368141356163	0.265647819558948	0.254021649924899	0.425499245731662	0.221409728868333	0.173772834516142	0.154854366233025	0.143713294413589	0.347250546345497	0.211875681420124	0.395396865775351	0.447399618459264	0.527608549749954	0.233592305540525	0.516326763652253	0.293834804145256	0.33079675585641	0.319635103479717	0.450541017596716	0.414611322103439	0.513691787444306	0.288480251619373	0.409048364547551	0.422271789700839	0.495351406186708	0.311617282335785	0.233904343180828	0.293095067543667	0.352738288888364	0.19986706208343	0.196537262433184	0.42355934399707	0.481945610623932	0.340865213217307	0.347456150726681	0.388597442556132	0.353621108799598	0.354028091719095	0.23457823364315	0.246163468755353	0.511384631964573	0.469423619203388	0.295382564824067	0.418880070688889
