CL-116	CL-117	CL-118	CL-119	CL-127	CL-128	CL-130	CL-131	CL-134	CL-136	CL-137	CL-139	CL-141	CL-142	CL-144	CL-146	CL-147	CL-148	CL-150	CL-151	CL-152	CL-154	CL-160	CL-161	CL-165	CL-166	CL-167	CL-169	CL-170	CL-171	CL-172	CL-173	CL-175	CL-176	CL-177	HLD-100	HLD-102	HLD-103	HLD-104	HLD-111	HLD-112	HLD-22	HLD-23	HLD-24	HLD-25	HLD-28	HLD-31	HLD-34	HLD-35	HLD-38	HLD-39	HLD-43	HLD-45	HLD-47	HLD-50	HLD-51	HLD-53	HLD-64	HLD-72	HLD-74	HLD-77	HLD-80	HLD-85	HLD-87	HLD-94	HLD-96	HLD-99
CL-116	0	0.0844524669840956	0.134808538051607	0.0884638076801643	0.0925720992087664	0.113933174087339	0.153768166321705	0.0272399947697577	0.0645450167590995	0.0820376258527049	0.0652440832884192	0.0731927758873074	0.0812760515497782	0.070176456893555	0.0470779210424766	0.0491406775715092	0.0689971010425404	0.0600725217740727	0.0501286830951553	0.0945366292364165	0.0639263173672746	0.0891029177735752	0.0960616913455436	0.0787642595858541	0.0599239063531498	0.0758212915509263	0.14776486871773	0.0349112293939616	0.0814182886264555	0.0705668115613868	0.082245559875112	0.0618769553611578	0.0260057851582308	0.117614116551484	0.17414952752415	0.168949263460698	0.0714023746575626	0.0948542707798482	0.0602728017833851	0.0889077404396593	0.087515347890841	0.0787693622612506	0.106493473359251	0.0943408140680761	0.0615140275735822	0.0526264427017391	0.114592694882335	0.083759140964597	0.0664534173573882	0.0546279671260138	0.0843752890187236	0.0883745108607257	0.0518368036841316	0.0944639161120165	0.101684201798055	0.0585850918959947	0.0881085339056834	0.0998644601847806	0.118028071093025	0.130153941338368	0.094671212299999	0.0964201542921473	0.10084034685436	0.144923954190732	0.102065626783943	0.109496397830087	0.0963940030807403
CL-117	0.0844524669840956	0	0.154087083533985	0.0683178073803821	0.0762186623974282	0.110249680285495	0.180497893551813	0.0659316687980967	0.0993344197779698	0.0974457920468426	0.0766364439455162	0.117848201785299	0.070946323044001	0.0910444857619411	0.0807434598052691	0.104876563092987	0.0630378140138601	0.0649513172875453	0.0474006652613048	0.125891931713446	0.0665612113751391	0.0784300343473838	0.0824343588647823	0.0542720555171083	0.10021526911829	0.0308099540440297	0.133839029726273	0.0815783850670204	0.0588906145853598	0.0704220231470113	0.115118908282599	0.0834963531816776	0.0790206690245279	0.0618756796923087	0.144128574663303	0.159603075637595	0.0812333166433326	0.114134091931076	0.0773048944224569	0.0489608082637828	0.083283316483874	0.0797560921160476	0.0798402862600897	0.0801024362085846	0.113380809475668	0.043207541754236	0.075265737767133	0.0918947190498818	0.109012919336269	0.0972959009570705	0.08348550999646	0.0742407378468623	0.0948861625010763	0.0940550642458724	0.0840410637802533	0.0884019377409818	0.0617436479664244	0.0852918570868188	0.108013432792981	0.136758716804705	0.0719381555741945	0.11102082210479	0.0968660005549159	0.173689648904041	0.0807307031167779	0.0797050653620826	0.108864303915347
CL-118	0.134808538051607	0.154087083533985	0	0.107636791565278	0.112104821709332	0.158375882204738	0.0912326469171868	0.131660825166395	0.157801193388208	0.125217421809472	0.13721955217645	0.187839367778518	0.150814992935984	0.182073982414905	0.17017709472798	0.176395980367456	0.121407636791565	0.111424252378325	0.129122881991064	0.206131821240524	0.122328669700632	0.13978109522549	0.166468087549153	0.156373082111615	0.171860977608822	0.129188578936794	0.0422814061697724	0.152437005877644	0.135821419117811	0.0952557875501099	0.205344733560615	0.166297785757795	0.141103963822031	0.153452438281546	0.0696138869310916	0.124662186942891	0.161155564626978	0.199275101176486	0.169796307576516	0.140880721773435	0.0901135664192932	0.135105131059028	0.146267233488859	0.161824652938344	0.158900819936153	0.15820558041338	0.148421838175028	0.201001718963774	0.182507071989182	0.159023284145669	0.161801690899059	0.154734485474916	0.171458504086924	0.187720092741125	0.135259486989772	0.149659874793102	0.156708583018934	0.124945066510185	0.231442366875983	0.184150133466853	0.151982867767356	0.176911988416927	0.118851196417922	0.133088617525776	0.159971743934992	0.120087957367147	0.172954225812521
CL-119	0.0884638076801643	0.0683178073803821	0.107636791565278	0	0.0325378475001674	0.095998545737512	0.147872024901056	0.0746578815605257	0.107000551726777	0.0875140722219919	0.0693160182548212	0.119708764801745	0.0536348589269711	0.109089459467217	0.0950660318088028	0.130051249996014	0.0798836590009599	0.0620893542245368	0.0500406619445658	0.145539145493221	0.0688287127544561	0.0654379849534859	0.101531759370585	0.0658902095605002	0.0976084398251058	0.0534792273273781	0.100644212768807	0.0841660793274674	0.0823214621716349	0.0654858225353281	0.137073807010438	0.0987692984778081	0.095714709418582	0.061853355487449	0.134536182752319	0.171888404489079	0.088311365252694	0.124421723364832	0.0760936468502141	0.0484141841619334	0.0414943184898632	0.0653531529750192	0.0746591572293748	0.0834938018439793	0.112839288049215	0.0838369567643935	0.0733107752558513	0.10901993551494	0.104660975057485	0.0942553442551848	0.0749187558401714	0.0849620966893204	0.111235772305867	0.112866714929471	0.0636258973533061	0.0846087364181132	0.0890372208278453	0.031267919160865	0.157953954732891	0.108283874588995	0.0756356817333788	0.127347469870296	0.0770988739033234	0.186703384668374	0.0950902695169361	0.0683917961736313	0.119349664020717
CL-127	0.0925720992087664	0.0762186623974282	0.112104821709332	0.0325378475001674	0	0.0869840318151811	0.142442140444762	0.0825587365775718	0.0942559820896093	0.0752172623508663	0.0466875663746448	0.106964195164577	0.0580697216809488	0.080462812658462	0.0987405959287029	0.120784153641556	0.0828157838506702	0.066756388709055	0.0469745918656976	0.127230108336177	0.0697861022257232	0.0654156607486263	0.0831295983875546	0.0672813264404693	0.0749799879449294	0.0678120046817047	0.103503624494118	0.0882743708560695	0.0966542395259614	0.0661166407812196	0.114879082538964	0.0892075226192033	0.0984337975704887	0.0824496668909718	0.144834019536868	0.159724264178262	0.073912253118213	0.0987495256106467	0.0774847637301833	0.0700616466971339	0.0455018321793846	0.0534097033751009	0.0775466336693658	0.0682425429182838	0.103138464286056	0.0872028090228058	0.0563909414755024	0.11880622909099	0.0981289127155482	0.0720606197837103	0.0770089392494602	0.0588561715264335	0.112193161777134	0.0936902229550231	0.0508813277161382	0.0753416400636559	0.0733700938573356	0.036584269089587	0.144492459202516	0.099791109225956	0.0616702970075998	0.118080373515839	0.0784899907832926	0.184581309537857	0.0780007717796537	0.0690226144195228	0.116275939928754
CL-128	0.113933174087339	0.110249680285495	0.158375882204738	0.095998545737512	0.0869840318151811	0	0.208093162096051	0.11037342016386	0.106062297288247	0.10196165977274	0.076469331326281	0.129562668826799	0.0999499299976719	0.107550365000749	0.144780760362418	0.13087852124467	0.123674181419245	0.0895334560101543	0.115461425368589	0.111946319854829	0.0692299106075054	0.144578566849831	0.0466199559256413	0.105795044664356	0.0963627491939367	0.101302138977743	0.172815815742391	0.103301749898744	0.100565440217374	0.100193582747854	0.0921568689983767	0.114181291678493	0.102653710123389	0.124114287172193	0.187762827647571	0.199898903243707	0.116611440836073	0.119327339815857	0.109771942301498	0.105101718644857	0.0792394462321526	0.11360341368984	0.106871709173016	0.0991264857555627	0.137008747899133	0.129257783971859	0.128473885464072	0.126766402709521	0.13180274332586	0.0892132631290243	0.121543814441209	0.0793076945155807	0.10061519130249	0.137790095069221	0.119109200442657	0.115391263581887	0.0670555330541745	0.0677424807294274	0.163169526822532	0.0918730326794467	0.110893255219877	0.106055918944001	0.105076205267875	0.203458657167186	0.132423356220959	0.123693954286407	0.0941507394095567
CL-130	0.153768166321705	0.180497893551813	0.0912326469171868	0.147872024901056	0.142442140444762	0.208093162096051	0	0.163725399523538	0.159731918191357	0.175538093066421	0.173424947617848	0.150349373806054	0.168047365584368	0.172783924021163	0.116511619748629	0.150723782613271	0.190540596566537	0.177459888187625	0.163604848817296	0.178904583159258	0.170786864437861	0.177723951639394	0.216340999040059	0.138308973373602	0.155503713790937	0.177332959137138	0.0829758802912352	0.150894084404629	0.174918755840171	0.167769269775259	0.163509811488036	0.179655952111391	0.160330206881596	0.170617200480927	0.0763066835480178	0.0776812167329483	0.137822943542086	0.132821045984673	0.154634345470259	0.17548770414688	0.162314509776407	0.18051702858455	0.154749793501105	0.195742774133263	0.141274265613389	0.154789977069852	0.131063174310581	0.14248104834466	0.135492934389162	0.157235434253622	0.176217386728579	0.182718195183712	0.146538950953722	0.131424188594883	0.122384799129994	0.139973083387283	0.208387841600199	0.168683286505656	0.156395406316474	0.182110976811529	0.142543556118267	0.16693051750696	0.189206246950354	0.0864928993082686	0.15360679421229	0.14836762224894	0.168973501168832
CL-131	0.0272399947697577	0.0659316687980967	0.131660825166395	0.0746578815605257	0.0825587365775718	0.11037342016386	0.163725399523538	0	0.0709699229177098	0.085371586389889	0.074712735321038	0.0837738111563619	0.0863933971380369	0.068073516795775	0.059083878416002	0.0657364914641808	0.0752000408214032	0.0650750571659103	0.0521015049703248	0.0952006148723853	0.0614100605623786	0.0865662502670932	0.0759118640392141	0.072682508347658	0.0713723964396082	0.0637324157022079	0.151825960498914	0.0448684625957948	0.0749028099795574	0.0812027005909536	0.0977761902787655	0.0556382968545195	0.0300107475100539	0.113545370757205	0.180005485376051	0.189660385060642	0.0773935534074709	0.08861561227321	0.0525620214248583	0.0802963378736514	0.0702319484884919	0.0954213055832836	0.110822455598751	0.088238652128294	0.0751388087166452	0.0520160351574335	0.11827491301533	0.0827009736542491	0.0749385287073329	0.0549577275235122	0.0898255841766036	0.0887922924088136	0.0462296012578095	0.0944568999333463	0.108109107956666	0.0726984542082721	0.0695877357196845	0.0916319312669624	0.119431944661485	0.12548690685385	0.0980051728371832	0.106322533733468	0.0972856956062776	0.164610713704829	0.100596694104177	0.110504814055319	0.105552667583022
CL-134	0.0645450167590995	0.0993344197779698	0.157801193388208	0.107000551726777	0.0942559820896093	0.106062297288247	0.159731918191357	0.0709699229177098	0	0.0953007548770415	0.0828993401602878	0.0755272498812033	0.0962217877861086	0.0718998855087208	0.0855150991354154	0.0715937249849312	0.0806107902449603	0.0816938330978661	0.0949021083616904	0.102117929206757	0.0746508653818555	0.113776904653321	0.0879969128813851	0.0991213830801662	0.0883368786296765	0.086109560819107	0.180832756624708	0.0827309518722035	0.0888758487184312	0.0884465861507011	0.0651464946214612	0.08301989086653	0.0700967275904848	0.11613561635535	0.168623330069747	0.206066124294794	0.0601114296739709	0.11746805246826	0.0706911892741763	0.0984191273787237	0.0924190189468716	0.10567959663351	0.128067584935627	0.128575938972002	0.0498607926368394	0.0736265032960094	0.102944562620989	0.117883282678649	0.0767863350352882	0.0834440507588635	0.126732597485019	0.11249740879765	0.0770669821820954	0.065299574883356	0.0900870962906739	0.079398904838293	0.0905246507059232	0.115389350078613	0.124405139669793	0.086508207334458	0.0942923386518094	0.101348063056311	0.0952465389509537	0.161432384767238	0.105637499561489	0.0978635735949305	0.133004423381734
CL-136	0.0820376258527049	0.0974457920468426	0.125217421809472	0.0875140722219919	0.0752172623508663	0.10196165977274	0.175538093066421	0.085371586389889	0.0953007548770415	0	0.0612812180086171	0.138571442239309	0.0901106961643827	0.106628056422833	0.084854940505994	0.083686427840197	0.0804915152075673	0.052351536064753	0.075415628856905	0.142182222916753	0.061413887568926	0.0942904251485357	0.0849665615302923	0.0734274989555461	0.110798217890618	0.0687521726235087	0.149699420527425	0.0946323044001008	0.0420581641211758	0.0635831624468604	0.129039006764234	0.0982698741233763	0.0773725048714604	0.118688867556871	0.128592203749829	0.15579775546066	0.0925102292695839	0.0957312931136206	0.109092010804915	0.0982998523413307	0.071989820162584	0.0631800510905374	0.0972671984079653	0.100682801751493	0.075156668080533	0.100269485044377	0.129378334678101	0.130959526216589	0.105849260590443	0.0957931630528031	0.107246117980234	0.0848236866191905	0.0656784485315457	0.100472954225813	0.0784038831359767	0.124042849716642	0.0908531354345725	0.0859870966095911	0.142110785461202	0.145906538121769	0.0472833037271855	0.0840735933359059	0.0954053597226696	0.216188556612589	0.0700405981611234	0.0934542242179353	0.0857861787658542
