CL-116	CL-117	CL-118	CL-119	CL-127	CL-128	CL-130	CL-131	CL-134	CL-136	CL-137	CL-139	CL-141	CL-142	CL-144	CL-146	CL-147	CL-148	CL-150	CL-151	CL-152	CL-154	CL-160	CL-161	CL-165	CL-166	CL-167	CL-169	CL-170	CL-171	CL-172	CL-173	CL-175	CL-176	CL-177	HLD-100	HLD-102	HLD-103	HLD-104	HLD-111	HLD-112	HLD-22	HLD-23	HLD-24	HLD-25	HLD-28	HLD-31	HLD-34	HLD-35	HLD-38	HLD-39	HLD-43	HLD-45	HLD-47	HLD-50	HLD-51	HLD-53	HLD-64	HLD-72	HLD-74	HLD-77	HLD-80	HLD-85	HLD-87	HLD-94	HLD-96	HLD-99
CL-116	0	0.128578168827905	0.0808828368505515	0.0661100193869008	0.101841712075087	0.121140621015979	0.121630231288117	0.0513563912466488	0.110644954303082	0.0660861819679134	0.187361214517386	0.139242013960256	0.0629434914805233	0.099680578235235	0.139389251123115	0.188653367427071	0.0840285411193986	0.0713180428655522	0.0563978958805139	0.189618888205216	0.148953540216283	0.0856361719919872	0.183305413805479	0.0755299722254959	0.0552920378922403	0.154596580494848	0.226719717613027	0.0633254986585538	0.0789861416033001	0.0501622627035495	0.0968435506307342	0.123982218181176	0.108117963957502	0.0913848428238119	0.136818251451445	0.120893758261023	0.08518787806461	0.183637933627597	0.113898866450005	0.0638025456267072	0.066346123156854	0.116780314599154	0.186237882804386	0.196655771852255	0.114858419039087	0.131505437577389	0.0763163608248481	0.240468232204534	0.112335224533588	0.0673958095484349	0.0830252023394515	0.0936950707875675	0.0756125485561904	0.0825683869877985	0.114703598162663	0.102756663691835	0.116064452696191	0.125907923051431	0.130149292964112	0.0858612152400936	0.0894747052225431	0.105130099014421	0.110580686594643	0.139554444930112	0.171992702904762	0.0792905583031281	0.133377895934456
CL-117	0.128578168827905	0	0.137517330526843	0.133614285363394	0.142805878243831	0.153584889881903	0.190539279809789	0.129494814256208	0.155879511404332	0.134814119583681	0.189186597541777	0.181984409199845	0.120964579528948	0.158676442096024	0.202000379219909	0.231408359578409	0.159461107255168	0.12822031920965	0.12971800799637	0.16478526099495	0.196204519273325	0.174658716977336	0.16735105324844	0.137098184221391	0.135672910503136	0.213743211899692	0.257701505812219	0.139031996255517	0.141329093140678	0.140709612256769	0.158073574818456	0.158480241091073	0.165611396687463	0.146890058336619	0.183439831979788	0.168621401649566	0.148320011875729	0.184066964229916	0.143822318467191	0.130354745464437	0.133218920377291	0.173255214635097	0.223774422440399	0.18353141972323	0.186629608583007	0.151308859888192	0.149992121926432	0.205726093345384	0.146664280611421	0.13606372709214	0.12864836056561	0.13415108030907	0.144021346220011	0.155831042328336	0.1726112791447	0.135111921320361	0.185872678970775	0.151111692259312	0.17009857402586	0.153564776628942	0.136453099852817	0.15374870090548	0.164837388318255	0.18681757023946	0.202885564387431	0.125985017693506	0.174686790939528
CL-118	0.0808828368505515	0.137517330526843	0	0.096795805926308	0.109230181555068	0.0967220620573923	0.131474840033991	0.0448532219010387	0.0819453422524417	0.061053610961848	0.181848651364841	0.128965140303695	0.112814101654211	0.0934256904449161	0.113947786185357	0.228253677252189	0.135730576600211	0.0543903295719136	0.0653954745196765	0.174833096098809	0.118136695536994	0.133110320959253	0.149146546006879	0.0658542931151698	0.0667545463693641	0.143785034916027	0.261951436830506	0.0549287209397565	0.0637302823284421	0.0702981620592821	0.0854717159914168	0.165360558581115	0.0725949195517386	0.137224541744686	0.115360008535807	0.150181650415571	0.075553039725919	0.171421930487882	0.0614413266347526	0.0916732119924185	0.0714405275814521	0.13838900890984	0.151110162887138	0.196551341749711	0.143201054828888	0.108918800370044	0.114701153567718	0.206272281047374	0.116357924420822	0.0500249047948408	0.0970215247989326	0.0756561976507041	0.0560353000481694	0.0767644189195938	0.0943054761394771	0.0816176274959489	0.0992307303236349	0.150054367449416	0.119766628113175	0.107142519283207	0.0666085588034787	0.1242337282857	0.134193608170979	0.143056260168301	0.205114371583151	0.0909460737530206	0.0932586598763214
CL-119	0.0661100193869008	0.133614285363394	0.096795805926308	0	0.115400845154638	0.132679642154869	0.135737045279322	0.0847658760955974	0.125009932692833	0.0925364449381318	0.209883998351286	0.145622837953594	0.0863623109359002	0.124144255237761	0.159502509557098	0.181473634647104	0.104715160567473	0.0863170806246673	0.0850318662223524	0.20829231718858	0.16048197848533	0.112196309417819	0.199412389229346	0.0911368856978127	0.0848763470566776	0.158496519508221	0.20727346072383	0.0962375615388098	0.0923907459388768	0.0651868325196487	0.125018713004743	0.100430096028913	0.125746206070089	0.0822362164803972	0.137534445862453	0.108811608918358	0.0976770573882079	0.186911016646088	0.131186418545775	0.0862969299287445	0.0762718587349552	0.131572770373657	0.197474346005863	0.212743668526978	0.139955568627894	0.137689974364054	0.0886953417058444	0.256764943946707	0.0829233928575004	0.0956703188733297	0.104218220240757	0.107555895887862	0.102666648343451	0.0944086718642897	0.124257965750742	0.119186656569456	0.124401294412878	0.145052824260261	0.158967855855544	0.0999956117388151	0.106970102240721	0.119093195516212	0.13073231258309	0.148496145293405	0.172121225400059	0.102147744120268	0.141392156987683
CL-127	0.101841712075087	0.142805878243831	0.109230181555068	0.115400845154638	0	0.125562811198961	0.145072833791823	0.0994547679090329	0.124467464344529	0.10006185727718	0.164217644221793	0.12386844617299	0.116265066048201	0.143081719057635	0.13583091870606	0.171317414089598	0.149637446270554	0.114995983491798	0.103373466702357	0.16592843306529	0.139468334171172	0.143374138730846	0.166433727148562	0.0934148124718853	0.112815423428539	0.151242131028491	0.224652998321615	0.0874014905982524	0.107084530910013	0.112168369972994	0.1033004021394	0.163435733844894	0.112893683089042	0.131397651788214	0.149028923603047	0.145603478758797	0.10655731045506	0.198650844542258	0.108609766770071	0.133227509599639	0.101953216861668	0.121413861413576	0.184254828625904	0.172539881035887	0.166172209852881	0.130335517375998	0.14086110262773	0.224254956100443	0.146403907449732	0.100577761507999	0.112854466525521	0.11916716926944	0.0936606139416433	0.122532068624613	0.12772766872098	0.125482318131157	0.147465619090185	0.161806427196095	0.133800108141747	0.124921748352519	0.113893904201992	0.149880019364397	0.114794021490719	0.139465542428293	0.233743725454823	0.109955695079483	0.128438549128029
CL-128	0.121140621015979	0.153584889881903	0.0967220620573923	0.132679642154869	0.125562811198961	0	0.148613103040169	0.0915411936554126	0.083195781709969	0.0913260407606329	0.209708229466694	0.139125879234554	0.141983712983395	0.108638317669229	0.117741584393853	0.240620279428998	0.174444309656162	0.0852377281471199	0.0840525744371624	0.191982692294623	0.128207207978824	0.175563292712586	0.164310411144281	0.0851515738564131	0.113873346311206	0.141511324568574	0.291668122488454	0.0915950169016312	0.0984782001978125	0.0988550647757886	0.104778376063431	0.178167600035995	0.0893303220303919	0.146002583474887	0.137241296681333	0.187183850292332	0.0978085488705101	0.184657144797811	0.0932674584455413	0.081644944346593	0.107173746864364	0.171817235221841	0.175244000005745	0.17819263157803	0.181895780016614	0.114005387430058	0.125480673770984	0.220660167632967	0.11652106770132	0.071939460202789	0.120916583721764	0.110971437944646	0.0918532781495333	0.124961110661597	0.114743087879224	0.147133273750043	0.122401516865552	0.1970223786749	0.124922578646733	0.145611765650821	0.0817301504596876	0.169473408804198	0.168535553778341	0.163479997940908	0.219033859731523	0.108330059980347	0.0999759358617402
CL-130	0.121630231288117	0.190539279809789	0.131474840033991	0.135737045279322	0.145072833791823	0.148613103040169	0	0.115006692580897	0.135043340414418	0.104505835874135	0.218740730236974	0.154225320402743	0.137951658284263	0.111137705804174	0.139673399567842	0.23626654721515	0.159157076246672	0.125690714861298	0.105007962822434	0.243028045154272	0.141065445904426	0.156161598949873	0.220323948505694	0.107462556262014	0.125914314405032	0.136358683303934	0.267574425413278	0.110517741975781	0.101125456897241	0.112362691762834	0.104599335728702	0.187575434367937	0.12279001929856	0.168820151675781	0.14431477277027	0.170810853970382	0.120592269197432	0.185693550294918	0.164281007314115	0.143066832245234	0.139764869464453	0.163986531488077	0.21194045728174	0.237469871237738	0.149554705898409	0.17256861975443	0.144622204777386	0.275525420407014	0.151938392934506	0.115554279751971	0.128328369082399	0.161233304156268	0.108535888094577	0.135113926395823	0.130593254076069	0.163150406824531	0.137738693355962	0.205696461758698	0.148945920318102	0.121456054871911	0.137291319838344	0.165283092987033	0.167801372748296	0.117913698276683	0.228591755481053	0.137840788014545	0.169200703043818
CL-131	0.0513563912466488	0.129494814256208	0.0448532219010387	0.0847658760955974	0.0994547679090329	0.0915411936554126	0.115006692580897	0	0.0803525943334544	0.0532572926644915	0.172650973122194	0.12042844883646	0.090904029880916	0.077480665241401	0.105224388685931	0.219284497012609	0.117847791101286	0.0498478394090632	0.0402341348961556	0.174452462447045	0.114521825563482	0.115367222578025	0.157109611244283	0.05660630091364	0.0592754257937755	0.139394524440517	0.254776204743108	0.0388083967560494	0.049488954672708	0.0538129497076865	0.0668688901977	0.151202531297004	0.0735553743188331	0.124240586939081	0.115392723786928	0.138048163228211	0.0648810611526926	0.167001373745707	0.0809614010568552	0.0809965741111829	0.0651344591679735	0.131217133447342	0.165684506786937	0.191832626580096	0.127558612653818	0.114706252201117	0.103905427768783	0.216051458242651	0.106215475179912	0.0321820296916321	0.0814022839698988	0.079681982235233	0.0445077515619169	0.0728068394498427	0.0985468601451136	0.0920448144820965	0.0996356309553261	0.146490393460809	0.104873820468296	0.0933498529059291	0.068042001740317	0.119915184052072	0.126894175848815	0.130426500444251	0.192688778133443	0.0741575121746301	0.107662540390494
CL-134	0.110644954303082	0.155879511404332	0.0819453422524417	0.125009932692833	0.124467464344529	0.083195781709969	0.135043340414418	0.0803525943334544	0	0.069187320851462	0.191115754192618	0.116567220576999	0.134800318222583	0.0855790796572577	0.0921685832306779	0.235456888367228	0.148748862493223	0.0925630327303393	0.081615970061782	0.1946036225019	0.111565984103917	0.139155963675791	0.149079110113412	0.065120928976684	0.106907001689273	0.110117186727993	0.275944292978542	0.0697880893572956	0.070844429668429	0.0909304617421163	0.0758251239523409	0.173014880988263	0.0618258872640258	0.165944811978419	0.0850434960470725	0.185025671021783	0.0619647470975618	0.139424028974077	0.0981203149575268	0.116841012795563	0.0909081606305933	0.155456305474057	0.166098873739704	0.192773273096791	0.163490434985667	0.100868163714462	0.141456456353685	0.207995431981363	0.118411422891464	0.0656890435051665	0.10654754266092	0.121237238245664	0.0637841596625421	0.0858210731715025	0.0888648135185522	0.126539197073013	0.0914908616486829	0.157166311597701	0.0918422985280006	0.132849165582509	0.0618838317867702	0.156130165532609	0.145920577482576	0.152348478504481	0.222824964197122	0.106022776041937	0.0952386913656033
CL-136	0.0660861819679134	0.134814119583681	0.061053610961848	0.0925364449381318	0.10006185727718	0.0913260407606329	0.104505835874135	0.0532572926644915	0.069187320851462	0	0.184971270619273	0.118644914234061	0.108036241959241	0.0783855878601109	0.104795674854485	0.203991229603722	0.125943511701923	0.067622946475802	0.0496635852371026	0.189728113825744	0.107727533113207	0.122471342408439	0.167080959368649	0.0305409682738302	0.0725582776660866	0.11350706304231	0.247417584053512	0.0392578096517148	0.0386158123465306	0.0507443779292354	0.065906781333002	0.153038278435898	0.0618966147640298	0.130695474726547	0.0935722087280034	0.159771607582646	0.0556623450273184	0.149238746983657	0.0984225833221969	0.0897174860230844	0.0661285614956338	0.126658510748814	0.163220072428255	0.186396449647549	0.128308953553154	0.105001091231874	0.111760752665471	0.227289689892059	0.108399599281646	0.0467360088405012	0.0960170057210337	0.106432976671114	0.0369068681173597	0.0768662380721154	0.0676316315613814	0.114819947672252	0.079591916120596	0.158172993907014	0.0955800063348548	0.112169361529098	0.0642904835821617	0.140011846793876	0.118814276004119	0.141915891628328	0.210240072672546	0.083978479172465	0.101341072773402
