rab.all	rab.win.Healthy	rab.win.NAFLD	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcaceae	1.77498559429788	2.28575485144511	1.63370876029069	-0.17554035911467	2.87833720327305	-4.60809115791147	5.13276545617161	0.497141762508749	6.05623971147344	-0.0580012803010504	-3.81018608824488	3.5581345520166	0.479910714807881	0.895783648510803	0.929136049946341	0.841266563253885	0.895874141951983
Actinomycetaceae	-2.03728020278156	-1.75082737907264	-2.22388580306601	-0.558227984699746	1.45650930554655	-3.53897891910037	1.96785057171607	0.264615300262904	3.54190367214983	-0.343978489391791	-5.21609485608184	2.40608502054026	0.33091518352581	0.0271686172947291	0.113643076071868	0.0379677048756064	0.115074863540234
Alcaligenaceae	0.425109655992261	0.0859022021778877	0.639164559692557	0.443905057488136	2.48838165051415	-4.61352255130044	4.89872420324984	0.397830275434472	5.57419012017291	0.161366735788661	-3.5807017410023	4.05184960935333	0.420524263128579	0.390949600190737	0.617367074698205	0.315557400440115	0.503338030778666
Bacteroidaceae	5.70795137445684	6.11949677499969	5.38783797443465	-0.613768481187958	1.30283239546034	-2.70997028589318	2.19854824362615	0.23865181709096	2.96729971915294	-0.437573538819774	-4.89445114768057	2.60415770886244	0.319196433969142	0.0204556413234101	0.104581822527545	0.0159905647605254	0.0712977226702019
Bifidobacteriaceae	4.02192039807938	3.53362149621255	4.22491337228753	0.520768003468266	1.62938017409216	-2.87616328109871	3.3135457276411	0.264954698188911	4.07170124362183	0.280900521018014	-3.71879839123776	4.68635665018455	0.380368101448838	0.221359078700328	0.428878848052192	0.0978886756978002	0.226708209857216
Christensenellaceae	1.75143879333815	1.96233256996701	1.63139637055388	-0.52849276334657	2.01535849829804	-4.57509355863873	2.80086783191734	0.300891625224345	4.77326760916018	-0.250523307198321	-4.79371270614207	2.59087301088213	0.381483550382709	0.06169946697623	0.187723220600563	0.114705452499831	0.245705331857034
Clostridiaceae_1	1.65543247629056	1.75914554599085	1.59638055442624	-0.0474388727318664	1.76942208348241	-3.15630185240753	4.095488330022	0.263516780653783	4.40029553001647	-0.024102369944973	-4.03733697097046	4.43678293124378	0.490239821781259	0.833646746461482	0.905711086402982	0.867472076240309	0.910676223863628
Coriobacteriaceae	2.57435787379294	2.76961042828911	2.48555678075767	-0.150897348578642	1.58380407260409	-3.08486112866136	2.94401329192471	0.274210822764454	3.95386203876572	-0.0898110418868426	-4.13481497697024	3.33506017691863	0.453987731264238	0.706773151355823	0.817839716483557	0.590754590958862	0.745305495560249
Defluviitaleaceae	0.568571328022084	0.991595720324307	0.390247408555524	-0.513701056318552	1.67169237714155	-3.2673294814017	3.01707687514125	0.287801290018507	3.88634257630491	-0.286115021552542	-4.45960779605397	2.80808820597424	0.380022324732251	0.163049063295228	0.349625925601398	0.107341302438115	0.235848726533574
Desulfovibrionaceae	-0.272464565283768	0.102510279496229	-0.45242491626828	-0.404675552564233	2.01419492238002	-4.26546398816414	3.37715216895027	0.326365643354715	5.27585798982759	-0.178750663661699	-4.21615378623107	3.12891885888185	0.41717791631786	0.380424539487067	0.616374295857847	0.297710861118552	0.485895478864361
Enterobacteriaceae	0.946019721800559	0.45592948060722	1.14351038216493	0.603848440641682	1.99281862660438	-4.93915337010476	4.85498280389567	0.316414431705066	6.15481883506464	0.254617644928394	-3.92037553156889	5.02221737655745	0.366071432315549	0.224347364503518	0.434296908840824	0.0648748093811709	0.174050122236691
Enterococcaceae	-4.65635204754053	-4.93573354989923	-4.41069723543299	0.693736944091694	2.92821056690129	-7.85900868558622	7.20993681117589	0.494289807014876	11.2161405819455	0.183013128971974	-4.54935731849825	5.37240307299215	0.39062500298096	0.467131157516189	0.647697126164723	0.199982367537186	0.349364747885129
Erysipelotrichaceae	4.18609523131868	4.57416669737184	3.99186938290134	-0.522856391852806	1.22769161156433	-2.70796226313947	1.86079969752071	0.2338725768641	3.02832832344693	-0.376599733363164	-4.78631215225557	2.16266481086398	0.334821433382977	0.0310071708791123	0.123121796962777	0.0294302942398368	0.102970507171231
Eubacteriaceae	-7.65661106951305	-8.02609619806385	-7.4214554391694	0.581661798984433	4.18022415188203	-8.53809196498744	9.82655620384222	0.691412811342967	13.5135045248567	0.119076930535954	-3.82590463539201	4.26986613580389	0.436140548252769	0.479235764894938	0.631299806937441	0.386328082034013	0.531514588304735
Family_XIII	0.152315658286755	0.423788139064482	-0.0463616046518194	-0.559647203686444	1.5012816421664	-4.02292720755521	2.00812634636365	0.252285184963197	3.8812068158915	-0.350607376751867	-5.63808737065435	2.09408478840362	0.324776790898011	0.0132988902998397	0.0870062065312889	0.0199138282280178	0.0793512121105372
Fusobacteriaceae	-5.79130521196724	-5.51877052674606	-5.91308557916674	-0.314801619624798	4.40037320419848	-9.30644412906693	9.23308765096396	0.690805786189103	12.9185137899183	-0.0697961222695361	-4.17467058308752	3.86243392388289	0.470719465346099	0.633245442001093	0.769780694548491	0.660406076750547	0.778595591227886
Lachnospiraceae	8.73920237516174	8.85719265064678	8.6438714589056	-0.24255659237047	0.671727554913605	-1.56551608668216	1.00558584390343	0.122848087673969	1.63329803683036	-0.342498079799188	-4.89058757807348	2.22606295152537	0.353236611310489	0.0511161782150438	0.158116169729974	0.0731403291343806	0.176179385550863
Lactobacillaceae	0.581593582980336	-0.252578743386127	0.849101677622729	1.53295450081291	2.57736635128508	-6.13097787315295	5.69143741535943	0.408180456639995	8.59221070673571	0.481005350099219	-3.51209143867937	5.49441342074878	0.286112667131829	0.0388877837213569	0.142412587839412	0.00304807022150821	0.0279694026038501
Leuconostocaceae	-5.53138062741279	-5.81559397887626	-5.34884392159967	0.403816219900563	3.92367407384683	-8.3349050732173	9.66701684803173	0.659870722699277	12.7861204505691	0.0951587528920141	-3.72758092686912	4.82829770406611	0.446179588695335	0.547219240900316	0.701782655890084	0.429877105373818	0.584498690766052
