rab.all	rab.win.Healthy	rab.win.NAFLD	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acetanaerobacterium	-6.17008428460353	-6.23417326831259	-6.10302682651504	-0.051586076686883	4.59862284326766	-10.0368235098476	9.6845762494196	0.796329706768517	13.593379657856	-0.0103723840850009	-4.00245307883565	3.8010091921529	0.496093750101374	0.57621251952793	0.718532907675477	0.627952393995507	0.725952036981422
Acidaminococcus	-0.968235863315811	-1.30672173647656	-0.4347876914894	0.912776299040561	2.78914730774476	-6.00926282453062	6.49755824253226	0.41219016972073	8.5693596901848	0.281813811493541	-3.7363680469388	5.38821884607048	0.366629468011839	0.180177426685127	0.380988133484816	0.0793512773634583	0.20663175252566
Actinomyces	-0.535405589638644	-0.203736586062372	-0.801970660765075	-0.631859641113161	1.54675828509029	-3.75285829389868	1.97713051653205	0.284488650947714	3.71900935703046	-0.392228108037209	-5.06491147672834	2.09572403843297	0.326450897977709	0.0126168312673824	0.0896916032271299	0.0180123224637795	0.0947801923737902
Adlercreutzia	0.879260000152495	0.800836935682751	0.899595140521625	0.0667167420332468	2.47609162409006	-4.87081771066033	4.76136165756339	0.393454139088298	6.43706997076907	0.0239924005381316	-4.07967370435581	3.6746023638655	0.488566648372374	0.903243381644208	0.942415184703851	0.884766147913555	0.927836067765237
Akkermansia	3.66672112634533	3.72568263667111	3.66672112634533	-0.4012740874056	3.3639608363367	-6.37654942688592	5.24777494900224	0.557560113474444	7.16973695996059	-0.112848503382049	-4.2997964165315	3.2941343432696	0.457589286822833	0.423236310023786	0.632121060768817	0.543260486594566	0.668268662583039
Alistipes	3.04374625867115	4.08626180672004	2.56344818845157	-1.15039272678064	1.94933334046282	-4.61952645840703	2.67361281330483	0.304484268176876	4.51558991364012	-0.579877006024329	-5.86515850702539	2.1902601127313	0.265476862227753	0.00168159300231567	0.0391681556244936	0.00105187548315798	0.0359525024019857
Allisonella	-2.6923175872299	-3.14669042268845	-2.22572314831936	0.916870696405147	3.22607950174948	-6.19817882100474	6.812693011946	0.456935922690339	8.9125877232345	0.270797608956293	-3.6031633951722	5.4494684806197	0.373883932066543	0.225034394294708	0.421751717067642	0.102330827416367	0.225410984718753
Alloprevotella	-0.362825198833322	-0.486665930767013	-0.174745734074772	0.298506766107296	2.85341577841392	-6.48704261302713	5.95468114100659	0.416598368668058	8.82935909044212	0.0849062173658151	-4.73357612708443	3.98702016555167	0.462353598304333	0.825981840446626	0.896644583765572	0.608270741936086	0.720877964532767
Anaeroglobus	-6.67218237751031	-6.84709752767317	-6.5018652611044	0.414454534580488	3.907069753811	-8.70505811251849	8.99848405388428	0.697796186630129	12.8580390760462	0.0875999159297625	-3.77059551090455	4.54184723917154	0.4547991083255	0.440300785715592	0.602511532461623	0.437593410201221	0.549946972986929
Anaerostipes	5.91403181303826	6.12975066258782	5.61795142113509	-0.566977823954212	1.18655244325809	-2.69297239032154	1.7002931610893	0.194252864944373	2.81118633031851	-0.433432602560571	-5.36475494773338	2.11617299410683	0.310825898586399	0.00727953100323317	0.0715756943175253	0.00972269920069896	0.0761614346908342
Anaerotruncus	0.578031373132896	0.785635926806821	0.365406821353528	-0.412881434021387	1.57890177147454	-3.84421834867214	2.73829083464069	0.267616147742099	4.14470629972159	-0.243399317612035	-4.79211735839806	3.0198438855648	0.375906305714494	0.130847710914356	0.324087298420951	0.134271855331571	0.279028141085803
Anaerovorax	-0.704292644796759	-0.367548296472348	-1.01966587175499	-0.733676877073503	2.37351485361289	-5.87856801481147	4.79688582119158	0.438515085398573	8.47301271965946	-0.251428232251452	-4.70865381081746	2.90594378922111	0.372559958914976	0.130024369150856	0.31860387398675	0.0606672400091476	0.178264734011418
Atopobium	-1.39655072041107	-1.88247729471608	-0.726112502630592	1.08953976275638	4.56452232300435	-8.09402999050999	9.87505268713481	0.766822862315385	12.4687855833234	0.210621868901744	-3.00321123682822	4.25688768635743	0.397099835467936	0.277784591271739	0.476845675782609	0.160577101711221	0.305590668810849
Bacteroides	7.23870190845246	7.71539339770461	6.87620036957291	-0.736581740654952	1.33033995666522	-2.8088827284433	1.98807577912519	0.234629130978791	2.92842909519674	-0.510423513855364	-5.1815056615133	2.26428833251312	0.290574462802229	0.00651219121422003	0.0693043709951336	0.0058615510301255	0.0623267966863051
Barnesiella	0.0981071992561988	0.729367472935267	-0.0863510893548138	-0.945314336647467	3.11805050669525	-6.51752668194244	5.61527663501232	0.511155611597764	8.59162840686056	-0.263489440307778	-4.54541517570335	3.64516834784463	0.381696431823505	0.157174592010507	0.354854626082802	0.129337046686982	0.276868977802857
Bifidobacterium	5.59424476689002	5.31637934179407	5.67956597114148	0.370700131205708	1.75984417483354	-3.25711932723776	3.49222263929487	0.297964044221127	4.50467422236197	0.185859004539154	-3.49587666290607	4.54243478657088	0.417410716489048	0.400510824564718	0.610091773695415	0.243482323388337	0.396955901223252
Bilophila	0.157106454029256	0.712300599392005	-0.193992599703366	-0.861630927741203	2.30163346008972	-5.47386068605807	2.99596396524954	0.388421844972536	5.52130479457419	-0.358669821833759	-4.95604931619173	2.16203803908687	0.338169647548099	0.0173972960277258	0.109338793076917	0.0253795799808138	0.115719982755077
Blautia	8.26570479119132	8.46335406491706	8.08083138634691	-0.316386613997853	0.798030686513418	-1.71894103581997	1.19185379986383	0.153846881547287	1.87279594815627	-0.393745944836872	-4.51381554364923	2.38481431027262	0.335937504771167	0.0197488862933896	0.115146368155838	0.0245036267684578	0.110641143438762
Butyricicoccus	-1.88452874642244	-2.32279286818214	-1.47866112640322	0.628944240350346	3.33578426597057	-6.48823866900008	6.5674856494506	0.509530646896686	8.75414969661427	0.168105795912248	-3.66962569912027	4.18011333475193	0.407138875889624	0.501289635087976	0.677273589678354	0.205750822880344	0.352990176027166
Butyricimonas	-5.26421630066054	-5.93225799594488	-4.83784818057975	0.876888536964105	4.68731059555349	-9.27881887871359	10.9427434570909	0.836152287827079	14.7471270239066	0.163844436874784	-3.6688489456396	4.45777682846191	0.414947018444397	0.386278061235384	0.554452931597675	0.308270192459725	0.438018551116874
