rab.all	rab.win.Healthy	rab.win.NASH	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcaceae	0.632025250663065	0.747638321459829	0.524715378163382	-0.314898746215451	1.15040273916187	-3.91857578011275	1.31384293660641	0.162135457616514	3.96493189904465	-0.212390084246582	-6.34613383592708	2.54733545987413	0.389322920777334	0.0299363961622983	0.4664376277288	0.1468760282857	0.720510462096954
Alcaligenaceae	-3.46938655491273	-3.75846859683774	-3.16222327405581	0.602912991232228	2.90814812968647	-5.80958248124974	7.05514785050045	0.400792662390512	7.6291278711809	0.177061737109626	-4.00494743627086	6.58065088310807	0.385416670938226	0.214204945694936	0.807522434122548	0.132946192434712	0.715469827725888
Bacteroidaceae	2.92582082555178	2.98597488827007	2.81292623242487	-0.185818048369832	0.94905071275606	-1.86196868553549	1.5742145094415	0.141506425707111	2.1619690273841	-0.189458744758658	-4.24186005908702	3.06531604166216	0.425781252680563	0.400034162914774	0.807637097321336	0.371377740981286	0.750162580839852
Bifidobacteriaceae	0.405283143174502	0.681501076962733	0.308069177406872	-0.432674080683388	1.54378576281917	-3.09066807642729	2.58009002807229	0.249024718077675	3.74664473367291	-0.247049163991788	-4.37275123442654	3.13165793224417	0.4016927119453	0.295162740630501	0.807522434122548	0.203807164483197	0.73165784200136
Christensenellaceae	-1.46308024121674	-1.64688412507468	-1.380404858574	0.296350834255288	2.17661056387536	-4.53061598408014	3.87813372217934	0.321323598289457	5.80588667620613	0.107361364331387	-4.82323528501686	4.22903221398832	0.44307091940607	0.854887401932657	0.918166086577571	0.473756607044331	0.770394070501439
Clostridiaceae_1	-1.5628445533922	-2.03454529042467	-1.08152237286425	0.313820127861707	2.87561871981961	-5.22554409506873	4.71710410746289	0.402307450422675	5.79241502587575	0.113835692131822	-3.77004157739604	4.03245926717444	0.459336370995047	0.637305968869658	0.826184575904461	0.599342572553677	0.792799662784497
Coriobacteriaceae	0.435437905417127	0.092816548536848	0.586551916784986	0.177360971580593	1.6015811506736	-3.41512081206455	2.69772447570748	0.235335873877383	3.83035041574638	0.112475128521408	-3.7578300170449	3.85836023497885	0.461288225186427	0.958455568785751	0.967876047019012	0.59942722843811	0.793180761603617
Desulfovibrionaceae	-4.75170133525908	-5.0301314454442	-4.32080955549722	0.403647967059803	3.65948991589482	-7.20985297687038	7.70686848630949	0.574322020804114	9.33131341949234	0.0940631346981047	-4.49571981397543	4.09693777563044	0.465494792891266	0.746035339951126	0.870059114953091	0.640607052315756	0.818406359903681
Enterobacteriaceae	-0.471710017906603	-0.362171618504218	-0.508966585965369	-0.276637758918021	1.32394063202932	-2.78350372336056	2.23189832862918	0.21801596197	3.26177230304338	-0.196656344685755	-4.5223734196343	2.9436373533664	0.402343753586143	0.293716946858036	0.807522434122548	0.274646412487509	0.740387376633476
Erysipelotrichaceae	1.92001761107405	1.98651447674854	1.9038122611623	-0.0241873426874806	1.07598398775767	-1.63911290292028	2.66094404298341	0.151309446813378	2.76696762013784	-0.0207081195183517	-3.53113101106569	4.46056875814277	0.491536458632362	0.564346726015807	0.818037595192467	0.945458550242424	0.960979922153651
Family_XIII	-3.19813386410317	-3.28481240283309	-3.13110208682186	0.211909551220316	1.70906677202302	-3.55235918323991	4.57372380173842	0.281141291381237	4.93103108308386	0.105581595206401	-3.35152021773893	4.79344395121724	0.44307091940607	0.26966988446002	0.807522434122548	0.447671332164848	0.763743156959748
Lachnospiraceae	5.70385266333788	5.88276887285183	5.66366881425144	-0.164781378395942	0.790323230501153	-1.41686510004535	1.46429634194074	0.113511317531232	1.8877954188244	-0.197740627448471	-4.44695490337291	3.53857196406593	0.420299287204871	0.497143642697449	0.813670239814	0.361629141482211	0.751370896429191
Lactobacillaceae	-0.850362223681822	-0.869199486023573	-0.84906934563321	-0.11157787436278	1.83587605604504	-3.62645540017815	2.85763151041675	0.277895497386187	3.95964789036674	-0.066988404368104	-3.83164139379834	3.02029510538959	0.47364996840119	0.570898054406605	0.818941877803612	0.782961633653097	0.878483544401536
Methanobacteriaceae	-0.859504194964837	-0.701774426309909	-0.974897783427604	0.0108646337053222	1.88026065910292	-2.86155435452748	5.63770559471136	0.314777081606957	6.94432769455832	0.0049445451333967	-3.3817447046303	4.48919606393097	0.497395833425318	0.590089220519305	0.819811878178136	0.917009030796663	0.947167210972794
Pasteurellaceae	-3.36152715637119	-3.37638590246428	-3.35297113641873	0.249930809426429	2.05506528913224	-4.98487474052117	3.54591627289108	0.325935248176522	6.19619356190424	0.107062129608447	-4.23366830902933	3.58996636568381	0.452473960027318	0.902755426370809	0.940792052457605	0.589536198351192	0.798745492305241
Peptostreptococcaceae	0.883093077126464	0.91889691210727	0.862099025845532	-0.178692925067685	1.14374329005302	-2.38897397558211	2.04892472089875	0.172697291649393	2.83069742935904	-0.139345456200676	-4.49099303074357	3.34611173090543	0.434244794030099	0.372965148163667	0.807522434122548	0.37369255866516	0.751821040927608
Porphyromonadaceae	-1.132196669375	-1.62517792812611	-0.944376787941323	0.539854912913916	2.13116731293482	-4.62712146632742	4.07522812756859	0.282672619601361	5.94021787868772	0.216774694375886	-4.61301950268568	5.24780199991385	0.380859379461513	0.622975457402108	0.824375521705455	0.157941149786789	0.722269386531877
Prevotellaceae	1.10806476932101	1.24657663143337	0.919746152830362	-0.262904934603512	1.29562794682007	-2.44109223434783	2.44173004674736	0.190284723088699	3.11645308379388	-0.19291118119271	-4.41090511383827	3.43126991363056	0.411841252396335	0.451683133277295	0.810447064508864	0.307796997935649	0.746852930870034
Rikenellaceae	-0.820496227902942	-0.552929300294925	-1.35864505811683	-0.42757478249528	1.96417184457876	-3.86071857390199	3.58307342552323	0.328372290363844	4.72148724811987	-0.214314305978037	-4.71580430368347	3.31534918237954	0.40494792014991	0.358251076730367	0.807522434122548	0.240987513519488	0.739263375910289
Ruminococcaceae	4.43302920176465	4.63010963870248	4.24673745209067	-0.343184525833752	0.835367597791052	-1.88565481212463	1.32417425043936	0.121512363792064	1.97025957859314	-0.374374741066899	-5.17797431485268	2.76714669840971	0.325309050610494	0.0512916958156071	0.468492551649939	0.0350187530340946	0.705311575712904
S24-7	-4.57589751450925	-4.67039469413588	-4.3600261792893	0.269201578824071	2.3685990301774	-4.22150971025344	6.70350345277771	0.371219063117861	7.74411704058589	0.0948994682275118	-3.34389062113461	5.2189578803705	0.453480808421736	0.428135930165766	0.807630055547701	0.524166832779409	0.778834579098386
Streptococcaceae	1.7765799499687	1.80642135431012	1.65125305092557	-0.125621881503784	1.14650264119301	-2.88632583341921	1.76105012735263	0.185920329183684	3.1891547133263	-0.0979299784095381	-4.76509347068334	2.96370362962382	0.454427084956511	0.388784149588633	0.807633060958286	0.624096052431248	0.799928252837299
unclassified	1.14385183221534	1.19087894667877	1.02951863923748	-0.0266370451205598	1.30825781058368	-2.94238440032868	2.26302508938308	0.206153062393924	3.52343539973557	-0.0203727411572953	-4.30084004783806	3.39084231360175	0.485677083839652	0.731437300799525	0.85647841923071	0.864108716071993	0.921579592416101
