rab.all	rab.win.Healthy	rab.win.NASH	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acetanaerobacterium	-6.02640806132699	-6.14209284342798	-5.86347810523531	0.182855814802369	4.37553459699012	-9.7370236820285	9.25806714623631	0.765617446923966	12.9703675513855	0.0423822308537169	-4.11471737356444	3.83241915826107	0.479817709047361	0.579076811330747	0.732905571182544	0.63227953769006	0.757882391465832
Acidaminococcus	-1.06995651838377	-1.31462699035295	-0.242119402430323	1.0493609302873	3.17798369179578	-5.97772035076838	6.80096011659789	0.398482410626056	8.38658323937163	0.294687729214367	-3.24148997422986	5.39609833177642	0.374105404871701	0.11803543792914	0.377544475026773	0.116761332219951	0.353488000747059
Actinomyces	-0.342312419399446	-0.210756696327646	-0.669781045805673	-0.519475940806243	1.59422540281886	-3.78781797934024	2.10013683739115	0.276547232392348	3.81980507081057	-0.303191743294734	-5.55035142354485	2.25542980902595	0.359141189522105	0.0629923841056306	0.284313820446843	0.106004849125836	0.330856773736993
Adlercreutzia	0.721087573140675	0.800187996610086	0.686716196955289	-0.185076512586782	2.42393222097735	-4.92551414752802	4.52700289266108	0.360595265731919	6.42351444305823	-0.0741219026708073	-4.45536155137796	3.53185446125346	0.472656250968713	0.681139494905068	0.817661679281223	0.808222160903983	0.883190425065658
Akkermansia	3.57658216307543	3.80930286333923	3.57424631441797	-0.513444497522659	3.51765616931917	-6.76362072174613	5.203083358108	0.504572843069936	7.22006948692437	-0.141080842478193	-4.54591095358372	2.79898118589037	0.442420301342761	0.366745866822009	0.601930993075872	0.456432775533634	0.660068992640491
Alistipes	3.27512354039317	4.09347670685256	2.36806410337391	-1.14525765458317	2.03813431115936	-4.78132058360671	2.34968616426692	0.269903869274062	4.66739019188287	-0.548353871132389	-6.10395323038808	1.85155359066277	0.266102808219899	0.00327551134098846	0.131030916743004	0.00338052992202614	0.110603849890543
Allisonella	-2.98988473355313	-3.1689597206341	-2.70490495506617	0.396505660271477	3.59618401975994	-6.77415343751432	7.26003540374936	0.507489905864785	9.68894356913255	0.0940547662327575	-4.00708662534152	5.00359059598786	0.441406252098423	0.575980938846146	0.738621983397219	0.502661617818044	0.671105853340715
Alloprevotella	-0.413880489283303	-0.488306082330859	-0.229900452407299	0.176907489478581	2.85381255668623	-5.63606156237791	6.18005146157771	0.45055225365592	7.71090288273899	0.0548276474895758	-4.01812272583747	3.80490154036814	0.474609375899148	0.829327957985517	0.902817140436381	0.780540739178729	0.869351545401407
Anaeroglobus	-6.86601047906227	-6.89149678901145	-6.83722987045906	0.0950721781926864	4.10527938674778	-9.05577348784183	9.82701508827467	0.777989904421884	13.9095064048298	0.0245233552361354	-3.94457539416574	4.21198747557087	0.491867274197175	0.52457406411534	0.691813414227472	0.539124056761236	0.69081504812921
Anaerostipes	6.01457388206317	6.12175725628468	5.74663219818773	-0.502462935504606	1.2410301354783	-2.78370062449881	1.74650810999684	0.203278464034201	2.88741270589931	-0.374652433855789	-5.26969528054609	2.6899048083164	0.337020175593333	0.0358759054425545	0.223099609364414	0.0521991732007913	0.274741216792397
Anaerotruncus	0.688287816508648	0.785488632385678	0.49722500692508	-0.314975776775956	1.63464541392263	-3.94809596424315	2.54060731700375	0.271755228288022	3.98279099601458	-0.172818971865374	-4.28607304696465	2.87642442448423	0.423828127754413	0.239257207364589	0.481568298170851	0.373225625372108	0.582917869008313
Anaerovorax	-0.642586139996086	-0.390216315329407	-1.19339595381919	-0.899912455978258	2.47772162289866	-6.66875281406466	4.67811038671067	0.448568816651074	8.50943370039496	-0.299727296100096	-5.09139777105423	2.95598930705352	0.35718933534854	0.126979704192789	0.375851624044521	0.080064227675864	0.313367611034283
Atopobium	-1.91358457845774	-1.8923541479218	-1.95427142933775	0.624326843940544	4.82466980296284	-8.75443032699409	10.0214664061026	0.791725539900123	13.0962561841766	0.115425484768857	-3.3272032710746	4.33346225086227	0.451528954230932	0.55179592223211	0.726040018774557	0.516172625444402	0.699184894749862
Bacteroides	7.36954537003598	7.71314559253571	6.85191964381188	-0.780806676881607	1.42382246050297	-3.00506515305376	1.98644320731114	0.237362871504592	3.11323673285909	-0.501232157669242	-5.5484672218758	2.11749949765185	0.301236182693072	0.0128403973327924	0.149624830473415	0.0126019027455853	0.179884432986722
Barnesiella	0.013305817020564	0.729424472179836	-0.281825394667491	-0.922095766486078	3.20981678403549	-6.80763977870375	5.98917368209312	0.547583998930954	9.00166148212296	-0.277045915734071	-4.45844762451333	3.23736990083157	0.389720238311584	0.174355269047396	0.426902641755626	0.167001752962058	0.397364457720581
Bifidobacterium	5.66573001553429	5.32362385561599	5.92494540940392	0.468711120155841	1.73841226930885	-3.05585428025818	3.41411711067741	0.279447014969915	4.47630141564663	0.246195229612374	-3.22563881673281	3.84903728049515	0.394274564736846	0.264157635864114	0.511336464314086	0.18401383069774	0.411207501074146
Bilophila	0.535007453464152	0.702538874477266	0.168015752709826	-0.616339528022047	2.32786639015199	-5.09433773732224	3.35864357809173	0.465100164754293	5.58618101762093	-0.246424808957379	-4.75875259611284	2.35297447218481	0.389720238311584	0.134782412095818	0.394717922409474	0.176254396882393	0.404562335206278
Blautia	8.28236881110956	8.46214354313519	8.03207027835176	-0.427662108527231	0.78288258506439	-1.82543216672474	1.01123291676925	0.150306507276273	1.81274534996797	-0.492894199132837	-5.30711589758453	1.97009909266285	0.301432299993628	0.0097807996069974	0.140476278181358	0.0148327355226134	0.185777176274324
Butyricicoccus	-1.94722423935245	-2.32966334643636	-1.59125949138948	0.796737406829433	3.29518268459799	-5.96689617093041	6.57430925983323	0.485845223465083	7.90021005531457	0.219768305009123	-3.60250181101187	4.93715180769181	0.381912821587954	0.260119077181269	0.504191911030956	0.175454150310195	0.405076821650935
Butyricimonas	-5.42694247977568	-5.88860330667348	-4.78872847194114	0.868621756309415	4.62987052534162	-9.42299882342691	10.6691450940722	0.793932332055476	13.3734327661772	0.159449847577883	-3.35577064198272	4.39975075014191	0.420299287204871	0.421558833719988	0.611841325112279	0.355808151178679	0.547460247689345
Catenibacterium	0.0119806002907223	-0.103808673067973	0.29764683508949	0.400897815280524	2.03423296069866	-2.84482705773603	6.3861023307363	0.321896546538222	7.25400481105352	0.159474751709201	-2.82067611187287	5.92673382899718	0.402994795227026	0.140287744916057	0.403183694543704	0.276954609059831	0.49101340868432
Clostridium_sensu_stricto_1	3.3025760980439	3.32300291586103	3.25192091906003	0.123132329946936	1.96506902689547	-3.12734193169469	4.21636570699316	0.274820148784449	4.40923126411786	0.0586625089785927	-3.78846083966292	4.12066266085977	0.47364996840119	0.553312431929798	0.740646558377903	0.746619850703604	0.851834322144546
Collinsella	-2.75865861053665	-2.91767970805946	-2.53295647298826	0.153093403314998	4.78840087410392	-8.82571413494202	9.33950567692377	0.837651297753816	12.3223453910002	0.0281573180476565	-3.27683492738741	3.65348323204071	0.484059857426887	0.716437063451803	0.831402872435359	0.763135674561132	0.855755751033522
Coprobacillus	-1.76734553460708	-2.02464551772284	-1.42698236840216	0.50880993716121	2.6170790081416	-5.99791662316804	5.29578042540486	0.475345148471174	8.16579763783115	0.16806562557241	-3.53945086630447	4.1246822997285	0.411458336561983	0.529145418499725	0.70656213926124	0.331361606243425	0.542279501436166
Coprococcus	5.72942891113284	6.09123906452163	5.57688586702814	-0.659610489625967	1.50734939768225	-3.1225343653382	1.86741973923501	0.240241837014648	3.13656178782915	-0.419166220134638	-5.34881519497049	2.18623476476992	0.342225120039178	0.01940908277765	0.171824516907232	0.0473198514999762	0.270882086362086
Desulfovibrio	-1.06868313549767	-1.46752250334047	-0.193468542502082	1.02866430390507	3.83830808411139	-7.13203881093261	7.83276004596231	0.638813149771693	10.5523930782547	0.241843581035531	-3.14989686819431	4.84051307744767	0.383214057708065	0.265402945297246	0.506177550954636	0.159525870273257	0.393671964474885
Dialister	4.84899809642251	4.86151070091376	4.8468722486624	-0.234191600665916	2.55055813835122	-4.64317433712306	3.76032105478359	0.4089039959358	5.15827429770794	-0.0915326224946797	-3.88023440528331	3.06048885964644	0.4573845168038	0.510572020697414	0.710800831778664	0.709161173336781	0.829933025951338
Dorea	6.51555641107467	6.65836375793735	6.35156579856629	-0.360393876809116	1.25580541475754	-2.70282142242777	2.26233947035051	0.217112447785556	3.1221171139215	-0.262616514341036	-4.9265118073041	3.16051799109624	0.369140629961999	0.165482344809484	0.414004388218709	0.123053060634917	0.358288013422254
Eggerthella	0.549127374306331	0.899985549082744	0.318189126785686	-0.473389669620382	2.00111526210307	-5.52885463875962	3.28268064871786	0.312611003107812	6.0810323843318	-0.201052867038873	-5.1611763303411	3.05615129378052	0.389973962417352	0.1846232464535	0.431953928630792	0.222599316109957	0.447648643960266
Enterococcus	-3.11447358931724	-3.33720180395736	-2.86882601245078	0.55193469642209	2.79840181650434	-7.49789951093842	6.91554362986603	0.464540115858987	10.7103051073946	0.148870871721475	-4.00248653686191	4.68832726509902	0.402081981470828	0.498296459511287	0.680430231443288	0.281310183515782	0.493653560495782
Enterorhabdus	-1.97114019976358	-2.33097264931216	-1.31823206310685	0.881496597998695	2.40726646830147	-3.46864152656115	6.01225761730715	0.457053668200831	6.26093944756788	0.344174420584191	-2.16765116692207	5.30304353153093	0.336369557537977	0.050529345036411	0.247231342138036	0.0651390498582004	0.285237530552717
Escherichia-Shigella	1.79320010468029	1.48912344620126	2.16685906627058	0.679527099357363	2.18366894499129	-4.12757285350113	5.47505351129532	0.325477938084819	5.75298974771507	0.296209910297637	-2.82833253345931	5.58563219255559	0.350683154774475	0.079851762955536	0.33828618635965	0.0579419429463105	0.289612537846033
Eubacterium	-6.12074773454329	-6.45768216248012	-5.74895743644762	0.667770543816384	4.17582275223208	-8.85279470264583	9.5965941816285	0.706248043374419	12.7784329810722	0.129820014698478	-4.17475401066119	4.86893175200257	0.427456085893152	0.444516759739857	0.63240234065489	0.390993475052052	0.571651911248321
Faecalibacterium	7.6745452047186	7.82406101855163	7.40992445616679	-0.39031343502203	1.1253345165599	-2.35785764740226	2.09266031697498	0.182721038598536	2.94538886811691	-0.31101350698269	-4.98774775839671	2.93849760827037	0.34612882837694	0.129601623046776	0.39712015630443	0.0741898928518827	0.304319206464907
Flavonifractor	-0.206813220414423	0.10913977922836	-0.511318545120004	-0.713866407344502	1.98596431994176	-4.73349439352157	2.99224841895911	0.319078958040576	4.74605963235417	-0.332473379966071	-5.8442133270623	2.63292021606619	0.338972029759906	0.0366671674735733	0.221976441684456	0.0672561743000067	0.287755065086087
Fusobacterium	-4.06063359606034	-3.87606291747145	-4.27782162949445	-0.315280048423114	4.44655485833271	-9.42563580322627	9.21168769301211	0.697949783980768	13.0118124127656	-0.0609538940333809	-4.75090318461484	3.56491616303588	0.464192709604612	0.625640634302764	0.768178155763792	0.664354961952324	0.788760541868447
Gordonibacter	-0.992827121520733	-0.522374772510058	-1.38964892170054	-0.606920978489457	2.2997943047554	-5.27922097356796	3.37738400347143	0.39884184142547	5.69944821873178	-0.254629537486543	-5.0531982077672	2.59945240580152	0.3828125043798	0.118565045430621	0.371030511008774	0.161352064209361	0.391556504313507
Haemophilus	-1.13787845785654	-1.2687772883033	-0.827341772054696	0.211005978495128	3.68485216784567	-8.39689890370794	6.625698809015	0.554677200822914	10.9831751485455	0.0528425236182459	-4.57645528411464	4.31323821343252	0.475601822593352	0.800363440823556	0.884214732717869	0.756373486387203	0.855641416178389
Holdemania	-1.86356370855959	-1.62617303724561	-2.27431691649485	-0.724362486981766	1.94187317884518	-6.64271491922021	2.28913840491484	0.335645981324614	7.22197478921831	-0.313398046737714	-7.04712634823836	1.98655503076999	0.339622647815597	0.0296770161053188	0.196671750525911	0.0605117998540387	0.259665702406853
Howardella	-3.54897289471729	-3.81983154000724	-3.2432818761326	0.495770337840039	3.3187208311105	-5.78575968851747	6.86086994616111	0.553234978975132	8.15065497200935	0.135410578047534	-3.33070603189683	4.42377545479253	0.431359794270026	0.498978362442557	0.676926268392056	0.42763714156312	0.611800228825957
Incertae_Sedis	8.65024806177341	8.72704995375328	8.56195060833381	-0.259214988725224	0.662563472360978	-1.71322031180302	0.742148853650675	0.106408864643495	1.7090978894193	-0.351499837827693	-6.41436367765622	1.88876697530711	0.329863376989214	0.0129746335095292	0.145832240674552	0.0427076559127899	0.242025654623551
Intestinimonas	2.80980397475446	3.11142337680912	2.56798585645291	-0.644600726667405	1.39329807559895	-3.5599735914338	1.62460617602305	0.250741832105509	3.38559621888154	-0.437823532237243	-5.60120873441485	1.86599194012263	0.305989591400641	0.0073982789858196	0.136433935216103	0.0158707800619914	0.188809351710073
Lachnospira	3.68934754254665	3.69345048636403	3.67973643799503	-0.310117254557991	1.69220497025141	-4.0105779169673	2.4727416699912	0.277577036774264	4.14341914153577	-0.161993368092859	-4.59361446753704	2.98299093221723	0.428106703955896	0.191461186686739	0.431812834460483	0.361192264669384	0.574920720681481
Lactobacillus	1.98522167951884	1.14071192078819	2.55859675524756	1.92892222002307	2.62373136988174	-5.94492209721678	6.12638240125691	0.369598770314689	8.90488139019093	0.62848358975592	-2.98347500934804	6.67864677864616	0.233723971461975	0.00723297803268996	0.137294513035216	0.000899347946520977	0.061332704900161
Lactococcus	-1.05524825945225	-0.971038182632303	-1.19183524257839	-0.615736031941958	2.52163880094657	-5.60186059457429	3.47483229991582	0.427363008793969	5.95896880371495	-0.225459421296069	-4.89374816126169	2.24816863519328	0.396877036980831	0.166730417773318	0.425724062434349	0.25083311358453	0.471669638577775
Leuconostoc	-5.96985000226764	-6.39679101210448	-5.58162840109114	0.569046776228572	4.49567743479033	-9.63754324720273	9.72838546990839	0.770508149576551	14.0740665390202	0.111639813176047	-4.3179389139682	4.2763872432464	0.437215356837087	0.540921487051084	0.700541571039152	0.463091991656524	0.630357569416333
Marvinbryantia	2.82069952314385	3.07492965496029	2.55737515216054	-0.398230752086643	1.36833605593666	-3.0454697062036	2.09961328677792	0.222207619917816	3.25399534986598	-0.2731909378063	-4.86305077852005	3.0106524094847	0.3773584951692	0.122054643797099	0.389786244709594	0.14617521665791	0.377228979218944
Megamonas	0.737677096071091	0.539963975832898	1.19844970163802	0.543079798834036	3.75748148031467	-7.57498572032306	8.20957929855357	0.542186192609646	9.9278589877795	0.135660871513155	-3.76150678384394	4.52250561662143	0.432010412332931	0.64845910581179	0.798931803182309	0.432720335047289	0.639714438287689
Megasphaera	-0.523172204355933	-0.839322030094483	-0.110250553624028	0.733932041058072	2.91999036917151	-4.78255550567235	7.08728094404059	0.429370751508648	7.48125633110403	0.244512397498449	-3.15671877108962	5.39071165223553	0.385816529948889	0.222310836492347	0.471239352052593	0.170451872101626	0.401222473834642
Methanobrevibacter	-1.19920657613714	-1.53421333940895	-0.830701172284463	0.501877178255568	4.14060547488125	-9.14242943761563	9.05428914425235	0.596775661049738	11.7805812561666	0.106690329695451	-4.48856577663484	4.22396566265313	0.438802085527796	0.863037954582098	0.918709599198666	0.40546687262389	0.613990116332184
Methanosphaera	-3.38677995654029	-3.52156736517301	-3.0969107294408	0.302855312423654	5.71414799465274	-11.4672351328326	11.5874918161304	1.0012580522309	15.0849135640184	0.0498227086666836	-3.62113889150778	4.66418773800902	0.471698114209114	0.703704873973472	0.823256524578933	0.700993131647923	0.817469022007486
Mitsuokella	-3.1303246569409	-3.22276386352629	-2.89982754717219	0.477302438403064	3.98273841283194	-9.05129718976608	8.08405733257055	0.626822718336921	12.3551965953203	0.10561347781121	-4.13501396576263	5.03635945708731	0.440468447152964	0.633531157817029	0.773639755972126	0.519627249214485	0.689263637917642
Mogibacterium	-3.07303871413809	-3.49962389584949	-2.2283229089848	1.19040667707612	3.30767484867494	-5.19431486650144	8.59191718441297	0.576052910603941	10.2904731760025	0.320426431739819	-2.50507465752245	5.25437293250757	0.349609380840361	0.11430618812164	0.333203465026796	0.0760868123800453	0.297766018945965
Odoribacter	-1.68644208525091	-0.816307130024304	-2.44117418733233	-1.4802665881365	2.993406871135	-10.9102540803144	3.98973029950203	0.485574870091205	10.9869542247509	-0.420909130741971	-7.26214450455552	2.09751834608685	0.267404044302958	0.00946732801845451	0.140989235944128	0.00554776044021834	0.118788585403205
Olsenella	-4.03399669752673	-4.50329835492314	-3.53246750939835	1.12068165838554	3.80413106528921	-6.62584954969628	10.0435000823805	0.64595497431123	12.8877763015156	0.250282522879929	-3.32437617066369	5.46201189187203	0.356119797207513	0.168831808519209	0.386601682775738	0.127842423860352	0.341181591081618
Oribacterium	-4.55015856712477	-4.43968994838558	-4.80761369251395	-0.105530456114375	4.54894852926162	-9.83006940941626	8.93828981436546	0.724699783704221	13.1047910487438	-0.0184796880767947	-4.51971946260768	4.13702509076438	0.491536458632362	0.60360918886125	0.757213165406308	0.699795467888569	0.813172894072882
Oscillibacter	2.74721787281796	2.72543608081188	2.75709301570689	-0.161609225433286	1.56653122225908	-4.91736125920523	3.65503011626154	0.276802879731501	5.60109462774063	-0.0794166971446421	-4.70352257370543	3.57446199090555	0.458035134867534	0.396788624346189	0.623422958236447	0.674510320241091	0.803368036801092
Oscillospira	-0.927141572003848	-1.25853294629379	-0.747381021017032	0.539209805935999	2.50493655367249	-4.50595593886081	5.46919652512077	0.474756785201156	6.8111953075006	0.193855065695553	-2.91777880954723	4.29370136923281	0.399739587023015	0.29607142823352	0.538603983274885	0.263808247157813	0.485338791542359
Parabacteroides	2.91900335269981	3.13171283129544	2.56042661841082	-0.533593996248001	2.12890437454735	-3.98605688943589	3.48719635200072	0.347377209377895	4.60342609375244	-0.245576135293042	-4.70556844541907	2.82724595466281	0.386467148009219	0.248703307960687	0.488880973345822	0.176434718816733	0.400711483194708
Paraprevotella	-0.545479237071858	-1.06879979286125	0.461074414953917	1.49748987612714	3.76040408937529	-5.50698682412014	8.38247857897638	0.602788718857502	9.11692738767814	0.366712005163348	-2.40953188762753	6.03061374949689	0.324658432556771	0.043159795898114	0.253635162611471	0.0338056679737775	0.244268585492068
Parasutterella	0.722501499950519	0.250473513706527	1.03086544551379	0.649166915215321	2.51170216755256	-5.01119540314719	5.57000167066389	0.390850772276544	6.31984293516329	0.230359078112916	-3.79091890948952	4.90418724557648	0.375651046348397	0.285127637901629	0.52550390343568	0.128367861186133	0.365718162318594
Pediococcus	-5.67869685746334	-5.80153440389503	-5.54473908180405	0.208828605193005	4.46317251205604	-10.6172405079205	8.93527985273842	0.860890544971987	13.3906552789681	0.0349317483086222	-3.99839111754266	3.67598676046929	0.483072917265239	0.581903091028727	0.740113215754712	0.622758975622292	0.757339291317238
Peptococcus	-2.88000886814793	-3.3865305820728	-2.56211689694007	0.529956086746138	3.63828109889055	-7.63080106997608	8.39920192739367	0.573472377749853	11.7446494180432	0.129537906731931	-3.92920758099807	4.54763148276957	0.420299287204871	0.436734060015701	0.636290601574181	0.318107455867773	0.527884670284089
Phascolarctobacterium	3.29842214594017	3.46350601913689	3.25518786559355	0.220176924874805	2.90895457790778	-4.82313499846977	4.9442597363818	0.439426317469937	6.35096966455128	0.0803573235950361	-3.66891093188464	3.46155320556303	0.47364996840119	0.794722947185984	0.883979607626095	0.763125645903083	0.862761317763576
Prevotella	3.46358084078056	3.1795643822569	3.82309904398764	0.742129645556929	2.69771325133906	-4.33355898798551	6.1387173823282	0.443108238243265	6.24914446684234	0.253115704668404	-2.72154715599849	5.03113206980364	0.375406640990535	0.120989659156298	0.387296448172605	0.129326481779519	0.369487414078529
Pseudobutyrivibrio	7.56359948245758	7.70295770772942	7.28046444474062	-0.302643899765456	1.30732894483425	-2.49276898281672	2.36135622091586	0.202791617771055	3.13693763825781	-0.213539604719014	-4.5124530660692	3.49487837921311	0.404296878508909	0.384236251529373	0.613323786930046	0.244883123854843	0.464748696630677
RC9_gut_group	-4.4517598853854	-4.80847161828975	-3.91873508326647	1.11017122579736	4.04132112360956	-8.38033696694723	9.89788395744383	0.615089806704054	12.4590203847414	0.227894416851532	-3.85645045073763	4.79922395978649	0.388671879137363	0.349499106801163	0.54973247937053	0.21616908971889	0.433360319378937
Robinsoniella	-2.65813127776088	-2.58523469750574	-2.70506291461246	-0.118873875324631	2.81077760579785	-6.06809274397795	5.5007625072446	0.475763352714493	7.95243103112643	-0.0390498028053059	-4.2675158674069	3.34756563056468	0.482758621298574	0.641367281246093	0.781924702758709	0.702431013950122	0.81737671025441
Roseburia	6.12595793231462	6.17591532941258	6.0808211189462	-0.106619800526083	1.00099394903444	-1.98430786969795	1.92966051581393	0.178984384737129	2.63976380095243	-0.087493907237254	-4.3882282698108	3.21458808358083	0.457031251529003	0.654669397271531	0.80057635160208	0.564725674646698	0.732873025558469
Ruminococcus	6.44967021659774	6.96704621436078	6.15004382630035	-0.64165642228602	1.56199147348632	-3.13239222583202	2.81712270059322	0.234442360593609	3.87739493543717	-0.358976597693068	-4.34950042784007	3.00128278717227	0.34612882837694	0.127049167334898	0.39748817811364	0.0712332367747089	0.305376762147499
Shuttleworthia	-3.7078943820695	-3.90638986645645	-3.58071989857995	0.0480292538842839	3.67747653666069	-7.28650992762862	7.47168777945277	0.643794002573438	10.5505881727819	0.0129022371542742	-4.25352417022638	3.82478586439376	0.494140625206989	0.722125785090786	0.831880763720351	0.753939596055738	0.850006576867399
Slackia	-3.76675864754457	-3.33679110310396	-4.22083829538549	-0.968189375786557	3.87181061584453	-10.326679749092	6.55529505797667	0.651702803642508	11.8407407113541	-0.21947740541111	-4.70955961520306	2.93046065717588	0.394531253898764	0.181818259647645	0.415210179422963	0.231960338050146	0.447209867866251
Solobacterium	-3.90839262170646	-3.888252342872	-3.92996030556994	-0.0331242289638354	3.38412258897903	-8.28048748685535	7.81852816599873	0.571124823624776	11.6431827658216	-0.00730343801427955	-4.41890396071432	4.76374165801672	0.495120364518276	0.63763266033868	0.776051601743895	0.667486450194686	0.790199012545884
Sporobacter	0.0832755657493189	0.307492961704033	-0.132475173537695	-0.476854995264585	1.7998764732947	-4.23752057173063	3.10424318107386	0.338691209667536	4.82861473522981	-0.237648539332823	-5.24150632917821	2.91101694391574	0.375651046348397	0.172263923215348	0.425148873477412	0.15389676555044	0.380303339745005
