rab.all	rab.win.Healthy	rab.win.SS	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcaceae	0.877166646696418	0.744787274302083	1.12223099409803	0.366546314365217	1.15391439094592	-3.07500289503114	1.81181379021888	0.202642501342481	3.96778115497937	0.238844306957168	-4.95314900252436	4.07506170543894	0.378772124005055	0.889095094509246	0.981345864606905	0.257226496063527	0.78644419413256
Alcaligenaceae	-3.33592079342538	-3.72889622723077	-2.7099765521224	0.849273006008477	2.44687466832795	-5.43115915583261	5.33093176532602	0.296691589147664	7.60690400840836	0.269312737571321	-4.43861662327935	6.33821552841422	0.338189402365107	0.373036595110875	0.981315184255394	0.0914887353698043	0.73343803573793
Bacteroidaceae	2.9299275062653	2.99321075950062	2.85353041934298	-0.0596575923336653	0.841760323194894	-1.50901735365957	1.64056815768031	0.125885916363317	2.00975301106708	-0.0593239521246282	-3.73950204810825	3.82129312368636	0.476041668838023	0.928540699105442	0.981658650338746	0.684174194783193	0.963780336151504
Bifidobacteriaceae	0.671630222838333	0.6789203753397	0.661183171280876	-0.0760634949608625	1.4184043814845	-2.79234140442648	3.15770632047315	0.192909932395469	3.66542103459262	-0.0439915348441973	-4.00071701399844	4.93109187231153	0.47450572551145	0.919560310740403	0.981483223760411	0.791258219654729	0.967470552399704
Christensenellaceae	-1.45944210026847	-1.65040288012548	-1.19599087128711	0.407669893571624	1.87880231761946	-4.37031456361127	2.91164208075522	0.230550490266335	5.68559053119197	0.144404033153136	-6.3395696954376	4.50820368106309	0.417708340981516	0.640079637019272	0.981345864606905	0.395711619985668	0.860231360806482
Clostridiaceae_1	-1.72068071594767	-2.03214353498704	-1.49128423978493	0.117137168881589	2.40869949403204	-4.55154875155334	4.46943649325044	0.237477515546367	5.5452886578078	0.0527374392068776	-3.90086317550302	4.40210485794534	0.478125001981784	0.918206252662783	0.981428172948595	0.747321785163826	0.965902550767141
Coriobacteriaceae	0.261545166463762	0.124759193374344	0.298741238900728	0.0563676377167455	1.25844160700182	-2.96481752061455	1.99039487306847	0.148442773442772	3.8105959444208	0.0358260089061687	-6.1854461742137	4.46413554091738	0.482830386566727	0.535682424434042	0.981345864606905	0.870310537412404	0.969947992191918
Desulfovibrionaceae	-4.6744672963464	-5.03629469375365	-3.76813299264836	1.25032521168888	3.37433526734209	-5.67239566458498	6.49014110282883	0.637254348796854	7.46043701380225	0.349548163300531	-3.01001240500142	3.9140427187081	0.351041681447721	0.191222948329953	0.973932807492972	0.170276033139375	0.757314845511169
Enterobacteriaceae	-0.346450413154801	-0.363772634955834	-0.327656671305148	-0.0222328905548426	1.30604926743234	-2.60497864200916	2.38691900232652	0.183595555908086	3.36956181668101	-0.0130389319311162	-3.79097586687345	4.71138929725546	0.4953173781541	0.936622806628633	0.981709148504802	0.918407538206902	0.971306187051834
Erysipelotrichaceae	1.85792003785342	1.98193692552139	1.78218962702544	-0.189236348028871	1.02308383099762	-1.79920516511645	2.05882214569454	0.159438158606614	2.8166796243234	-0.163179918946177	-4.47878464285121	3.68184895322422	0.418314263556334	0.700616382171124	0.981345864606905	0.398188229623989	0.863332712663768
Family_XIII	-3.26645070226915	-3.27931991173587	-3.25870760110893	-0.0327977051206747	1.4034473881388	-3.28217628284723	2.40733153066514	0.232178920550567	4.51207543057783	-0.0279385558445623	-4.39868138212154	3.7217337714672	0.488541667703301	0.807228539147559	0.981345864606905	0.861861359605039	0.96688144819679
Lachnospiraceae	5.73976627100309	5.88302692991837	5.59254994886026	-0.0290145189197792	0.867992885094171	-1.16420069601729	1.85927709185217	0.125555546866421	1.85823568431461	-0.0231774129891075	-3.65706417366213	5.28941427954964	0.491155047624591	0.687956405293975	0.981345864606905	0.913446845168025	0.971204847620596
Lactobacillaceae	-0.800623938928383	-0.877052538092908	-0.786458335853188	0.0334363048009951	1.73612125805557	-2.84264413998505	3.26126528057182	0.186151310583991	3.87285866980426	0.0278011593478925	-3.82776930020628	4.6323205317785	0.492708333992804	0.941023129032709	0.981708655119822	0.928861814846075	0.974157078206371
Methanobacteriaceae	-0.735905540342825	-0.70291661257704	-0.778822961975691	-0.0744928660037765	1.46455208447791	-2.67535090706692	2.64037246283596	0.191193720356842	3.79693647897288	-0.0359447143633115	-4.11758295710707	3.93259104545541	0.484375001414231	0.825384617548005	0.981345864606905	0.751822157401199	0.966209849903956
Pasteurellaceae	-3.39064528081219	-3.37882738946056	-3.42050737226808	0.244219495617892	1.99571289028284	-5.25540694519343	3.18932522878273	0.31263859435864	6.3067940673443	0.102660168461216	-4.47617459543461	3.73560129686577	0.443750005151459	0.754018116217102	0.981345864606905	0.689729435552708	0.95807995502224
Peptostreptococcaceae	0.863980316875214	0.916712122821529	0.800999755570487	-0.0483148878397017	1.20239754476886	-2.09001621073738	2.4450464329377	0.144356030332594	2.73013876337595	-0.0399867635314439	-4.52644980124273	4.9726199619847	0.478668056038686	0.860926734215301	0.981345864606905	0.843069730424797	0.967102134616893
Porphyromonadaceae	-1.39882063388367	-1.62580390652947	-0.9435556264406	0.536228784793906	1.81306168795544	-4.7129158392011	3.49332010504974	0.257489627941195	5.81022487227032	0.255656958118431	-4.53889173883602	4.48369599367642	0.386056202312067	0.769623946826897	0.981363041360107	0.226497282564078	0.778317907025837
Prevotellaceae	1.15397944322549	1.24651893611991	1.00844609564291	-0.336763653650506	1.1545649776044	-2.59129797493007	1.96530658993147	0.14696758893346	3.01495598241499	-0.269565196637175	-5.54652926964101	4.04693494808331	0.386056202312067	0.292104030370712	0.981315184255394	0.239288833050502	0.779826575460078
Rikenellaceae	-0.788335249636638	-0.559882348501108	-1.11604921269753	-0.42106929863865	1.83285003527879	-3.63942830630288	3.97677189402155	0.243699327883309	4.54815165532179	-0.207966162893623	-4.61652229172244	4.64028625160961	0.408333341910337	0.717087885718637	0.981345864606905	0.315536542824136	0.810183058212309
Ruminococcaceae	4.39719348651015	4.63045068933746	4.16675941374412	-0.499796196244047	0.732047930932158	-1.92122462246847	0.984672303025157	0.104858761492494	1.90644693204786	-0.6198079125845	-6.68366379242314	2.24684343542388	0.236212311859238	0.0070295536067715	0.175738840169288	0.00542868142273826	0.135717035568457
S24-7	-4.60086932028115	-4.66235162837053	-4.50217660931773	0.466151168092081	2.33271497850131	-3.87338920908732	4.23388893824262	0.317019872508928	6.06636249836023	0.203086933454302	-4.19314027627963	4.73712101076321	0.414583341289096	0.428341262128172	0.981315184255394	0.419529858913141	0.862571020004267
Streptococcaceae	1.64951305591302	1.8064574371933	1.38512446963822	-0.351821563783453	0.987383601731178	-2.08657431810336	1.98291350810263	0.152067986913477	2.50652847110494	-0.323606618442275	-5.37541623614366	3.04428812346374	0.350000014904793	0.270454307223668	0.981315184255394	0.126418412968998	0.758717565532767
unclassified	1.00687864739534	1.18764529790591	0.686405345024125	-0.197300792837675	1.19464747036977	-3.17238770721613	2.09373890639551	0.139703442845906	3.60008947089708	-0.156463049305044	-5.89599120558366	3.69626165368704	0.440166498713687	0.477518559679298	0.981345864606905	0.466566987833307	0.90642891121199
Veillonellaceae	1.4630123878803	1.4581120648736	1.48452128717782	0.096609626585487	1.27142917857255	-2.1905235471123	3.13789616839344	0.174237862157538	3.26349889341855	0.0561465884187285	-3.36709629960452	5.4175709603829	0.47450572551145	0.41824270748327	0.981345864606905	0.776939242594268	0.967511849976413
Verrucomicrobiaceae	1.11059664950273	1.3787353695123	0.969162594193536	-0.328431719783361	1.17395463232275	-2.60888737804383	2.02608790178857	0.16187241806766	2.99968700545537	-0.256561477301152	-5.28933264050603	3.0374611163636	0.376690958777547	0.194480687809265	0.981315184255394	0.189223783925577	0.766706848110826
