rab.all	rab.win.Healthy	rab.win.SS	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcus	-3.15700620251098	-3.19350859192388	-2.91037386430624	-0.144928400079424	3.54825320786495	-7.55001716989702	5.94071781283253	0.365417172721113	8.56695254612189	-0.0399859945213057	-5.99769494232301	3.61918636813761	0.483870969198844	0.540470243105124	0.804912062281576	0.848235514999136	0.95586334169914
Adlercreutzia	-1.09462960355737	-1.367504626706	-0.80595737995304	0.594672698068898	1.64907108058364	-2.73574006169052	3.65300428914204	0.267355330082198	4.08007431752865	0.344598107587895	-2.45634984038962	5.17729170656011	0.365625013096421	0.142623743594688	0.482078726888841	0.149877128848867	0.454698036432593
Akkermansia	1.86305839605209	2.09945128447601	1.60725023381252	-0.473788800849058	1.07743768454881	-2.72667948077176	1.73975632915285	0.150135741281702	2.93090482037749	-0.414379937103834	-6.35749056888664	2.40141176102718	0.323621246064989	0.0491255761849247	0.333031093187607	0.0622166675057756	0.280646939740535
Alistipes	-0.0333262351683339	0.223961675199921	-0.427067147808965	-0.584754266738424	1.89596759708539	-3.58964011557475	4.19652049835348	0.291227287643464	4.73006896278685	-0.263000958445881	-4.71714495308533	3.7163604053575	0.376690958777547	0.487212033890377	0.792429035292831	0.23398069644809	0.541047372773213
Alloprevotella	-0.968632861288171	-1.29098307527875	-0.395345420423596	0.863828414779118	1.03626555836845	-1.0170970600792	2.75461069865074	0.185112670179905	2.30148984245015	0.784191631144078	-1.40948651567075	6.34612018354634	0.197916709683722	0.000670006958763173	0.0294803061855796	0.000744217064984659	0.032745550859325
Anaerostipes	1.48664258159978	1.79564363296461	1.37566022184777	0.392845772926187	1.84855144896739	-2.37806769546598	4.23339109329889	0.207385999395418	4.09802126083168	0.18820022872215	-3.3263884242231	6.08297296742567	0.445369411856961	0.241120003017572	0.627189342641719	0.559186380890834	0.871694299565835
Bacteroides	3.70168698521766	3.77634584326311	3.44414388430563	-0.240949494374807	0.820817284444558	-1.69316156001225	1.6644672928406	0.147720008919986	2.02470388656517	-0.263064319477827	-4.69937711965513	3.43637266535852	0.389177950162795	0.410487061132707	0.776608932497445	0.24163303594706	0.549291668560199
Barnesiella	-3.09432464999485	-2.974355028701	-3.21443898003059	-0.314131559136831	2.62134758072345	-6.63994848014942	3.96683762696498	0.356138346026275	7.40764707951268	-0.104401003098569	-5.27390125062434	3.33496310166249	0.443750005151459	0.363561967946145	0.733055326681782	0.518643655168269	0.831529074656507
Bifidobacterium	1.41643675718657	1.43678191133272	1.39580347323086	-0.194908636161104	1.47520503940161	-2.88380699747973	2.83617614924247	0.189839897818187	3.68121477192686	-0.130172122296486	-4.18263086705535	4.23564828293469	0.438085333457389	0.711446833627821	0.857093877580008	0.554849163247958	0.867069455982811
Blautia	4.55303143131035	4.51642988353909	4.60796789430549	0.0848938177387462	0.737634657990858	-1.18612019829732	1.66450816847265	0.133671945971956	1.74725640927599	0.10696994203451	-2.81298990238899	4.04989617839719	0.444791671720351	0.469647563755203	0.7885302488307	0.579116894793479	0.872103159606359
Catenibacterium	-2.08189733946013	-2.27362621722642	-1.94530739792591	0.219163784371153	1.8069738216444	-3.84565124033972	5.99455557794252	0.260570823994602	5.92590020781615	0.0982816437967067	-4.22658204672332	5.31564644284908	0.441666672014092	0.675553794308137	0.847116212142987	0.484770657834141	0.819743714940905
Clostridium_sensu_stricto_1	-1.05932610775635	-1.15642773861241	-0.912379577134151	0.0226921232674764	2.35404022929686	-4.729426693229	3.994164895769	0.265991236858426	5.7170682236236	0.00729009313530146	-4.92743915044049	3.37810229699175	0.4942767955217	0.69915418066539	0.853186440947107	0.883176303152024	0.965931658963746
Coprococcus	1.86317766721332	1.981790052413	1.76382117168186	-0.0800941950825056	1.6274842064595	-2.96839733195744	2.82434032250527	0.202189565042396	3.3162799276947	-0.048848439643203	-3.99336608563685	3.79172491315788	0.477627473406795	0.90452217983827	0.927781151835567	0.835750150242197	0.958488001081868
Desulfovibrio	-3.9704624487066	-4.28300137931541	-3.25183468284103	0.932580438658567	3.41356548774568	-5.68729652465841	6.60641514801761	0.585273422363617	7.66780813333253	0.266166554902997	-2.92131548188913	4.31358114820864	0.383333344490035	0.269995123077034	0.65248780040763	0.217029095746598	0.529111067160177
Dialister	1.17859284675551	1.35055344323985	1.10224971609424	0.104415501831796	1.58041943578007	-2.35354580711502	3.48404781243593	0.186368561162414	3.62298423477949	0.0723366706047646	-3.58344347342963	5.28483043742854	0.465140481828944	0.495237730289393	0.793107237278817	0.834653326971255	0.955806692889075
Dorea	2.89036641277041	2.89072443411202	2.88822625920778	0.0149154576033843	0.915517558484904	-1.75793101788852	2.37718254260035	0.115762362390025	2.52058958394231	0.015627704199112	-4.14727407664142	4.54288510521219	0.486458334558702	0.84656021667877	0.906390886333406	0.892564025169559	0.965856571844031
Eggerthella	-2.14562457978898	-2.3497644064502	-1.4196438218421	1.19078324625141	1.87540604728816	-5.38891592842432	4.65751391667459	0.273107001653703	7.40079044242837	0.472208954272655	-4.64292300799822	6.91212630629102	0.258064544633753	0.102097977831532	0.410501185012941	0.0107058960541107	0.160498059009845
Escherichia-Shigella	0.297038950769593	0.334052448976599	0.243340387525934	-0.0773594899952705	1.29118421926852	-2.30136301653532	2.36685371989414	0.242378446698018	3.15165853129011	-0.0611401037177531	-3.71543296356756	3.25199963597108	0.475546308143175	0.789296156844542	0.883770070194318	0.757140977786365	0.938633534388432
Faecalibacterium	3.2526477440871	3.46397966676825	3.0858912086491	-0.400871766182023	1.2422953169387	-2.71085284337037	2.06440818716283	0.157882505235342	3.1508911679517	-0.300984773991063	-5.18263423704846	3.35049845661991	0.35833334726128	0.244899471922519	0.632521226130637	0.161633342045943	0.476639496687454
Haemophilus	-2.6363406829389	-2.60408291145607	-2.7619162508055	-0.00932270917191369	1.9346919520471	-5.47235879751801	3.09182513591399	0.319269975385051	6.17088379666085	-0.00483232777201121	-4.8699656910041	3.53003256045745	0.49791666685505	0.5219652997003	0.799422584403807	0.871112755276447	0.957584645970886
Incertae_Sedis	4.87866523112857	4.95744208209777	4.62021770382189	-0.378323853135483	0.773390822370815	-2.11841002466576	1.0660991845223	0.0993461571841691	2.13821893930356	-0.397736643618376	-6.8816318674619	2.25600540506995	0.304890759581623	0.0265235059023999	0.251667388977779	0.0340178263573544	0.220501268444406
Intestinimonas	-0.65294017483342	-0.695232515389154	-0.64311877735282	0.221144062115219	1.53593797235502	-2.03786728006601	3.63067505996214	0.181085305843176	3.43185600409149	0.131848582066175	-3.64007959758961	5.46649618115655	0.438085333457389	0.299396510480638	0.691567752095888	0.545078529145665	0.859934256654265
Lachnospira	-0.179899785047994	-0.114879386284986	-0.181132552870857	-0.354719416119721	2.12378557047716	-4.25716453416414	3.58132725336027	0.363559428702152	5.6045121420201	-0.149365130296857	-4.38626466073939	2.81938003823997	0.4395833388773	0.483422399784726	0.790645095293984	0.582101868757919	0.875688361610154
Lactobacillus	-0.126366048755884	-0.139681766807044	-0.126366048755884	-0.17641102662149	1.75884457542139	-3.00107848873015	2.94664093434709	0.196966081926733	3.59629849589454	-0.0954885647228289	-4.71392821776033	4.21135642876714	0.469791669408184	0.666522053159783	0.843996840892951	0.830746503098463	0.953326491350722
Marvinbryantia	-5.21114110248998	-5.0207372056797	-5.40494561233141	-0.620930620815845	2.90056194626983	-8.22954674274575	3.97405139817202	0.51624761851806	8.84965372615264	-0.1834294114707	-5.96808464191801	2.57337375286147	0.413541674725395	0.173084922540698	0.520646679327707	0.354505859401798	0.675414565337437
Megamonas	-1.07386252967278	-1.56052002223712	-0.240033485355129	1.1033757949073	2.48332668643762	-4.1672856400445	5.95782146935307	0.419117139890606	6.45916723587094	0.414314677424259	-2.80890203577147	4.85942245366545	0.320833351920681	0.0680353640543704	0.367385870105662	0.0411981749785823	0.231899921279695
Megasphaera	-1.62694544689512	-1.68421505021662	-1.55030523286799	-0.0506802978736314	1.94314705229492	-3.56005623742778	3.37114402463341	0.31945239982302	4.4294220712022	-0.0223803579534545	-3.86472392238529	3.58543695794829	0.490625000848008	0.746256585550426	0.869344417215204	0.829414711208309	0.951791092499878
Methanobrevibacter	-2.72953760177591	-3.01383715687458	-1.81288270924716	0.703683635502484	2.98725500393805	-5.66781981704475	4.88386109146035	0.438026346560273	7.2668272370434	0.213955401454811	-3.59741256105672	4.15533050306045	0.409989602566796	0.59702671248257	0.820133059596804	0.383134079172169	0.73548574161664
Methanosphaera	-1.20329472120963	-1.42492411493297	-1.05333512263911	0.107433502555912	1.67325164904419	-3.08087904745793	2.41382846762374	0.209521200536643	3.72955157761999	0.0590411699655618	-4.50433287786874	4.20555742478313	0.477083335409876	0.782851367685491	0.880479766890789	0.81102290961789	0.944724514518884
Odoribacter	-2.29146890776836	-2.50063863321585	-1.58970433615293	0.93582638853314	1.80197969668598	-3.16388504249779	4.75775508037275	0.255133693875301	5.06904853926467	0.442000653406855	-2.90174019028825	7.28258386422506	0.292403768731891	0.0259837276659491	0.247742050317474	0.0197243207814105	0.189325196912578
Oscillibacter	0.0456837107620527	0.363788614667719	-0.0314709830895916	-0.247030989723033	1.63261687150146	-3.049663880446	2.52819639507036	0.219831364125577	4.28319647308247	-0.147067247575297	-5.61010752641386	4.40400470497242	0.458333337127281	0.43196531524021	0.778875952728018	0.619343334819172	0.892478298996004
Parabacteroides	-3.11659377647546	-3.23710437999031	-2.86277432776315	0.556216957252427	3.67028150744416	-8.32898622231494	7.23247335743819	0.476052094516299	10.6798676492856	0.140810599349077	-4.32956352339853	4.63497171758829	0.430208339769463	0.758675071511564	0.873330909847877	0.479313556388987	0.814047037211933
Parasutterella	-4.43161580975702	-5.00326531533575	-3.78750296553431	1.12180676596102	3.49854598944035	-8.11716849971364	6.98904328859796	0.480428794339885	10.5758524712388	0.251219596167164	-4.73728270992235	5.39825761672585	0.365244550052658	0.534928335159307	0.795783971247831	0.15973951835448	0.464572405843471
Phascolarctobacterium	1.12895588646627	0.954343151936528	1.55732850937313	0.424953436314261	0.968748207601934	-3.44428049949163	2.04662828921683	0.128178534404238	4.11431134708352	0.322554835693487	-5.85929233893695	4.95890822509224	0.329166684155394	0.503982586652963	0.793987502064969	0.0549789851015695	0.261077201917606
Prevotella	1.371107168742	1.83835499616907	1.12054550263527	-0.761322958608723	1.32297133233122	-3.39836498531314	1.70386054506805	0.168529640196729	3.43191464589864	-0.495654422891483	-6.95194005398493	3.11905064310432	0.316666685819037	0.0185448800606964	0.226729506067251	0.0428875359102481	0.235478889290489
Pseudobutyrivibrio	3.96156535268876	3.99806288260927	3.86413611887175	0.0762259251655988	1.19029841534973	-1.97901920471364	2.8879613698826	0.195058170143886	2.84186326471966	0.0633992558835693	-3.40285609913466	4.51896673628601	0.468750002836782	0.621884379989176	0.829110371065402	0.959986893765693	0.980784386135202
Roseburia	1.6576198006176	1.89923801758426	1.2754149714724	-0.442424480377333	1.25397657381958	-2.61003707022272	1.95018176540767	0.203010783518275	2.95595158144163	-0.311564018555763	-4.42599987795166	2.58366055806939	0.372528628326838	0.21042006086203	0.597844057049355	0.185421926097852	0.494399805607139
Ruminococcus	2.61911953401954	2.94494777008922	2.46760768669666	-0.383603149027826	1.20255829947534	-2.8289015056151	1.73494972161823	0.176230115180688	3.20087862542213	-0.291696506188578	-5.86075268317169	2.59023135651829	0.373569210938966	0.0929448539853337	0.392564425518251	0.186595301156292	0.492966830127385
Streptococcus	2.41794480793288	2.59121724273275	2.09227256306928	-0.481291665734449	1.01490368358458	-2.15898709927892	1.680835913733	0.155160939289861	2.53716632567103	-0.43334527171808	-5.58614092041632	3.01372329371758	0.288241438476832	0.0881895294628741	0.387934265363289	0.0282766336658942	0.214706710930922
Subdoligranulum	2.30861400149178	2.42369200203803	2.21508255421818	-0.0470819239354627	2.01660644569571	-3.62234574340263	3.66256603040893	0.252138259742076	4.81593423722335	-0.0269513114584172	-4.40548074630305	3.64295762513901	0.49011446499226	0.898345482440807	0.926833303242552	0.904614712152772	0.968970395469999
Succiniclasticum	-4.19478323043925	-4.38119063440789	-3.8048644694843	0.293534571317072	2.70948721977872	-6.59909718249724	4.45155168953805	0.380021052159701	7.68212233161668	0.0933508464209593	-4.4218328883634	4.2052778236198	0.450000004566789	0.810131159355823	0.894772591101632	0.664532413037989	0.894392758751352
Sutterella	-3.78825934185383	-4.01588723099827	-3.30667477418148	0.739508637218507	2.59262156350775	-4.12955744168653	6.92757469338798	0.444388692683284	7.67393407736228	0.24868097047048	-2.47628484388082	5.59201602700545	0.377731541391126	0.185453003408378	0.537615603963321	0.184594285724915	0.489126990709361
unclassified	4.60824814559129	4.69470842774802	4.27839347131244	-0.380553581222917	0.735537383725111	-1.96580239316414	0.773159808367409	0.0739650494401193	1.73078772342548	-0.533046057337096	-8.39278487657119	1.69559439326304	0.295525516432759	0.0087545386863585	0.182568030081729	0.01710009440961	0.192428951477961
Veillonella	-2.10169373462977	-1.32541740319887	-2.44947924215091	-1.02214127770295	2.51685825113176	-5.21633238071213	3.5632360169981	0.284527553386522	5.6648018543835	-0.373715940429725	-6.21737873360101	3.64290910389168	0.35833334726128	0.0779231666313195	0.372898612310855	0.0964454502484573	0.369915501281256
