rab.all	rab.win.Healthy.Metagenomic	rab.win.NASH.Metagenomic	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcaceae	1.6156589947279	0.422843636144833	2.19803936965076	1.60495808272973	2.49613763479741	-2.50481226257124	5.43823345909544	0.341116339785413	4.55625568249851	0.629611830884084	-1.90451960115762	7.41894402536474	0.261698517386805	0.0715003885187961	0.559609490308221	0.10229167117712	0.692373361321354
Actinomycetaceae	-2.18614427279608	-1.98441022375442	-2.38061213089296	-0.628924841022133	1.69242098615404	-3.82636355893548	2.22832249026049	0.28843963740067	3.66444515155443	-0.363621395787488	-4.85110885759182	2.11181559588621	0.329861159441558	0.185018339950915	0.63641542771998	0.256361092467904	0.742325164973221
Alcaligenaceae	0.690753490891011	0.277796767282833	2.23517090912619	1.23989913427382	2.22456211902215	-2.82012930176879	4.723580327749	0.331008277259922	5.04105813906466	0.506183620986434	-2.24138226497595	6.09951717881058	0.308492257215968	0.161136659274234	0.65176722255251	0.17829089447704	0.718930285297367
Bacteroidaceae	5.8854787967994	6.09680594595687	5.48068588776304	-0.498483736010003	1.41308946166539	-2.85508622516719	2.07340664016495	0.23305084251837	2.89069588453581	-0.325333755430664	-5.09702269331496	1.98096044482608	0.359375038355179	0.33956424025284	0.752780987902111	0.409356800320423	0.809682694372584
Bifidobacteriaceae	3.70311581490807	3.52025106929068	4.25368758714108	0.217516783032462	1.6602369774303	-2.67824168152253	2.91756802089026	0.212888510036266	3.85791673176631	0.122597626325884	-3.58881321587195	4.16428801190998	0.454072801888179	0.731313689941808	0.938127631192162	0.778228954675356	0.955248405561802
Christensenellaceae	1.76613175855577	1.82326211048932	1.6666425513834	-0.196599505894437	1.70357023939986	-3.30558489966403	2.5778391516804	0.232535544732063	4.18507030406849	-0.082431752992292	-4.83910511084832	3.99009132752385	0.45833334387207	0.658344963460417	0.890103937271928	0.762533929885904	0.93088985618468
Clostridiaceae_1	1.78505683346631	1.95478194357097	1.67947956030543	0.00103262802448567	1.81306446242481	-2.8901945025262	3.97575512239692	0.213293562701507	4.14490900293812	-0.000155552881073083	-5.65469131035922	4.45842539960699	0.5	0.902856901648934	0.958762138458523	0.870665228734114	0.963415787120362
Coriobacteriaceae	2.73201637636809	2.69792075399002	2.80740559614195	-0.0225325289271674	1.58495871635743	-2.69445131213343	2.97622146399713	0.243743975837351	3.78418641584149	-0.0129644332976119	-3.39879264446549	4.43248714319621	0.49740034727117	0.88983970625671	0.957197891557989	0.891109930124056	0.960111109392095
Defluviitaleaceae	1.07036904127776	1.39582997839603	0.738839366978538	-0.35953053837781	1.735104127976	-3.38168704401368	3.3054914697621	0.263360659200832	4.05720935183927	-0.185708951729326	-4.26180092202464	3.46426477373489	0.409012155270352	0.521640045341741	0.836562356323957	0.522243357455238	0.849548528474245
Desulfovibrionaceae	-0.121905610535548	-0.0318341164844078	-0.399132537970085	0.00584518056989936	2.34756018100882	-4.10126318942207	4.37693597903669	0.31879260248453	4.77446750655196	0.00249668534380171	-2.91567758461289	3.64749284472992	0.49740034727117	0.877042478469776	0.955039051351142	0.894140447400896	0.972017781014794
Enterobacteriaceae	0.921385718643389	0.719929201180404	1.11426993117671	0.320370148655104	3.40238335471675	-6.00321569260613	5.7235069223963	0.323795545864723	7.21361075382948	0.0995510228178502	-5.81500339854214	5.56623694744174	0.435763905294048	0.760001681729779	0.939217582083795	0.712839163545433	0.939187484424956
Enterococcaceae	-4.86150281348535	-5.05269894389625	-4.69746404698078	0.692613575974734	2.42747761837055	-3.22459474178188	6.24342302859075	0.355246434038628	6.6598289623287	0.266974539976347	-2.30012489542026	4.72452448859693	0.363951509913101	0.328105484560273	0.72615639406172	0.436045209627834	0.814299827760503
Erysipelotrichaceae	3.9923547579036	4.3185980606836	3.72612932184868	-0.669301003635851	1.09132751189724	-2.65070541928275	1.07847707076972	0.204198202837074	2.31620573100959	-0.602929061665974	-6.17197697480661	1.44952339169072	0.268630922911911	0.0569225402719895	0.526770455645623	0.0764391616510425	0.648345006892998
Eubacteriaceae	-7.41289361756769	-8.06916060613226	-6.97687410169618	1.16148902252696	3.68998600250358	-5.55020343109086	10.5519125814962	0.701181643693243	12.1580655389026	0.275547583751773	-2.43181288862908	5.34496736491743	0.353552899714628	0.301126086505109	0.700483504571562	0.372661780943515	0.780925854770732
Family_XIII	-0.0330890055954605	0.230367832884153	-0.382766775655667	-0.727929443688064	1.45008284635241	-3.41224067184378	2.1496423484667	0.237864301359518	3.29920630669657	-0.442809221041433	-5.23951762603988	2.17917099313094	0.287695038832322	0.176164956679384	0.660961516272836	0.17696904971963	0.716233988666685
