rab.all	rab.win.Healthy.Metagenomic	rab.win.NASH.Metagenomic	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acetanaerobacterium	-6.07433987869936	-6.38465516106552	-5.60100482193684	0.620738515282601	4.1176916359604	-8.74883258828885	9.14491172899783	0.777667692007847	12.7501854607612	0.13612364596633	-3.71166444227722	4.06472793403308	0.436741783855609	0.557798958540971	0.887803871761913	0.545608802961744	0.926925868779128
Acidaminococcus	-1.20491498788331	-1.43077358841008	-0.64185022466828	1.06445773468085	2.82022487361345	-3.33427829932122	7.54874864733299	0.343397897300101	8.58542003966657	0.32685063764364	-2.37115958263978	6.73883884983197	0.343750043493183	0.2270777061024	0.820101301428026	0.324635769609647	0.912901618857482
Actinomyces	-0.790399184041783	-0.539603447891326	-0.986260884663452	-0.59329989607431	1.79580996687546	-3.94264976293542	2.19749106458569	0.232975931928115	3.7763332003086	-0.335979300230171	-4.82230142419037	2.47850878612215	0.350086696342889	0.224016218515376	0.798741278963009	0.290550273062851	0.872499742683897
Adlercreutzia	0.785725320797353	2.57808423521151	0.549781190193256	-1.49756161618275	2.66276091055692	-4.8340820139719	4.02997126554951	0.319410284867614	5.78302714700085	-0.489361874623593	-7.70229395897419	3.34460988899443	0.351819798026945	0.199198218369155	0.796116846632241	0.321879093236485	0.912251821848865
Akkermansia	3.6569328079669	4.40986692685743	3.29555951031361	-1.94069176720225	3.40168375309994	-8.16998020942995	4.04566991067287	0.552414685609951	7.64111567947455	-0.499331948860381	-6.6330216648811	1.68986478991683	0.299826749442045	0.0997003035607646	0.757055945375163	0.160986652666219	0.856183865992362
Alistipes	3.14424133695645	3.68961961310004	2.45205301863864	-1.08902604614086	1.794328401643	-4.31108586473091	1.87365489719671	0.263939208579505	3.66960103729624	-0.633166859312305	-6.47253775667553	1.61917352731061	0.230902872928371	0.0486299889941429	0.619313624608694	0.0499146509450302	0.632407920949797
Allisonella	-3.2393914944645	-3.34920259898914	-3.16557138364574	-0.0040771372677284	2.11972289830495	-6.32144407532374	3.13634446820011	0.363301784181146	7.2371069202374	-0.000965046033516456	-6.0529031158945	3.55996808972641	0.49740034727117	0.566156191906716	0.899180681784371	0.650293156920479	0.955965691466202
Alloprevotella	-0.542713085104318	-0.640935828792804	0.898307633494426	0.097411531300069	3.30742996630235	-6.28427059533256	4.04309231315077	0.271605131835413	7.90200324728941	0.030138999693872	-5.40045379760749	5.06517619998233	0.490467939995094	0.82055466715016	0.958183518709733	0.913042404576847	0.989076598667771
Anaeroglobus	-6.91490960034874	-7.04797014996826	-6.81241421522183	0.265155218406886	3.98748761952993	-9.27921884146404	8.90908060391425	0.751094714611647	12.2182530658439	0.0561001669898736	-3.44389507795807	4.02010868427174	0.464471412750881	0.531277680636315	0.878423291440503	0.552592845428565	0.92831069683821
Anaerostipes	5.90536948764435	5.91914685460053	5.90506318568981	0.103799051509559	0.982978941262445	-1.47356295062507	1.77908492168804	0.135376380027281	2.1214964519045	0.103184360727245	-3.82287020477787	4.031838387006	0.464471412750881	0.674212482324989	0.934877124106671	0.779780494273528	0.980417276449197
Anaerotruncus	0.70676947809786	0.790236599441136	0.549784226397707	-0.0401430396060922	1.77405917369816	-3.39021373292677	2.54258625622371	0.204995545333614	3.7532140048469	-0.0167047288612491	-4.25485182597313	3.42126662257994	0.487847225276479	0.797517870990264	0.951122537297277	0.855994697059906	0.981785479550264
Anaerovorax	-0.804989123511307	-0.459725313894407	-1.80131877939854	-1.45428466286318	2.81456592416488	-9.86332665496771	3.68958689533574	0.320730309855042	10.9928998788395	-0.467274616427395	-9.34438884748388	1.86058078535953	0.259965416030063	0.126139633937786	0.749705324402454	0.0870413207148888	0.712488570815407
Atopobium	-1.75076276640245	-0.733171248698832	-2.72349840503814	-1.54265894117717	4.50366512341048	-10.4755809073927	6.26407048233416	0.497722367185973	12.6278810297567	-0.277068010137565	-6.9433240024079	3.52895563910816	0.410745257044904	0.42136799090954	0.877859246132762	0.524190689341618	0.949946312570235
Bacteroides	7.41321272876547	7.63948776469991	7.10803460489899	-0.417002262452611	1.4712484715645	-2.84908505198276	2.27091473073532	0.176426621811249	3.17249666655841	-0.297708609069775	-5.38537425615689	2.81715092849863	0.37435012022574	0.403831195089439	0.885057747604581	0.395494429138973	0.924518118373687
Barnesiella	0.800999386635376	0.712708165098265	1.04105141434394	0.0304789411193491	2.3725783342286	-4.15079892498049	4.03094159080162	0.383593623406215	5.1258750577042	0.0119275483082666	-4.01895517927844	3.55835217015036	0.494791667975003	0.884279465074403	0.967203383977059	0.880276553941415	0.984272407742838
Bifidobacterium	5.20359174839408	5.09339474974577	5.79973478851222	0.21654149571541	1.78609498729548	-2.92752681664531	2.86047140668272	0.214358103783755	4.01328049735994	0.135423008584668	-3.27761284004135	4.48665270247207	0.440972237257974	0.716484841226421	0.941524718086054	0.732280852854576	0.975413935495768
Bilophila	0.58033625380891	0.452839590592852	0.74067438162627	-0.338731475025251	2.41724526902028	-5.36937139605635	2.89204642198119	0.324265535118548	6.20956063604943	-0.12228633019167	-5.35629407864389	3.10894563186572	0.445407292859073	0.502896050973118	0.896199125266811	0.769247852573124	0.978167675141647
Blautia	8.2950238847484	8.31443950857987	8.26555745766711	-0.0577464017800935	0.656859901228207	-1.22452054623711	1.15529953709956	0.123774695978281	1.54239871746297	-0.0748145161939628	-3.65987679321762	3.95231605896666	0.460069454538307	0.785316111688422	0.947291681481351	0.813213440970794	0.975572329221294
Butyricicoccus	-2.37690796663415	-2.97429506625773	-1.6081023623281	1.57594356707504	2.45507534783351	-2.21783244467407	6.83595876041174	0.459394068610925	6.9157345029623	0.635237666821558	-1.11902024427713	7.09836232136383	0.230502694730851	0.0553842334553324	0.612580492579983	0.0755323913702397	0.653963089774071
Butyricimonas	-5.70413469010047	-6.15188765350285	-5.07275675372801	0.460911088741788	5.10282966409702	-11.1469516508442	9.60005592676631	0.763655508441148	14.0230368200669	0.0762292486617905	-4.68973061077456	4.1639859178244	0.45833334387207	0.655009285907239	0.924314454699633	0.649056390590833	0.955388666637302
Catenibacterium	0.0956699543976143	-0.169844262609375	0.36480630480469	0.426104828938747	1.85441184507972	-3.45366800603435	3.08591493161189	0.267117785234406	3.93928982383145	0.198787178167139	-4.08911023420549	4.05531416353038	0.395147341143732	0.68296361839327	0.936490451444441	0.516874113695902	0.946380907727197
Clostridium_sensu_stricto_1	3.22778321103365	3.24316011020655	3.20799703187488	-0.00548894025795654	1.80551323790131	-2.91327923440832	4.7589130797882	0.191928165858534	4.23157258382684	-0.00160331750538302	-4.98427473642372	5.24688837219898	0.498263889324959	0.917804872873955	0.975578433506882	0.886480006062049	0.984034330685331
Collinsella	-2.52522565070245	-2.74082191075779	-1.47526501612067	0.841653113120525	4.05232208047239	-6.54767852719131	7.5733376886288	0.434484877265957	9.44463535009341	0.184563770386926	-3.48009205555905	4.94787696310192	0.425347241400525	0.584745628645815	0.916331201059918	0.611180252603434	0.958725789225509
Coprobacillus	-1.66082126850637	-1.76374155064775	-1.22968579349069	0.0301131905566399	2.61986417588506	-7.08009218852579	3.9890193197028	0.386306467975645	7.80894081498515	0.00860921214839949	-6.99853903292366	3.53757419276165	0.496527778649949	0.603197497577923	0.91153625567394	0.842932029271039	0.9829271998515
Coprococcus	5.86334472039068	6.19221476478558	5.65407630405673	-0.84306776968587	1.26041816437829	-2.81328108906119	0.865538112079037	0.165602874914728	2.25889984338311	-0.681318339104977	-7.17070009706733	1.43788062340142	0.228769593597501	0.0277965541932102	0.544934953652363	0.0714251160990712	0.681131695554575
Desulfovibrio	-1.19830574493647	-1.6582970092376	-0.73963378444369	1.27019081933356	3.71604936929903	-5.55853272986318	7.50270727308895	0.5374862894259	7.89481402801155	0.345346204654696	-2.56808124097065	5.01540201742077	0.331597269932647	0.26988230292576	0.840718248447763	0.276675554515144	0.89946853894488
Dialister	5.28526136068804	5.59227416802837	5.20591431689282	-0.480446249562424	2.34234283282617	-4.75632380503983	3.64586329431882	0.189001366748696	4.66350563597267	-0.186241126525881	-5.17476607783568	3.64249531054456	0.435008682058385	0.471050218545416	0.892740262469695	0.601220156584901	0.963607629459073
Dorea	6.54453332738937	6.59656924084485	6.43454539179251	-0.562164316531031	1.073275456744	-2.44400887125315	1.45686377593601	0.146155983981572	2.51931686355876	-0.463252266636271	-6.80369955010768	2.59262590190732	0.313691561951268	0.165835308985031	0.782320317832167	0.263929351414839	0.895166899148724
Eggerthella	0.995921620665601	1.3427084564053	0.770085814064836	-0.24317297782819	1.62426801564483	-2.92681776943258	3.66515359161384	0.255320829491404	3.82705565781034	-0.151698306786309	-4.00288993651397	3.43982422586575	0.437500015947505	0.835038881418277	0.958611696418746	0.681300099861439	0.963758238493834
Enterococcus	-3.27304758371532	-3.52679889013807	-2.98076356934104	0.832161329284562	2.6242569766871	-3.33511828136542	6.65136571072352	0.456094830424443	6.63580074186874	0.297945741864301	-2.72707892659521	5.83464261527727	0.359375038355179	0.305080591994585	0.819967035536671	0.381588250178614	0.883118023364242
Enterorhabdus	-2.14387625144031	-2.67110348029672	-1.5153259468367	0.910935512778805	2.17760693550861	-2.75928609679816	5.14526688734066	0.395312186874378	5.06587273782793	0.414776748659253	-2.38454906246145	4.86919803555055	0.3125000548014	0.177184730500332	0.746564187925005	0.201379961949815	0.807387054668258
Escherichia-Shigella	1.82698858008375	1.72285318178598	1.85504817022767	0.266042061968779	2.58382348279475	-4.81074196054665	6.28503352508351	0.310145424022082	6.35453526885065	0.0998035601927985	-3.38453534078639	5.91109553393935	0.457539005506029	0.507648027304029	0.903480387784274	0.763675130983568	0.97678866375291
Eubacterium	-5.81877825691976	-6.41979090055179	-5.37910545772894	1.10400939026035	3.72376628224997	-6.56409173486126	10.4972699893587	0.698974150511134	11.8953936723649	0.258747696884267	-3.25214735093863	5.30914573194005	0.366319480606335	0.408198637385517	0.824452091904341	0.414181745112473	0.860965731819046
Faecalibacterium	7.72308191890539	7.74282173489798	7.60407695832347	-0.463748586497649	1.20196550877023	-2.46272853041308	1.27107862242561	0.137792877530293	2.67906153562069	-0.378922017929515	-6.65001882366476	2.62368514130311	0.372617018499593	0.178809573505027	0.786381165707299	0.414401460575029	0.922358407418027
Flavonifractor	-0.425178133320343	-0.523346008472861	-0.274795630814221	0.352743436187378	1.67511567352467	-2.26699402143633	3.77848801784241	0.24297177754128	4.08226563597837	0.202925927059542	-2.12102960289333	4.97435375843755	0.395147341143732	0.343205351567903	0.854327028066425	0.515526897637966	0.940118595156452
Fusobacterium	-5.67898339261476	-5.78754834824662	-5.60264266242275	0.261106119137738	4.60106621429865	-9.14533188130494	10.1861777245004	0.824494535495858	13.2328489863194	0.0526931090567278	-3.7271708648031	4.28916970088719	0.472222229220857	0.563736171748104	0.886701309315304	0.614015580008227	0.947615660167643
Gordonibacter	-0.55324820718046	-0.332632039440107	-0.900151209340381	-0.509103196278436	2.27027361048255	-4.43996745695302	4.15711908969628	0.392169929473019	5.43450203854421	-0.197151063931973	-3.73564391329651	3.37121170476981	0.407986135032666	0.58760622755245	0.909059597724325	0.476080614432008	0.939154375598914
Haemophilus	-1.30148569509103	-1.41737568947873	-0.427987216398678	0.508055021726647	2.68754991562075	-6.37180570773779	4.17406866719041	0.245708086852502	6.988793512197	0.155440330271542	-6.05631289184325	4.36225491161859	0.470486118550129	0.799313333556408	0.954685078895233	0.858285725497413	0.98432999943304
Holdemania	-1.91535853899103	-1.76157541279659	-2.11471893388477	-0.395364791136692	1.24444475722045	-3.54675100599237	2.13067327378457	0.203831658295211	3.89349546476308	-0.274367596274399	-5.10970972183156	2.34185117474604	0.355902817249495	0.351570604841687	0.832371857056482	0.383433589436879	0.879798747715168
Howardella	-3.89489109897392	-3.92996635230986	-3.87015099746243	-0.263122217763734	3.61383900941272	-6.97728505832752	5.83143227804713	0.604519238956008	8.25311750439953	-0.0668359009396156	-4.80676259884643	3.36323742468892	0.456597233206607	0.626003178227115	0.917644458677619	0.67439572327827	0.95321901746253
Incertae_Sedis	8.61377504772279	8.62984747212896	8.60268118381786	-0.0169809620519299	0.475671453819777	-1.40102053813768	0.818829891486861	0.0886561284166228	1.54802446577214	-0.0294129725278311	-4.85877385670813	3.37455274553739	0.487001736357963	0.686134946361106	0.927065193370231	0.77096785760679	0.970233643845436
Intestinimonas	2.66307591662319	2.81973895676201	2.53212309032299	-0.482456428242096	1.2970015364961	-2.94702902207959	1.8018375473075	0.162742048491327	2.98983015325155	-0.3917322796939	-5.46797327343721	2.40454451841382	0.329861159441558	0.204645401133384	0.79965553841705	0.276125673861742	0.888579244209155
Lachnospira	3.95805784092968	3.71788195143102	4.05645927950404	-0.181624126929872	1.85355304933987	-4.42810354012302	2.94367055170021	0.194090648658675	4.49489659628316	-0.0682654416466317	-4.76597427974687	3.58843391171817	0.463541675872972	0.630228416509061	0.921282193841757	0.879135183701747	0.98515550507826
Lactobacillus	1.46715631416464	1.09235950106918	1.9981406967877	1.72724313234326	2.55930328225632	-6.27486244584008	6.35062200897837	0.214119808537777	8.59195079215196	0.557392516206467	-3.65544619908398	7.86131139946058	0.233968897042013	0.172410634235432	0.79669341585956	0.0661627700859512	0.673881174010207
