S1	S2	S3	S4	S5	S6	S7	S8L	S8R	S9	S10	S10L	S10R	S11	S12	S13_T1	S13_T2	S13_T3	S14R	S14L	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38I	S38U	S39	S40	S41	S42	S43	S44	S45	S46	S47U	S47I	S48	S49	S50
S1	0	81.2345884627024	152.422746153346	96.8825887136681	60.9308039407805	136.504661968036	44.0201234655851	73.6740745145419	108.438990583193	94.006580026292	67.4908587054693	61.2047005361771	92.2272495710984	56.5659237934551	89.6098792733697	87.5536807465469	78.6894579011752	73.1323527197953	250.435785620283	107.357571100781	66.6231142949734	115.53851274467	45.3400541308707	84.6975879030578	317.273954705285	81.6589453776775	65.9231293433362	108.611208127746	459.58655721118	89.9925772951997	93.2273742942225	158.71491921243	97.4168839840401	115.540772840737	78.0143833837379	113.604650811702	50.7058550302475	349.843884814304	122.522672804187	81.7747448916409	117.858883426054	89.9339521486135	167.457513243559	18297.6233110807	88.6605595072285	86.8744923842724	256.243818961857	128.742133340093	118.014406942176	48.5340124350273	97.4524042918296	72.3629351056116	157.692070851252	87.4045223949663	78.7803192616244	78.0149396491084	65.596438533327	141.139632505515
S2	81.2345884627024	0	188.074971425709	50.4164288295565	46.9505081999252	139.378184877365	69.2281273181973	50.2416271091804	54.2119016096488	58.7997288021198	68.5455349727114	106.542232834858	46.1273879208815	74.6718539379563	72.7480518470039	117.723884508644	38.9477385233982	107.289828857068	305.757525288941	154.088151551874	55.7904159932659	162.88230730456	95.5350502115583	75.1525637899197	374.866328620933	143.463494277724	101.02866485288	140.872798506231	521.898963397882	84.3371984237842	130.258532007883	203.012373489024	132.032303023964	156.827957229229	48.0058318591902	136.703545089641	108.107346865314	386.028347840992	157.997444204728	66.8749798002864	159.046428640852	69.6078855948192	200.111437417862	18330.931733876	114.903240244884	73.5113526770089	292.361685518383	145.332740274025	169.339268626926	85.6311329865127	139.563447025449	108.299795458841	182.210578284044	54.6700870062468	93.5370294167324	120.416269493355	52.3510764435391	185.984201043591
S3	152.422746153346	188.074971425709	0	210.098185456975	176.157802924111	250.965643428785	172.396483367989	176.8230800565	216.860084452853	221.246329617123	156.105626630071	180.876499626712	210.405137153302	182.886876354785	195.240431786263	180.15129709723	194.230510566634	174.161944272414	164.03787055233	182.378627692381	180.728680774904	104.227743081589	132.411475592324	192.775909509072	231.951788735073	197.346750350972	123.058061215309	199.405473617908	405.939794521134	187.79032841862	221.549473936032	147.076454741228	133.424201332372	151.838505727539	182.636852808765	201.376511150944	178.723680392846	342.472632219579	70.9162869528942	204.08486464517	128.631424780719	226.913310353654	210.455077865408	18287.7424058812	189.154735162005	217.565826533012	142.956775549431	240.040699920601	127.143590882016	163.936956060996	104.722404524478	133.380676343403	240.346737055441	190.825607813858	211.850845004833	192.076362482872	171.692808277316	120.365763077525
S4	96.8825887136681	50.4164288295565	210.098185456975	0	45.0167670903973	126.051652268786	81.7365891493615	57.1339192509071	25.5209758088679	44.097875917475	94.4155381343293	113.163562853462	28.1535147910384	97.3079013850089	74.058852708987	138.917963778971	33.9297614066725	137.762730758827	321.536277398546	170.89257623569	60.0736440611416	148.243555148926	105.894077159707	83.800418728819	381.176452524157	152.143695981965	113.59552635486	174.332600988908	533.119589088632	115.884414006324	145.780378146741	226.970308901367	163.469825641663	180.670559593299	47.4911155348084	160.111356963271	120.089773209296	398.577401331281	191.149282835561	93.8693967293473	139.869561844771	80.9550186843852	234.386764974275	18344.4335692791	146.038167876244	96.4124515165849	295.209839175254	139.463097178427	160.632608785337	117.73192373466	132.732114191147	133.804763298493	210.014386999795	50.0454079901487	113.166069943838	144.06439769815	82.7000176523525	207.281723385453
S5	60.9308039407805	46.9505081999252	176.157802924111	45.0167670903973	0	117.107779484577	48.6709254810927	29.8549832292956	62.397399176187	64.2553667252935	61.4311769778664	91.6726692526363	59.6411267426641	62.7048793460134	61.7978929924756	104.818029409216	38.1507909149119	100.508903907568	287.662065575008	138.545726010486	35.8499617113	133.835924347638	70.2528499216818	61.5095554679314	351.062294372394	118.043516611637	87.3592311127686	139.878588078699	493.925819842173	83.8304634880649	118.143899154715	188.456748634621	126.534092673774	142.637395627689	47.8821976921339	125.521741125279	88.9618422025256	376.470951679842	153.312399396191	68.7821043843891	133.505606110507	61.668793967035	195.761072350507	18323.2319275847	112.465977397217	73.6296147599735	283.055113745448	124.643196561479	147.93417132804	79.5255432924713	117.623871182109	96.5398954604249	179.91996951271	47.1472808138486	82.9578729033035	106.296715901536	48.5534606293796	169.424974429186
S6	136.504661968036	139.378184877365	250.965643428785	126.051652268786	117.107779484577	0	115.314002665039	125.805891401885	128.955072155776	116.903364974288	142.573043111826	147.15137386237	117.742446249569	154.366892627587	110.569932110278	185.84426925396	124.837503218102	186.848513684447	367.277861150774	177.560980421847	108.362611183415	186.038248172168	152.74837556589	119.63772799458	374.889017781016	187.282811468415	155.544477879313	219.842870110085	564.79356668687	175.311285008715	204.750027425914	256.330064183001	210.35245167043	218.70922682718	115.383636847607	212.150983597815	156.21410791079	446.883598479497	226.296233708372	154.076128194978	154.766575190845	152.63866566202	275.138175079283	18392.915454978	191.090746240266	157.069501177281	323.397678796076	120.951198992237	170.373097975987	161.288175739205	167.510873821653	163.847862400028	270.856904757536	116.169489615128	161.828809834891	185.0719473829	139.423442514852	243.928754369887
S7	44.0201234655851	69.2281273181973	172.396483367989	81.7365891493615	48.6709254810927	115.314002665039	0	55.3421611526547	89.473876363662	89.0365537521833	58.5465316837832	82.9123726673775	82.518050346743	59.6146670545397	81.9693178332901	104.790353296736	73.4734201076542	101.679661551316	271.825871223115	116.679457547908	60.9449990462214	138.998586341778	77.0791610740253	75.1171302805429	337.583462522083	109.900538106689	88.4205045879387	135.802626378196	497.621769698346	87.5583486604326	105.222965285823	171.636173984058	125.233367569951	138.257840025302	72.781521820773	125.170191831654	80.2571346736627	361.091890357368	151.143461389974	68.105833958618	134.887968934817	76.4841861785244	178.841364723057	18306.9118247866	94.9989288172459	72.0848285309271	281.688129306763	116.631735455386	146.755374076507	71.859621905899	117.571535895875	95.796171633523	181.694408811345	77.722713771663	65.1304518429591	87.2772097259035	63.2946853547661	168.076861691187
S8L	73.6740745145419	50.2416271091804	176.8230800565	57.1339192509071	29.8549832292956	125.805891401885	55.3421611526547	0	57.5972193895939	80.4961471326078	58.3204275635416	105.004836833347	70.1726051530145	70.145733271883	69.5286637957293	93.3002932984751	52.406265633663	103.421602628876	303.296551264159	147.758765201931	41.797336267238	143.325258797204	84.800198963175	68.8610063678484	357.939005195024	140.174725865284	92.0386356533226	137.335084135482	516.454126720124	84.8256609355175	127.191020366673	188.959122417052	128.863790623468	145.822977847383	59.9286707320402	125.730561137504	108.662852958242	392.802689010973	154.609304807906	75.5633305526526	145.973005406743	80.6054312152347	200.170579603309	18338.6640688037	111.046177049752	82.386055973692	294.046936137611	136.401088280583	164.990443257241	86.9238941290403	123.827344238066	97.5522794047084	191.297932531587	54.7676269749608	94.6993171418423	119.852635796137	50.8652017310199	168.096509727948
S8R	108.438990583193	54.2119016096488	216.860084452853	25.5209758088679	62.397399176187	128.955072155776	89.473876363662	57.5972193895939	0	49.5734106364443	97.9113054834457	124.825996752281	33.3525602562956	104.670773719029	69.2389824353221	135.339172031091	46.3985944943732	142.889700358415	334.809246779028	176.52914354393	66.4295769439181	157.623715866269	116.21533315749	87.1892699002382	386.728362559206	169.6045829009	115.339979597256	178.841996855561	551.95162599344	122.807971964201	160.133454051866	226.129417622012	166.707053651316	187.545093798678	51.1586051784325	162.760957342189	135.562595516286	414.928906757672	193.366192555512	100.205471727451	147.350626076781	99.8080658446272	235.473500580217	18360.6771681148	149.701201774148	103.859688782001	292.34839534507	146.216258845333	166.057385680403	120.07037224071	134.381851452276	137.107404043528	219.175302438884	53.3200449345002	121.337971181504	149.73131223025	86.9328814722578	207.805408045272
S9	94.006580026292	58.7997288021198	221.246329617123	44.097875917475	64.2553667252935	116.903364974288	89.0365537521833	80.4961471326078	49.5734106364443	0	110.26464002425	110.767147717142	37.0583004282976	100.830565042884	64.2419535625808	156.963793654481	42.39547092678	141.633027009513	327.504782745663	171.176896733333	62.4106394575519	154.120414774884	107.197973737595	81.7015628700032	387.974796956857	145.474978367014	122.099746309813	172.357856375248	517.009453294343	116.075766543292	154.997680991377	234.462679375601	170.514722835657	182.081896993379	50.382849263192	172.088068533651	116.433490565495	396.977571682481	190.196856430545	98.237652555995	146.990624157914	81.1203434720423	236.653989191656	18342.3185109474	146.887294646671	94.4058882209003	288.48260688055	130.988200244294	136.898883999129	115.534222109969	142.742268911297	140.184009926298	205.533590066945	58.5523548526615	111.630457882955	145.597702240764	81.0028394812905	215.886527723863
