CL-148-BL	HLD-53	CL-119	CL-127-BL-2	HLD-112	HLD-85	HLD-39-2	HLD-50-2	HLD-64	HLD-111-2	CL-141-BL-R2	HLD-34	CL-128	HLD-100	HLD-22-2	HLD-104	CL-176-BL-R3	CL-151-BL-R2	HLD-25	CL-165	HLD-23	HLD-24	HLD-72-2	HLD-43	CL-147	CL-118	HLD-51	CL-134	HLD-103-2	CL-139-BL-2	CL-154-BL	HLD-77	HLD-35	HLD-87	CL-137	HLD-94	CL-142-2	HLD-31	HLD-102	HLD-99	CL-167	HLD-74	HLD-96-2	CL-173-2	CL-117	HLD-80	HLD-28	CL-152-BL	CL-146-BL	CL-130	CL-160	CL-177	CL-170	HLD-47	HLD-38	CL-171-BL	CL-166-BL	CL-136	HLD-45	CL-169-BL	CL-131	CL-175	CL-150	CL-161-2	CL-144-2	CL-116	CL-172
CL-148-BL	0	-0.205526394734253	-0.183670425328085	-0.229565010433424	-0.184822054641685	-0.227967171772334	-0.19268742659824	-0.193778135142107	-0.244727565381771	-0.138880790655932	-0.167379092820755	-0.400017519036746	-0.168585001113017	-0.226554163642846	-0.231254062889422	-0.201512897287776	-0.235152115217621	-0.326956657408993	-0.26054164192272	-0.177301800003268	-0.285827942293782	-0.36513579416827	-0.275665054335165	-0.182503693395532	-0.233019186472456	-0.130850816405421	-0.202073111104745	-0.193415389609304	-0.369378059990556	-0.295985107992576	-0.238194228627157	-0.202446739595249	-0.245867299390511	-0.273521702594648	-0.309675717221645	-0.320468589106317	-0.194624154150782	-0.178772791923807	-0.191209686800133	-0.215962003429189	-0.349391122341709	-0.179554379742986	-0.190983852430541	-0.2610683584908	-0.2783086398559	-0.202090394127522	-0.25367210517558	-0.22871404154458	-0.330388732008384	-0.239552486492028	-0.324945409686128	-0.253896677992574	-0.159691340944062	-0.195520957568085	-0.134854410013047	-0.162666801701848	-0.282540779435254	-0.156717909835122	-0.155336273466241	-0.153356478662237	-0.139410701839089	-0.165896326741057	-0.156874027962598	-0.173010475140446	-0.221565759758914	-0.163886869474121	-0.200463648902163
HLD-53	-0.205526394734253	0	-0.229993215629426	-0.287779785820048	-0.195154203031217	-0.241362589923	-0.233601958274501	-0.159658980424443	-0.278067458830877	-0.195456588074521	-0.232968569758222	-0.424533640542785	-0.232607088753158	-0.333379580037535	-0.258899701122794	-0.271547092911579	-0.265954887809219	-0.40679055419696	-0.285756126809996	-0.210058117685648	-0.2886650103912	-0.395459083884793	-0.273898915654861	-0.273126833094792	-0.256022700003708	-0.216491062979659	-0.285909655873877	-0.207119033766607	-0.34936990915309	-0.277353863123883	-0.208873915589102	-0.20676743737313	-0.258417502661394	-0.303966940547128	-0.369153554026006	-0.331970813904611	-0.247732991682551	-0.223135965615786	-0.198131867722786	-0.242075351754263	-0.340827284156983	-0.259650192750932	-0.250208936590412	-0.289386641311558	-0.348573636797157	-0.292584702052786	-0.274028298253506	-0.247372024793782	-0.329356444154536	-0.28639743007268	-0.357141270384053	-0.206646366105187	-0.191888249902078	-0.199590916568251	-0.208686950303397	-0.192828388432564	-0.224636210619495	-0.186267188132321	-0.207650227513345	-0.203579512362358	-0.222611665887444	-0.205342574598751	-0.21013322625583	-0.198201346887014	-0.235838006890567	-0.229663972340407	-0.232438502941423
CL-119	-0.183670425328085	-0.229993215629426	0	-0.237064351770795	-0.172914679030809	-0.233009754295297	-0.211211395928141	-0.227060747094943	-0.265127528692404	-0.179609719581885	-0.163404307227895	-0.449743101597598	-0.247241755382725	-0.208753438327967	-0.229830782863441	-0.271031111485007	-0.167729688017428	-0.372111571490341	-0.273781863078053	-0.196596638655358	-0.340534764888692	-0.392575787734658	-0.312262120089776	-0.231051481417228	-0.192270518147668	-0.207435441204766	-0.255853502313805	-0.238643717099454	-0.361841010035211	-0.296053107465633	-0.218108285530846	-0.218684310219334	-0.166610019457153	-0.278789387872872	-0.350572769157155	-0.30328361949819	-0.238380694339566	-0.179708782977771	-0.20669942720956	-0.286350655321741	-0.283746438908982	-0.220730408089275	-0.218606685523097	-0.165087882942656	-0.266573399502305	-0.249819453329998	-0.27924636556158	-0.285697559975699	-0.275977171767458	-0.250075327221727	-0.36747250259843	-0.235685651090371	-0.173716947334655	-0.218282910008735	-0.195534776373785	-0.147954583336732	-0.26705772950885	-0.178297557856669	-0.200063907117036	-0.198172798132179	-0.188665250743086	-0.225459664533147	-0.179030067438931	-0.169100210710189	-0.261956053432417	-0.166429961089867	-0.240565835567088
CL-127-BL-2	-0.229565010433424	-0.287779785820048	-0.237064351770795	0	-0.215774392214898	-0.242152509686252	-0.247124709724299	-0.260979141947249	-0.285152647158426	-0.25723173747043	-0.22618311702331	-0.384744181559145	-0.243029081751912	-0.256118163943773	-0.255839625181516	-0.210628488071438	-0.245146139637888	-0.290936681172161	-0.295963753243718	-0.233627200857719	-0.345813381428787	-0.31659650257773	-0.257527965094413	-0.250083285210144	-0.292640396904303	-0.218650055238811	-0.262257527411941	-0.240146342936765	-0.413350669068893	-0.272974991416679	-0.288913851826821	-0.225315467379161	-0.286914280919056	-0.285578952318022	-0.281585396465116	-0.394450335300439	-0.264228659502475	-0.264111017759268	-0.22069129158213	-0.278396405305234	-0.316515582218258	-0.254657192416982	-0.219942400426263	-0.285639445884698	-0.283423020419432	-0.288343479065884	-0.268764086795498	-0.256752278879233	-0.246450112240435	-0.274787650292863	-0.3096083600494	-0.27945814750344	-0.201301510973631	-0.265742030646876	-0.195629804583286	-0.209784271168845	-0.281149014648753	-0.199442195518267	-0.187971401435441	-0.18532279867843	-0.194341508404672	-0.218853157835939	-0.204294324957385	-0.18226071212533	-0.226195612238885	-0.205110026661563	-0.208067249150367
HLD-112	-0.184822054641685	-0.195154203031217	-0.172914679030809	-0.215774392214898	0	-0.244202962003365	-0.203082143316549	-0.21660992302875	-0.252340408082634	-0.181833271109189	-0.200746319743503	-0.418608141498101	-0.223159068857191	-0.251868063701954	-0.264348639777039	-0.241475127260596	-0.1905423496006	-0.361182042760624	-0.299711804098416	-0.168121856686151	-0.328967590719634	-0.365469609898881	-0.292652183817656	-0.211939189101608	-0.214485683773449	-0.178185204327198	-0.234460018553262	-0.192492500757713	-0.363036035303785	-0.286197709157572	-0.239211355877969	-0.0960708425909942	-0.209602346621732	-0.301322805270483	-0.353457136018878	-0.327049227021375	-0.227090770757684	-0.183539480738647	-0.177333976374527	-0.253559548660246	-0.324826466946179	-0.24497605875458	-0.196803832153769	-0.21551650938506	-0.282136671403073	-0.242899776398625	-0.241963027084331	-0.282576988138892	-0.306706593810746	-0.277530620422826	-0.34993950124353	-0.226867122964225	-0.16212866596823	-0.199702615786804	-0.170600575927644	-0.143201971427993	-0.287705878621595	-0.161727422611215	-0.190620471765906	-0.170992523658535	-0.174881555413268	-0.208337991752553	-0.173898701270502	-0.150751237619622	-0.252510044913041	-0.16766121720386	-0.223490673959594
HLD-85	-0.227967171772334	-0.241362589923	-0.233009754295297	-0.242152509686252	-0.244202962003365	0	-0.252045624931697	-0.223535033560862	-0.277334927176945	-0.217395455549536	-0.178423280875508	-0.470257268565773	-0.277503710888658	-0.28053516734672	-0.103171715692251	-0.262742390250518	-0.279420901999037	-0.363357750456042	-0.281162528293676	-0.212659756437768	-0.348020573052376	-0.401481302657213	-0.334126305210804	-0.248032671351501	-0.2335173791344	-0.238212452155582	-0.282928938203169	-0.267195886754516	-0.397744765511234	-0.337222724813494	-0.228528851604595	-0.273750988711762	-0.279219275153764	-0.280647034217526	-0.36936839467699	-0.354804338754162	-0.247901033988022	-0.248997422440792	-0.240749117921194	-0.314838587692575	-0.30537627539271	-0.272867901605182	-0.225387402121544	-0.272426196061305	-0.336220362118996	-0.300238230464221	-0.337086926796729	-0.332828840035546	-0.288387573282128	-0.272969360902961	-0.396161535152828	-0.282866292539042	-0.224316746340262	-0.256704710738795	-0.236284909094833	-0.198092835638735	-0.254584723109422	-0.199233819548337	-0.219259344179277	-0.213653157274804	-0.228500548099873	-0.266084756484136	-0.219585236139839	-0.218023211909685	-0.29675179933852	-0.199293795881934	-0.270946883272536
HLD-39-2	-0.19268742659824	-0.233601958274501	-0.211211395928141	-0.247124709724299	-0.203082143316549	-0.252045624931697	0	-0.213302577139636	-0.254996449738659	-0.196159634736324	-0.183187775592493	-0.42649185643689	-0.230153461388512	-0.269149268972863	-0.244400266261269	-0.248612420914526	-0.253660936040104	-0.349289321705315	-0.318716946000793	-0.208796859953915	-0.323252276285665	-0.373477629544739	-0.269443307679277	-0.256437048295443	-0.178899797769117	-0.213668667589057	-0.265784148374379	-0.205532671519418	-0.328066631299503	-0.226798752635173	-0.16019692194472	-0.209248058207758	-0.276260677942096	-0.242036532770113	-0.316169834891655	-0.352289992499519	-0.226498559414023	-0.220336396025272	-0.218824719900711	-0.236315298112876	-0.358554269418631	-0.22430808535336	-0.217710658138877	-0.259337219732153	-0.28124103891823	-0.2959860634476	-0.252944954973541	-0.249374959383593	-0.317171508368877	-0.239625417432423	-0.35354725581156	-0.250032865503665	-0.206522767435184	-0.234570274821378	-0.188360937878471	-0.214611960366765	-0.31406162149645	-0.190566872258535	-0.206726805275512	-0.17675899879001	-0.183430944177524	-0.221285805010413	-0.160333254248891	-0.206609096667981	-0.250871399049213	-0.185398253362573	-0.189531590639828
HLD-50-2	-0.193778135142107	-0.159658980424443	-0.227060747094943	-0.260979141947249	-0.21660992302875	-0.223535033560862	-0.213302577139636	0	-0.291351648790829	-0.19155525567258	-0.224289584734637	-0.428936639825664	-0.200354190350575	-0.301806886753458	-0.23749526404537	-0.27705848030228	-0.264949037067954	-0.387476396528683	-0.275342015795294	-0.221428213389251	-0.269263837369112	-0.350596753877924	-0.28019324249979	-0.255698303878748	-0.243977773928516	-0.217944297109658	-0.286415759246642	-0.197517448192428	-0.330596048433056	-0.272754448490777	-0.230359507464081	-0.223498861957951	-0.287165510706198	-0.309781798546741	-0.356251761543514	-0.32933855128777	-0.199034439078606	-0.207135037195111	-0.169912664197623	-0.219781421144236	-0.333266796879049	-0.240983145683417	-0.231115844662745	-0.288688089111317	-0.341778893693501	-0.294178244533069	-0.258133049202668	-0.238114653453182	-0.311166261008467	-0.241106276098028	-0.348187055737261	-0.199495979426721	-0.202980194726491	-0.235354826015463	-0.205057403908528	-0.20897734452679	-0.212053790329118	-0.154708787318255	-0.183714431563306	-0.192052724095396	-0.218864254250664	-0.199397254688776	-0.201519971319147	-0.193756543516776	-0.241386181501287	-0.21988704039119	-0.233986760800344
HLD-64	-0.244727565381771	-0.278067458830877	-0.265127528692404	-0.285152647158426	-0.252340408082634	-0.277334927176945	-0.254996449738659	-0.291351648790829	0	-0.258055044494092	-0.249520934072683	-0.309763867470041	-0.316280943821671	-0.296516762335154	-0.282114198066529	-0.284932360495613	-0.27876157074887	-0.282173835329366	-0.245547993417025	-0.239674005629943	-0.35903511644336	-0.366242095243208	-0.312635214324471	-0.258954387302798	-0.238336501271169	-0.243507203408205	-0.268276586064195	-0.24661564801245	-0.369338710840682	-0.329022143140046	-0.231715398601988	-0.285723245570092	-0.30256476292383	-0.331836086405904	-0.296231015524416	-0.335388704138801	-0.299557368248708	-0.259208656771372	-0.247750327315818	-0.296845407198109	-0.366455624146483	-0.246047918711259	-0.286646038809942	-0.28423212080862	-0.276704426803084	-0.240410104147341	-0.319636065836322	-0.341638699765076	-0.33037725858405	-0.36098086235719	-0.256463830012034	-0.288089587811497	-0.257097213189714	-0.233963049365181	-0.262600512682728	-0.26367119170928	-0.348234655660403	-0.262103623624469	-0.251451544681103	-0.252958193555952	-0.243988305129098	-0.278610774922708	-0.271109752628943	-0.267547719571998	-0.311736789646133	-0.24471428711769	-0.277803036980488
HLD-111-2	-0.138880790655932	-0.195456588074521	-0.179609719581885	-0.25723173747043	-0.181833271109189	-0.217395455549536	-0.196159634736324	-0.19155525567258	-0.258055044494092	0	-0.152687458777052	-0.429326140296062	-0.143802184458909	-0.250803641397048	-0.223575707441072	-0.243203263358703	-0.189759288240349	-0.373671440728567	-0.25733945325734	-0.166806578905389	-0.3319490469213	-0.373305674939455	-0.300674912162505	-0.200764262949853	-0.210574532916899	-0.171284862859801	-0.241441640290026	-0.217209009060093	-0.377706052787809	-0.328318267804062	-0.215048938297636	-0.205160008722948	-0.236863002977181	-0.290902608738444	-0.353795714039491	-0.317068508988353	-0.204070683473847	-0.123894910397417	-0.202135709378915	-0.256596346623578	-0.348342263039865	-0.194391316446256	-0.201785425991542	-0.251747271680487	-0.28176365553215	-0.225644596787527	-0.291091805339828	-0.274823053660493	-0.321291024436901	-0.233617395606222	-0.355695181597539	-0.272572460185774	-0.184063375214454	-0.198693271351106	-0.16292975515954	-0.143114250774033	-0.275824167006408	-0.157122414927708	-0.18520054160741	-0.180637553240708	-0.167953701572315	-0.212869590385565	-0.158640619597288	-0.177501442625001	-0.264284322038647	-0.150555938158709	-0.227329045462618
