rab.all	rab.win.Healthy.NASH	rab.win.NASH	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcaceae	1.85083399239295	1.8062662849511	1.88307828260719	0.0710468820130012	2.90937077924764	-5.17269561260939	4.72690382428557	0.444646999314394	6.50614048522794	0.0249420659235891	-3.24204119615594	2.88728612707814	0.489583335950857	0.923571722699737	0.968987369252466	0.933020520396113	0.976768778960431
Actinomycetaceae	-1.89179646106764	-1.87270825933495	-1.91384542412276	-0.00968858244781678	1.18095959703697	-2.5806663990855	1.97325687381407	0.207839437492703	3.19593870241581	-0.0084051017717132	-4.01742973675017	3.0440165043448	0.495667245452003	0.71077401500622	0.947931394833686	0.806933310529069	0.942917123755613
Alcaligenaceae	0.564264971112008	0.663657558498477	0.530070557740894	-0.0760519167021174	2.57784536688682	-4.92998074202739	4.19219278159181	0.278790499346613	5.1375479477194	-0.0341962662417137	-4.73372975938694	3.87196967357139	0.479166671908542	0.821987268111075	0.95988501516153	0.854841445513742	0.944408084060432
Bacteroidaceae	5.57197042540759	6.07853629353686	4.98328310842988	-0.957281180544762	1.36160442791459	-3.14935955134976	1.68741375406015	0.240574651350414	3.10056620659762	-0.64861982899946	-5.37877271574995	1.8058618117038	0.237435099410215	0.0418565239425678	0.556226566679982	0.0464532637185049	0.413438906523748
Bifidobacteriaceae	4.23171085883113	3.37658582570544	4.44916389027438	0.901657361457691	1.25482433647306	-1.37777490784902	3.01906913850573	0.206386493020358	2.55282827536607	0.659642529912321	-1.6363937017614	6.11986461774593	0.24131953316521	0.0396578938857448	0.544368370176416	0.039754001230589	0.391664899298706
Christensenellaceae	1.70782875391742	1.80448067244963	1.61727549685595	-0.610993890566981	2.33187045091898	-4.89566798063813	3.14158077710654	0.271391218420023	4.84263173041798	-0.260691199795952	-6.60854255348497	2.2825381131486	0.375000033489756	0.286998467270656	0.804087931237867	0.350083871636339	0.828037500219239
Clostridiaceae_1	1.91558028539898	2.0244479779516	1.80657625979221	-0.374917562564693	1.83949638061819	-3.22948896566321	3.32352038692989	0.289547195449102	4.30642012203448	-0.204095012492202	-4.545488798424	3.70161015192814	0.420138909472984	0.655432014334602	0.955013470998262	0.516064506303614	0.889829576212941
Coriobacteriaceae	2.33678688521415	2.54064303812946	2.25186141356844	-0.177329654079117	1.51295318379214	-2.35510863870831	2.93895008754507	0.170237680959543	3.18964857719651	-0.108015680699907	-3.5024574134289	5.42822469127121	0.456597233206607	0.881118756465103	0.966296865221656	0.757443846730106	0.926487819933773
Defluviitaleaceae	0.360269475857994	0.558705192852804	0.229218426440495	-0.465724929512518	1.79934259972593	-3.35057382152717	3.14189071313999	0.257682390283458	3.94247487741088	-0.231215868327742	-4.26105682902089	3.0281095913027	0.404513913780237	0.529933876327466	0.938246010073144	0.490083347737368	0.879233022902245
Desulfovibrionaceae	-0.203242805567259	-0.431662885105806	-0.155525523539694	0.358146105870063	1.7910849349967	-4.1282464527107	3.78383125127371	0.277276146684237	6.10944910166785	0.167041916748538	-5.35240153065817	4.01300339263797	0.415944562379157	0.698119313322643	0.957645066128085	0.539478763066882	0.87791121462488
Enterobacteriaceae	0.872825039148525	0.387705489760592	1.03410314892227	0.686775397906018	1.86049729095971	-3.70057924387628	3.54623945977881	0.276018491580313	4.81777315521226	0.314615996825303	-3.40160778425198	4.84811124317845	0.343750043493183	0.511010854210314	0.926689665568477	0.288167127500184	0.768667625162479
Enterococcaceae	-4.53784053006596	-4.64177135504193	-4.45731347592005	0.24872832550242	2.61227767459888	-6.63385743811042	7.475139856479	0.434429446611191	11.3785947323273	0.0745799829968926	-3.80270753296934	5.51759872985664	0.454072801888179	0.637164025946462	0.928570237311375	0.650161968911758	0.904225684734375
Erysipelotrichaceae	4.24293928311904	4.6736424782048	4.18125990879559	-0.0704768841867036	1.59733054040362	-2.89285273453618	2.86808675165923	0.182134299456306	3.22849405451268	-0.0428177403444886	-5.2256074228979	3.65721966056253	0.48180243090411	0.725671200614136	0.956862596160973	0.833907260035151	0.942941818142135
Eubacteriaceae	-7.701770778326	-7.84630664461902	-7.5953450510958	0.174296382998811	4.89845530447422	-11.6221259038736	9.10538895617268	0.843886845582954	14.0677991928239	0.0383629083409489	-5.1685122076545	3.61556331369629	0.48180243090411	0.589179798352274	0.903051424046762	0.598718567495778	0.873891005658415
Family_XIII	0.070654428703695	0.197187913441248	-0.0278599681423097	-0.212240730605691	1.51272971561402	-3.18147489855208	2.52694321268741	0.223916344281744	4.01500724572023	-0.133598304166155	-5.87795246860398	3.60952264491705	0.414211460599349	0.639172747471437	0.952983523940198	0.664314459076225	0.914092984495394
Fusobacteriaceae	-4.98435423275155	-4.47358669839299	-5.4045407018409	-1.0951048893538	3.45127438790579	-9.45382946801464	6.39031134087733	0.460584833608742	11.4571340439264	-0.274862889179711	-7.49083712466591	3.73482560783475	0.350694485617317	0.338291593233623	0.777995669024075	0.284109348327041	0.704384673400652
Lachnospiraceae	8.6182820669539	8.77682251687521	8.48883094487829	-0.365398115467092	0.704395605427887	-1.77045955517277	0.827726184329835	0.118691594589242	1.64325215412965	-0.510270832691231	-5.81608168198565	1.94365586834985	0.294627444853853	0.102690417271598	0.592157890377379	0.141216668840019	0.531090588543233
Lactobacillaceae	0.855861274716458	-0.0858054532798187	1.51691430994256	1.87223391793978	2.48690333881627	-6.72615456721961	5.68505965131919	0.396517793322305	8.82330941146526	0.631084411834991	-4.37779995402962	6.48862023165193	0.223958433065442	0.192537617115254	0.727156122861082	0.0344796746319705	0.388956825704061
