rab.all	rab.win.Healthy.SS	rab.win.SS	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcaceae	1.76712048208586	3.49269798873931	1.41047543552263	-2.01513342290105	2.1951743232957	-5.09543614400912	4.06053727569923	0.290607147906671	6.48546977776591	-0.690441588533577	-7.86927383204411	3.36426534158249	0.27209712573055	0.117041344659651	0.349310203045451	0.0766606760858858	0.262723538443249
Actinomycetaceae	-2.01989483145206	-1.410399014876	-2.32162097652681	-1.01648756558911	1.37731424541902	-3.9551081784587	1.313829717944	0.233004266427583	3.62072208209135	-0.739989462898709	-7.41761402821276	1.23946024251259	0.197573776214625	0.0309048445381127	0.17454207167028	0.0243268973746925	0.123589336354136
Alcaligenaceae	0.0733174783053894	-0.557115463737081	0.427945446790873	0.664870698003575	2.15418447878321	-4.92072495857256	5.421706455038	0.310815463568245	6.19055936243704	0.258564842479948	-3.63560759894193	5.50863776554957	0.351819798026945	0.513613052253173	0.70457865858953	0.287282581927092	0.48224606891241
Bacteroidaceae	5.72083780212972	6.20655632683828	5.52803931545808	-0.451229470780748	1.01340672018438	-1.89648787448655	2.55169460436085	0.163493681424534	3.00545256284806	-0.354502895119449	-4.39294910215751	4.47460210494839	0.337954984662055	0.48444936362491	0.686009974869182	0.231460525168565	0.42258955147963
Bifidobacteriaceae	3.99429373906608	3.73358451157802	4.0224819770128	0.300629866331498	2.24337324091346	-3.9548081428003	4.01615738161112	0.245399394897924	4.62758461587408	0.139718944980045	-5.00001482664494	5.05428847802801	0.449652790553186	0.909199590678414	0.937701193212017	0.760591339491122	0.8502196054594
Christensenellaceae	1.8088723088794	2.51024280827791	1.65452247442032	-0.74579027354885	1.88602315071171	-4.8467149984631	2.08447118063767	0.290242104218261	5.20437688807852	-0.353788864461563	-7.90374993632769	1.94489037901368	0.328125048955114	0.133461289089022	0.361628905009788	0.195837032334127	0.392123966288872
Clostridiaceae_1	1.36626751764274	0.85746562832021	1.46334028071183	0.487444744160655	1.47748872608271	-2.00156598756077	4.68161125574172	0.227776551141782	4.61259330217448	0.279532939677375	-2.54830423538941	5.29736885550406	0.37435012022574	0.294261126375943	0.527706573132565	0.386582385694422	0.571857992980361
Coriobacteriaceae	2.72992799029139	2.92473011529202	2.64144060598679	-0.189732749783737	1.60290393377239	-3.58870052460645	2.5309495163636	0.272048727690527	4.05421192507403	-0.105591670697257	-4.80377221302768	3.04551794914665	0.447140394662983	0.603109662393893	0.749176825514255	0.729926770300511	0.819899230716111
Defluviitaleaceae	0.520171184505008	0.919551188823732	0.38068011814345	-0.457621205708714	1.4944162089506	-3.16311857735477	2.54620595733551	0.245104692295902	3.69489259326896	-0.266829245840142	-4.46568300776472	3.26935516558482	0.367417713338615	0.4558996224808	0.663505143919551	0.369202706550037	0.552676042681326
Desulfovibrionaceae	-0.53517483247906	0.570771065584752	-0.796283640176684	-1.34647720370779	1.71311592761768	-4.21375620340763	2.23454035562345	0.246857004655436	4.9604220931834	-0.728343786334081	-7.992029979083	1.9568054592318	0.244367504307653	0.0669761222128891	0.27617762164696	0.0433564758692899	0.192869279001897
Enterobacteriaceae	1.04781631455375	0.349952064172589	1.25521218197885	0.858417534304018	1.55341097812649	-2.02158922001387	3.74227514510137	0.217575463783238	3.95342368777039	0.523298362797733	-1.93870385773214	7.02884726787173	0.27209712573055	0.0613341477628557	0.251934743446327	0.0847239281868354	0.260702254346739
Enterococcaceae	-4.63148334918596	-5.2357960720522	-4.25008537901224	0.925316076145868	4.01728628670451	-9.58358859593744	7.70271224320556	0.541663307936528	12.0701115142386	0.183310632759755	-4.41176343041242	4.59956989218812	0.393414239387305	0.75005550206725	0.843423787885353	0.422117984438288	0.591962544861605
Erysipelotrichaceae	4.27233714868462	4.80511534902696	4.00954695160717	-0.730701486406978	0.917022624223873	-2.80250570380317	0.883811354744871	0.160496924017798	2.30158817640119	-0.718675768273243	-6.7254878401633	1.75352502102172	0.204506179518834	0.0223656380422527	0.152809157118051	0.0176668078070889	0.112060587705022
Eubacteriaceae	-7.80126076789448	-8.01027157765362	-7.61528319444508	0.355756698977056	3.71396260457421	-7.97909719952124	9.31034060758049	0.696438122017492	11.6896106781996	0.0910427600133111	-3.30056971711034	4.48400778081967	0.450606598273739	0.479172090924483	0.639996965535899	0.490185092167978	0.627230692924597
Family_XIII	0.324494027280176	1.18056092166609	0.0786899410589452	-1.10436818039081	1.30163501935492	-4.18891428029426	0.755393918784944	0.209348300007513	3.81446168766254	-0.804632739354858	-8.23979647305728	0.79987639415529	0.140625186729818	0.0156415810760719	0.136869081542885	0.00578810370752212	0.0558020624960803
Fusobacteriaceae	-5.98438404658019	-5.71788452243834	-6.15956280346539	-0.344028518512828	4.27186874966317	-9.42306168624861	8.95832690397021	0.672059507857385	12.4823133724145	-0.0780449482487245	-4.77659689097055	3.94492363055162	0.461005209127019	0.625226939444217	0.753636378697784	0.704014684180698	0.796364046493554
Lachnospiraceae	8.81617524033514	8.90691900392561	8.74854845383824	-0.148203311873515	0.698584950475568	-1.35374625782047	1.18536595715348	0.14338236693356	1.59938180723348	-0.197305582793722	-3.42836181420795	3.08680576488117	0.410745257044904	0.523394279753588	0.690068782654091	0.504278739300224	0.64435870701528
Lactobacillaceae	0.48251149179459	-0.873750461523725	0.716686179604544	1.46461340260603	2.44170995119648	-4.07392481926664	4.41158798741586	0.335117176589234	6.18495820411724	0.486349219288653	-3.13103760999943	6.44300227928894	0.3125000548014	0.249765137634146	0.488628722795933	0.160145088466269	0.363753113130831
Leuconostocaceae	-5.47640466011259	-5.64771584526256	-5.41949800709243	-0.0118867956039219	4.19729146760592	-10.3258994753414	6.5366585804465	0.662008925040199	12.3854078114945	-0.00594826143559494	-5.56253024462126	3.215263747506	0.49740034727117	0.616711899785579	0.753463859116858	0.727882644144874	0.816346501702704
Methanobacteriaceae	-1.21182187702719	-1.93392362456908	-1.08825111038999	0.240256216218879	3.61350254068916	-9.07023074474808	5.73872421748466	0.421497127968197	10.8751702875419	0.0498762842315669	-6.75900614366779	3.61660442599351	0.472222229220857	0.653904663634344	0.784723098819452	0.793481822044139	0.866514013998791
Pasteurellaceae	-2.919032453241	-2.1948363133955	-3.19571206320157	-0.959613351638641	2.2591742557646	-4.60265685681087	3.81355276091968	0.417902188096244	5.42604190261288	-0.385926143739892	-4.25808359863736	2.49027002895445	0.350694485617317	0.313762761238153	0.540905073377354	0.261489436647995	0.450381632748419
Peptococcaceae	-3.6143494737883	-6.8990352346313	-2.44471649196259	4.38402507317243	3.26552253764563	-2.24722687521236	11.7377835753091	0.480306984643194	10.8959574019548	1.26492030645744	-0.962923132267339	10.4243962849783	0.0849223446331001	0.00331494993743594	0.0428488117776977	0.000642302050318775	0.0107761580780377
Peptostreptococcaceae	3.23564133406511	3.09819609118793	3.26637793159907	0.168362760992621	1.1472740413249	-2.32292949027787	2.03999679457029	0.213167174660796	3.01388484186091	0.13290043255334	-3.64899492511389	3.41842732217932	0.450606598273739	0.841302383872142	0.902763582598381	0.770444990034447	0.849052035089535
Porphyromonadaceae	1.32059624385179	2.49929556660943	1.14482282801166	-1.22961984670688	1.82908754215951	-6.44452660778009	2.37887759683194	0.207520970064538	6.61956827165599	-0.518288523880906	-11.1065154114524	2.45199557691725	0.259965416030063	0.111361734950502	0.34533409284781	0.0645638679690464	0.233045321660179
Prevotellaceae	2.48310408886776	2.30824770527054	2.62781115544564	0.317918838751826	2.21263257980818	-3.22172719550981	4.71315967010098	0.389593137255439	5.32711041372182	0.145203806550367	-3.10856317829197	3.85709176677617	0.430555573341227	0.442918859391322	0.659573861119323	0.538673519354434	0.710077921737226
Rhodospirillaceae	-7.94122178578115	-8.3065215247432	-7.74728393296859	0.774669261411181	3.97785582962265	-9.07262297653967	9.18868142841862	0.665578000756807	12.4100449245772	0.151315424518065	-3.91610369072695	4.45056445130502	0.420138909472984	0.52564026058719	0.687927274548953	0.535966465016551	0.66378004526389
Rikenellaceae	1.52661228909546	2.49116986843529	1.34791539635506	-1.15203473420595	2.34567814292415	-4.5974357731921	3.43418042322403	0.272646671442422	5.90219466566369	-0.454029604777284	-7.54004781801588	3.23461001398001	0.311958460367184	0.242031908433477	0.478897120641426	0.154440684311482	0.356120722821884
Ruminococcaceae	7.70497351556906	7.979873344652	7.62193321158034	-0.335855607073259	0.669727408282353	-1.50906647979726	0.739632343614504	0.119115648232272	1.30995250177014	-0.512697247991325	-5.25605618550437	1.6673321586541	0.291161241828911	0.11648381272923	0.323709500590279	0.120674475470056	0.302501521972899
S24-7	-1.87006323143403	-3.48257223546377	-1.3560239383853	2.23401299644604	2.20030483156668	-0.938284367991146	7.56004562497349	0.37675112288651	6.29244301637503	1.00196613905986	-0.57313627440325	9.1384479943523	0.104166933024403	0.00582192219052812	0.0818763474329052	0.00081764807220475	0.0129176429224436
Streptococcaceae	4.05532924606465	4.63026435500011	3.9411090279276	-0.606302631042889	1.64922145865216	-3.58199710637432	2.10271319953491	0.236719374723014	3.34075891369266	-0.376493471873345	-6.16360555778226	2.0167357464979	0.331597269932647	0.154509669046299	0.379457515850523	0.184577351197396	0.382045130009246
unclassified	2.77929606353044	4.15412957591416	2.5065902786038	-1.60228851440495	1.4770508150912	-4.02183996588177	1.98541926155878	0.155320211072743	3.89749013139616	-0.901245548010941	-12.0149161880689	2.45047787789016	0.216637886113413	0.0275900980783792	0.169640911247594	0.026724249027154	0.155538406581303
vadinBB60	-8.01178123795628	-8.83137740392333	-7.60578863815612	1.21819974736879	4.15241262075327	-7.42637209804292	10.759352881564	0.775188528526689	13.2357987742066	0.240425721149223	-2.76540249280486	5.18780095385003	0.38020836525404	0.372857882106488	0.558103316890689	0.368832439996359	0.524729534399232
Veillonellaceae	3.89209232434195	3.05264567800409	4.0365044672698	0.94373494819093	1.85007206319151	-2.6800035636424	4.202531060328	0.221154521202391	4.69722614599895	0.466737599039092	-2.98268226832128	5.4420638325324	0.34027782245476	0.194918160062361	0.445121309444948	0.185071278940638	0.383059039113402
Verrucomicrobiaceae	2.43351450926871	2.06228403423591	2.49093058389153	0.354816063155563	2.86373766973226	-5.09693938903647	5.35677271080201	0.473536022318277	6.72579874454597	0.106809834369258	-3.1013589140385	3.98811166200196	0.435763905294048	0.698387184945091	0.823969664737486	0.729071443089275	0.834412787775457
Victivallaceae	-8.10149419021246	-8.47694374420946	-7.8395494645774	0.602457818666339	4.11472077923215	-9.02939699196589	10.767405691666	0.682900614311852	12.2837842408631	0.134390457156873	-3.43452809014532	4.6336878404272	0.432291683990871	0.47290479765429	0.639997194566557	0.428228768803002	0.586892018974291
