rab.all	rab.win.Healthy.SS	rab.win.SS	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acetanaerobacterium	-6.07878265389883	-5.55787729580906	-6.28647365060379	-0.911656741812457	4.88951448437563	-11.7217329238121	8.00369028940981	0.753414661212085	14.8088249441386	-0.174466396663431	-4.26253515666589	3.09935994325369	0.416666688195798	0.451786572982098	0.663583005898262	0.474442764611045	0.659017901549268
Acidaminococcus	-0.932771831360171	-1.59640878251443	-0.600543282626545	0.703179248743153	2.79766054353582	-8.08943524490038	3.90718528756617	0.36405127720729	9.25757058011295	0.189225569440121	-8.13027457934624	4.05968460534751	0.390625028852714	0.734701050830996	0.865180472997829	0.508351790893183	0.714831434230056
Actinomyces	-0.62925369001867	0.232976578128308	-0.929363804252348	-1.32651501744772	1.51239874204125	-4.36427762621287	1.12012270847526	0.240029144365902	3.57063023343805	-0.805940827587444	-7.91907010357	1.04010477995393	0.175043468373001	0.0163142026342188	0.166167691128224	0.0132601171774618	0.102937769100737
Adlercreutzia	1.23781283360102	0.852331298907766	1.31514570736165	0.371220923293906	2.63645520041666	-5.09305638870042	5.80386977842563	0.310071390115633	6.91615596551001	0.110308833812159	-4.13416960305935	5.90655472372747	0.414211460599349	0.676545099161518	0.835393222657835	0.609154780788433	0.772976575096552
Akkermansia	3.71409756879144	3.09141260097284	3.79216349991669	0.313721486140212	2.94497854580669	-4.76583371395081	5.17809634403721	0.363673730072707	6.48874168504331	0.0966835464607704	-3.33860359029788	4.4993241719834	0.477430561235969	0.898351341669709	0.946547726633375	0.90694349692238	0.939118348946867
Alistipes	2.9032225676283	4.55968614432264	2.69358272103978	-1.48427117096876	2.27907392567537	-5.11105009000187	3.21370694459991	0.284376793862906	6.34382000767212	-0.580458465383217	-7.2404615523725	2.42116089680054	0.313691561951268	0.159559839809786	0.51074686268713	0.151936664725309	0.450914152937395
Allisonella	-2.32966977203722	-3.47650333258426	-1.58292726733673	2.11566799069022	2.69948445430672	-2.71518337062559	9.00234751296562	0.383118052446476	8.49661961528011	0.74341613275608	-1.44962614293498	7.80908076117269	0.201389005475183	0.0324558944395356	0.229071205264999	0.0176414613263133	0.123735934966914
Alloprevotella	-0.34045343998178	-0.623101880404468	-0.0809340247152983	0.869615468397636	3.02049070906105	-8.21479807929485	5.9006184023122	0.385522119869379	10.6589793014261	0.225901648302277	-4.96324427632704	4.92323031054004	0.390625028852714	0.663806386910036	0.826783038190281	0.410894225753803	0.655639526182162
Anaeroglobus	-6.33560154084325	-6.53804665598408	-6.17049577541929	0.170214438259717	3.77929616026221	-8.69505326169915	9.03700294079655	0.507461602054434	12.5150745314744	0.0368184473134381	-4.53043367807982	3.85474133885834	0.480902782581496	0.528341553939215	0.73569814411463	0.51826436812048	0.698106314363521
Anaerostipes	5.89515482612608	6.24142244743558	5.33991472960172	-0.899217620004222	1.03201484178831	-2.51229027389933	1.38417009380767	0.150358021520694	2.62610352866508	-0.742881616654371	-6.89732696816624	2.15296571079661	0.208333444378113	0.021767164456138	0.192695738347173	0.0245080153674482	0.158206329170095
Anaerotruncus	0.349381321265434	0.526585094811237	0.222695961419309	-0.41456422252373	1.60896376892567	-4.30593888642348	3.24592161904494	0.234680292894293	4.56354454258814	-0.216149732563889	-7.57848527224495	2.84743653964639	0.37435012022574	0.287366054338227	0.604324649899639	0.337657081259407	0.59231126254443
Anaerovorax	-0.797637133630139	-0.547375231080075	-0.919472493797827	-0.65991950407951	2.4068511134994	-4.63264979958935	6.50465923405517	0.377290510668651	8.3579530458866	-0.24278998698619	-4.02465976914052	4.54848336333199	0.392361139460974	0.731356782681237	0.86204991843895	0.485796745172481	0.693277796828806
Atopobium	-1.23311641139315	-2.5118009500842	-0.352034162228741	2.74810445882983	4.87906068529901	-6.75522042331254	13.1423511991557	0.576126475378987	13.4520221292125	0.520598548189284	-2.34946584772836	9.02222942733778	0.221837189220705	0.077731795422394	0.346183454157517	0.0288434347045975	0.175079552148951
Bacteroides	7.16071360113812	7.65348570451594	6.90883010699255	-0.620284816715028	1.1917203945504	-2.17469094372535	1.93590236846915	0.135771188056144	2.64872485552434	-0.521397123336779	-6.84813103054738	2.54385729888984	0.310763944366602	0.1609635693844	0.510938159325063	0.137172250046654	0.429996089184335
Barnesiella	0.0306245071556885	-0.388745786658979	0.146814170861951	-0.547823414031156	3.6040662582488	-7.26806933571959	5.49186523711787	0.296434334082225	9.29637374974024	-0.179667400008287	-8.84030382664876	4.20852465905123	0.448873496467883	0.377138171256856	0.665654415322911	0.67436245653933	0.803570895122175
Bifidobacterium	5.44398312520887	5.77709018782908	5.40011479256941	-0.140039158777686	2.36755915132452	-3.98786655747714	3.56451303703901	0.262004152241353	5.39282767068767	-0.0500940037461833	-4.83624851100944	3.51291625604613	0.484375003928418	0.70154872074121	0.849203362078719	0.867576098237558	0.914714839515942
Bilophila	-0.0377279641462165	2.31562244427325	-0.461064736424699	-2.62388385454449	2.32128891518528	-6.86289975238183	1.72917331848335	0.297971103982794	5.33206586272457	-1.04784569165983	-7.34662724518673	0.753905530102757	0.128249774793397	0.00316503924406293	0.0826112147870506	0.00335894048890099	0.0541346499545444
Blautia	8.3072023578652	8.57159789851449	8.16270552862715	-0.239137372607009	0.87191763517154	-1.48573390208309	1.47087787390363	0.135855282525919	1.80476524241366	-0.258777987107097	-3.97090252478589	2.80294726443722	0.377816323686424	0.421957595548492	0.685073805683214	0.399997629070351	0.639426792769072
Butyricicoccus	-1.45575135813253	-1.76117174982882	-1.26374568329632	-0.562896551604019	3.38632774134107	-8.17077806399599	3.95919844837652	0.475627971840435	9.01177805257945	-0.167224364890207	-5.05309990175218	3.17340847992199	0.448873496467883	0.375104119232796	0.660826538642559	0.653937841681555	0.793350574532526
Butyricimonas	-5.12512281558474	-5.48710312825983	-4.88053855546195	0.487446160321579	4.39837106941232	-8.93984267254876	10.5387693648439	0.819931493730746	13.8395803533509	0.101176234386621	-3.48044400041452	4.05522275929108	0.446180569232015	0.55808697930582	0.756453017000006	0.608347445782193	0.759942029256109
Catenibacterium	0.385490647948374	0.0269799692928023	0.672410521623822	0.930430898530923	1.28553942256999	-2.00057817727652	3.47879464025599	0.186022241468543	3.6620626552377	0.643773881467117	-2.38394546452877	7.08217334994231	0.197573776214625	0.0292676695978842	0.21488660822676	0.0269003718153061	0.153157087710898
Clostridium_sensu_stricto_1	2.79175861506068	2.01416244960538	2.83718198273777	0.25983064292988	1.72126003139919	-2.99463892762737	4.87993574791982	0.165914644948813	4.54457148988356	0.154074595484227	-4.25907476289957	5.37531022939761	0.440972237257974	0.59570439235614	0.79597550521701	0.637486804533676	0.788525357024164
Collinsella	-2.99292947907727	-3.97461384712939	-2.3671905288643	0.980582851432153	5.76965338313515	-9.25048038376814	11.4810086108057	0.867610477732145	15.322491327712	0.14493847067332	-3.34565464797393	4.06224373845744	0.430555573341227	0.610203478085037	0.798912814756044	0.599514812669789	0.763612594191123
Coprobacillus	-1.6553582613837	-2.49212153472881	-1.30508512662174	0.880323524057557	3.09516156674034	-6.9419595951488	6.20575973176955	0.490707166277444	8.64661948041496	0.242102362153735	-3.79627753450323	5.07649945984802	0.38020836525404	0.588730628898904	0.787473947164313	0.370757469958027	0.61947777297758
Coprococcus	5.61132050747424	6.33686417143881	5.50222511078525	-0.624097249669303	1.60665965856673	-2.79842791238376	2.35558509259992	0.170165335588697	2.96851676975709	-0.353705090855261	-7.08215082785583	3.22773888504432	0.376736144075111	0.227897586080784	0.567351091761691	0.340107981983229	0.609324348499471
Desulfovibrio	-1.40897008083006	-2.00406206554589	-1.03294643784298	1.08244537784025	2.71373083909922	-5.09611032297138	5.52593509663848	0.505877440076746	7.4915309786947	0.335510723216035	-2.8473558790728	4.76867324677451	0.350694485617317	0.394560079482604	0.668291927116148	0.2661458158063	0.542768866442551
Dialister	4.88632346680279	3.54810217086664	5.02423502048117	1.29139767477081	2.15330756761366	-3.78043862884808	3.98173154699682	0.212912755812006	5.32484506594988	0.575977013448924	-4.38061582291786	7.64335016170707	0.308492257215968	0.276393720369508	0.605372342182851	0.1189622077638	0.410361112879411
Dorea	6.4271209193906	6.60632669710583	6.26353651120116	-0.58137604109853	1.46540552036065	-3.00501210705642	2.1899865928906	0.184030396775616	3.96648194560346	-0.36892377356739	-6.19148537892837	3.421098774702	0.348958375080558	0.242100790003721	0.574075487430261	0.234820648732241	0.531176560267837
Eggerthella	0.764416006602272	0.912470387177895	0.457775134807509	-0.448886858878199	2.76426521326092	-6.62808999055201	4.17358213844831	0.410026793861251	7.42311982938592	-0.140872743155659	-4.78594215072239	3.08502592757497	0.434027794641824	0.43371473307508	0.698728268365509	0.604370545902728	0.76296964352184
Enterococcus	-3.20847078526077	-3.65844424612869	-2.83986617906745	0.760196602578324	3.91802988610877	-10.1766960714668	8.22755978303737	0.625858545976258	13.0644524511784	0.157428837351707	-5.70368708667796	4.79284115375013	0.409012155270352	0.766893519198398	0.878171119738624	0.504573850730093	0.699821148000146
Enterorhabdus	-1.66643004796277	-2.08942634990021	-1.28539520283663	0.615368554581596	2.59767053709466	-5.79077363628162	6.54587247927506	0.437552142086771	9.25959722702412	0.208901200855715	-3.98639032514885	4.70566676940656	0.388888918246793	0.507740386510222	0.731023654422108	0.436850133441274	0.663100308197493
Escherichia-Shigella	1.57306661648526	1.41166859724887	1.99088522221518	0.682782268795004	1.48976130340563	-1.66124162922195	3.96280796011877	0.174510415686977	4.62906196550366	0.37881079289688	-2.77902194941771	8.49571959077432	0.34027782245476	0.0825684396384685	0.369106810023861	0.192279395034356	0.482923815556606
Eubacterium	-6.32508504590467	-6.3441379971075	-6.28822259432692	0.260456796604019	3.84883360769144	-7.85995440259178	8.58120137962549	0.533941750589811	12.6246862176062	0.0673418960554023	-3.74660119866387	4.11189807822049	0.465277786541332	0.509640276239444	0.718665719442066	0.545837873631744	0.705435858002704
Faecalibacterium	7.30684932051685	7.63741289188897	7.22132310305623	-0.357704829908053	1.12737665120272	-1.89939870498909	2.41857520213428	0.126132893289328	3.37594859108787	-0.273515118377305	-5.83557305363894	5.36342709584581	0.361111148913091	0.696972228361921	0.845281955776361	0.317645084642188	0.590988623659979
Flavonifractor	0.155637467607613	1.76211671636158	-0.0504029229406342	-0.813475186593516	2.38898033918286	-4.83150537446465	3.40174411728582	0.267016416150002	5.07331633697208	-0.361507779893484	-7.79508422310884	2.43458663638947	0.366319480606335	0.198605097404003	0.537947645423534	0.301996435096948	0.572402260041773
Fusobacterium	-4.33239273794899	-3.78693420063828	-4.67222398375624	-0.486239156015114	3.96728833646127	-8.59520539118144	9.45957114128696	0.704741429798078	12.6151828398657	-0.132964766717465	-4.28510586395253	3.37994147413885	0.443674191056188	0.550909098466339	0.751619858867589	0.596115802991807	0.754458173249
Gordonibacter	-1.04609662479658	-0.896230564373764	-1.10006706637819	-0.491598899514438	2.58341274726009	-6.14724079737688	3.30559953750657	0.407229924025037	6.62732710332951	-0.167486324089112	-4.83588842851216	3.16661483418954	0.42187502011397	0.381474652198421	0.660018978640974	0.591540064122175	0.755844426497149
Haemophilus	-1.52514161290644	-0.628035743241626	-1.92587725648573	-1.15316941314462	2.2802460801357	-4.83584576794182	5.42808094844362	0.424889319478686	7.75824387482029	-0.431994445584788	-5.10039938795273	3.43690112091867	0.303292952533186	0.342677649751486	0.617205419606844	0.145496304409011	0.421782626780175
Holdemania	-2.14225728539176	-1.22831114716389	-2.89158191436265	-1.91389738225356	2.55870335001598	-8.17553827448851	2.12263086641019	0.455549562844967	8.46328892365508	-0.692194058659293	-6.93699599777439	1.1522840387301	0.177083472478759	0.0138594006320414	0.151424785247696	0.0153388751583169	0.114321629996696
Howardella	-3.07811504739724	-3.50969194107054	-2.87677235519242	0.423846279453297	2.78846115201664	-5.60267356510882	5.16010437402112	0.508704939152355	7.218234528243	0.141186245114702	-3.51244194740156	3.18476247531447	0.433275580262402	0.621326368999305	0.798538008408622	0.574781164627412	0.744546146644698
Incertae_Sedis	8.58110753387845	8.7578989813913	8.39425579069681	-0.544393844742446	0.774795758386433	-2.2303129111029	0.557915587948637	0.104783464600989	1.86525503845383	-0.679436871564615	-7.84375201707762	1.18488803449937	0.225694543007465	0.0251420945454694	0.202457489733193	0.029144867816848	0.170994991946616
Intestinimonas	2.91872148402376	3.87062164576315	2.28096274160428	-1.55885027277091	1.29079842718534	-4.24423786125082	0.478584533750927	0.198859077176402	2.82478149975669	-1.20971881758791	-11.1179558404028	0.384364023078229	0.0868058828589884	0.000716871860466618	0.0419904037210891	0.000435682223534307	0.0230761722335075
Lachnospira	3.69953088089194	3.75821151459808	3.66686414634075	-0.255150592792053	1.59643679407024	-3.50570527056236	1.96562825275153	0.165857268028366	3.90081977337206	-0.179440374586861	-6.98871320344812	3.06894716833845	0.405545951726798	0.320355331868737	0.626480301941927	0.445112273557098	0.66430814130067
Lactobacillus	1.95734791095726	0.719382778287364	2.06797034382539	1.09207857140813	2.55583345758072	-4.10954690416699	4.41671075395563	0.327918074305362	6.16183848588504	0.391179751034333	-3.27600618528085	5.75422645802324	0.359375038355179	0.350956842225647	0.650221372549189	0.290808324008951	0.577016108884875
Lactococcus	-1.48645214387574	-1.28282454806007	-1.66113801171718	-0.77975746276386	2.10778030200372	-5.35875377482455	1.79048187771199	0.290352878172623	4.67688606007956	-0.371396229624924	-7.10135454649206	1.65878109444823	0.336221883009631	0.0928478952420411	0.373341748240831	0.213786379907824	0.470188853990249
Leuconostoc	-6.08124842343916	-5.98553425799056	-6.16057587380565	-0.326171208108473	5.79711029626661	-12.4811779410668	9.92571871672467	1.01325654622592	15.2809967744895	-0.0553355329231622	-4.76726795847977	3.23716059865872	0.472222229220857	0.528088361396408	0.733012350332361	0.585647969336996	0.744706560322287
Marvinbryantia	2.73306345664129	3.34237947771167	2.66263237041295	-0.239576855684581	1.60371074029822	-2.54094970851433	3.21418193194767	0.227244207600896	3.61017263499837	-0.143986891275216	-4.20169660056694	4.64254560015453	0.462738310938608	0.905287606799509	0.948807413329963	0.82627267536084	0.892534997246884
Megamonas	0.934180994058216	0.36062303924365	1.56276475160695	1.07891528143556	2.92654481455943	-5.14970647528474	5.5923511007695	0.332194387838548	6.52152572949237	0.346021034508994	-3.07008932186719	5.26121084520357	0.343750043493183	0.365893614035245	0.660998948328632	0.221761522813697	0.51634629989073
Megasphaera	-0.199751159044465	-0.899372649555527	0.359447524264172	1.32661043745022	1.92988550527484	-6.12222786760334	4.70528222407765	0.237137322898453	8.34025038001369	0.585010542241736	-5.44733017234004	7.26588682696166	0.194444566937493	0.180288755409978	0.470674229102288	0.0212469235275762	0.145770934027665
Methanobrevibacter	-0.603552178386197	-1.4555856162114	-0.44933308133868	0.711081798256942	3.17685490442149	-10.0713205878463	6.18776226692143	0.394359166869926	11.4380739652157	0.146154747472913	-6.35426702288088	4.15108407260081	0.421143867728428	0.863933543237314	0.925667209282327	0.476597801039232	0.695356195670171
Methanosphaera	-3.10521437864245	-3.72349850238292	-2.85084679245175	0.496811967249532	4.08940996516873	-9.67161585544963	8.18177140854034	0.647142287641902	12.1557782709401	0.0944123016352287	-6.15006099506238	4.39267395456691	0.439236126602159	0.777750157699789	0.887007359457907	0.634643660745971	0.779651757510055
Mitsuokella	-1.81254633028286	-3.23996688327066	-1.18401858335108	1.72694966966624	3.72627840781107	-5.89032281828228	9.22734255352684	0.392520714290218	10.4144300428821	0.517944673430562	-2.50389276081356	8.44104089900042	0.211805663955085	0.122986701827771	0.416547352738377	0.0290657571602075	0.166224781819048
Mogibacterium	-2.67566827054062	-3.26351787463132	-2.22072662428604	0.950808545960946	2.8773256913286	-7.90716481260958	8.21515655047481	0.465251333824535	11.4654156155651	0.260065220280791	-3.52570283146826	5.19013703877751	0.350086696342889	0.524276097037014	0.735598565205625	0.278895310740923	0.530279960015215
Odoribacter	-1.16355802696187	-0.460373829201138	-1.39101169000191	-0.870766820809472	3.92110874451451	-11.9834492054591	5.97039171061152	0.44678185344864	13.0092351406006	-0.202319767608492	-8.83799290885291	2.78847478474243	0.350694485617317	0.229950344767559	0.56186692648134	0.262916535532587	0.543176241122256
Olsenella	-4.01079266733589	-5.67977082559	-2.54091023539865	3.05030782418462	3.9703746170849	-5.29774477433097	12.4043356475542	0.631196598602044	12.6415494695734	0.666525895040351	-2.03297218279833	9.07905538008039	0.190641373295001	0.0335026093542919	0.205833186017266	0.0193783226475789	0.12054970673661
Oribacterium	-3.36753500585208	-4.35644819853462	-2.71360098326725	1.42953129223471	4.03170512458212	-9.40264402754966	10.1501430174429	0.592749351923294	12.6935620108108	0.311909353360703	-3.21543364255506	5.38819966889581	0.331597269932647	0.346638925745156	0.619842627501385	0.197118565220451	0.463842704763477
Oscillibacter	3.03365235489742	4.02300533681243	2.97191942718994	-0.613464136038659	1.99026412825215	-3.5777477997608	3.36617201585509	0.226623831202605	3.99179652016618	-0.293129610101131	-5.18408052066443	3.78422082630788	0.402079748190938	0.373287760923696	0.661551523142923	0.418411984781691	0.659706293158113
Oscillospira	-1.20402946243566	-2.493025542369	-1.0068444846062	1.20376592183606	2.55717542755091	-4.41570287623284	5.17139760946985	0.395111198521637	6.88454042745943	0.381958894485765	-3.89898062222511	5.02968724605567	0.352430596157773	0.433537329168084	0.69830016930611	0.256781683363875	0.541429558728985
Parabacteroides	2.06852840687812	2.86941502318501	1.89874743207601	-0.765840177462539	1.69125926101101	-3.33399128907841	2.41315871513719	0.241876159109836	3.73732480293288	-0.401735774020203	-4.6548406720744	2.89408655467656	0.333333380428293	0.200305847711056	0.542652410442293	0.211619261776637	0.509580006858995
Paraprevotella	-0.861130962419702	-1.32067296322585	-0.497148105905945	0.736581380560876	3.38834013576213	-7.26175336904554	4.91095800959152	0.370889647211291	8.61732938936068	0.180047610394226	-5.35722369791605	5.20534986502766	0.406250024405492	0.857353738083319	0.926233927189232	0.545469770073361	0.73495037503257
Parasutterella	0.296764986510922	-0.219128315693826	0.959309761782817	1.09890301488244	1.96923878330971	-3.15830588845047	6.56509840825866	0.257348580179016	6.20287511909187	0.485372703929416	-2.18085363841919	8.97204890315713	0.269097295940175	0.071761883876748	0.343010547778651	0.0700303067906484	0.285069163401841
Pediococcus	-5.07801987512823	-4.81440557617402	-5.34204566889439	-0.382763602511095	3.89763601813981	-9.57310763388593	7.13539661851659	0.580858962156666	11.825275918126	-0.0766962308202459	-4.44639557802705	3.25410874138594	0.461805565205286	0.529172332552124	0.73684090999366	0.607649479466219	0.765000882596337
