rab.all	rab.win.Healthy.Metagenomic	rab.win.NASH.Metagenomic	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acidaminococcaceae	1.5771834108866	0.649251236636982	2.17499119852071	1.50798853414242	2.54623775623297	-2.50523041270466	5.24802192935513	0.270673287054515	4.70600520623653	0.605374560183995	-2.00893825321522	5.82670529362865	0.266897821516321	0.077948983038755	0.563339364687639	0.104095063218515	0.664342423141847
Actinomycetaceae	-2.19179093389794	-1.9704823235311	-2.40975162386685	-0.685540356449101	1.66994566123558	-3.73123734868748	1.94825946991855	0.193706734071371	3.66649549725066	-0.416540527457107	-5.61698809973165	2.32700549271237	0.310225358788714	0.173505355983843	0.612918684008561	0.244967517969646	0.697341039235729
Alcaligenaceae	0.647119543440971	0.274252649961215	2.22554999534251	1.10917747741629	2.31492582166834	-3.74150221796169	4.61712111105561	0.307473733185444	4.94125467813922	0.471730534092532	-2.44506544808943	6.66172613656798	0.305026054088088	0.175316170732881	0.653305440956277	0.193348253913269	0.710459950672158
Bacteroidaceae	5.90850567451328	6.10067055332625	5.45523546473914	-0.477794393210796	1.36340601913147	-2.80266343716382	2.01334565743339	0.199988126791942	2.82108046650364	-0.305404689995345	-5.302888589748	3.33777700435911	0.388888918246793	0.322722031758077	0.726871035596811	0.393218454339778	0.78326261146016
Bifidobacteriaceae	3.70329331878955	3.53914557177373	4.25556743768823	0.159340964196315	1.59539793328638	-2.95983500640533	2.86437687631234	0.209114244200444	3.83032199695617	0.0756132016357867	-3.3067492953719	4.96923327020794	0.462738310938608	0.75849973815707	0.943926181411078	0.787505378715712	0.952064561835922
Christensenellaceae	1.76868714830186	1.82820187903747	1.66849399684865	-0.150757488552434	1.73026032687015	-3.40634322446757	2.65386449734394	0.240276743627773	4.11456115258803	-0.081302664115386	-4.31841308063223	2.93327953118721	0.457539005506029	0.640521681710673	0.878454769103318	0.768101746357358	0.928700335240409
Clostridiaceae_1	1.78347240103228	1.92501750473554	1.67643160634542	-0.00626040078700818	1.8640471015209	-2.92689540534365	3.66405425774258	0.254395255106738	4.22861742698385	-0.00241108515924712	-4.28469488946102	4.26202531598413	0.499133449090385	0.904584261300921	0.962156963650077	0.896708699582152	0.967025278152097
Coriobacteriaceae	2.72550532178009	2.69781193145803	2.7400022655824	-0.0710252951536394	1.55384966270775	-2.77037085482957	3.0698787860589	0.21180850353588	3.77559951315238	-0.0367313017478467	-4.42728308404944	3.69910405259977	0.490467939995094	0.879014831491297	0.955665050987383	0.884902418595337	0.961997524816309
Defluviitaleaceae	1.06710770886899	1.41365308611494	0.733456037925547	-0.445941507893983	1.72145651395102	-3.37584179600009	3.68123444889682	0.332605294923815	4.05895297995084	-0.257229703496726	-5.048381567498	3.52102848108694	0.388888918246793	0.497154098562039	0.820911860255923	0.484256769739548	0.816012859443988
Desulfovibrionaceae	-0.132804420909597	-0.0188172199184038	-0.458837487743835	-0.0403429866997485	2.40505857300543	-3.88191595208733	4.40587362430037	0.356360071298608	4.9461057191559	-0.0276299409742457	-3.39996269344934	4.02541886223667	0.486111114602322	0.876695008515775	0.957041749408572	0.901822877200199	0.966877176322288
Enterobacteriaceae	0.920040165078735	0.713025757852281	1.09067379582835	0.219919576824581	3.45636823090169	-6.07238013181526	6.33742801756261	0.312086122829693	6.87004995651575	0.0638140691076573	-6.04162150398057	5.50831112949121	0.454072801888179	0.769915661148434	0.943426663156339	0.71230755022841	0.933737090229426
Enterococcaceae	-4.83018940483192	-5.08596662010485	-4.50606481160829	0.760666706907057	2.31092247623122	-3.19564394641274	6.27053220747942	0.415335002117827	6.6623789688386	0.302100698198337	-2.62067595148643	6.33293906134581	0.360485306500261	0.314902694829907	0.709740882155428	0.384016791064972	0.772506247527468
Erysipelotrichaceae	3.99263554085337	4.33533081130637	3.72201758819812	-0.685635447632335	1.05125611099689	-2.70837654575745	1.14493294408176	0.199456816929973	2.24988088698827	-0.637820693371146	-6.46483099740304	1.66490469805065	0.237847313030844	0.0524762563449484	0.509721494791346	0.0679534764770833	0.596391056956034
