rab.all	rab.win.Healthy.Metagenomic	rab.win.NASH.Metagenomic	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Acetanaerobacterium	-6.16850682456958	-6.55739883840111	-5.64679946034006	0.694981162143584	4.40684419412222	-9.0441978159892	8.64835907676737	0.723609807552904	12.6538078369373	0.150166574863666	-3.08253012951537	5.18858127056964	0.428076274882273	0.507618826501046	0.865423341695624	0.501744192340168	0.904802950804516
Acidaminococcus	-1.23853148814759	-1.44599510177329	-0.593828796826632	0.912696085417239	2.73804979742075	-3.2960777630421	7.43326257279346	0.380598851099585	8.45259790124424	0.316245753336705	-2.56989545424113	7.46272027919723	0.355286001405868	0.235334173017969	0.805792923118354	0.324645579845851	0.892478670365204
Actinomyces	-0.761613480014888	-0.51422459869539	-0.999180105160411	-0.713473446757297	1.8088604843517	-3.81007715805879	2.32073197705926	0.219518317729239	3.87370938435387	-0.350146674161312	-6.16438431278639	2.61920482765231	0.331022578078507	0.218391053954383	0.784522130971189	0.272909776949057	0.848266776786259
Adlercreutzia	0.763931759199361	2.59275223919347	0.526427013262017	-1.56163714906373	2.5774942519234	-4.92541478752571	3.90183934673561	0.238303924324864	5.7077470028801	-0.54543049025494	-7.55775878609022	3.61151166115036	0.346620492985935	0.185381117166109	0.779325521566767	0.294875403234536	0.88703987917285
Akkermansia	3.6441132786445	4.51931938354835	3.2838123733644	-2.04369343305285	3.41492998556019	-8.19180915434275	3.98677504183456	0.555136326563834	7.6010341339589	-0.561523502127003	-5.26141395375292	1.83539305306329	0.305026054088088	0.0948071625768767	0.736009909539615	0.157741832470935	0.840367067740352
Alistipes	3.15330853158945	3.73594786838906	2.46345137251683	-1.05986622328844	1.77158321411536	-4.16524043693136	1.84315893223347	0.211264384854201	3.64079859109458	-0.658053633029066	-8.1236456587425	1.54930781489113	0.232638982932401	0.0469205382443039	0.607631490159521	0.0492604096754639	0.627730506182229
Allisonella	-3.20160174035121	-3.27489543351345	-3.07582100213882	0.0737084159008274	1.97645413621524	-6.09069511106196	3.34073646443849	0.351610839603266	6.7831938985063	0.0306648544566362	-6.71238617930054	3.21895793612807	0.484375003928418	0.607636757173413	0.90500858671882	0.686557033330447	0.95687801979878
Alloprevotella	-0.548113836605467	-0.635891382064273	0.860091476001183	0.121094941218083	3.33174036196517	-6.72168776414389	4.15733531194497	0.266571982804389	8.09012297155283	0.0410737228060088	-5.56685940898841	5.46171359003061	0.490467939995094	0.804741783065678	0.948988499836348	0.920273394368789	0.98621380759929
Anaeroglobus	-6.9529258181003	-7.18984978199326	-6.67856818610969	0.524880854303118	4.2178062041426	-8.74075544247884	10.1402428405735	0.67185429519565	12.807783140811	0.119083014663212	-3.9688898765641	5.12070685510883	0.441941089254363	0.506969395421383	0.862196306698402	0.522591113414449	0.908188831543551
Anaerostipes	5.89946779994997	5.91779992433717	5.89946779994997	0.120270507863125	0.988189464273533	-1.54061030063621	1.7770297146231	0.139087494324221	2.16520184693798	0.157165168482448	-3.71577920969273	4.50252354705323	0.462738310938608	0.704406389296395	0.933064583971029	0.81274931531317	0.975985397436456
Anaerotruncus	0.731220711811963	0.793503203676911	0.556047185028627	-0.00382275068663862	1.75760038782222	-3.46417779627865	2.59284577982937	0.212018961265837	4.0570731314377	-0.0016727802902382	-5.36315199597668	3.090302252392	0.498263889324959	0.769512310559405	0.938421717497272	0.854676742568577	0.978194269955721
Anaerovorax	-0.861097819576099	-0.461579646531602	-1.76442347763635	-1.46383565012246	2.93513440710397	-10.7223903959947	3.8404418540834	0.396774549602087	12.1303947685439	-0.466228656351833	-7.18585113952778	2.13103809308181	0.243055643252094	0.124577696533814	0.735087745352797	0.0819821142479811	0.690514097997474
Atopobium	-1.68902592914769	-0.739114991825829	-2.67768559639415	-1.63811192812872	4.59784019594115	-11.3798233967002	6.27302356673531	0.532227651362747	13.2183843643433	-0.310093140488096	-6.76774864452687	3.29658401233659	0.398613544663128	0.398547799268447	0.864887586490634	0.529197800071446	0.945406478737928
Bacteroides	7.42098484477635	7.6562533874567	7.13274149207746	-0.45581738318684	1.42489164200814	-2.86170151723947	2.10756129913017	0.179832178421067	3.15522217755383	-0.322941526874632	-6.17948329407471	3.14567711789634	0.363951509913101	0.388827971404698	0.868651776563621	0.389586806382472	0.910272019950427
Barnesiella	0.802716316100914	0.707584142317544	1.069613999576	0.0223668583063965	2.49954749885283	-4.30431339058354	3.94045152597561	0.401888397823471	5.40414422431077	0.00862109211351194	-3.22477309205497	3.3451494906329	0.495667245452003	0.887447875392603	0.964968070776689	0.900789250416766	0.985262111001381
Bifidobacterium	5.2533561135811	5.08823580054557	5.77836416394078	0.258263857985215	1.78658008117547	-3.01514910290269	3.11759099007792	0.192587234005826	3.92115523494176	0.149907132386558	-3.61552159787198	5.10028379390814	0.440207987453635	0.740770011040652	0.938330803166336	0.756547825239776	0.970514340333631
Bilophila	0.544615123460759	0.46132551347656	0.708311782355949	-0.349430809820656	2.32841523715913	-5.6380360094737	3.04575128143619	0.318505155710086	5.64598876939382	-0.143023824687656	-5.01425283380876	2.78791447615642	0.439236126602159	0.492659713658774	0.883477868017453	0.745062068349607	0.966913910035769
Blautia	8.30401849273421	8.32251102418726	8.27750123378281	-0.0566279021654408	0.667269850350161	-1.24965920307056	1.11837273247507	0.124669375054925	1.49445535303698	-0.0874491090359382	-3.35983466964292	3.2358288885266	0.454072801888179	0.743485880538469	0.930298955824435	0.766617694418585	0.969113050576775
Butyricicoccus	-2.33261451390343	-2.94127725492329	-1.64004629510137	1.5483122903197	2.46686459537439	-2.28559855603196	7.32419783287551	0.400187489870353	7.17828119936314	0.595815561532737	-1.39851298532007	7.78176126332353	0.24131953316521	0.0577962954005304	0.611069307784728	0.077743246498084	0.654309484599606
Butyricimonas	-5.48539054902631	-5.77663130229972	-5.10586104765971	0.817340599102574	5.28879900258828	-11.226678674062	10.2751099114508	0.730758429928757	14.3079781270465	0.123330833914196	-4.8383058048686	4.02433260935142	0.431542478467697	0.640466182871929	0.914296401304014	0.615046331377601	0.942612835369823
Catenibacterium	0.0888903668758836	-0.148064347343535	0.338265505049981	0.358758019672396	1.73498034280207	-3.05233586805298	2.98211823166655	0.27298611832224	4.12133303943647	0.183573899577714	-3.70066093359393	3.99899308546657	0.405545951726798	0.719726604674521	0.932326783837171	0.551106594643746	0.942365940224244
Clostridium_sensu_stricto_1	3.23081077963235	3.23911435132726	3.22140463896408	0.00835100173265513	1.84127656894236	-2.95357796272459	4.59244962286951	0.212162366613067	4.29860707987874	0.0037017194417014	-5.81187105007297	4.70399829106354	0.498263889324959	0.918407296072162	0.973464722747533	0.873933390525883	0.980509387667566
Collinsella	-2.56120134160498	-2.80360231288184	-1.51294496550297	0.863278579467029	4.06981717122807	-6.72196308679405	7.85524739768182	0.608895351461742	9.54424781497779	0.212042439743834	-3.19077098217801	4.81422501876616	0.416666688195798	0.588109559930312	0.906150120276348	0.595250120429107	0.952598402745697
Coprobacillus	-1.66012450249738	-1.76934521890178	-1.275270259113	-0.00998472149357621	2.79187778243932	-8.5147942546245	4.15139271168958	0.35143747603286	9.36200569233664	-0.00350725003825566	-5.87797939042469	3.68041485910564	0.495667245452003	0.591133263385122	0.901819409546896	0.81432724106389	0.973194813604591
Coprococcus	5.85899207411326	6.21503643315539	5.63187664098197	-0.898142935462924	1.25183481676463	-2.97204111590193	0.954567980498828	0.144315885878905	2.26982661148537	-0.713631099425093	-10.3053268487406	1.27655937051826	0.253472304031464	0.0253388888633931	0.539020020608939	0.0638981278009916	0.661298693336171
Desulfovibrio	-1.21457776751003	-1.64857291235831	-0.779039887636107	1.38539261003973	3.78090881522272	-5.27144993878614	7.65686781220224	0.604224777207981	8.29766028077819	0.357194485806179	-2.02626750826859	5.45216763406003	0.351819798026945	0.254651270759135	0.825923797455055	0.276913199030072	0.881125750798385
Dialister	5.28785975329344	5.559126047925	5.21634204970011	-0.54324599905851	2.4187452305865	-4.59058356633391	3.67283178480769	0.267420127943909	4.66246385708463	-0.203962500397885	-5.02252359936952	2.94167323753894	0.411458356292595	0.457480609872403	0.880527241901486	0.575142011626145	0.952965204427853
Dorea	6.55657545483056	6.60667272258721	6.42285876017796	-0.491953733861143	1.10989742467778	-2.43269542267223	1.54671243354988	0.158266123066138	2.60795541678183	-0.432094901295752	-5.71946369237246	2.55693754516778	0.331022578078507	0.158488625665173	0.763548825569454	0.244716680378445	0.866466143592222
Eggerthella	1.03663980435398	1.35671595613723	0.775408291066754	-0.263952428884514	1.65644875247317	-2.98446102271858	3.46336937637022	0.244873144964504	3.85272638144785	-0.154397600524025	-4.51501032750849	3.79005502617576	0.438474885654038	0.830541028622284	0.953620727428278	0.659912093517937	0.958871990212729
