CL-148-BL	HLD-53	CL-119	CL-127-BL-2	HLD-112	HLD-85	HLD-39-2	HLD-50-2	HLD-64	HLD-111-2	CL-141-BL-R2	HLD-34	CL-128	HLD-100	HLD-22-2	HLD-104	CL-176-BL-R3	CL-151-BL-R2	HLD-25	CL-165	HLD-23	HLD-24	HLD-72-2	HLD-43	CL-147	CL-118	HLD-51	CL-134	HLD-103-2	CL-139-BL-2	CL-154-BL	HLD-77	HLD-35	HLD-87	CL-137	HLD-94	CL-142-2	HLD-31	HLD-102	HLD-99	CL-167	HLD-74	HLD-96-2	CL-173-2	CL-117	HLD-80	HLD-28	CL-152-BL	CL-146-BL	CL-130	CL-160	CL-177	CL-170	HLD-47	HLD-38	CL-171-BL	CL-166-BL	CL-136	HLD-45	CL-169-BL	CL-131	CL-175	CL-150	CL-161-2	CL-144-2	CL-116	CL-172
CL-148-BL	0	0.675083290811952	0.652159505721929	0.760641903853736	0.64923630654467	0.67248405439169	0.68939367657146	0.78158615070147	0.724281308719504	0.622378215175608	0.667315006720692	0.892084967404745	0.602779715057465	0.694444169812573	0.6898777128901	0.645920316569061	0.762721582032032	0.866170117125481	0.806285539556319	0.677401332363208	0.747817083617629	0.810649192774978	0.780582192293915	0.674822963182284	0.697374199248997	0.555248078480593	0.73723645293523	0.767395794178925	0.883882565064754	0.798266572054321	0.750770965444862	0.7427106641543	0.715405444855924	0.744609212281335	0.845110760800377	0.964587907078632	0.728720730196841	0.720512488902329	0.692089528700935	0.662998702759881	0.719948191883387	0.723718259680575	0.73590200728836	0.728435428611924	0.855384875407701	0.748317103136465	0.809300280344161	0.736114563854747	0.870615678334396	0.719601911993385	0.872432251735298	0.837833189098211	0.772825148820593	0.790829121386851	0.705354718672858	0.792710785686432	0.877746013650572	0.75289382555626	0.85015744073974	0.744149761363483	0.812921350163043	0.786323057306356	0.76774067611235	0.848409677821343	0.859446027952714	0.831151842421969	0.879817153872898
HLD-53	0.675083290811952	0	0.775674624682377	0.812543710555587	0.649067833711747	0.677676167959519	0.687697258933503	0.739962751536712	0.769203957023119	0.588017417642001	0.685484059061156	0.846313697120189	0.641867160073155	0.807125793975647	0.744542666317849	0.720061429500254	0.787675867609203	0.914147777387988	0.764879443461482	0.611062803232368	0.753809612115645	0.809526213088621	0.768197393057935	0.833796907721219	0.659349582725656	0.621164812677005	0.854199155799308	0.750780372450712	0.826185046887685	0.745087769654057	0.627477038286386	0.737101115333917	0.716837580587788	0.821775127515517	0.864550101652477	0.953751943405537	0.782339794447243	0.733752177095807	0.721794422156726	0.699241383994604	0.750920292110414	0.759810921797031	0.744207215567065	0.779131884471706	0.846537201022072	0.858018416857353	0.80309202756523	0.677663796958996	0.843473297533906	0.822668435368165	0.832335648750045	0.848894945970429	0.656940001715114	0.759565042286018	0.733563526646473	0.746094859031438	0.773047884451737	0.696857901920794	0.873871166175402	0.791825322488811	0.779455132064906	0.755656905688205	0.749545708316594	0.790241568307768	0.848571950109173	0.840918344349353	0.881460852802776
CL-119	0.652159505721929	0.775674624682377	0	0.749013297035755	0.582707862158133	0.736779224257882	0.683919640442445	0.735096095842608	0.844079372065553	0.613546262430326	0.741967389628227	0.986246386747564	0.791981349107475	0.710786904162381	0.606834721350445	0.825855376236226	0.757403505142692	0.958343565005094	0.877928759703631	0.761289357154437	0.795632999501071	0.891025301479332	0.822704727078932	0.800057069339032	0.729683078443606	0.719354739885366	0.786536510595709	0.764590623282941	0.848460803948751	0.792279068777977	0.740301566447573	0.718171327300846	0.626851633990075	0.757842454508196	0.927842483690721	0.891051514461057	0.807493547472676	0.698027802479589	0.832970397609716	0.787186511760619	0.727976347558998	0.829225323173801	0.793247535068857	0.633004762624399	0.92474378706327	0.817809164155895	0.76118212844302	0.855083420424045	0.929930537723892	0.711579883552933	0.964621280038465	0.754453406272362	0.876299911103902	0.82736433678362	0.796285127575531	0.8534454924911	0.88620421446053	0.733108992658317	0.909986869503065	0.828279120469119	0.836683456176082	0.927349559912718	0.758794435960132	0.860288079769213	0.892843609874351	0.818222150137139	0.968222664034186
CL-127-BL-2	0.760641903853736	0.812543710555587	0.749013297035755	0	0.716080930292226	0.730381455681363	0.778814882998263	0.777808446458918	0.72519283934854	0.663764088416285	0.798276108805612	0.818808287347008	0.7708335635081	0.797309949941508	0.795792558563932	0.703872661449112	0.681739917494046	0.761820764440003	0.764844744728544	0.70309815755962	0.79199333031411	0.694711839804405	0.771521897439619	0.791210313611313	0.803539521004111	0.669287508822196	0.783608839137728	0.728418362877153	0.948932578508652	0.743694527628666	0.750898695535545	0.765854896146549	0.74628550439982	0.804915283246685	0.690924186445755	1.01863043395641	0.758640951264388	0.723267068168603	0.787350049634583	0.830151692275052	0.73208410782008	0.792172344694017	0.735345119327468	0.72723783961588	0.715083074464879	0.766711634494942	0.758928551509485	0.752753517782079	0.675578223825458	0.817162201722152	0.737515990140145	0.838299403592577	0.749440320876861	0.793228132441699	0.689525503099363	0.765397681729619	0.780054286769662	0.673485205938872	0.772713308184409	0.727567085354047	0.665286754928477	0.815581129404945	0.722653304856554	0.721008003075867	0.783004938379828	0.711555432522963	0.830307320252999
HLD-112	0.64923630654467	0.649067833711747	0.582707862158133	0.716080930292226	0	0.540175336264065	0.654396964811868	0.685926390006349	0.715231874212825	0.605575268562906	0.656002310670883	0.839584552941713	0.666691107318102	0.670988263780688	0.657843160831734	0.667260893242604	0.637918416922648	0.819796056497266	0.754972977629697	0.613901926785061	0.698426926915622	0.733081395086766	0.769467885780702	0.691513895943614	0.591430182201151	0.481783845761004	0.698131809728968	0.69111443541988	0.807626366135589	0.6836836577789	0.65588536059539	0.372910527110969	0.510173101167264	0.702751821993159	0.790330266474202	0.84790667772987	0.693718318838545	0.606505987918751	0.714464801607287	0.682402066751636	0.573261197995042	0.736591890922218	0.671861992054351	0.597644924972031	0.763778011964125	0.683583295445843	0.632079034906253	0.739466670980791	0.787511148880387	0.688521967887113	0.82620137857326	0.709848956805888	0.701827285386855	0.73819740878443	0.674109492761749	0.592437912543885	0.74626356964103	0.684966185282333	0.812089647778947	0.710892290522344	0.625425520152962	0.764034973043518	0.629408422535135	0.664085720795606	0.724689775425748	0.677196922674869	0.866720701254169
HLD-85	0.67248405439169	0.677676167959519	0.736779224257882	0.730381455681363	0.540175336264065	0	0.702280747748188	0.670776222013967	0.761552143450238	0.620560402617265	0.495240297760165	0.89527087301726	0.716538606514226	0.768952462643939	0.506139285563632	0.707517804336273	0.722871783416374	0.865594612540889	0.725153958585958	0.666931135146405	0.731074338474724	0.83607169107795	0.83601435039991	0.752488823078791	0.589244473876164	0.481698451106051	0.755380404738483	0.781181361451195	0.863742724063614	0.779362278292279	0.598058954845548	0.68693371033434	0.601504640888118	0.731335921376786	0.782348548527597	0.91919066053129	0.7197383360442	0.698854937517816	0.786496174044603	0.770448468949308	0.559935771488628	0.771937834832766	0.702592604078205	0.649175695216767	0.760375957180013	0.737678104838225	0.760974809689689	0.776746497084424	0.765244887497356	0.711447034332843	0.875950212409199	0.733377097207992	0.662324372544012	0.801755943487577	0.725823581466442	0.561477784510358	0.698948875904769	0.633527155488671	0.79093474950883	0.703869553129545	0.651483182326898	0.809777123834045	0.639426100773319	0.691157765723941	0.710751170843659	0.623652107836684	0.904225652892811
HLD-39-2	0.68939367657146	0.687697258933503	0.683919640442445	0.778814882998263	0.654396964811868	0.702280747748188	0	0.779583811560163	0.632218860486956	0.625621694451046	0.599605294269858	0.761520816666747	0.610314560101396	0.7385175022242	0.669843755458175	0.632087973607091	0.727612166596846	0.78868337725336	0.802700159281779	0.63839322942316	0.743310744317842	0.760784966079248	0.710885394152788	0.755487752191718	0.59891481040296	0.676696417841788	0.791794630467152	0.810225951474817	0.796784503370336	0.706664680290953	0.521024419294664	0.698432573343731	0.715346652597328	0.772962179228308	0.77161101195645	0.979878153363283	0.75236344562426	0.751124709780044	0.769041668049664	0.686930457869453	0.762008654909204	0.732201009158575	0.691681724867147	0.7087704847941	0.795275449874932	0.785792799034305	0.789795823770411	0.720310600388843	0.850773606381215	0.793697715376318	0.769075540576009	0.840089169384592	0.791443820107586	0.792470272835952	0.669323434694017	0.831140169431563	0.890800009328841	0.709541726530623	0.865497333134132	0.69550487173082	0.769390424954919	0.782903507478048	0.67115326506768	0.781885237252109	0.826927660641247	0.781424858433677	0.785330820396341
HLD-50-2	0.78158615070147	0.739962751536712	0.735096095842608	0.777808446458918	0.685926390006349	0.670776222013967	0.779583811560163	0	0.899608526811013	0.623895125677379	0.79995937764208	0.945537397175865	0.72956939303137	0.776787538771796	0.678657370033854	0.818012503815518	0.72412771513653	0.92578107218283	0.753594876827922	0.802535455832808	0.580880588911177	0.825902662461716	0.779074433332209	0.857924880298237	0.659583354985978	0.661089129662587	0.774434499960837	0.694706788361587	0.728447054329514	0.739249321377674	0.645040145338901	0.720845110798431	0.703473932055147	0.734706584593582	0.849168119130971	0.737761321398293	0.715826315288452	0.595951999047938	0.749791995287553	0.73893458889088	0.698432837461465	0.712525645291874	0.765305067620264	0.698246919951736	0.814490277229717	0.71207954444621	0.63447817523743	0.653997336934376	0.785435196287288	0.717957998897785	0.874395822040934	0.692262195165597	0.679481566203377	0.759482151201512	0.804908238991975	0.656396084871432	0.695747172697765	0.609844266674449	0.669123355326677	0.803913033456098	0.737596906029255	0.810350222962278	0.678825931030781	0.716316221280118	0.696801326049542	0.730401413292362	0.878188451766775
HLD-64	0.724281308719504	0.769203957023119	0.844079372065553	0.72519283934854	0.715231874212825	0.761552143450238	0.632218860486956	0.899608526811013	0	0.736983743207276	0.685316491820479	0.557120135418632	0.691041483225597	0.773270643696367	0.795534160644363	0.656441660505131	0.732303395363239	0.676250351793708	0.719863424174822	0.651537092453062	0.822863946644609	0.680207731944386	0.739221760954389	0.748588750486435	0.801096357578286	0.675695649466855	0.816877978051333	0.7956800885604	0.894830257697969	0.761661931068246	0.764391129403849	0.760326021686452	0.787772285060559	0.815454301663748	0.654955264576913	1.03975908301138	0.77137704489005	0.834162039440602	0.748399831475096	0.741512068728557	0.80099280231907	0.713830981570805	0.759977673807735	0.779393502496335	0.772132046538027	0.770944980390658	0.874903565438518	0.778770378828966	0.819768463156431	0.903628880707992	0.587971843290535	0.93964855838487	0.849028098801016	0.799881005480476	0.700276934167912	0.884455525441431	0.920351339499752	0.789644145932638	0.886534824152732	0.73493328172631	0.786985796670338	0.82347052318314	0.826238092142393	0.807275365194158	0.894014698861053	0.871273275352072	0.793151639786252
HLD-111-2	0.622378215175608	0.588017417642001	0.613546262430326	0.663764088416285	0.605575268562906	0.620560402617265	0.625621694451046	0.623895125677379	0.736983743207276	0	0.600830160173942	0.804217552437804	0.499659128939207	0.676103951311438	0.62924600904919	0.634690146280757	0.645670940388681	0.842236349550845	0.744868797675672	0.576857943260438	0.672654315927967	0.789399420817883	0.731894358585509	0.682621759161273	0.641072083159921	0.536114550085386	0.721419661502723	0.626936142856139	0.804439774262938	0.731380166767357	0.58510067276501	0.667780779715901	0.641724868037821	0.693238390029021	0.781747061286977	0.894119838726699	0.659080644295456	0.553479761124425	0.661882039315623	0.65896467147118	0.660054015655494	0.641681583743555	0.683762758682044	0.635576497919909	0.751832107096753	0.693603249106684	0.735711582613779	0.602907302528132	0.782640454308526	0.68964169299363	0.765313581043627	0.775708092084661	0.675013175056395	0.726639810441476	0.606429936756294	0.691362764857018	0.725859610550456	0.587540320530644	0.697528192533163	0.642569828694336	0.652087874835116	0.72646347518859	0.641852508197029	0.74768940558662	0.7748189172904	0.678941978155427	0.794614151590853
