CL-148-BL	HLD-53	CL-119	CL-127-BL-2	HLD-112	HLD-85	HLD-39-2	HLD-50-2	HLD-64	HLD-111-2	CL-141-BL-R2	HLD-34	CL-128	HLD-100	HLD-22-2	HLD-104	CL-176-BL-R3	CL-151-BL-R2	HLD-25	CL-165	HLD-23	HLD-24	HLD-72-2	HLD-43	CL-147	CL-118	HLD-51	CL-134	HLD-103-2	CL-139-BL-2	CL-154-BL	HLD-77	HLD-35	HLD-87	CL-137	HLD-94	CL-142-2	HLD-31	HLD-102	HLD-99	CL-167	HLD-74	HLD-96-2	CL-173-2	CL-117	HLD-80	HLD-28	CL-152-BL	CL-146-BL	CL-130	CL-160	CL-177	CL-170	HLD-47	HLD-38	CL-171-BL	CL-166-BL	CL-136	HLD-45	CL-169-BL	CL-131	CL-175	CL-150	CL-161-2	CL-144-2	CL-116	CL-172
CL-148-BL	0	0.292075275928695	0.116629228355388	0.305373884795596	0.222122632710155	0.239080536896973	0.264958670946589	0.265685402869418	0.331417408975365	0.204344008920185	0.242463077250171	0.44569249553345	0.30471430759318	0.192683961011825	0.168121922649069	0.321861089687558	0.298296901669231	0.380275450484219	0.365527235699256	0.279542151878701	0.328417629177354	0.465091943134622	0.390901185821569	0.237136798927475	0.225311008877233	0.236095903226443	0.156878356368925	0.239763951836456	0.382342349937092	0.339446345162939	0.261135896493884	0.222318374958859	0.246226009097396	0.33116434370837	0.453849057024698	0.276556535040934	0.296166833225104	0.193152879195644	0.258131820508764	0.249202846087762	0.388907393581555	0.258814590540991	0.250652386952041	0.221131144590961	0.482081817576266	0.25363652652387	0.201782169460268	0.315272565092522	0.482224211678924	0.204868563327998	0.382045088124592	0.158869667769878	0.460541740152891	0.274710508926287	0.244672149767241	0.341031653191601	0.316579529146805	0.279735055633164	0.379433036790846	0.246548572814706	0.342785847100484	0.274267577815519	0.255730887253063	0.39132882089117	0.288031337984604	0.283366741156264	0.314389858295154
HLD-53	0.292075275928695	0	0.262621392452561	0.256791660063557	0.190715066789314	0.238850848523002	0.201195628016537	0.108692178694876	0.298912546857564	0.17225549822285	0.231960573986627	0.328320191755348	0.175863676289002	0.296942130886772	0.250735017343845	0.207075899726822	0.217638299346867	0.348823694654592	0.38556010034013	0.12300974350925	0.193383380540481	0.335623868199359	0.206224845406802	0.181748051202218	0.295418136069016	0.271809554447904	0.244290568125966	0.231333189078446	0.185764341858517	0.185565019784833	0.24648156018122	0.175175194208898	0.241694182284329	0.202688784298489	0.483538721599165	0.278775811441196	0.166126388093757	0.219950636283543	0.185957291077449	0.187627219412429	0.43182457384852	0.243711562879687	0.170728201194241	0.288741471840188	0.513692227466843	0.295139860158806	0.280459282755041	0.19708032159739	0.479058054713179	0.304631420142688	0.338875174797941	0.324891575175974	0.474977741371926	0.177271448165823	0.221133216987697	0.358263560361573	0.278486358968362	0.301882649112709	0.396802542132121	0.258638264055403	0.369233476981736	0.265122475561979	0.292274278975237	0.406385730667261	0.282965000794137	0.310551229945993	0.214762296335214
CL-119	0.116629228355388	0.262621392452561	0	0.306914125051743	0.214147936895479	0.267980929443805	0.250211194369706	0.246373817929093	0.347475463487657	0.186932403352279	0.238243155954555	0.428709254100049	0.297270608767755	0.168115269368924	0.163896302789018	0.315054046336027	0.243866171085384	0.381054828237452	0.418125754160341	0.253293066332663	0.323122340972215	0.441539844708859	0.371343766579343	0.229592003864253	0.255371757128121	0.308528802131007	0.155449288371458	0.255870797254938	0.346336350354715	0.310838664191666	0.291516464864143	0.205102092885819	0.23260497820978	0.307948745546419	0.507948864783572	0.269696105475785	0.279507537093259	0.215122291542134	0.239259310183317	0.258206960901863	0.391535584332831	0.268881751306326	0.236003625535732	0.219603446582425	0.521022078444769	0.318160449987672	0.245717028953703	0.298479643559343	0.478099310244239	0.168773454311351	0.382189619487404	0.203624699957909	0.508879137284602	0.252114676109348	0.250452590285394	0.387543736212655	0.34511965465275	0.339875061482152	0.436671968993669	0.297934249451038	0.404924894063744	0.31325208428136	0.312132282454621	0.440452885658596	0.337122566936172	0.340540550070507	0.295344813893333
CL-127-BL-2	0.305373884795596	0.256791660063557	0.306914125051743	0	0.206390379232657	0.217842316325728	0.212157318147758	0.247970368130848	0.231875756568415	0.254947767227392	0.201548982576473	0.308242700984756	0.243774289404003	0.299615969052449	0.271238879171373	0.24086417433508	0.276849654332295	0.227969246934724	0.297046258310113	0.224990136232026	0.298442855964518	0.395052253558217	0.311827653226073	0.235580888897363	0.320126455684083	0.182021218793062	0.302868188141074	0.169533943237394	0.307585635146277	0.284351703233291	0.272842074890045	0.201518623461813	0.238640987022108	0.330468280787807	0.329138495741335	0.26130839051095	0.233501043144242	0.239047194220061	0.159631652302221	0.188974364682845	0.390095301136278	0.233203278780236	0.201272736994038	0.262370209084251	0.400928022532573	0.213926394011058	0.227612718559407	0.218576831481576	0.371281403002656	0.400122776117588	0.225903534229596	0.314702293569461	0.34642131136846	0.201385403901692	0.1575806451069	0.268511188049058	0.244400616127317	0.196643709206035	0.249390907959583	0.151626103203376	0.229614007198215	0.187494623226193	0.196168094380212	0.258845349262004	0.196140680648773	0.221550846378827	0.158705688084493
HLD-112	0.222122632710155	0.190715066789314	0.214147936895479	0.206390379232657	0	0.178333779508339	0.146049229461398	0.213451300932105	0.231220430280137	0.152246101443488	0.126069141121211	0.352144558468149	0.202743079164196	0.260836916644166	0.247612976275154	0.22432230870167	0.163892550676673	0.294977452128974	0.294283544726915	0.162938972739754	0.248627903109875	0.384288006602226	0.29561360817412	0.184632103691266	0.225997600073613	0.156275128763067	0.213412526929403	0.188412002082125	0.292885194182441	0.26816627323643	0.182094999838791	0.119667225299708	0.140282831996614	0.290706782799323	0.400280584670557	0.237055216840026	0.193207635323807	0.138283975913893	0.122137222128454	0.164382956244786	0.394031896224688	0.16523788648016	0.147613451776138	0.196263131508332	0.41137318150905	0.185073147480165	0.231530357562524	0.200975076133991	0.391460651418338	0.318587789115203	0.277408878164935	0.28960424465008	0.380081384249215	0.137386737709784	0.126594355604267	0.244908958502024	0.22056994555167	0.19532876368137	0.298444327163624	0.158043416917815	0.265602910493836	0.171391602641086	0.171866985344621	0.303957168036855	0.200021204708481	0.239313627054209	0.19494310956536
HLD-85	0.239080536896973	0.238850848523002	0.267980929443805	0.217842316325728	0.178333779508339	0	0.223412451271972	0.241555792521317	0.238575997849222	0.197413364533733	0.159219411213557	0.416853840776745	0.288977645557866	0.263706845618656	0.17876799286222	0.292327265599618	0.25041615993029	0.323305054830443	0.292911950689274	0.231734465523009	0.303753924372317	0.429537452399996	0.362110074006412	0.222589045571311	0.2070895156309	0.183696646773582	0.259089363318518	0.212675917666961	0.333371836252849	0.321777434271686	0.174448399924603	0.205747562052199	0.19983822405216	0.319145356615085	0.405075001222456	0.250349314445944	0.253078171111465	0.17018310479278	0.194538512871788	0.21272796194229	0.342571789513533	0.205629763339057	0.199369028172326	0.206167513171358	0.425914550836123	0.205752959161141	0.233262992698272	0.286412537069731	0.386322908323135	0.349389333536567	0.334483218612962	0.295319524404711	0.393313386046331	0.218999850259871	0.193934624803633	0.262686956868815	0.243901040199338	0.200526004667852	0.30759395558927	0.165307550890152	0.276594251361901	0.22704454255625	0.186189183501431	0.315991271020165	0.243104912070559	0.211645953620168	0.265169672800377
HLD-39-2	0.264958670946589	0.201195628016537	0.250211194369706	0.212157318147758	0.146049229461398	0.223412451271972	0	0.19064303684389	0.24011500893363	0.163856383094019	0.134198156907206	0.305839442262553	0.159255622890895	0.248123569627646	0.232437862798543	0.172930351732519	0.195518054772355	0.244906242496487	0.336616094536236	0.158646566439777	0.246350990785461	0.333365501396413	0.248933495539964	0.178521888027998	0.255125022490535	0.207238791534721	0.227159537387581	0.226810180955046	0.257129575366032	0.209931576699776	0.202139079604752	0.170488978155787	0.225494312200563	0.238160285605789	0.420981824426212	0.268503508890129	0.157377302180661	0.202236173794106	0.149419913822751	0.161226418376558	0.453161541920758	0.163822650096583	0.135717801349563	0.259711456650832	0.436191706495487	0.269446419556156	0.274832833809014	0.173914132991773	0.439386019386221	0.33185874670633	0.275228554508975	0.349843500282925	0.422432639004569	0.13357742710084	0.138350388292535	0.299134902846723	0.273070098684336	0.239834719122144	0.338118957423766	0.199366951055161	0.303420109112055	0.207047894142082	0.203707126834593	0.350164723154129	0.239649379841254	0.30081330225016	0.136419366954347
HLD-50-2	0.265685402869418	0.108692178694876	0.246373817929093	0.247970368130848	0.213451300932105	0.241555792521317	0.19064303684389	0	0.328051927788026	0.163270034504841	0.235145336001948	0.32751132119338	0.187515906147293	0.273309726369934	0.22264505730873	0.209308082700393	0.234805923164898	0.337159804272173	0.380706728070649	0.146718462092842	0.179661770048532	0.317590487350432	0.215699423132527	0.1733651158676	0.276851837496605	0.284488795092836	0.232719988355457	0.220206261458406	0.193592174846623	0.176508840166331	0.273324828934188	0.16177595482716	0.273121113484262	0.188050912831196	0.492177385602178	0.271626634900609	0.149612117824319	0.217701741554843	0.189212362946625	0.19278821787025	0.414551965156848	0.253987117526699	0.176302779323716	0.270780315970949	0.517579126540897	0.311619205863143	0.256132106366872	0.213157402937479	0.490258095585677	0.281166326695998	0.353059024853492	0.306807048742578	0.487695916971239	0.201246579998382	0.230605252800746	0.372835626189641	0.293235589722566	0.310035337813129	0.407482830108445	0.272763550119762	0.382506041751028	0.279151782636369	0.301126654384594	0.42155761852852	0.308730002959567	0.318537971138135	0.213141349251725
HLD-64	0.331417408975365	0.298912546857564	0.347475463487657	0.231875756568415	0.231220430280137	0.238575997849222	0.24011500893363	0.328051927788026	0	0.276740373563819	0.209375798370082	0.318734148142029	0.309046204039092	0.347786460352555	0.32700309963439	0.308307134557325	0.301373984944691	0.229868018102173	0.236173656404401	0.278732330445831	0.364520986308242	0.447484385604532	0.389190014966882	0.278255867536737	0.311869928938349	0.204864401522091	0.318056442830519	0.239939424259516	0.375520451614631	0.3829951108037	0.253840242258826	0.276266167895251	0.270037926802541	0.399525352779172	0.298964515457685	0.253846552442237	0.308065826104266	0.255056732160574	0.215503129909174	0.266111865748442	0.431651235686946	0.192498990714993	0.274666094268239	0.282413060040788	0.330938864362435	0.185312852718344	0.289704437357048	0.286379634142652	0.368691773018005	0.452962529443577	0.174295982010955	0.360626003972198	0.335912631878676	0.205399779747393	0.214271805742686	0.26669895524808	0.269615495323572	0.234598923497242	0.238493908399897	0.210913427980777	0.209966292335381	0.21931180921654	0.229726163716689	0.268739681378802	0.261896374737966	0.275017684411618	0.251505727309072
HLD-111-2	0.204344008920185	0.17225549822285	0.186932403352279	0.254947767227392	0.152246101443488	0.197413364533733	0.163856383094019	0.163270034504841	0.276740373563819	0	0.154739630494275	0.358096690093573	0.156176219938235	0.195371790035941	0.196447067541327	0.220939344782424	0.137173113677097	0.320707285910537	0.353199383804926	0.144143427240538	0.250320825393988	0.352648122093454	0.300059794177854	0.115291112417738	0.208970175077804	0.240687346365517	0.156839077900273	0.185358771867199	0.287121942971586	0.250699786750463	0.222985171549491	0.125021550546201	0.191254464351832	0.230713568739296	0.461729775616678	0.211655935088649	0.169323647743076	0.110999231130686	0.164483783086417	0.183495388535571	0.390026938109136	0.191884771555378	0.137517009959015	0.199751140501948	0.476956027717676	0.248197143244056	0.242741163019379	0.223911703801077	0.458335851706199	0.282788080735805	0.319307650445718	0.304479307604366	0.455713282473029	0.173430332630678	0.181179670122142	0.332501473961592	0.286610719894042	0.274264250424728	0.373193291199247	0.232337700683599	0.340195908458186	0.246960156952867	0.248614024506617	0.385193141259993	0.272016403204287	0.276662678555324	0.22278978761354
