CL-116	CL-117	CL-118	CL-119	CL-127	CL-128	CL-130	CL-131	CL-134	CL-136	CL-137	CL-139	CL-141	CL-142	CL-144	CL-146	CL-147	CL-148	CL-150	CL-151	CL-152	CL-154	CL-160	CL-161	CL-165	CL-166	CL-167	CL-169	CL-170	CL-171	CL-172	CL-173	CL-175	CL-176	CL-177	HLD-100	HLD-102	HLD-103	HLD-104	HLD-111	HLD-112	HLD-22	HLD-23	HLD-24	HLD-25	HLD-28	HLD-31	HLD-34	HLD-35	HLD-38	HLD-39	HLD-43	HLD-45	HLD-47	HLD-50	HLD-51	HLD-53	HLD-64	HLD-72	HLD-74	HLD-77	HLD-80	HLD-85	HLD-87	HLD-94	HLD-96	HLD-99
CL-116	0	0.0717168270288716	0.061010776212603	0.127005909535944	0.0789862259656016	0.122800348257596	0.161978371034663	0.0388090355624583	0.0645258817263626	0.0722175270521525	0.0646719458095873	0.0545973510736348	0.0705680872302359	0.0534160817193465	0.0641068245094256	0.0505598591661591	0.0576340807689732	0.0718169670335278	0.0510790563877523	0.0634326335226638	0.0770363661297164	0.0722519701110789	0.0964010192594104	0.0738255076364727	0.0748721939271784	0.0811172307780623	0.163194721282302	0.0399596888643677	0.0776671843756079	0.0546228644506173	0.082245559875112	0.0695807195410143	0.0309732396567175	0.130832597166102	0.172748843127812	0.124680046306779	0.0816989357732626	0.0821447820360313	0.0720708251345033	0.090542510069811	0.0770867550492568	0.15247559486033	0.0938216168464828	0.0863053759874474	0.0625951569232143	0.0765235472523688	0.0831174795334879	0.0851234687987345	0.155806685142604	0.0525499025707916	0.0836417794304776	0.104255312363464	0.0562321207037865	0.087706060383785	0.106143302260166	0.134361416119989	0.0905546289238776	0.0919176810891661	0.1302534435086	0.0842643058288499	0.151390957421363	0.0646496216047276	0.0776359304888044	0.0846444551458887	0.0928808110702543	0.120109962654794	0.111674602389966
CL-117	0.0717168270288716	0	0.0571403969243624	0.143009175248197	0.0498971491990394	0.11038043634253	0.185103695931573	0.0329077914664132	0.113187545645026	0.07179910766964	0.0941169341850549	0.0872978463520655	0.0550559540248947	0.0969253191564002	0.0771326791278252	0.109836363578379	0.0642063266796572	0.0525773294510478	0.0356153985986778	0.0948740436470097	0.0372125359977803	0.0490003539981056	0.0729912202091459	0.0464751675112657	0.0918781353548432	0.042737457783334	0.139920143130045	0.0638312800380149	0.0657702966886826	0.0581870832150682	0.121750472794767	0.0801241225790197	0.0537056585480975	0.0929975347699491	0.153624015741754	0.107591186403921	0.120657862425493	0.0961784150452384	0.0895832070952701	0.0694901470527266	0.0676978323197081	0.137333405621235	0.10639971169884	0.0593313581727319	0.110138059261196	0.0746444870376099	0.0667315131664971	0.0553187418078141	0.128886245419552	0.0866383255570686	0.066089851735388	0.0979662649372849	0.0847496978259414	0.107241653139262	0.0992878578649768	0.171661973268359	0.0811223334534588	0.0828247135326141	0.111249804663207	0.0867914058189634	0.159298828617079	0.124433842218898	0.0784970069619627	0.137654874171214	0.0718641667809453	0.106827698597721	0.107253134158904
CL-118	0.061010776212603	0.0571403969243624	0	0.135540771971004	0.0375263505346647	0.0797331300767634	0.168764291477575	0.0646470702670294	0.0656184920956369	0.0588529823543106	0.094412251523627	0.087039523410118	0.0545794917097471	0.0771492628228638	0.114086892183658	0.0906420122400426	0.0529517382582655	0.0222833834564885	0.0557180261575898	0.10150305682148	0.0438772679000258	0.0523585522434231	0.0645073845280504	0.0495680266359656	0.102284403991568	0.0492389040728917	0.150494800054854	0.0822155816571576	0.0553614767142597	0.0131247189542067	0.122327712948996	0.109273793615915	0.057704242555675	0.102455981451775	0.155547086531807	0.12232835078342	0.0730888088761038	0.0912804844990289	0.0664623470393321	0.0489282787081302	0.0477304256588032	0.128053552578286	0.0868264867123143	0.0841475821291551	0.0817767515730592	0.11083202311512	0.0692860400368668	0.0702217431376989	0.138857510978725	0.0774311856385201	0.0787259895203804	0.111251718166481	0.0782673865691205	0.101380592611964	0.0828387458899544	0.165032960093889	0.057921106260026	0.0642158941960256	0.122154859819939	0.0824560452352174	0.175445607074859	0.104731774678611	0.0362168764610395	0.1266515925131	0.0680901004908136	0.0971727989131301	0.0995359754561313
CL-119	0.127005909535944	0.143009175248197	0.135540771971004	0	0.108283555671783	0.175976923150519	0.0944773106349323	0.115332901732039	0.141090569299116	0.145034299546181	0.135844381157095	0.126124422361199	0.126605987351743	0.147347725004066	0.150637037131531	0.168216391706877	0.159185294089507	0.150869208862071	0.127451117964288	0.160728215562522	0.142395578531769	0.123549484789244	0.189298095107491	0.150608334582426	0.130788905508019	0.14696374868048	0.0807096545807674	0.110272323407567	0.169996587585829	0.144462162067349	0.160892139009634	0.144603123475177	0.13699439662458	0.200018816115525	0.105589661979647	0.191437391767471	0.164695545683296	0.136947834711587	0.124266410682451	0.138607479884297	0.143446091829022	0.182235992358744	0.185232538485335	0.117336339659588	0.133136136190406	0.141560015435593	0.141697787671298	0.166563762712837	0.0731927758873074	0.120151740809603	0.1449698782693	0.146068229148395	0.15298171647622	0.14950998370333	0.159006062616205	0.0913213059022008	0.184710789926043	0.146471978339143	0.189467759064424	0.144931608203826	0.066735978007469	0.166158737853241	0.15364442644334	0.184095917540766	0.147376427553171	0.162981684584499	0.194741374086701
CL-127	0.0789862259656016	0.0498971491990394	0.0375263505346647	0.108283555671783	0	0.0915407209442501	0.167714416014747	0.0574038225417064	0.0762180245630037	0.0714514879082539	0.0762454514432598	0.0778266429817484	0.0547045072569612	0.0813168729529501	0.0991398802784785	0.108617461993041	0.0725051903776299	0.0490175755275688	0.0343390919151298	0.0946973635114061	0.0430659425119833	0.0339149320227962	0.0892426035125542	0.048756701247923	0.0647580534569031	0.0584875032290368	0.13616521187265	0.0640487815767905	0.0833164838739512	0.0452358552243423	0.101293209295799	0.0931059666221246	0.0898153788258106	0.109428787381084	0.154497211068979	0.106160523789629	0.0998230009471841	0.0851725820494258	0.0724911580202895	0.0458666734702339	0.079522644716658	0.0905272020436215	0.0886545201731083	0.0466212315944904	0.0965324131508702	0.09588501120994	0.0584951572421315	0.0681896026610452	0.122893791000794	0.0605528110957676	0.0617672478401332	0.0981301883843973	0.103002605553624	0.0800016583695039	0.0720478630952191	0.168139213741505	0.0884925102292696	0.0614732061704102	0.105987032826149	0.0825810607824315	0.152344519886083	0.106559808139405	0.0666862269223532	0.122700846087364	0.053143088585634	0.0952210255739712	0.097207879806481
CL-128	0.122800348257596	0.11038043634253	0.0797331300767634	0.175976923150519	0.0915407209442501	0	0.215761207548133	0.134808856968819	0.0672908939568378	0.0912473171089517	0.143526777883729	0.129719576095241	0.0814999314327993	0.109044811057498	0.158074505439133	0.146114472144176	0.118531322454004	0.0756407844087753	0.11965072186911	0.106885103695932	0.0749640420843153	0.118125659759983	0.05964708621289	0.113722688727233	0.113918503895574	0.107753834182185	0.195690471710449	0.117180389142782	0.102507646040164	0.0834434129244389	0.106615299734342	0.138908856649902	0.101245371713957	0.13541161050003	0.206096740347173	0.11639011229075	0.0979605244274639	0.123044638842203	0.0954008948816977	0.0752363973836032	0.102899276376845	0.0951004748677291	0.0915145697328431	0.104955016727208	0.125426312583516	0.160393033572415	0.138852089386116	0.0820727067460558	0.190903524354113	0.104120729299881	0.0908958703410182	0.0943223168697638	0.104575505244594	0.147885100506759	0.100080686054707	0.236233141238866	0.0899403943730247	0.0712741699382257	0.130890640098737	0.0990537726311627	0.196906184123663	0.125351685955843	0.0770114905871585	0.14487197068513	0.122970650048954	0.123716916325691	0.103112950909074
CL-130	0.161978371034663	0.185103695931573	0.168764291477575	0.0944773106349323	0.167714416014747	0.215761207548133	0	0.163842761057657	0.173012906579581	0.151902500629861	0.120598862741221	0.166791469602406	0.192658844690507	0.173516795774985	0.139208319912234	0.152037083693444	0.193771227926942	0.167641702890347	0.178037766176278	0.17566374644806	0.160798377349224	0.179467153121721	0.207880763232672	0.160562378612136	0.180823189108339	0.161733442615631	0.0984452785901308	0.160320639365227	0.16298040891565	0.172876410012725	0.167924901374852	0.153507292042059	0.161594394711077	0.181012625932434	0.0610905055156732	0.183113652526941	0.155369130727354	0.12068815956066	0.146382681519704	0.175850631934456	0.182579785113582	0.232890251019738	0.194227279540504	0.19226785218825	0.158083116203865	0.139388827054385	0.15891166312137	0.193433175681925	0.0977442985575374	0.158100337733328	0.193123825986012	0.163108613634986	0.140950883560137	0.125630738516588	0.170619751818625	0.0875568071284375	0.190807211356004	0.195053275120311	0.175505563510768	0.144158552881258	0.0816855412503468	0.170647816533306	0.168087549153115	0.172525601079216	0.154507416419772	0.156812550030138	0.150789479559001
CL-131	0.0388090355624583	0.0329077914664132	0.0646470702670294	0.115332901732039	0.0574038225417064	0.134808856968819	0.163842761057657	0	0.0837151303893022	0.09274877934437	0.0630052844582075	0.0566530914239972	0.0660413763191213	0.0680767059678978	0.0558717442539091	0.0787247138515313	0.0794052831825386	0.0717308593862119	0.0414828374702211	0.0660254304585073	0.0598448148845041	0.0583031690803384	0.0998804060453947	0.0505464646432432	0.0607664856279958	0.0618909877184982	0.162552422016769	0.0327196303111675	0.0867199683634125	0.0622583803470457	0.0906388230679198	0.0588631877051036	0.0380398072464369	0.117425955396239	0.174573687416484	0.120994001167237	0.0911854471697692	0.078396229122882	0.0624172011187616	0.0787929621349594	0.0770006474019409	0.144840078963902	0.125077417153281	0.0686341732549647	0.0859405346965981	0.0627150697950319	0.0760343282487299	0.0688873935215157	0.142134704252123	0.0555266758302212	0.0753926668176208	0.0789683666017139	0.0652849046915911	0.0761300034124142	0.10515529673652	0.141337411221421	0.0904685212765618	0.090331386875281	0.123013384955399	0.0712288836940819	0.143312784434289	0.095905421911526	0.0912785709957552	0.104747082704801	0.0846457308147378	0.119609262631513	0.128246178574504
CL-134	0.0645258817263626	0.113187545645026	0.0656184920956369	0.141090569299116	0.0762180245630037	0.0672908939568378	0.173012906579581	0.0837151303893022	0	0.0951910473560168	0.0905514397517548	0.0876116608889498	0.101695682817697	0.0556357455168213	0.10892489818568	0.0896361473525088	0.0960763615373085	0.0783305321771521	0.0976294883611163	0.0511938665841734	0.0898300490175755	0.0984261435573939	0.0664534173573882	0.100041778154809	0.0807708866855253	0.105286052793555	0.193023685981356	0.0607020643511151	0.105835228233103	0.0733279967853145	0.0630646030596917	0.0909800644850603	0.080928431788392	0.152564891679769	0.195722363431677	0.111297004410625	0.0633573690605656	0.0916918877028712	0.0722162513833034	0.0823667484157787	0.10761478627763	0.108229020828483	0.0919246972678362	0.118318285756201	0.0820720689116312	0.111243426318962	0.115353631350838	0.0974693919205513	0.186184187446781	0.0600737974429218	0.0984599487818957	0.103190128874445	0.0840212909130919	0.0962185986139858	0.0911567446206639	0.177958674707633	0.0945793641428622	0.0878789135128412	0.136546317941326	0.0691399759536422	0.175057165910301	0.0818009892811925	0.089204971281505	0.0884153322638976	0.10442816549252	0.115493317089817	0.11500154674848
CL-136	0.0722175270521525	0.07179910766964	0.0588529823543106	0.145034299546181	0.0714514879082539	0.0912473171089517	0.151902500629861	0.09274877934437	0.0951910473560168	0	0.08829541939208	0.100536099833844	0.0719719607986963	0.100908595137788	0.076939415297183	0.0752855106342945	0.0699474743351373	0.0526723667803075	0.0712594997464608	0.116397766303845	0.0672258348455324	0.0705546927073201	0.0963468033333227	0.0633822446031235	0.125700581386078	0.0631934456134532	0.155309174291446	0.0930434588485175	0.0284869610697759	0.0625632652019862	0.134145509167275	0.0842834408615867	0.0725198605693948	0.113197113161394	0.114849423238222	0.108548575875189	0.0816829899126486	0.0531724289691639	0.0874828183351884	0.0847260979522326	0.0721467274310262	0.139783327645976	0.0789313722050893	0.0846565739999554	0.0474714648824312	0.0792579434304649	0.088269268180673	0.103996351587092	0.127714543581632	0.102977730011066	0.101608937335957	0.12969278704941	0.0516709667337456	0.0905501640829057	0.06306715439739	0.193434451350774	0.107589272900648	0.0874598562959041	0.10257972133014	0.109960741291168	0.152265428417437	0.091245403605678	0.0616192702536349	0.14564247467	0.0588823227378405	0.0962466633286665	0.0901240906872985
