CL-148-BL	HLD-53	CL-119	CL-127-BL-2	HLD-112	HLD-85	HLD-39-2	HLD-50-2	HLD-64	HLD-111-2	CL-141-BL-R2	HLD-34	CL-128	HLD-100	HLD-22-2	HLD-104	CL-176-BL-R3	CL-151-BL-R2	HLD-25	CL-165	HLD-23	HLD-24	HLD-72-2	HLD-43	CL-147	CL-118	HLD-51	CL-134	HLD-103-2	CL-139-BL-2	CL-154-BL	HLD-77	HLD-35	HLD-87	CL-137	HLD-94	CL-142-2	HLD-31	HLD-102	HLD-99	CL-167	HLD-74	HLD-96-2	CL-173-2	CL-117	HLD-80	HLD-28	CL-152-BL	CL-146-BL	CL-130	CL-160	CL-177	CL-170	HLD-47	HLD-38	CL-171-BL	CL-166-BL	CL-136	HLD-45	CL-169-BL	CL-131	CL-175	CL-150	CL-161-2	CL-144-2	CL-116	CL-172
CL-148-BL	0	0.10562657429265	0.089233699064605	0.126380228460554	0.0820449426802673	0.135083771952875	0.0914266424244709	0.106418153256011	0.152658424669321	0.0696371031981896	0.0904740751767215	0.22349935995748	0.0904396154923196	0.147943948453477	0.141744442512812	0.0935930281975684	0.129388814394784	0.188279369043278	0.142587201332379	0.0729465311071623	0.171715659662116	0.191496620494768	0.13607851130838	0.0870046862390228	0.137387964754521	0.0585196448099402	0.0963212453479737	0.101501445114049	0.185797782821275	0.145375034064392	0.140820840605238	0.0897806809750713	0.115517566082772	0.146561214581378	0.189328510877179	0.183472719055779	0.0914013779518562	0.0949562109909253	0.0906395511359148	0.109603140268359	0.274404806546527	0.104690478748096	0.0891963854117671	0.152835565967214	0.143973790662508	0.123663069870596	0.123730600641857	0.131466098157831	0.234149981999915	0.130154079177802	0.174053013539021	0.135816489356204	0.0773160134192471	0.0903462208013028	0.0618457145733906	0.0685481314586121	0.153573243051865	0.0735500016637393	0.0777395131847474	0.0710564519464959	0.0568557174799597	0.0910058794773114	0.0670902304510784	0.0821764322005645	0.132781286446769	0.0711949010572781	0.103250860365659
HLD-53	0.10562657429265	0	0.130797646502127	0.157766764459226	0.101992663293999	0.148502304161062	0.134595679314877	0.0740166284648768	0.172928740691782	0.118928141407179	0.143363295966754	0.240059197609207	0.130590125927927	0.213407810063207	0.157682620107015	0.137904427956006	0.167628686019911	0.240326280020307	0.142448933909291	0.101665979583997	0.170321126758243	0.222072348285289	0.120602124599534	0.148984417604802	0.162500090783478	0.106541622635491	0.148180406251477	0.106300891497183	0.159386395785292	0.139501844376922	0.136878318885247	0.111619167449381	0.143250584918508	0.164712747885739	0.222389612395962	0.2170028439336	0.121875097467843	0.139280586079146	0.0960853853701242	0.130404157039927	0.269465928441288	0.145331924191778	0.138798334330869	0.192336678178227	0.20287487754651	0.176708584114188	0.144778711866737	0.108447510170068	0.231088695388687	0.143368426238546	0.191191574100594	0.0977936579811611	0.0815078787019571	0.0972528904504883	0.106489595732313	0.0933716061191468	0.112593277419175	0.0842794178395736	0.0929138231654736	0.0995303124494454	0.107643240205879	0.0910301718457329	0.108003046491565	0.0920977078230461	0.111242631579543	0.119475601574138	0.108576195636458
CL-119	0.089233699064605	0.130797646502127	0	0.123319816399136	0.080758835458181	0.133987397056402	0.104960973541293	0.135095274172621	0.144732181510184	0.092439217886141	0.0830063665421769	0.250053725803339	0.136385645053716	0.120811348535868	0.138423907949928	0.138168008888109	0.0885911240986227	0.209569536258043	0.144859121295892	0.0931463249890426	0.200706202876048	0.208377744314981	0.166330573438745	0.112967209774539	0.107155520588737	0.103704766147703	0.125839787902628	0.131438420539458	0.194539165951828	0.158451422983077	0.121811591216071	0.115312611432419	0.0839055806477937	0.151078393686659	0.203618419245188	0.171471175133183	0.121039232491621	0.0903369910006219	0.105562521777688	0.147376283974523	0.225317887938177	0.108390070501843	0.107959709863497	0.101122718801931	0.13985122467459	0.129986100439881	0.14494892505393	0.169812171662638	0.190110810912984	0.14266964849194	0.198532890983146	0.139361688275595	0.0976307048898966	0.104652903950504	0.104577315693224	0.0719952336985339	0.157760599744844	0.0988734790005471	0.109507320504738	0.101985049199039	0.0896504446681117	0.129098901363671	0.0959746132213778	0.0949755203622718	0.162169469370202	0.0705559131685487	0.131099901698512
CL-127-BL-2	0.126380228460554	0.157766764459226	0.123319816399136	0	0.109419426984312	0.127488073491431	0.122119732427303	0.140566907867787	0.167730763701314	0.147624093583938	0.119939847515507	0.210658822931133	0.136071498514969	0.158442737149616	0.135549754849072	0.117378335943102	0.147476106041619	0.163939224903207	0.170202746406118	0.126157890561873	0.195120767455591	0.162788528741681	0.133111156427762	0.132967705070512	0.161173411813373	0.119523980481756	0.13144189996885	0.125392931737515	0.201554216949313	0.133014168979576	0.159360260733478	0.116811469296024	0.157711769800135	0.145194760145993	0.159158921865299	0.231215642125456	0.137789730352946	0.152529469313973	0.10835732681274	0.137900831955157	0.249159591664436	0.138679859735996	0.110884737337562	0.173882528814559	0.159087067232425	0.162991822899355	0.13207770623774	0.146789690370023	0.186773627810394	0.154323094157882	0.159749257387457	0.147542349555583	0.116150660257285	0.130748611961264	0.11302988188741	0.12386694141011	0.149120647013759	0.113313505063923	0.10307874413631	0.0998461586936753	0.110010076941505	0.121040616470774	0.115900001475352	0.102187794823501	0.138244457992608	0.11523644881461	0.111713808096142
HLD-112	0.0820449426802673	0.101992663293999	0.080758835458181	0.109419426984312	0	0.131229924986397	0.0952458395527928	0.114400398821951	0.146343253481013	0.0892039434820915	0.102070326896741	0.223436572365637	0.116359278896687	0.153228464033455	0.14516960544534	0.115352169090737	0.113307742126046	0.198582776060816	0.157090174414527	0.0733052515872746	0.190005012349156	0.188345663115583	0.142047938097567	0.101982056845638	0.122116954308846	0.080130897814393	0.107508745749134	0.100823095294333	0.181281720567424	0.140991844938499	0.133484029777372	0.0560636492658555	0.10649662567816	0.157341497903848	0.201210840395437	0.188136111208199	0.104234729595231	0.0989810205462735	0.0809938745436315	0.121099213747215	0.255398216457171	0.125756049312878	0.0877374596549014	0.133847075553897	0.14855834408187	0.130384725225378	0.116898429902475	0.153681342905353	0.214034924437694	0.15072614320439	0.176860976543233	0.120531554449672	0.0798325503126796	0.0839690599525692	0.0852635428837247	0.0664538324701062	0.155227409441997	0.0769337424508407	0.0922352880392033	0.0776735591114929	0.0754231726609912	0.108543034016776	0.0819788963491233	0.0739242921580856	0.145468715312923	0.0742149163299039	0.111193577043025
HLD-85	0.135083771952875	0.148502304161062	0.133987397056402	0.127488073491431	0.131229924986397	0	0.13707116839329	0.143431722397276	0.155354069112923	0.137895423345411	0.106585478968894	0.264350924008841	0.175137700420481	0.160023699891055	0.0545202494124218	0.158142243783322	0.159520798658816	0.207802913620762	0.161204714963739	0.125404637020246	0.209290502205715	0.217720063939659	0.187936704326347	0.139417879545487	0.126351196047001	0.142878821227687	0.144015504125809	0.157480341906184	0.216618441747658	0.185730560437836	0.130341311858763	0.157147580909873	0.169266229280641	0.163158777913921	0.211538272275874	0.213081731681301	0.149171838832111	0.149799001224981	0.132729266407568	0.175362120362336	0.233799680747916	0.148977539520786	0.129607007844612	0.170885040371634	0.18828444969209	0.166032927072748	0.184484153467011	0.202397438496342	0.195565825959629	0.172152425494922	0.216569013797224	0.169883789173713	0.138210957140875	0.135113600122539	0.149116492490013	0.126335316738465	0.161191290450346	0.12965356786967	0.135203621930552	0.133303340924841	0.13382674411063	0.162410290201008	0.140100637844933	0.135022494650829	0.192212362776484	0.117173204883695	0.161369739794041
HLD-39-2	0.0914266424244709	0.134595679314877	0.104960973541293	0.122119732427303	0.0952458395527928	0.13707116839329	0	0.125197014914169	0.145406762624114	0.105759101289524	0.0927145658443624	0.23688710145826	0.126781220632094	0.157035528249749	0.140630335210628	0.123183484264782	0.139574207568041	0.189201703940603	0.175670686387376	0.101834224971598	0.193748640778007	0.189438299683453	0.144949379977122	0.120448430137591	0.10954954285353	0.103513337981226	0.122145200558087	0.113044180106508	0.172007990343148	0.113454259201381	0.105283991800218	0.10400764305149	0.144371162110209	0.125341709840441	0.1818261375824	0.199633476709595	0.115160680416789	0.117970877560379	0.109335385741839	0.120009113064111	0.272393118616991	0.116662318217216	0.0996785090417577	0.152494700715953	0.143771179171095	0.158154798410786	0.12623217396393	0.150566651437865	0.219859709004115	0.13326896852964	0.189064691418675	0.140190972096206	0.110159144161122	0.113259917584669	0.0984446181260159	0.109768942053039	0.176107542802045	0.101360767611884	0.110557146562509	0.089438891170276	0.0871818295893611	0.126145629766052	0.0838785539714145	0.109038356559745	0.155094825073514	0.0886752573189303	0.102510054010719
HLD-50-2	0.106418153256011	0.0740166284648768	0.135095274172621	0.140566907867787	0.114400398821951	0.143431722397276	0.125197014914169	0	0.184266484110725	0.125605354684044	0.143164092319538	0.239389118580237	0.119341068336547	0.205898387482545	0.156208968776716	0.134928787285444	0.17453530185045	0.226747455995295	0.154820158753368	0.109202393120077	0.162038778779167	0.196986270768217	0.121837677157627	0.14660135462586	0.164678069324462	0.106371147349615	0.151466024587703	0.104282013336094	0.157338649438598	0.137657233029146	0.15087086820081	0.114342363694958	0.162395708179694	0.169261624262467	0.213660634374191	0.225949003111685	0.108065397109184	0.142120216882	0.0850031912493188	0.121453774059885	0.276679954896782	0.146645023634431	0.127550345568256	0.194880486015151	0.201132435868789	0.185990077629069	0.13924069822836	0.115752693746162	0.231956112359764	0.133438256448451	0.188117575715201	0.103925099702607	0.0929210294187486	0.116377589869075	0.104624368122173	0.110092118423452	0.11605753816058	0.0736949514621942	0.0851198370085444	0.0945024268288551	0.110448064068296	0.0937336630567916	0.107965032773369	0.0911522394544954	0.126275985562277	0.122567141168195	0.112827978287943
HLD-64	0.152658424669321	0.172928740691782	0.144732181510184	0.167730763701314	0.146343253481013	0.155354069112923	0.145406762624114	0.184266484110725	0	0.152123549807963	0.134481187454595	0.19338943223215	0.202453796337816	0.162878096525928	0.162821201412315	0.183869951293805	0.153657350487108	0.171415393156303	0.148945014444469	0.148709751226415	0.231530400281269	0.221841392658254	0.197052622604358	0.147997863071026	0.122355886300952	0.157078021897834	0.150635935117969	0.157847989092915	0.216587464356662	0.192080302116053	0.122342111048293	0.175253343373323	0.175517739102175	0.196638078700842	0.188403124565349	0.175928085337186	0.180381908722171	0.144541187354647	0.148525857804111	0.181749788055304	0.254684813055249	0.133502776965354	0.164345592168622	0.162156032308057	0.155193122528717	0.116053429211927	0.185504629378369	0.223474641237808	0.215551334213542	0.218657424643679	0.164351290084514	0.17722729427078	0.16564047888152	0.136172251900177	0.172767568646071	0.157673247549288	0.215670482231591	0.169190610565002	0.164046249108273	0.162118749452212	0.151644129875157	0.183689152025611	0.169960994876031	0.16977771706384	0.211773132592791	0.136104492478152	0.179625391211919
HLD-111-2	0.0696371031981896	0.118928141407179	0.092439217886141	0.147624093583938	0.0892039434820915	0.137895423345411	0.105759101289524	0.125605354684044	0.152123549807963	0	0.0835314769388647	0.240889232935057	0.0821274792317288	0.159403107628221	0.146377533920724	0.127515764973729	0.102046680900296	0.214800476208716	0.144583281284227	0.0849379572517627	0.207774922673163	0.199563557087076	0.166249853578153	0.096032539348598	0.128107160124677	0.0938734657588224	0.122271565341845	0.125719273555826	0.205955188514659	0.17483629041238	0.133910348729032	0.108674721011785	0.115427090571141	0.167434898255092	0.218779666309105	0.177979105688451	0.11141397701713	0.0651636086211282	0.109634294790574	0.141433045874223	0.276414270753564	0.112706346155671	0.099201724106822	0.149098785437529	0.151171414375679	0.130838161379815	0.151104246694698	0.169602392556422	0.231805664130492	0.147405327374092	0.19357058917926	0.157602679900541	0.105874367230391	0.102009059577281	0.0902905525384284	0.0718612578827973	0.168191170754031	0.0944289334555203	0.10873956451277	0.101327799690568	0.0853628212184624	0.128522210468872	0.0809250517346625	0.102265781669107	0.166978259246238	0.0705122269245066	0.131930285515065
