201bbv	203bbv	205bbv	207bbv	209bbv	211bbv	213bbv	219bbv	221bbv	223bbv	225bbv	227bbv	229bbv	231bbv	233bbv	235bbv	237bbv	239bbv	241bbv	243bbv	245bbv	247bbv	249bbv	251bbv	253bbv	255bbv	257bbv	259bbv	261bbv	263bbv	265bbv	267bbv	269bbv	271bbv	273bbv	275bbv	277bbv	279bbv	281bbv	283bbv	285bbv	287bbv	289bbv	291bbv	293bbv	295bbv	297bbv	299bbv	301bbv	303bbv	305bbv	307bbv	309bbv	311bbv	313bbv	315bbv	317bbv	319bbv	321bbv	323bbv	325bbv	327bbv	202bbv	204bbv	206bbv	208bbv	210bbv	212bbv	214bbv	220bbv	222bbv	224bbv	226bbv	228bbv	230bbv	232bbv	234bbv	236bbv	238bbv	240bbv	242bbv	244bbv	246bbv	248bbv	250bbv	252bbv	254bbv	256bbv	258bbv	260bbv	262bbv	264bbv	266bbv	268bbv	270bbv	272bbv	274bbv	276bbv	278bbv	280bbv	282bbv	284bbv	286bbv	288bbv	290bbv	292bbv	294bbv	296bbv	298bbv	300bbv	302bbv	304bbv	306bbv	308bbv	310bbv	312bbv	314bbv	316bbv	318bbv	320bbv	322bbv	324bbv	326bbv	328bbv
201bbv	0	141.21963859274	80.5097773433911	69.5209500091236	87.2695961863193	66.0083330520587	94.3367011066453	101.186760881894	81.3792558392701	119.331908864624	60.4078734012285	126.749058166783	83.7508036144607	110.103296993493	114.383239888082	117.694186065239	129.530914557322	93.2903635956363	111.659958894843	111.638938482602	80.2107810184852	87.4881649126538	94.8687342351291	115.929194785022	139.83391070855	119.563512869227	98.2903925666714	125.757823118274	107.871572151724	73.1488143643156	77.7396767925456	101.049477401885	64.398718913746	111.747981091415	91.521762040973	91.3854899471308	125.218867591879	102.544451994074	79.2858353306803	79.0976127153264	137.54325840675	99.92446657426	72.9028384254885	116.512619066681	102.221047485323	121.499537497362	69.736845783582	100.172469617673	102.115401245606	99.8791993122987	122.772219932783	87.7166039936473	124.73226926029	68.6620327245554	59.8680222654226	97.5840719200528	139.74209840243	59.0815645227833	94.5791860821084	99.0121495084846	119.980255694544	144.026050745402	89.947324066208	165.105237378252	100.514924906351	267.57635392214	65.7461166286396	56.9059518025397	98.3551905692887	86.1388728554892	75.159780103201	97.1353636005407	88.2045926627348	116.932562877429	126.770900537981	150.057227704022	93.4535034885096	95.1718522767761	122.037080964848	137.072821491687	82.1353072863338	73.4036517595463	100.759065042024	73.8645746368092	102.145877611387	115.281539915407	137.271036397815	115.359789870033	83.8189013181371	78.1360839751801	90.7550179539102	80.8722447137708	164.966759382865	140.70083770025	70.6110668754414	106.664792173671	90.6234335963312	72.6748338765043	184.189690305542	86.6784799586127	45.8778302491529	220.488765482637	75.7302704029193	246.91675420875	59.6845180255999	121.299823576467	177.285965365818	53.8591269621017	83.9191269358289	111.232798909778	91.5082255916344	215.330180468328	98.3482528771501	79.6908686486099	112.802044039339	137.056851612039	57.1969712425797	82.0491745148692	176.506062432099	112.819994134775	120.234615767522	92.3343759306382	76.895359886038	142.821658161131
203bbv	141.21963859274	0	205.575056317413	202.411302459496	67.4775211524558	192.806678599353	165.827135471948	201.517153960701	189.674622736363	201.174400619522	129.348332621211	180.389859145969	134.934295160165	196.892116099306	205.249347704771	201.453254839176	185.063856939821	61.9229757008924	207.555123725947	187.540496819182	189.117388239366	184.677451332281	53.7266754634543	189.174179905345	229.840862656663	188.950124672499	183.445324606037	194.148504864497	200.79118696662	174.39857465066	198.777210505013	197.74781642667	193.094557529146	227.004282442764	200.476371762272	216.159760708582	205.081825895292	200.075704802819	209.690291319034	202.598820280789	206.305918472317	226.035043305524	210.107935565091	186.251524853515	205.640602513104	194.240129273073	106.895756789804	189.280986135915	189.885070444445	207.953270728022	209.111646818587	187.755929526089	195.390204618798	140.910143324274	187.005231878367	193.997980125174	16.8088097242905	126.916209420195	172.521341235257	196.28203108959	183.299666532705	54.6229543975127	219.685438898883	31.1780580798231	227.973724570402	136.30131012464	129.655491209562	177.881824291585	162.571894973812	178.440523872959	72.8117137987616	53.3169657008236	135.719098873524	183.575823555268	185.108392607076	19.4220058809272	193.515966943285	48.6681760544582	224.458898291101	66.1830213250697	69.2231358524572	121.103782683749	45.0011085902144	179.898462982611	169.062107929855	182.75144473857	220.940811520284	205.392577512131	211.93529538285	75.0499699145124	212.21589398439	165.553956285307	37.1620229059294	251.455267745878	206.752729651355	39.0321368509311	208.237831992449	73.1192683909193	69.6628092988974	162.045612240014	144.63184031352	94.2121547330351	202.926509929383	125.458197638827	148.461382203088	183.196004407515	48.7755296742154	118.780393873623	128.497518295995	194.71455132853	202.24160266909	85.1280268431664	194.091337188399	207.144025440017	197.767027838438	123.690129655694	93.3464654259176	187.867226523861	44.3166467810612	181.41191772031	189.01588045028	61.1565329793431	74.7095215865277	54.9238171170111
205bbv	80.5097773433911	205.575056317413	0	39.7327513872427	151.943039695456	23.3553591217761	67.5476666214757	66.0178204568452	47.1182669472138	86.0662288532765	80.4669120791266	88.5631782050248	81.4573219688528	76.0228236847901	81.1643149088317	91.8904502324019	93.1423781730151	158.683462588925	73.2758853081814	79.0029646106953	40.8499265508708	61.1023032647394	160.226708250358	83.0804782173024	104.004293687774	86.4342573966977	54.6914471226812	108.023337801734	71.178115907944	42.1650234225648	79.609659667531	85.6500424328813	98.010985500748	82.5688986225034	61.2605269843234	66.4139490780836	119.091949810219	78.7004152470823	43.8461094079098	77.3422183382893	130.609828801926	100.690100427624	41.5316652886947	83.1804586522492	70.2847171301593	88.2593176029448	134.730063823274	72.4918524032036	73.3845144874156	66.6233101263329	89.7509751425489	46.7317099057822	88.7984877924447	108.051387944684	39.0656796198032	62.0948225197624	205.010942317769	99.5732785622901	65.5314289281476	65.4295600195302	108.248152991056	210.398657310125	21.1164399019711	230.261669701288	39.7405147744017	332.378501167113	81.6470307522972	70.1944016412702	78.3090528357204	45.2483533983562	140.572190858083	161.144940256056	87.6744159874801	84.8833772817698	92.7497056191726	215.080563193244	92.2060520241366	160.756569933792	89.7474265217147	173.783442995646	147.014946752599	111.387343481656	166.518022958989	67.0357100952003	68.3957993811082	82.1336218637256	101.816308898337	83.5599390979177	37.0523701075886	143.01559042544	37.7903681076531	50.9173184770548	229.474596040871	145.235353953292	96.8309514420513	171.067597943891	63.0616897654958	142.370662593455	255.565609524317	70.4144632094864	83.7082769145904	286.095159707365	43.89501295465	314.806230358493	72.1067397128472	97.8440706899085	242.818473716841	91.8182027686872	117.070980903649	91.9470694681325	73.7016110621148	280.764676235505	63.9846263032711	46.9334023416802	76.3857150453803	161.106425359463	122.531441644216	72.3610918801188	241.536050012971	84.395818214909	87.7671160971145	158.28690561783	142.480456276469	193.143572119014
207bbv	69.5209500091236	202.411302459496	39.7327513872427	0	149.318234928246	35.0734742334082	55.0021251901132	56.3198847694444	49.2836241662473	85.6131962913202	78.2968435613492	92.9638413661828	74.8262560772967	71.1958818470974	75.7293735355705	81.9590696487395	92.2084462953154	154.546986271983	65.9648602557204	78.0352445047059	46.9249871519458	57.5337464180762	156.549941690043	83.6754424100838	107.741728401784	86.0788139140786	64.6487464561235	101.779686464337	76.2188634254478	40.6867051910524	61.2287275106808	71.2693173425139	92.8763058843224	68.3478856241173	56.1609366086546	59.6904297374476	111.856014493386	67.109290461896	54.6525947117884	68.8804092371866	119.22611645194	83.7600197144056	32.7432509741345	78.9776366976483	70.7625089794926	85.8124163544753	128.804973233642	65.6855388619149	62.5617503529249	54.2824724095036	86.4269770969217	49.8047847644785	91.6312437223069	102.709627534928	29.485637339396	56.7356282736712	200.198322870409	96.7512436053029	61.2230426063505	64.0126292575012	100.89252045508	204.999487937893	48.8699686561097	226.393399584314	51.7023240094534	329.232494042157	78.1428171991248	50.5014634660001	71.2066958535611	53.0149593169674	138.799045340617	158.270402871742	86.4830215279085	84.6229976768947	89.4305791640715	211.581212637309	67.3582358580393	157.31588368557	86.1780390509783	173.174648809573	144.046800531165	109.168140570808	162.054769747037	60.8775084410454	67.6686754589409	82.2687781376197	105.17755858234	82.841917398696	38.0071747614577	140.105243339735	54.3665811216404	53.6930553042751	225.754390892067	139.987253675064	97.4366453709285	167.64689856395	41.8767701580186	134.070800095588	244.65042146985	57.8239191568004	76.8695185394579	281.353927591108	38.8749014190922	307.825710545792	72.5988697957769	89.5152921768027	237.982454839037	88.2908628376472	113.756317960187	78.0421236733402	53.4707850993858	276.623128512757	62.8797406940591	45.1502801522688	74.3433464288665	156.422081025059	121.010765372376	57.9114193457294	237.68785001702	78.6871662223513	86.3742025991251	153.308193094692	138.683556231115	189.23949862201
209bbv	87.2695961863193	67.4775211524558	151.943039695456	149.318234928246	0	139.498418588053	154.603817371888	160.126102694499	140.505443523128	176.121835346954	107.330361756764	179.828079903761	135.075779849853	171.730890218804	167.620449649881	165.373209602298	184.028428819447	61.0074020344623	169.562197356305	169.143193919873	131.756313217616	133.062970011556	55.3799010783124	171.46095509376	198.626746090246	175.961605908552	149.20011695973	182.804955295193	162.30820473981	126.331742842337	140.277506697429	159.380795326962	128.124629320849	179.098016478729	149.12791607589	156.241406849956	180.32396080443	152.532079272004	154.072582659038	141.249864771725	186.62733470741	166.519576845588	145.259125228714	172.329543053314	157.43452731545	176.937852050901	107.753912374812	152.499526440166	157.300827132004	153.954442463887	176.487980573306	137.806547053059	179.938945619458	114.241293739592	133.32134906109	157.431415023967	65.2079620976962	106.146279159043	148.993769325295	151.889708662527	176.675383359822	90.7583267529599	165.971071886441	90.1620572684375	172.566288964678	193.122764533852	113.426891458844	127.477627889084	155.875964906605	141.395423190209	33.799601487999	54.3236511949726	134.044546695915	172.965883083616	180.883820562303	76.1200015475491	145.809175252085	46.4767155565394	181.858459550249	86.9246805659421	70.0999111064629	119.8913285933	47.6774649388486	121.998458375736	153.693102244069	167.701925106531	193.803911092317	172.896416295215	157.812982785108	76.0171588644741	159.57633867735	130.171303027742	89.8014032656702	207.953830302517	141.594597480451	36.3189520313284	158.531841113749	51.505321828362	117.578791249602	143.342501357598	96.9172932484597	148.211484466706	146.305478547828	176.188489352589	104.991080653367	168.721624940446	102.826492257885	99.7710244914915	129.522387480294	161.640999017293	149.520475177223	141.524652275458	155.244993455321	149.449447763083	170.223634026747	132.353446145499	46.8423488211411	136.361045725643	102.420147532699	169.937205103051	178.131969846925	61.112440558563	75.0075227288034	92.1136037062991
211bbv	66.0083330520587	192.806678599353	23.3553591217761	35.0734742334082	139.498418588053	0	53.9923943195823	52.559753712273	29.4483584610077	67.9633441133722	66.8788144979596	69.790542985342	65.9588524481683	60.2614857361879	65.1875163434455	82.0334419272638	74.1311088664484	145.148922882183	59.5533367085203	59.9400556186294	22.9790384732124	44.6632339977099	146.495199551035	63.4558465925985	84.5675272077139	67.3921847377418	39.2204433813684	90.1755639618616	51.4496795160133	30.3422667188085	69.7368822386587	71.3386726768327	103.924107414821	72.5051614611674	48.8848193084021	62.0518761501623	102.120448366663	63.1785887727635	55.8851730037503	67.0754909572147	115.237106918642	92.8559768827612	37.4387986997037	65.0330098955707	54.1374286946544	70.4673640232167	118.06752364192	57.667609119416	61.8016492910785	54.4111718249815	71.3225805026091	33.1678719115815	69.1682083132105	93.6970294796258	27.8302308834833	48.0675544954095	191.160143762922	85.6878262579169	48.5063532420975	47.980944671303	90.4331299704343	195.986014284598	37.8665832205544	216.678048055521	57.6290972134993	318.251132664001	68.7355164554138	57.1935217529519	59.4486053711588	29.9081827393301	128.321808725608	148.594670714769	73.167180151357	65.9735925599229	76.4811261836848	202.050149689207	81.333520051165	147.081373907924	70.6575963606769	158.82348688075	133.442677287881	94.7921987883157	152.552037034009	50.7932131600776	51.177964532974	63.4262651430264	82.2089778654428	65.1348262298833	24.6460419283234	129.606448886894	26.91480915399	32.4470282103886	217.330120133976	145.671227138956	113.410273509396	158.8099328177	54.0878324554711	128.198662975191	241.51178303086	55.3179661842666	68.5558330904905	273.481668996517	36.4708964345427	299.837108352817	57.3203687327863	81.7543396646974	229.549428451739	79.9457253867319	103.581498370975	75.6717822797878	63.7028912893302	267.439586946595	48.5305999073476	28.4984640566434	57.7184878122072	147.235043636231	108.798496455062	57.1153860495324	227.875905579277	67.5166617771591	69.7377280393072	144.65322595209	128.867222769336	178.624427035258
213bbv	94.3367011066453	165.827135471948	67.5476666214757	55.0021251901132	154.603817371888	53.9923943195823	0	47.1167448450971	42.2342128004353	54.5226869938523	55.244220610209	49.4213282380587	37.2431499776606	38.5584516262386	46.7250834893952	55.4431529956726	47.0352773105399	116.927685416282	52.0660776220993	39.698836069746	46.0045110378719	44.6625077410797	120.035968479854	44.1401504857185	87.6598295652274	43.7101804748597	45.8552767132535	62.6114989922926	59.0823972082113	45.9285011634125	71.1535852326508	55.2442491729855	127.677756709393	66.5237605286507	43.1527255675764	76.3559769103559	76.8532118820926	50.0622948458335	84.7923351057722	82.0451305139275	76.4526948660608	97.0778253336843	59.5230584741439	31.9610009796705	57.5505511308294	38.342730969663	92.0946784206402	38.7304668976697	40.5105311009907	49.8781274765715	52.3443209028702	39.7411620783566	51.1294981713069	84.5018577207902	55.2273715571361	36.1440746715242	163.702407778405	79.3687302265106	25.425114813398	43.3117959363581	57.7243302871772	167.527273041459	79.1281909468255	189.107422454227	89.2078708585961	292.288453736032	45.5528192825418	70.3734380104341	26.9414763306284	35.5232582067953	129.186337073388	121.027278921454	45.8428301243819	38.0930727791011	41.8723337780101	174.44151337775	63.0594959359927	122.647101018478	71.0757101975041	132.111620025822	107.354887310588	68.962639597907	125.715772077602	57.9160021400673	25.9173780668334	35.3935263464051	78.5499818228139	58.0311921485327	70.7345689529782	103.29156858153	79.3525317594573	39.5273851306427	189.709867181008	143.770583568323	134.727189420066	131.025140419802	57.9688709618269	106.338017226282	207.958741180642	21.8650039180141	78.2429139260348	244.271592906463	66.9158169614058	270.429035801737	64.2501655895478	46.0363847288757	201.604887574462	59.3931624931501	77.0210205690732	48.7921643017121	57.8244556331583	239.994221236887	39.3713342854065	52.0664798694382	46.0377181988663	119.972665956208	122.962685196655	51.0326218013282	200.798117963295	31.4756139166356	38.1136361590624	116.813396387425	101.486096641621	151.661716089352
219bbv	101.186760881894	201.517153960701	66.0178204568452	56.3198847694444	160.126102694499	52.559753712273	47.1167448450971	0	30.7402112399278	38.6167301877323	76.8500610388217	58.2075733445969	72.6352750403815	28.8804715450048	34.8724002976884	61.4622932281178	63.5212927891821	153.441834833611	24.4342914214043	31.7928410700164	31.5512266790818	36.1918535588442	154.950065723066	38.7975286558533	71.3047380725466	40.8977639997985	37.3407718078378	69.6526374248879	35.3236954602567	44.5426508721923	62.225044256938	57.574079946503	122.039633908873	58.363481554998	37.0435260914751	70.2217860255875	76.6177763082443	46.1423028419568	92.1949432304639	76.7850811506282	92.1236633612775	90.1007625271704	58.4700277870213	41.4895366817602	40.0754802260577	42.3391881707862	125.899091095855	33.2110245048584	51.8477900929938	27.9775140438511	37.3556461206202	27.911088839371	48.5674569279513	101.436270711203	57.1581742157112	17.8413414176074	200.272760387872	96.3778818676783	32.2860441376263	22.5246772636184	79.0709693685672	204.306405322816	79.8607092505596	225.68969617977	93.4448949654821	328.265192379275	76.3129441049226	63.415472775106	53.676734765303	32.2219053816403	141.515722887097	156.579774900206	80.7508224892128	37.252869382641	59.2467522659392	209.879594258157	46.5593330735023	155.903585169189	48.3311280573128	166.607650144438	142.524141995524	103.57232897592	160.785377152295	51.9339319927227	37.9169140259045	31.9577723995548	62.5379605399041	43.2942731894372	43.4525849419624	138.468982081534	61.2211984149202	44.6040711053652	224.35762050044	145.366854706699	122.231025539235	164.703039911681	54.8049419099619	130.81578617705	242.14813477816	44.2854534416284	85.5938440770462	279.744972358463	76.0042697780587	305.186056221616	72.1703337580334	60.3755628828751	236.515173404374	87.1002449307064	111.434702653007	51.3330857905086	54.6961499025516	275.575424948456	15.5983542327568	32.5612265209197	34.9113936919632	154.343006903135	131.834509054954	42.6712569186087	236.779831209632	48.5719446390157	46.8585604481969	152.197043395529	136.870641440664	188.248064112018
221bbv	81.3792558392701	189.674622736363	47.1182669472138	49.2836241662473	140.505443523128	29.4483584610077	42.2342128004353	30.7402112399278	0	47.8147955296043	63.9797081718936	58.3672530010965	61.4855242076581	39.5142193371734	48.6574224744809	65.1957351433341	61.1040740295968	142.051456071552	37.253770918726	40.0568644384477	16.0986386140137	27.117630050151	143.508039885436	44.7447812248863	64.2796278633947	48.1110111678295	27.627866336409	68.4576264045701	30.1017820888363	26.4555390422866	62.3928437315963	55.0333759569889	114.378908051271	65.5273546368466	34.0023347210853	59.6733450745933	82.8408322434866	46.7766587587462	73.1490156915657	65.508925296466	98.9569748177529	87.9926659377718	50.6030440847485	47.4656971729217	40.2424352505806	49.1745502411577	114.188436309972	40.8292850946108	53.2701078984379	39.2938452370934	51.7835720592232	25.2234420593774	48.548310675854	89.7759390770711	39.9409109300526	29.458345352238	188.308173816765	81.9332902414728	34.8901633982476	31.9917925606701	73.5477900011552	193.420741750101	58.7786098470725	213.494613476175	79.0706895029543	315.926309985228	64.9302358990891	52.3200406667517	48.0928058102375	24.3370467257413	123.089645518078	145.104002263892	69.8494921617415	45.0312871527928	56.1727257768019	199.006826375901	63.1516354980992	144.028957531038	50.9863715237975	155.17084178005	130.78573238012	91.8048741996013	148.900363791345	33.6144318181989	41.3505926503288	44.7532041160017	60.4877847865336	45.0109816289439	37.7459536531551	126.924586721414	43.5548638749739	26.8497139754146	213.730178527465	142.456984033475	124.074146300937	155.359547800246	48.2235695810258	122.897165762757	235.071090124094	41.3953488931442	65.1271631420041	269.98864918484	57.1187783429727	295.76138532639	52.7435066709072	65.8373186252752	226.402194275129	75.617434319759	100.325994654909	58.5727460876266	52.9683987352379	264.586659707385	28.138446442401	26.6316785707343	36.9333084048778	143.743701280035	109.040236696674	41.2001885537964	224.915912048229	46.0959790513926	50.4182950903395	141.54507679445	126.099740531495	176.298301981783
223bbv	119.331908864624	201.174400619522	86.0662288532765	85.6131962913202	176.121835346954	67.9633441133722	54.5226869938523	38.6167301877323	47.8147955296043	0	81.1904548687521	54.6969285565087	71.5998990447491	32.3050834556115	36.3240259964889	54.3100158330117	59.9366910620069	153.283897289513	37.2925114838722	30.4095657550352	51.3287492127721	50.9404719422824	154.76539585178	21.633685126348	63.7110749142341	30.6163857216298	43.2134587537709	51.4954559399296	32.959747800843	68.7243077441527	72.7549835219885	53.1686847427832	154.981618172596	68.9482315900769	50.4815051648735	84.7994859193736	53.2406822459785	52.9900068615774	104.382038015227	92.9246927116797	66.6114911754124	99.9421484246731	84.3146927219823	29.3467508739047	41.3892708628712	35.3838768138924	126.115963820994	37.6643510844092	66.8235952663094	49.3815561086227	35.2123039176694	52.8373504575026	35.0834754156242	104.320051831867	82.1751579257671	38.4892372206605	199.613354995001	100.260967868837	38.8573759637714	35.0441912089647	61.1930969619128	200.613240797172	101.811038849308	225.617801304045	120.441808312789	327.526722821082	79.7487637023998	87.9354319310833	51.724735141042	47.3205181486286	151.187855050875	155.973090135751	80.184118324162	38.8618014037179	41.9890130271884	208.823422866406	62.7122064806461	156.998344305065	45.8612704753258	165.871911342691	142.258337630141	103.444336898137	160.7024636783	70.530745602405	42.1126096047286	29.6675734524939	55.2068603920098	22.1494509714402	66.2017261655981	138.062434769043	67.8306876678779	52.455282772504	224.029315849124	141.001472561359	150.12237999654	165.22598463513	79.8382038715607	133.513199555854	243.32834130685	46.4945879141402	96.9125108494924	280.997803032537	98.4126620624059	307.391134755567	83.4736881055506	51.1248181615711	236.122923913823	88.7869590887952	109.806944178268	44.4801157391457	82.942823744526	275.193256766495	35.5905359902205	50.5497473838956	34.4288039587856	152.843848259867	143.173916853509	51.9629088780363	236.067277804259	35.9862176231727	29.2135551645376	151.369792902924	136.49838515281	186.708251987974
