201bbv	203bbv	205bbv	207bbv	209bbv	211bbv	213bbv	219bbv	221bbv	223bbv	225bbv	227bbv	229bbv	231bbv	233bbv	235bbv	237bbv	239bbv	241bbv	243bbv	245bbv	247bbv	249bbv	251bbv	253bbv	255bbv	257bbv	259bbv	261bbv	263bbv	265bbv	267bbv	269bbv	271bbv	273bbv	275bbv	277bbv	279bbv	281bbv	283bbv	285bbv	287bbv	289bbv	291bbv	293bbv	295bbv	297bbv	299bbv	301bbv	303bbv	305bbv	307bbv	309bbv	311bbv	313bbv	315bbv	317bbv	319bbv	321bbv	323bbv	325bbv	327bbv	202bbv	204bbv	206bbv	208bbv	210bbv	212bbv	214bbv	220bbv	222bbv	224bbv	226bbv	228bbv	230bbv	232bbv	234bbv	236bbv	238bbv	240bbv	242bbv	244bbv	246bbv	248bbv	250bbv	252bbv	254bbv	256bbv	258bbv	260bbv	262bbv	264bbv	266bbv	268bbv	270bbv	272bbv	274bbv	276bbv	278bbv	280bbv	282bbv	284bbv	286bbv	288bbv	290bbv	292bbv	294bbv	296bbv	298bbv	300bbv	302bbv	304bbv	306bbv	308bbv	310bbv	312bbv	314bbv	316bbv	318bbv	320bbv	322bbv	324bbv	326bbv	328bbv
201bbv	0	0.429454580350727	0.330079997465717	0.283876946267522	0.311563282153409	0.317275684079868	0.44408783234304	0.478064070782084	0.383712141066563	0.564802931192544	0.252242151014039	0.741905452476946	0.416413491847223	0.569556573974367	0.520917707496158	0.496307717279118	0.685703742248959	0.314103565444942	0.504312357356851	0.581398352249493	0.368039116238543	0.36851473704135	0.291009016289787	0.584229204311166	0.584332537666877	0.617454414472977	0.515105280157234	0.56646869879609	0.518233392013729	0.295101604397732	0.315264335281461	0.398229775678494	0.195866701047095	0.434479653272125	0.38173765558661	0.358060158707568	0.4941222030716	0.436320438080026	0.283482920628213	0.300198623381145	0.512395827457323	0.33800578943393	0.321659870690292	0.580489232232723	0.431455968467968	0.607008874619601	0.250422235905162	0.463178029328503	0.444420941790196	0.426183503069369	0.57037664757378	0.41345830425303	0.648127528426338	0.254035345502941	0.276444273551795	0.473411347901108	0.447859077727195	0.2413912305643	0.44795927309506	0.479857174370297	0.518444388148834	0.444682602961118	0.321960716742566	0.498307821461613	0.379069858945077	0.599156272588567	0.263035433281128	0.210810407510669	0.464251533656488	0.43711590862763	0.263395230837228	0.315635921794885	0.390134932777447	0.630706757654091	0.642275542290984	0.430635602699016	0.377852921813832	0.34900797041184	0.559563769142448	0.448839767228202	0.26648938281791	0.29909424667812	0.3194890640363	0.287578949917975	0.531357365711418	0.571444899271241	0.590200623958882	0.487597990198196	0.409027279105655	0.268737139388294	0.485750171852516	0.37267050108443	0.483725818925058	0.375512709793604	0.180537137085464	0.354436872856364	0.387323662296772	0.255699570834768	0.43073976877162	0.400442847732715	0.19070830803084	0.55557361056334	0.301017120524645	0.552099091804335	0.223172153718049	0.557723568893353	0.459823748327139	0.212493673816119	0.346095250674792	0.463092961006039	0.360730855573108	0.526395452611821	0.490099319733209	0.374409109503747	0.556220598105014	0.465766488473622	0.260868181742247	0.327796022364823	0.496562918004584	0.52998336763275	0.604838678535935	0.336944495079595	0.28419897482003	0.477683035087849
203bbv	0.429454580350727	0	0.71483717989923	0.680632282425231	0.135159745272798	0.706037777202487	0.648318503566755	0.76491977112553	0.730427124846057	0.772917244833472	0.474107647449602	0.846629908075611	0.577938248591593	0.814153230413262	0.772040251986086	0.699134591663174	0.79980114924634	0.198942909483348	0.820780998188521	0.817758869717523	0.750236448552141	0.702928592258989	0.208036055104763	0.804059799442947	0.838096017125743	0.827021135367951	0.786297067353547	0.743128786800745	0.829968113842922	0.665249848545146	0.652630265852362	0.66346482142272	0.502880184379041	0.721648309818698	0.728091006859644	0.690008697471838	0.710929862076155	0.713339819335513	0.657539871303431	0.640602297487323	0.661082727498301	0.655014810268301	0.719726842172976	0.763008060251605	0.722710466681392	0.790886062537823	0.354313413056023	0.731130105022086	0.704375969328303	0.744502912420484	0.795026780783285	0.725843070941911	0.815975783664892	0.461590736003395	0.650174340303356	0.757549099637072	0.0904814766396305	0.380912974371304	0.682870918168008	0.758214724095322	0.675034898565243	0.157236780447927	0.705952494462111	0.115901128690322	0.717293414984074	0.279481633831511	0.475854085582233	0.534315574996832	0.64614380781791	0.719078123750535	0.197334811581744	0.190419388611181	0.537375693728246	0.792665110911509	0.780500127753446	0.0549245872854665	0.641826866420275	0.112842720092024	0.84861796036802	0.208300303905004	0.253623664511789	0.431983004259007	0.158518854577766	0.645357326372577	0.736766946678202	0.760100630085526	0.838928782143354	0.763575879034928	0.810517419810582	0.262216810034335	0.843516196525467	0.672129870902926	0.115412636918239	0.619989634859655	0.510282618837683	0.108188525080792	0.695083792709674	0.216260725995803	0.0985675039067907	0.631716089729639	0.485796649879908	0.224762522313125	0.679269011750537	0.242434147556194	0.500729693552121	0.712107329783306	0.0808880560482614	0.433673112463842	0.455850239063308	0.703167063683636	0.693824311350946	0.162798986127226	0.77877409335734	0.743470577919963	0.832518780933972	0.386059950459142	0.20772021260414	0.631654393890666	0.110485972111011	0.699757503182866	0.766851237099506	0.172552246634714	0.242144709935069	0.185928003043959
205bbv	0.330079997465717	0.71483717989923	0	0.188608834800807	0.580857005129373	0.135209073603955	0.38533913089833	0.359717617609965	0.246556998643021	0.485713273794859	0.440095807192679	0.686852247047024	0.447539948206991	0.476075693788246	0.432130679987872	0.438681861695951	0.628278970687381	0.658392655678271	0.377177986554909	0.496569417769299	0.196287285446146	0.267264326521595	0.635605694050607	0.50395143308585	0.503815847936874	0.544445971649481	0.349571113112408	0.571399617885561	0.397211990265287	0.165625289448725	0.307745698294456	0.389815318326172	0.384997292269769	0.368382038459947	0.266931012774897	0.287165605498153	0.498727458663815	0.366567837078827	0.186801051772557	0.312550797657816	0.586859107599041	0.380331332789145	0.177885818203235	0.496897407444535	0.330509576260467	0.531502013895031	0.610136960014059	0.361320955126902	0.333803437455466	0.303854974043148	0.492722770486337	0.245192877086477	0.568623336040926	0.482166958890473	0.203407670670505	0.343973648960357	0.740508795493473	0.52279181332121	0.367918127321542	0.373087700544709	0.582190871582894	0.737170403425468	0.0756770065165216	0.758371158739203	0.181436660454295	0.81169945021516	0.442302646425593	0.362882502876682	0.461142296667492	0.270765963083796	0.560736230852975	0.654115222273945	0.504165601737778	0.566263872628682	0.569258681532885	0.727737665681836	0.418838500535401	0.660838684339499	0.484030458343278	0.68380989990341	0.62436861543948	0.580234707939829	0.648708635277288	0.280683230919901	0.425595452799968	0.486396272188201	0.510096629089318	0.402010774458077	0.18746155920726	0.631732766552632	0.240709874739151	0.267397205496218	0.740517826590305	0.497858047495957	0.359669456470114	0.659296015546988	0.290965815927693	0.586496099361428	0.707157997774716	0.380587438964318	0.396131819418503	0.785840500830561	0.185883767224626	0.779002156879451	0.385835387734279	0.531505767420836	0.732594958319934	0.456312969096687	0.574018449602288	0.416997033931276	0.287029076447896	0.777041379509176	0.372677676320593	0.244670592212735	0.447081035180598	0.647338407127254	0.559637771320467	0.355967216063927	0.764128930086309	0.514825952362736	0.541964760792956	0.678551764683637	0.643363332871918	0.734752203871221
207bbv	0.283876946267522	0.680632282425231	0.188608834800807	0	0.553105658077024	0.191034578443664	0.29118055298223	0.293110623653188	0.248909371704144	0.457268992262781	0.405203479483877	0.65869511074389	0.379582346038759	0.424079154901694	0.387923501077468	0.382245774842117	0.577351792058349	0.610369886286774	0.321957811882679	0.464610732148101	0.224906155835662	0.248757861949006	0.590915175303914	0.482059826285908	0.500753989700148	0.513638913761257	0.386675467388962	0.519787515631408	0.407390373419015	0.157947540819852	0.239984113120912	0.308543650228645	0.342975994188428	0.290944008670844	0.246110299519616	0.255778978346662	0.454299073368405	0.310919498885196	0.215488163421789	0.274920485297605	0.519034785837132	0.31346790901929	0.173841324772624	0.448274594109039	0.318249496684126	0.490957901619557	0.557925744626363	0.33573778998386	0.292945857669636	0.244042771128837	0.453097959785192	0.254462230314565	0.553948490630974	0.436620510529423	0.164917003764532	0.301298794446746	0.700728065270851	0.486166945601182	0.313499703024447	0.350925976531884	0.525753048191204	0.694898301814598	0.185284585605109	0.725550253070572	0.222583218805533	0.786107180413732	0.400454441326521	0.262522605600857	0.40627618516674	0.301858259304143	0.533342284300556	0.614621997379602	0.465512726398515	0.53384102930335	0.526490387019781	0.690977406033154	0.293010599884238	0.623629312612982	0.445567654877929	0.653608703049486	0.582863490226743	0.535714070547016	0.604768432202458	0.241691468845184	0.401119294561076	0.463465915339504	0.504741986979695	0.379710395729048	0.229349248844442	0.589768391550396	0.388371647644607	0.273495913800141	0.70863033828395	0.442334261612033	0.332844691274003	0.621968101053451	0.190423523952456	0.531056392419757	0.655398100259331	0.283835670423607	0.345178456089283	0.754294029397592	0.163021848133312	0.743781806924537	0.371663698198957	0.470579904715789	0.694523137678977	0.416461789853663	0.528436675491841	0.347919447834464	0.196828344409993	0.744839128987683	0.350742349477757	0.228726980451174	0.413624734086476	0.599648548995405	0.5326937743945	0.274994267232255	0.730039635537611	0.447230005387805	0.497810500916579	0.630303669429532	0.59877162573402	0.695381336837638
209bbv	0.311563282153409	0.135159745272798	0.580857005129373	0.553105658077024	0	0.565377817460561	0.612983170351854	0.643099381583133	0.589176335904796	0.692014487045156	0.409835530824396	0.839916410320488	0.56724142756918	0.719926635160102	0.654899469073869	0.596466413574717	0.793283390113438	0.188900577831659	0.70693505927157	0.717794157178755	0.586995494178352	0.543906773717442	0.194881696635999	0.707611818952554	0.762403970063516	0.745167120356918	0.650933663003758	0.689500859361421	0.705249311305435	0.537028459751525	0.510427091974472	0.567810187037061	0.368597682744365	0.61512374218924	0.593856768064403	0.547094341225079	0.629256315692495	0.591565225187153	0.527799783701787	0.491617443880775	0.604679748379091	0.519232700397572	0.557816949749062	0.704181282175949	0.59364617779628	0.723916047641912	0.344295097814809	0.605747388399678	0.584524485326629	0.59604907393994	0.690409592519137	0.569513734522581	0.760067005832473	0.374515176190005	0.515672923685817	0.633435096853155	0.147990591862961	0.338390279561072	0.592488930019603	0.63638120107899	0.648210156419666	0.208451217955893	0.576790240065551	0.221223172882545	0.593605937083831	0.361914400215047	0.421770014972847	0.418121745189342	0.618595833217096	0.597744643271769	0.109567607346252	0.183097335580661	0.525860916169274	0.748192591670128	0.74855329047247	0.129606873706612	0.521555231965696	0.108427254872026	0.741879649695781	0.200403777349869	0.244617140432666	0.421719095044243	0.148574652220376	0.486623598466262	0.652653497715567	0.683819082625822	0.763818126860577	0.670135839152586	0.668417160013239	0.255903847036838	0.708295168838126	0.544976365044438	0.208000701058746	0.536479460100214	0.377601348243342	0.0898674245713386	0.576292811894025	0.15605418785226	0.17491833621636	0.560375603126145	0.370945775906293	0.309582447694892	0.543303899731846	0.316184286528532	0.374756050014215	0.649813165288692	0.176962591485128	0.36818784444462	0.453126820299006	0.595552252110721	0.55828646484245	0.259430846942819	0.645084421182417	0.589895062759909	0.727111271815938	0.380652452023121	0.113651405268378	0.497982383064312	0.215514527009926	0.666344880915626	0.731830787119426	0.16459796541961	0.235266469831498	0.224818497353956
211bbv	0.317275684079868	0.706037777202487	0.135209073603955	0.191034578443664	0.565377817460561	0	0.324857705726566	0.317434052411375	0.14929904007743	0.41921576545361	0.392674028716946	0.625345750402042	0.378329743072738	0.424587750230006	0.381432569908146	0.413186337405975	0.558949432111552	0.635116066019821	0.364292840444443	0.417672222178021	0.118430472642883	0.202948961879281	0.610772285807909	0.427167537750242	0.479408443972663	0.474484323257323	0.271142973276768	0.510849668897331	0.319925230917903	0.130797058403849	0.337961426455644	0.338360932027724	0.423092221731237	0.366515609539805	0.25896468042255	0.311457254187261	0.44619969832207	0.310246780606111	0.253733170194676	0.327106289019339	0.549930899854955	0.3982569296898	0.217091174832252	0.431093605726883	0.261848282100444	0.471286721271824	0.571020518971731	0.297375646349836	0.291582604649033	0.263259130232667	0.431096148408228	0.188033502458136	0.49562274655725	0.442024668647165	0.149579575552439	0.293581481998819	0.729438835828727	0.488192929071615	0.282947336651856	0.300657075667234	0.524680909543476	0.723215788082284	0.172620302059231	0.750836637893319	0.280630821124611	0.806384500209137	0.398759639946665	0.320688575882292	0.371916979097962	0.19764842950552	0.542343562868751	0.639095417070958	0.448240461536152	0.497002959408007	0.516195618558501	0.718307485942625	0.392136289834179	0.643799830036335	0.431632034856127	0.660106824505595	0.60034646644384	0.525727185354745	0.62701306656891	0.232476862413589	0.350219708577846	0.415565576260552	0.470638317703249	0.330573280296561	0.218150094644383	0.608923536275564	0.308851267456022	0.161836860742856	0.736122476846546	0.514034305463632	0.42789179704863	0.646976661512317	0.260203004168619	0.560872789897472	0.695023169856062	0.312443081562098	0.342349099112338	0.781932343979345	0.200745138533826	0.770179465203604	0.331471059337872	0.474009783248592	0.722615482373394	0.423307650298248	0.542816887136819	0.357492760435315	0.269504958653445	0.771296291625248	0.313903451652909	0.159409962171857	0.371315137615654	0.624405414597958	0.535126272238294	0.295380057315499	0.755973365765075	0.448815535976852	0.476942133156808	0.659560199359673	0.621371677887881	0.720155929428648
213bbv	0.44408783234304	0.648318503566755	0.38533913089833	0.29118055298223	0.612983170351854	0.324857705726566	0	0.34472904106014	0.315447636458001	0.397101693130788	0.351436304505285	0.516118149853544	0.218067115571994	0.356712876154871	0.358486938545505	0.30380627579875	0.413244966421422	0.552121454471157	0.447199841041965	0.420695702562563	0.374767374595335	0.339233390823896	0.533075008228384	0.43950377884567	0.593481210493992	0.473584505410789	0.417432192740443	0.451814909584453	0.528571106663062	0.320776035409836	0.359184071075053	0.300272645390165	0.513761278203183	0.349129273508838	0.319496551871378	0.382305928877679	0.417382992411663	0.336768777448169	0.395212291343949	0.400119359570914	0.406670687695742	0.414816146882743	0.349319322386879	0.290304918270006	0.340981413960335	0.329308367233644	0.486607146787788	0.315730713408181	0.294748114069838	0.329474300190174	0.387845140242056	0.293699848319641	0.448138153627333	0.453128854326305	0.307163098398294	0.275196110373137	0.671555467111339	0.466852215035995	0.203025604197426	0.345508893159747	0.387658443967524	0.662117898930785	0.382184243463377	0.701189085415154	0.439386234561236	0.773350051791803	0.305878051291676	0.360792699441961	0.207099419704139	0.274564931052897	0.559483188518142	0.558262846750797	0.308963971257046	0.374656869233411	0.354454304428801	0.657358031377964	0.32763850446692	0.583590362370118	0.526748952232107	0.588049905011382	0.51791764936639	0.421399865733111	0.553863314358742	0.361312932513196	0.274315113252718	0.339846655237072	0.582495579384855	0.41741283884374	0.512126406158899	0.524654833910528	0.63804535318416	0.303139793257651	0.685929661770383	0.507296478706733	0.508294008616503	0.577046422508334	0.304846938892379	0.507697879747467	0.632721942950182	0.177082424747054	0.397743962511244	0.737218720119276	0.353676533948653	0.725644067049763	0.392682786003203	0.333459934363603	0.667677866908542	0.360362103564589	0.440621996669354	0.324061579049036	0.327333212584739	0.72586059986879	0.33362653566555	0.316237026580089	0.449702556647858	0.543424501819218	0.585561821575562	0.293522731187635	0.706726584553237	0.253801248586881	0.31683394909217	0.581693064592906	0.535415809365363	0.659550878207813
219bbv	0.478064070782084	0.76491977112553	0.359717617609965	0.293110623653188	0.643099381583133	0.317434052411375	0.34472904106014	0	0.220382482891708	0.263630107094932	0.500153904509209	0.548738542304403	0.479733131051703	0.224874805519589	0.206805765162514	0.330893207712946	0.50673066991457	0.708198539759046	0.209865675588427	0.227322093784478	0.250568779682828	0.256951177560809	0.686097065482097	0.264446826544598	0.432491895327802	0.298544542515928	0.309748259472979	0.427197968144582	0.305202371872793	0.309676169278048	0.3073234174567	0.311368015802886	0.489042953653152	0.295525749517674	0.239003168355425	0.332191707442554	0.349913816441509	0.276054972802261	0.425744184228568	0.366587309604996	0.473278735685288	0.377382671274318	0.312992349336509	0.297535350547558	0.203945052269811	0.301605503811853	0.650919507252146	0.173095594289144	0.296387664512454	0.151270191997493	0.239153460997926	0.193943866045571	0.372129155627708	0.528555980788028	0.313170113025294	0.145672384686145	0.790841062226622	0.579927908962572	0.230406190860403	0.147840273233509	0.507172362811976	0.780350341749369	0.385434995181937	0.802795239286392	0.434073533888275	0.848840369194696	0.490550719513179	0.32457247112936	0.389773076477678	0.222213644968341	0.622470572672099	0.711575177268364	0.551561463596086	0.307760468934818	0.408694865725544	0.776416531746342	0.236589355153584	0.71093831420732	0.339982335590908	0.725047721768668	0.684283088370211	0.621816880831963	0.696810567647411	0.325579232617725	0.237998054084239	0.21967938566392	0.419534257209183	0.284648425725787	0.309426489839632	0.693223668511606	0.48772039956492	0.298796366758927	0.782555748676865	0.505041186622784	0.453952663728629	0.701574081049788	0.261023276996894	0.605041800695837	0.722210702650352	0.288937644591064	0.446381646132831	0.819369987228046	0.395038956781915	0.803110232204905	0.465100964212287	0.377418369063285	0.771644787102639	0.509815987892485	0.632012251872383	0.263615094629895	0.296299636136131	0.818352067087237	0.121003699443276	0.19876657323959	0.268062025821014	0.693769028036613	0.645815892736878	0.242667052314457	0.80959014421935	0.380793477702498	0.368739064385879	0.728763073028098	0.699456817462451	0.786938341709128
221bbv	0.383712141066563	0.730427124846057	0.246556998643021	0.248909371704144	0.589176335904796	0.14929904007743	0.315447636458001	0.220382482891708	0	0.33144205286042	0.425943303597317	0.565314792466343	0.405141975999066	0.325364598494206	0.307454639134493	0.368905806296301	0.502706588776745	0.664861342706401	0.284606328089302	0.316774131908146	0.137918010886594	0.171058995262492	0.640940423868197	0.33809581860799	0.414296999531597	0.381442897514514	0.216136646039834	0.434177838855971	0.236143608272614	0.185115388036866	0.319981642512706	0.305347594572518	0.459594706765873	0.349732971544786	0.246215577630183	0.296129279963495	0.388994115470072	0.295833957001443	0.323283258216183	0.318535847851793	0.524099895780414	0.380687635112998	0.277884658086455	0.348718895580595	0.228927663880465	0.369765268014669	0.599467531787134	0.258787625214383	0.305416727516246	0.237406048076669	0.350057870111565	0.172061508363478	0.394682905222748	0.465480410656804	0.206441463167968	0.209861177648218	0.755441078554813	0.514486992182833	0.2440086604186	0.226422370082368	0.478177598335712	0.749590024293642	0.264484725103782	0.772434284825595	0.371409183742616	0.825570132757322	0.426780143881982	0.297611930336054	0.350270867372878	0.178167251626322	0.558638819000319	0.667321365509873	0.484052437666422	0.390816409514835	0.425233565129418	0.744104137682166	0.351498619311558	0.670555373872201	0.373554694822671	0.683553389311989	0.634362784375268	0.56041120939494	0.652849071391776	0.220634428744792	0.284358647929618	0.330934909587026	0.401543573579543	0.27544782888219	0.265013506340487	0.643646713613644	0.373100559853959	0.149802585665703	0.756158394202837	0.508539644265515	0.465679624115112	0.671628596916403	0.238270070178543	0.57649591271084	0.705160141903599	0.286749171269068	0.356548127567654	0.799661270175378	0.289809740992725	0.785034572771108	0.351467409520274	0.428837259846209	0.745091217589164	0.447061648397806	0.576734152123586	0.32069685462024	0.276838415956847	0.792943970136375	0.215402054326276	0.13433162096946	0.269756547251677	0.652530024794721	0.562828402538142	0.259733776560947	0.779069102491526	0.363232305482431	0.389099093686467	0.689134400848994	0.654852170810956	0.749528639808223
223bbv	0.564802931192544	0.772917244833472	0.485713273794859	0.457268992262781	0.692014487045156	0.41921576545361	0.397101693130788	0.263630107094932	0.33144205286042	0	0.532015126317302	0.525667996624832	0.477973428334137	0.256178124544869	0.238934909536795	0.294873003644007	0.47331801207289	0.717809790510806	0.319860112358229	0.231549638267054	0.394843749111654	0.346578559696784	0.695039560372815	0.152263142395434	0.414103547309933	0.222470475567542	0.362074145537009	0.313499869842275	0.311123203909967	0.459055501333158	0.378193489116589	0.304482613489057	0.623329704082485	0.365275689442685	0.330168316309158	0.419206454188622	0.280738555165547	0.331064909055053	0.491225739834193	0.459417399062338	0.365588033216145	0.440203605489332	0.462141744794829	0.204985689918852	0.250771076091174	0.263643500962966	0.661675268012569	0.249765682165781	0.420959782459808	0.311410416109354	0.243197016930819	0.373344952089528	0.294904666636329	0.551494974271877	0.462529369244254	0.279755111514238	0.798289112240948	0.603507301278506	0.277531580962688	0.223696791628296	0.389248388432431	0.777038017295005	0.510386584274252	0.811373614195981	0.572544701668722	0.854451407322556	0.518808860584815	0.477708365517067	0.377951093344881	0.336218521605941	0.656089988180803	0.7193591323053	0.556386091775785	0.311422821481192	0.269154373681651	0.78259862136442	0.335205599389373	0.724482036570309	0.34249132260257	0.731916922312104	0.693529692093097	0.63118891286097	0.705882377271435	0.432004293467485	0.280432564765065	0.193844925474658	0.394929229782028	0.173665901151833	0.457469886942812	0.702135246666492	0.538031442974198	0.379702765795213	0.789936705891213	0.50800489648687	0.56966859406968	0.712608921002672	0.414283782531307	0.621973974213333	0.733368154236438	0.299010330957979	0.504255857953301	0.830264535798663	0.51816304358706	0.816035330562758	0.511421435001685	0.314506234024225	0.778973892046198	0.532738410667973	0.634089636120167	0.275309380909322	0.451589700650824	0.825776932342679	0.275256245892254	0.313188677661142	0.322831001059887	0.69805290053819	0.673322354864555	0.325024476231718	0.816395580013787	0.284526572621436	0.226271105563389	0.735594166685337	0.708307398897684	0.791415772070033
