td_A_700108167	td_A_700111302	td_A_700035379	td_A_700015263	td_A_700014609	td_A_700095219	td_A_700096424	td_A_700114332	td_A_700113104	td_A_700024245	td_A_700096706	td_A_700113602	td_A_700105837	td_A_700101777	td_A_700032228	td_A_700101587	td_A_700105885	td_A_700038395	td_A_700108602	td_A_700035937	td_B_700015197	td_B_700023496	td_B_700016346	td_B_700109113	td_B_700102964	td_B_700106068	td_B_700106933	td_B_700109756	td_B_700038485	td_B_700033928	td_B_700095530	td_B_700038959	td_B_700109927	td_B_700033732	td_B_700095780	td_B_700015720	td_B_700024790	td_B_700024192	td_B_700016125	td_B_700024638
td_A_700108167	0	-0.11191935372385	-0.115202536786101	-0.150640296573769	-0.230786717822175	-0.116526334970526	-0.091438334169514	-0.108773984987378	-0.156599659190969	-0.0414531219775707	-0.0754761420394963	-0.0943377479073824	-0.109914042370007	-0.0731315145266007	-0.148645106570514	-0.0541007803383771	-0.0709646268690765	-0.0730697800937176	-0.0474266811996713	-0.104803400817396	-0.113232499232404	-0.124030409930016	-0.172407044422255	-0.0765007209197682	-0.0840902568422072	-0.147252782719287	-0.110965331743191	-0.0860641405264777	-0.0790233056132488	-0.0684579267937792	-0.052090133772839	-0.076473793069511	-0.155777287889682	-0.156163340775422	-0.0920939891666654	-0.187286132612575	-0.160607995414625	-0.0755484153474569	-0.237217186301339	-0.111611093747735
td_A_700111302	-0.11191935372385	0	-0.135723182495508	-0.121782137956015	-0.201370381428619	-0.0822303691354018	-0.156682894100378	-0.137492866784836	-0.139787684975934	-0.130914228926785	-0.127222953099775	-0.166549592863568	-0.151323857661111	-0.118754694707322	-0.0907600612443179	-0.143216513949153	-0.0920112961032237	-0.135953194455566	-0.120882810898286	-0.175128750740959	-0.103818983255013	-0.121088283969662	-0.135189076618224	-0.156497916936557	-0.171008967578105	-0.162758894061808	-0.0615894980423062	-0.109138428181553	-0.152854838171426	-0.0823550740251199	-0.129683551650304	-0.100427339366885	-0.15122075062993	-0.154865643433537	-0.173781560403667	-0.115782150643864	-0.156033076439615	-0.106207879634159	-0.197242207757567	-0.11730191213767
td_A_700035379	-0.115202536786101	-0.135723182495508	0	-0.117366209172528	-0.201263631086393	-0.145154500590408	-0.168148922537316	-0.12395660957372	-0.193927493294925	-0.121350315335511	-0.164637465976478	-0.167199598049931	-0.108436407123747	-0.157415686625213	-0.11638238262243	-0.123447546959984	-0.0970153601216785	-0.112589203126519	-0.0946829178467809	-0.172343831691066	-0.0813865285061725	-0.160691970220266	-0.159669543927112	-0.158507507727797	-0.164596073638163	-0.172192617229601	-0.129523990007213	-0.141241005525421	-0.130919236311992	-0.105265614052775	-0.132712712318977	-0.160730281571596	-0.182239893014132	-0.142704222926482	-0.163662144920779	-0.173640110197178	-0.179496995143923	-0.156130619536237	-0.265256249034503	-0.123831275223241
td_A_700015263	-0.150640296573769	-0.121782137956015	-0.117366209172528	0	-0.133543497403285	-0.139762209716966	-0.213544482853597	-0.159253848421058	-0.206015373066392	-0.168299178990857	-0.185603438500598	-0.210177875763592	-0.170137866822988	-0.188470416030581	-0.0936911692424348	-0.177861983377995	-0.106670690419351	-0.172413042323085	-0.150543391262208	-0.232364069552737	-0.0931042921911954	-0.183466434098349	-0.131321952849835	-0.197439511513174	-0.21381162720731	-0.190762280807197	-0.117100049664953	-0.148711389107358	-0.197790454742106	-0.133784890546966	-0.172454903954522	-0.179677215698475	-0.213339808465325	-0.179096853663894	-0.209252988703002	-0.121189376816385	-0.214340899091056	-0.180146321637599	-0.240734008079577	-0.12688692199631
td_A_700014609	-0.230786717822175	-0.201370381428619	-0.201263631086393	-0.133543497403285	0	-0.226284867560406	-0.297801137545404	-0.244442642813411	-0.286408389495959	-0.247568727313493	-0.250246989466278	-0.295128599284853	-0.254967508564235	-0.271867189654103	-0.157703706137896	-0.255695647618489	-0.192493953848692	-0.248034195888873	-0.233937557511934	-0.317678543649178	-0.165265111412755	-0.263197435810388	-0.166980304149677	-0.277602841636599	-0.293350800900285	-0.26796915014697	-0.184134609985739	-0.231371758334841	-0.277054729699214	-0.210195228719942	-0.251558750914013	-0.255680246064848	-0.299929193382494	-0.215831195605492	-0.292818505080419	-0.187914947285636	-0.294657201106959	-0.257431705806039	-0.262739899131782	-0.205329473422054
td_A_700095219	-0.116526334970526	-0.0822303691354018	-0.145154500590408	-0.139762209716966	-0.226284867560406	0	-0.155124685790093	-0.128908126467254	-0.0950022231332045	-0.133422895524843	-0.147647389246171	-0.143523589443944	-0.134658161940962	-0.120700216670911	-0.113303952167895	-0.147161894001553	-0.117827744327567	-0.141446877272318	-0.136745217996629	-0.154206308784712	-0.117657225251543	-0.100114373911633	-0.145349764615317	-0.15961265140247	-0.167054753586779	-0.121516908392067	-0.0983561492562937	-0.128848725823929	-0.151081900500152	-0.108201137146706	-0.135407722222952	-0.0921452611515595	-0.100070211973435	-0.147442642106322	-0.173433534721268	-0.141458574960693	-0.13105855222823	-0.106380173732309	-0.151611755847343	-0.0880778519149996
td_A_700096424	-0.091438334169514	-0.156682894100378	-0.168148922537316	-0.213544482853597	-0.297801137545404	-0.155124685790093	0	-0.153977069601658	-0.163449860046	-0.0886572895804608	-0.0680205651427033	-0.0902392374874609	-0.126244670264897	-0.0664725947493971	-0.209876217327248	-0.0742422313255085	-0.138312476123832	-0.108003194476287	-0.108903059000443	-0.0673847673682645	-0.181711795627789	-0.123216104977876	-0.231805092336806	-0.0393705613029644	-0.0504958404712177	-0.148963408225386	-0.162707715839547	-0.120868075134518	-0.100297961390906	-0.128614017354096	-0.0595454629745565	-0.0987782857867418	-0.157084579540433	-0.19594042319836	-0.0553812945167629	-0.236481369813739	-0.148346520554333	-0.0969337488765478	-0.249109042986793	-0.152258084554888
td_A_700114332	-0.108773984987378	-0.137492866784836	-0.12395660957372	-0.159253848421058	-0.244442642813411	-0.128908126467254	-0.153977069601658	0	-0.156554887846206	-0.105594300343444	-0.146192816949251	-0.135405196119407	-0.112617956721604	-0.137166184503065	-0.164197482748749	-0.122129828414014	-0.106377646122518	-0.105780019261843	-0.107940315311004	-0.147641870687055	-0.125187656001025	-0.145135479277474	-0.18923689297579	-0.142801043155748	-0.14898222827507	-0.148639989344311	-0.140632240067987	-0.128608937887424	-0.112831768529682	-0.108042870339058	-0.125967213416905	-0.134482396550729	-0.157204500637361	-0.158264594962695	-0.147389697442855	-0.198936081010166	-0.168506133248885	-0.135839029891529	-0.249902073418579	-0.0910063104387916
td_A_700113104	-0.156599659190969	-0.139787684975934	-0.193927493294925	-0.206015373066392	-0.286408389495959	-0.0950022231332045	-0.163449860046	-0.156554887846206	0	-0.166766400678517	-0.165318623782344	-0.135630292675103	-0.152822762837051	-0.141074047386469	-0.177567165191378	-0.176309962058393	-0.167613537345988	-0.170309786621724	-0.177578041215092	-0.15404659623712	-0.18058932469494	-0.0968870370699026	-0.217132539597069	-0.175678194637702	-0.185749462249547	-0.0923652796708282	-0.143591310838513	-0.151763129615248	-0.177004057797895	-0.156447054522687	-0.165769263511088	-0.109871113354105	-0.0727135452625665	-0.184607926901415	-0.189044076137178	-0.170809656716039	-0.117168000950162	-0.123034136223998	-0.137372770248311	-0.123741217197379
td_A_700024245	-0.0414531219775707	-0.130914228926785	-0.121350315335511	-0.168299178990857	-0.247568727313493	-0.133422895524843	-0.0886572895804608	-0.105594300343444	-0.166766400678517	0	-0.0810724572711935	-0.103230627716182	-0.111992651223819	-0.081560704888547	-0.166987986669152	-0.0491500502294521	-0.0883625126966379	-0.0625695108891425	-0.0607612241005339	-0.101839573917119	-0.127977536949202	-0.14079116052833	-0.190822343290561	-0.0720513751669854	-0.0751049336915496	-0.15872372320835	-0.131199468916032	-0.103578836315958	-0.0547959705324311	-0.0838958805159204	-0.0581874867849691	-0.0942605804132117	-0.166168048877138	-0.160876885344099	-0.0800287562583451	-0.204402995054435	-0.172702961691649	-0.0883607365619074	-0.254621945835218	-0.113276779482923
