td_A_700108167	td_A_700111302	td_A_700035379	td_A_700015263	td_A_700014609	td_A_700095219	td_A_700096424	td_A_700114332	td_A_700113104	td_A_700024245	td_A_700096706	td_A_700113602	td_A_700105837	td_A_700101777	td_A_700032228	td_A_700101587	td_A_700105885	td_A_700038395	td_A_700108602	td_A_700035937	td_B_700015197	td_B_700023496	td_B_700016346	td_B_700109113	td_B_700102964	td_B_700106068	td_B_700106933	td_B_700109756	td_B_700038485	td_B_700033928	td_B_700095530	td_B_700038959	td_B_700109927	td_B_700033732	td_B_700095780	td_B_700015720	td_B_700024790	td_B_700024192	td_B_700016125	td_B_700024638
td_A_700108167	0	0.119050019491572	0.205947865087206	0.23092668330757	0.394796655255114	0.163992871144808	0.0830731503710957	0.132928291701884	0.226714888832137	0.0395956000417526	0.0794676902102257	0.131676963585813	0.226946837477507	0.0714419015735731	0.189310515015021	0.0403513027684345	0.0769284834625696	0.0859617674190958	0.0461319656323729	0.138743283258301	0.175231587300936	0.194700106240519	0.300456058077445	0.0687436667392518	0.0839595091526991	0.254170071780201	0.122521762416527	0.0748394213079717	0.0880106687439056	0.0640506751957406	0.0385059846785844	0.105427631750427	0.23897278260444	0.336180212937335	0.0759682985549586	0.208822709453501	0.250576100500504	0.090645661888311	0.425910458419156	0.185265532548257
td_A_700111302	0.119050019491572	0	0.181907568035729	0.17547598049386	0.351083931487186	0.108919252507025	0.160533380223855	0.207764406349288	0.202120066579068	0.147110530533236	0.139758784354755	0.190357717653024	0.214021185050503	0.12096388339776	0.114952160314791	0.1347462998396	0.107601868124955	0.162815968595529	0.136710984847982	0.202933726620625	0.138130221646344	0.158551770732456	0.235344098082678	0.157260050189989	0.174400491634955	0.219428418777594	0.0613355434731096	0.10479686972327	0.166591089491893	0.0846955921391949	0.12896065710263	0.137880291618406	0.207154582383302	0.278861632323735	0.171997617135879	0.132811787483748	0.202715166746081	0.124432263334381	0.355398286219057	0.180550504246503
td_A_700035379	0.205947865087206	0.181907568035729	0	0.107329681661087	0.237239742097118	0.193601514013057	0.255638910839507	0.227316745423988	0.257073523934758	0.203817929177281	0.261365699061699	0.250389308514304	0.118473759519169	0.246780951722894	0.154663760142137	0.200109611810492	0.174201760301194	0.16968050310672	0.190697826836016	0.263183721998411	0.0891625642214642	0.189876909550248	0.169502242105818	0.254553782401105	0.256888548241915	0.171622766381771	0.175109353166019	0.213642088844022	0.206741058401674	0.178245466788483	0.228094325182706	0.258969793652434	0.245729973527563	0.214279664510137	0.240636189941005	0.272800299869643	0.176806159766577	0.250736324086084	0.351278599988598	0.146190941485695
td_A_700015263	0.23092668330757	0.17547598049386	0.107329681661087	0	0.207555197982099	0.213449020936911	0.291399030716326	0.272411195723033	0.285976893056287	0.254735757522252	0.264802024074281	0.297787136172096	0.18932813497369	0.265351186415061	0.131607106686159	0.246008454232492	0.172229112418104	0.226969877546441	0.227350351807602	0.328006535854357	0.118883244037625	0.231788904659197	0.151121938507948	0.280320529392481	0.29703036509441	0.216589782963566	0.161579124001588	0.21091382394955	0.273681196788487	0.198383131089758	0.248670126240167	0.280093225163194	0.293258418212714	0.231831045351822	0.282738270160863	0.201891411855176	0.22942329432174	0.262324368610586	0.334486023611501	0.178299134876394
td_A_700014609	0.394796655255114	0.351083931487186	0.237239742097118	0.207555197982099	0	0.359530317172091	0.439774298287392	0.400957884805988	0.398049316230208	0.398740269603953	0.428088981403184	0.427840586038722	0.308347740963582	0.428568518275801	0.280637788246248	0.39471206672688	0.353099621527243	0.362954364221538	0.375596792496358	0.449289021597096	0.246657164342894	0.352992369065926	0.194277140942608	0.440435564438642	0.446371835433064	0.316367875174521	0.332820435833634	0.386308242564044	0.401081765620809	0.357603089240496	0.416239627414292	0.430029838904117	0.408213604522123	0.26731250433902	0.431595176921381	0.357787948115057	0.341730177514561	0.417621514616494	0.286995891737951	0.317023980070088
td_A_700095219	0.163992871144808	0.108919252507025	0.193601514013057	0.213449020936911	0.359530317172091	0	0.193384795161731	0.18148689601456	0.108424791723874	0.173912773423876	0.198346571374741	0.131505036455627	0.159744193463978	0.170616705304199	0.158641723434465	0.167552459903668	0.154814115903898	0.153204721017216	0.176644679353008	0.159832265596054	0.161614771494128	0.0948681538148644	0.212744171017516	0.204462633153389	0.209071375967845	0.143925316441185	0.106963721637667	0.159253300346804	0.173254076254704	0.128681261107509	0.179002475209318	0.143922285886392	0.115901077989052	0.22920171500629	0.20487707049944	0.221563612693064	0.142181869670274	0.160895201254789	0.297359857834389	0.112741839506649
td_A_700096424	0.0830731503710957	0.160533380223855	0.255638910839507	0.291399030716326	0.439774298287392	0.193384795161731	0	0.15532302193813	0.224643370273056	0.0777704974597987	0.0772455945868948	0.11728887433483	0.248769953723024	0.062663432058219	0.246766871004803	0.0785867767090475	0.14742105150709	0.128619742794098	0.111469335007405	0.0898155973590081	0.231625672134056	0.191583990644723	0.335389801195865	0.047923999293655	0.052297730807311	0.270850955375316	0.178512569694935	0.121671713082772	0.0999936711115873	0.121108531979421	0.0652804789985344	0.0936684830130852	0.233349329324764	0.3601989651148	0.0509090267600432	0.22371623576533	0.259258353753963	0.072699243871097	0.442182947694226	0.224046259770664
td_A_700114332	0.132928291701884	0.207764406349288	0.227316745423988	0.272411195723033	0.400957884805988	0.18148689601456	0.15532302193813	0	0.216086599181051	0.122139847607068	0.196913389760028	0.120004182473331	0.181593428119949	0.176910747715324	0.252319743952296	0.122377193169238	0.142974634919298	0.111006362099028	0.130077576078934	0.144960308336948	0.21677595864959	0.204657294580999	0.298360590529269	0.164949366797336	0.161894873620273	0.224697655672121	0.20170270607145	0.162695443020882	0.109175079582646	0.15233937679147	0.143030776282539	0.172395362297852	0.218095594446925	0.267129780314536	0.149316947075741	0.305818072602873	0.251594509927252	0.181608968513763	0.380144972218175	0.1543376074607
td_A_700113104	0.226714888832137	0.202120066579068	0.257073523934758	0.285976893056287	0.398049316230208	0.108424791723874	0.224643370273056	0.216086599181051	0	0.234344047132556	0.239443544898798	0.148746750230171	0.186668719230751	0.214073292478478	0.246448387693105	0.22762724990003	0.224361575939311	0.213692962951932	0.238682943050553	0.185145672034969	0.236934011496632	0.112291294019139	0.275909811226684	0.258772025397283	0.258731339002072	0.118405941648941	0.194157528805859	0.210871862726656	0.221023931999136	0.195326981850188	0.244722583651256	0.184659607556402	0.0710483370394429	0.25773883432927	0.251280996809237	0.270848488031284	0.158128250809914	0.192052070171147	0.262264559076366	0.131450645364871
td_A_700024245	0.0395956000417526	0.147110530533236	0.203817929177281	0.254735757522252	0.398740269603953	0.173912773423876	0.0777704974597987	0.122139847607068	0.234344047132556	0	0.100720403126863	0.123024500338878	0.221733283429928	0.0929875937931319	0.215692183488447	0.0342979861190912	0.104369756345755	0.0794677049698373	0.0677645217346445	0.124061242695409	0.188435097602319	0.201677252318456	0.307128090048461	0.0684560235235507	0.072121942792986	0.258083191334806	0.149685351804352	0.102725318941282	0.0577476135058967	0.0845333702447002	0.0445519359421534	0.11888759210893	0.244527671708084	0.333704138167416	0.0595895029459477	0.234067878815847	0.256033904489681	0.109529627302609	0.430783382421581	0.189322794923487
