td_A_700108167	td_A_700111302	td_A_700035379	td_A_700015263	td_A_700014609	td_A_700095219	td_A_700096424	td_A_700114332	td_A_700113104	td_A_700024245	td_A_700096706	td_A_700113602	td_A_700105837	td_A_700101777	td_A_700032228	td_A_700101587	td_A_700105885	td_A_700038395	td_A_700108602	td_A_700035937	td_B_700015197	td_B_700023496	td_B_700016346	td_B_700109113	td_B_700102964	td_B_700106068	td_B_700106933	td_B_700109756	td_B_700038485	td_B_700033928	td_B_700095530	td_B_700038959	td_B_700109927	td_B_700033732	td_B_700095780	td_B_700015720	td_B_700024790	td_B_700024192	td_B_700016125	td_B_700024638
td_A_700108167	0	0.131955189390805	0.0978476272997379	0.101392518313622	0.0927449706298982	0.105734705698119	0.135300572510793	0.133986694394142	0.107358706638112	0.101506608757468	0.117031196885618	0.134082070529683	0.10944454997235	0.128320469697057	0.0885994171562352	0.125538454093869	0.0959945765934532	0.133230034807277	0.115364554057416	0.142900653623952	0.105406135913733	0.110208427935276	0.13455066344228	0.122123894869967	0.129617905957125	0.116739788370581	0.0943912950662266	0.197633789592626	0.121120941618443	0.120040123477006	0.127805425197773	0.0962749570339532	0.0935254241230375	0.120737966666341	0.159338165813316	0.122609196986408	0.107473131266035	0.0974997416757086	0.105232961725096	0.0956471588271315
td_A_700111302	0.131955189390805	0	0.140127995174917	0.132154363100624	0.125473154525247	0.130609296439589	0.157902845203128	0.170798741382562	0.144770814554973	0.136899977502728	0.14527930904635	0.172095308764031	0.147829400900185	0.149725695026018	0.120926179138439	0.160987030048629	0.133870799356281	0.175235837044893	0.133893523873509	0.188276902787322	0.140105337494504	0.146883860473068	0.158995760808148	0.150866733138107	0.172237671180781	0.157117445785651	0.124983106994914	0.207482127501385	0.163766238505572	0.154515288052639	0.159231895276869	0.127010067094805	0.13215890800407	0.156877635292084	0.17660512288149	0.143472643089935	0.145787001495942	0.118615830941355	0.132322123507216	0.136675940497589
td_A_700035379	0.0978476272997379	0.140127995174917	0	0.104952648121411	0.0901666736399744	0.108987787176074	0.152615852596483	0.124799305752631	0.118379295451741	0.0846741578260497	0.125210820024898	0.131960135315143	0.0980232076137292	0.144394055426702	0.0921428377601807	0.116058721221905	0.100053977412097	0.110513136976573	0.111702965963886	0.142717387076193	0.107807449016543	0.121489011960715	0.136355391131049	0.122383756408147	0.125099603564113	0.122679308805737	0.107246821809174	0.19855667233933	0.110110913021643	0.117075643367843	0.121432802198985	0.10436328108343	0.107257047841926	0.115913819006171	0.14970297050879	0.126077760357133	0.115261759035368	0.102164283020762	0.11521316867059	0.0828647515602052
td_A_700015263	0.101392518313622	0.132154363100624	0.104952648121411	0	0.0954390289840523	0.120865758657339	0.144552391842326	0.139613552206972	0.126788035194128	0.109600279752174	0.115483523588784	0.14723314967022	0.119876974810675	0.137059115960137	0.0920296161949346	0.133420118710205	0.0941714019436413	0.145489911851598	0.113217220853033	0.163060642245653	0.102848692010207	0.12395355269087	0.135384653224535	0.115932265967215	0.145993326745006	0.131717250328068	0.103875038147112	0.192737324498219	0.141144449463147	0.129483096100513	0.136815027910386	0.113030946648582	0.115890492957605	0.126179018132427	0.150314794716737	0.123472728641059	0.129132002309346	0.100420376833985	0.120001224450458	0.100208504129245
td_A_700014609	0.0927449706298982	0.125473154525247	0.0901666736399744	0.0954390289840523	0	0.107340727534776	0.146715431698322	0.143123487566414	0.117354352887959	0.096715144300016	0.110647679485923	0.143536204901358	0.111638067416157	0.136628620032304	0.0824515663675541	0.123904494468385	0.0903271488336909	0.132933613531087	0.106839585093091	0.155046440224427	0.0955456337045762	0.113641099936144	0.133600177090826	0.118273626446633	0.137219323806592	0.12953603085829	0.0920321559939189	0.196217851658896	0.130819565060761	0.124097853375266	0.12358862367892	0.099007580230579	0.0993829357857276	0.119312003210306	0.158024488207112	0.113003744064724	0.11353275745842	0.088892028733949	0.114220040430926	0.0927831344514776
td_A_700095219	0.105734705698119	0.130609296439589	0.108987787176074	0.120865758657339	0.107340727534776	0	0.135429634401283	0.148896183310393	0.111230630189628	0.108070852905938	0.128162266955063	0.140603405442682	0.118131932398037	0.133909832056461	0.104336746867726	0.144415777391699	0.119287941956771	0.149151433108312	0.120910338813195	0.149619023468678	0.117339114094053	0.116740590412366	0.140154863574698	0.138518631497491	0.14764346087981	0.121461475192781	0.104883271507051	0.198283242927629	0.141782139518644	0.123620371166224	0.138530528450628	0.103419211066252	0.0976298061184292	0.137236300357697	0.167653267177362	0.124394608835533	0.110878801193492	0.0978972202167464	0.104566264491725	0.102049657882393
td_A_700096424	0.135300572510793	0.157902845203128	0.152615852596483	0.144552391842326	0.146715431698322	0.135429634401283	0	0.16736352958271	0.126384741850153	0.144641886338114	0.144199025599436	0.148081843551858	0.140167027875096	0.131539197051908	0.131404788216188	0.160580060679808	0.144881964178942	0.166360242147109	0.156412651567517	0.16060893418405	0.158543810262579	0.138220539300916	0.165664671409496	0.155345802320494	0.168420553817873	0.141092049399892	0.137332344861392	0.212231217417888	0.156322689214022	0.159751217332337	0.168709422533925	0.123963845560438	0.114389338084272	0.16077803132695	0.163385134984301	0.148645344742289	0.134780114229464	0.128843133593293	0.134069037350685	0.133071096860314
td_A_700114332	0.133986694394142	0.170798741382562	0.124799305752631	0.139613552206972	0.143123487566414	0.148896183310393	0.16736352958271	0	0.150534621002507	0.116733104689044	0.165040749737966	0.154571029956662	0.122798545684367	0.172972007271311	0.141885602908845	0.154678904576678	0.122410624807928	0.153884214841863	0.139652250723074	0.166610345510244	0.132798937348105	0.15150796554482	0.169815504991574	0.159626165650769	0.158143858759372	0.152806003336226	0.144403546254485	0.22851614115775	0.129649853954875	0.152635101599311	0.149984286664705	0.135372488924137	0.140047189465128	0.151239214710195	0.177906101492774	0.167388392878029	0.150703851819037	0.143595756503857	0.147327456416715	0.121306881638817
td_A_700113104	0.107358706638112	0.144770814554973	0.118379295451741	0.126788035194128	0.117354352887959	0.111230630189628	0.126384741850153	0.150534621002507	0	0.118826500583419	0.134708398326567	0.120284345200388	0.12134558015492	0.132520294664805	0.112111472579461	0.15171275354713	0.119288476651294	0.146466464561049	0.141247177648379	0.132124754391413	0.133045765707287	0.0960253215285259	0.158901921919361	0.147213967504208	0.157764960853009	0.107503675690662	0.108267486816772	0.202781494276028	0.144431818227389	0.140178791154602	0.155298415018393	0.0872917548634143	0.0763440181785444	0.141125935665288	0.175733971829886	0.126332074439637	0.100749815496971	0.0930427286423959	0.102048655330162	0.105696675550171
td_A_700024245	0.101506608757468	0.136899977502728	0.0846741578260497	0.109600279752174	0.096715144300016	0.108070852905938	0.144641886338114	0.116733104689044	0.118826500583419	0	0.128980215901628	0.133319529303064	0.0945978876625521	0.143755295982158	0.0983793141660496	0.126073349127318	0.0961535813772314	0.118441654200487	0.1037989110144	0.139939849539635	0.103235610334415	0.117860107069905	0.147998965900792	0.130638704638355	0.132342642409537	0.113868010924344	0.106170949592075	0.200964067592339	0.0960162985584502	0.125614113368874	0.123824290289934	0.105851937472288	0.106745278346596	0.119930644773421	0.156153458397491	0.131471023500225	0.112099776136771	0.100312970071677	0.110021886383563	0.0804160511552944
td_A_700096706	0.117031196885618	0.14527930904635	0.125210820024898	0.115483523588784	0.110647679485923	0.128162266955063	0.144199025599436	0.165040749737966	0.134708398326567	0.128980215901628	0	0.169297385998783	0.144819872777459	0.126444961820806	0.101246880892918	0.160052517696049	0.109341688113487	0.16459020276552	0.134109941481695	0.183151053742548	0.124614568794934	0.143439358355879	0.154525179901314	0.116293786301581	0.165562945776495	0.145501741967919	0.111044422821992	0.192096292601953	0.159186312568783	0.132972846741712	0.148779686741193	0.12333136877654	0.123610078296656	0.149089274870012	0.160591690285683	0.109635569590693	0.144333835456048	0.101425803047679	0.131863890301002	0.121744863289973
td_A_700113602	0.134082070529683	0.172095308764031	0.131960135315143	0.14723314967022	0.143536204901358	0.140603405442682	0.148081843551858	0.154571029956662	0.120284345200388	0.133319529303064	0.169297385998783	0	0.122155375010009	0.173904715029875	0.145521191481193	0.154373660840858	0.148113190018269	0.156591172701385	0.158894369359223	0.150646706341891	0.158171596037753	0.128900078559993	0.179756077705551	0.174548487235572	0.169474637233159	0.1296304044416	0.149201293372582	0.229114130144914	0.14983651046591	0.164623286989131	0.168079752896273	0.114131682161	0.116244126547757	0.159372920957312	0.189269228985202	0.162799577644796	0.123261925325365	0.139172830246386	0.132275605083715	0.114169712308949
