td_A_700108167	td_A_700111302	td_A_700035379	td_A_700015263	td_A_700014609	td_A_700095219	td_A_700096424	td_A_700114332	td_A_700113104	td_A_700024245	td_A_700096706	td_A_700113602	td_A_700105837	td_A_700101777	td_A_700032228	td_A_700101587	td_A_700105885	td_A_700038395	td_A_700108602	td_A_700035937	td_B_700015197	td_B_700023496	td_B_700016346	td_B_700109113	td_B_700102964	td_B_700106068	td_B_700106933	td_B_700109756	td_B_700038485	td_B_700033928	td_B_700095530	td_B_700038959	td_B_700109927	td_B_700033732	td_B_700095780	td_B_700015720	td_B_700024790	td_B_700024192	td_B_700016125	td_B_700024638
td_A_700108167	0	0.154201209336537	0.115800862687039	0.144961774430389	0.149868592968117	0.130330465610688	0.125127891624901	0.154491073423756	0.125925143455778	0.10461275742678	0.112086245503784	0.140151501139293	0.137374021354767	0.13109017714226	0.10373193047701	0.133981099875053	0.09925673404237	0.140406565095039	0.120647488871379	0.130822508414485	0.122337304704243	0.127438081455051	0.226234512971018	0.110428900659737	0.110243802322648	0.153973136033942	0.109044613540201	0.208386429793772	0.138467622336734	0.129575047008721	0.11527886071494	0.103301998144084	0.115458752733146	0.189903723746509	0.128759025028191	0.131153018324553	0.12518114221978	0.102162088325748	0.154193445527678	0.113562373915173
td_A_700111302	0.154201209336537	0	0.175949190711982	0.177933757264699	0.189072174148261	0.163578200667879	0.16928998917588	0.212352731392445	0.182097487955706	0.16144831388111	0.157270699673084	0.200405051609006	0.190150110504118	0.163955384770028	0.150287747307568	0.190977960875792	0.154002912524389	0.205610868126729	0.161208549195763	0.193779325789925	0.170091488266898	0.183046682092898	0.24325944973137	0.152138639339521	0.173453902544744	0.210209326444369	0.157750548730026	0.218376990372283	0.204463285838461	0.173744268996065	0.16994009399415	0.15621683112469	0.168749171384665	0.223259056060591	0.167288433582602	0.170227720277639	0.183273796336752	0.152212989226711	0.185713870122164	0.177471399612422
td_A_700035379	0.115800862687039	0.175949190711982	0	0.145856256549857	0.159616557354521	0.146609985381661	0.150102968656727	0.154412247929107	0.154899952133835	0.104565900556843	0.130983904299821	0.149169758831892	0.137956307019182	0.154367811540756	0.115738523868848	0.124592462830423	0.11699173962706	0.127307649466222	0.120298300150586	0.142242888568015	0.130101844274527	0.151752960717091	0.225644189480962	0.12264813107538	0.118683336569015	0.171848164194875	0.133664656159858	0.21900183997703	0.134279458482553	0.149695186013782	0.124551862677037	0.126181029461874	0.145604891820686	0.192174866185046	0.132594437943396	0.154968821685359	0.149837446393754	0.127515034501682	0.180013407641205	0.122534140093547
td_A_700015263	0.144961774430389	0.177933757264699	0.145856256549857	0	0.161821524739902	0.160866576250262	0.16392158936676	0.176557051276167	0.178250703343996	0.146368576595615	0.141231355612633	0.186926851082702	0.163007241030506	0.16838500307972	0.137930549441556	0.163786316414761	0.122231534225906	0.179422490448117	0.135248244819747	0.184568753984946	0.141606210572125	0.172270652405189	0.233074565584067	0.131740418968921	0.158210029206079	0.193740324067776	0.145495285107384	0.218974392629241	0.182909079998241	0.170565811318711	0.155758309707378	0.15192970154229	0.172625367131111	0.213243788302123	0.15168294942897	0.167663425550485	0.181689202948658	0.139910777395205	0.191983419792479	0.145376864187555
td_A_700014609	0.149868592968117	0.189072174148261	0.159616557354521	0.161821524739902	0	0.175122573415833	0.184519887658599	0.193247139527382	0.191216172799368	0.152827700210477	0.153662583679588	0.198622161408764	0.180481017281828	0.18426820324318	0.149473141080418	0.161447035136122	0.134661757564656	0.182654518406598	0.150194764279117	0.194041514182035	0.138115054075614	0.18113527802131	0.238772744591834	0.153951032013426	0.162207386040188	0.204318650646367	0.151438435119379	0.239432028972343	0.187973732203124	0.167934062793412	0.15115692854405	0.16229402101316	0.172709946978209	0.200621570537241	0.177083209169478	0.17324752223749	0.187716476113112	0.153382538527102	0.196206018422422	0.156352241085081
td_A_700095219	0.130330465610688	0.163578200667879	0.146609985381661	0.160866576250262	0.175122573415833	0	0.143294976007319	0.185335452944491	0.14567540547291	0.138596455894327	0.139167917895803	0.165620219406152	0.161578426183692	0.146457906066955	0.127927292752087	0.165934516656544	0.137054198099246	0.179383945420606	0.142343452727469	0.162005572679321	0.151014850841933	0.147778484284384	0.226296851789209	0.142590478857573	0.149421488916775	0.170226030507476	0.132384678095815	0.218418229898163	0.178650950525402	0.14857760856328	0.144152420191584	0.127483020207505	0.135645340808146	0.200997978258504	0.153842567036722	0.143114627294474	0.146254722622173	0.121138800963754	0.155033352637816	0.13809733432363
td_A_700096424	0.125127891624901	0.16928998917588	0.150102968656727	0.16392158936676	0.184519887658599	0.143294976007319	0	0.180852812387239	0.129403923527579	0.120960370368391	0.119749901228367	0.14253576683985	0.140950534079262	0.116645702099275	0.128318680057501	0.151261557285789	0.134405095177675	0.157938752590657	0.14460226441076	0.139194406184851	0.157583307153313	0.131092232268134	0.249201640684624	0.12757134495064	0.135682470082277	0.159988489468325	0.13735744333938	0.213748253200094	0.158363752621484	0.156413575175066	0.144240379579009	0.11045863148072	0.11499982029066	0.208284267203082	0.121426381577779	0.132610650603072	0.131359444301271	0.115787435864659	0.166252604472438	0.142566730736358
td_A_700114332	0.154491073423756	0.212352731392445	0.154412247929107	0.176557051276167	0.193247139527382	0.185335452944491	0.180852812387239	0	0.182872361749285	0.135961875862268	0.180101093011846	0.166623029493933	0.152357761427196	0.192854793163226	0.178422283519777	0.163397486599323	0.143302511468858	0.164116734985901	0.162733680941891	0.170862434486583	0.160947867895961	0.171535739392502	0.246381642629229	0.167336477858599	0.160634712382165	0.184056022914014	0.159540015333066	0.249207121020289	0.161880027323127	0.185319605640526	0.159155752464016	0.160396454789126	0.16854443517811	0.196235657904478	0.173048677391775	0.19827484513599	0.170949937179369	0.170138938839865	0.204268322897176	0.13899702276198
td_A_700113104	0.125925143455778	0.182097487955706	0.154899952133835	0.178250703343996	0.191216172799368	0.14567540547291	0.129403923527579	0.182872361749285	0	0.135447226673853	0.137879079955768	0.133001855230631	0.146400316873008	0.141330915043882	0.14171586295489	0.167797967791063	0.135605334357791	0.1667970301513	0.159057700125075	0.136131857606813	0.166762458367146	0.11207441711264	0.261063872901151	0.148013042650849	0.14706800443487	0.132631612886991	0.132645587742937	0.228316675168037	0.167979595248896	0.157893128796246	0.156274328979709	0.10730638807563	0.104649704023055	0.210090996863467	0.150501434729042	0.14291756355785	0.108874494787265	0.10610893473281	0.144934509760455	0.136405783051139
td_A_700024245	0.10461275742678	0.16144831388111	0.104565900556843	0.146368576595615	0.152827700210477	0.138596455894327	0.120960370368391	0.135961875862268	0.135447226673853	0	0.113646679745488	0.131987810454736	0.111630966618408	0.137657994081146	0.111730297702337	0.113512411521693	0.0979412708048955	0.1104895040383	0.1167009164811	0.124605706974947	0.122515415613358	0.124802862050498	0.236563849632559	0.11320505602981	0.107161022172114	0.147955179440119	0.115056541764793	0.217428709624369	0.103263133430326	0.13877972745286	0.113301281590196	0.105697270185435	0.119060977365803	0.179096684492829	0.115124771943823	0.132512506925203	0.121279143226243	0.105054518150849	0.15998159337928	0.0927639520326314
