td_A_700108167	td_A_700111302	td_A_700035379	td_A_700015263	td_A_700014609	td_A_700095219	td_A_700096424	td_A_700114332	td_A_700113104	td_A_700024245	td_A_700096706	td_A_700113602	td_A_700105837	td_A_700101777	td_A_700032228	td_A_700101587	td_A_700105885	td_A_700038395	td_A_700108602	td_A_700035937	td_B_700015197	td_B_700023496	td_B_700016346	td_B_700109113	td_B_700102964	td_B_700106068	td_B_700106933	td_B_700109756	td_B_700038485	td_B_700033928	td_B_700095530	td_B_700038959	td_B_700109927	td_B_700033732	td_B_700095780	td_B_700015720	td_B_700024790	td_B_700024192	td_B_700016125	td_B_700024638
td_A_700108167	0	0.200425608916222	0.174026998400882	0.172287338217127	0.150224336236493	0.21246580407587	0.26468096275197	0.2724342326362	0.340040673027669	0.142614373426011	0.394646280805174	0.32992180701629	0.219486099428184	0.25282685712633	0.22967179989285	0.120776359809696	0.136024774029236	0.202440874420736	0.134768319182373	0.413157490084372	0.130794823411272	0.244979129646395	0.121001626443771	0.171415145407362	0.140053080653303	0.256243173728591	0.194371355489586	0.178861122326099	0.242070780337991	0.128879074392315	0.116488808209051	0.323870768719017	0.33964625717792	0.198995550389122	0.205204196388497	0.473444590939924	0.305357065716161	0.308728020488013	0.290161479957506	0.183674226930437
td_A_700111302	0.200425608916222	0	0.314277573637431	0.241415841137872	0.21103517873643	0.185452963154164	0.278751914198395	0.377650847293783	0.355314819144768	0.278831714486686	0.278407810818948	0.416963693564365	0.342918702673316	0.172981836818943	0.201831267813709	0.2714473605088	0.213184758625106	0.341032963248313	0.279006010066298	0.472579586486395	0.246870340408402	0.282280163993066	0.200391119181028	0.228638076427482	0.288339459896778	0.333523503591687	0.126672735062312	0.219210729193929	0.357942060808517	0.155329347075388	0.189198488845056	0.258557100135121	0.360409683469515	0.249817943846335	0.311994419709583	0.323763290590419	0.341729926297498	0.21291562492562	0.26718355025631	0.289736035525473
td_A_700035379	0.174026998400882	0.314277573637431	0	0.163092945014711	0.214962005576974	0.331536450234863	0.301141771267742	0.337245197193591	0.433292620194779	0.220296406375488	0.468006075910071	0.352149773261612	0.194388570561383	0.357054982639988	0.281100866181454	0.144303279867767	0.172474428002092	0.195387107038397	0.128956474998426	0.420982765680455	0.14470561492379	0.315944690491095	0.207387756607246	0.186217564825416	0.125435421808912	0.282274644099263	0.278650651670642	0.239400425327078	0.260472025500106	0.213768778479562	0.159196442117339	0.426956942449963	0.42226554228079	0.261488129264803	0.151757292596173	0.552039724805027	0.307373811632652	0.412242913688319	0.376461749995512	0.272592968781976
td_A_700015263	0.172287338217127	0.241415841137872	0.163092945014711	0	0.138243988776909	0.319681363121044	0.33415769104631	0.380187473548457	0.446156972592639	0.262231626321828	0.364047839496442	0.40505093701475	0.293365391321015	0.313096016392181	0.215052887173969	0.215094525515464	0.0969965685467353	0.273998478870646	0.169003634837708	0.501739308049878	0.152472451032388	0.344533527920904	0.206893097278479	0.108989307481718	0.200285229532239	0.337065877593732	0.206794385369723	0.197627219106557	0.349531257665324	0.211658243990375	0.133490035458611	0.409133485187005	0.465900492387843	0.3278160092125	0.196816861191841	0.442368537257607	0.378374374409154	0.374415991515293	0.354699313946104	0.276179346691306
td_A_700014609	0.150224336236493	0.21103517873643	0.214962005576974	0.138243988776909	0	0.314631514956115	0.331037868347507	0.369281971073356	0.435310083406668	0.240463582915878	0.292951294020664	0.422208564375938	0.319560644477791	0.271322430328361	0.16657646318764	0.217418683542954	0.120406324107064	0.276489473828271	0.183893383361888	0.514717231668785	0.161829543729577	0.344196517005928	0.188524932338527	0.114761358297191	0.226013409234426	0.344726382390978	0.162489318958617	0.199493187333425	0.349754953963899	0.180126632357704	0.140326838215806	0.381758104220892	0.455280777879161	0.304318863316708	0.272352624119759	0.378488394772086	0.390355989015979	0.350802966556227	0.353305860246634	0.264935423151248
td_A_700095219	0.21246580407587	0.185452963154164	0.331536450234863	0.319681363121044	0.314631514956115	0	0.209277987231844	0.288696032542097	0.202157049164444	0.242077915759192	0.416084473981601	0.284177495185415	0.268093300729638	0.207466884904027	0.301603356709031	0.258387778292054	0.277571556996449	0.302240282434828	0.28645879177969	0.338200111262858	0.28429008941819	0.180872881270917	0.215141336439069	0.315793667265462	0.26510270766598	0.214584212673742	0.225162270839281	0.245484128328883	0.302799166909406	0.210137580725244	0.248562359162689	0.162995330964429	0.203583277045412	0.199543269170698	0.299364691523311	0.478502928616601	0.246990597297626	0.233149102755012	0.155655780940132	0.187023259108782
td_A_700096424	0.26468096275197	0.278751914198395	0.301141771267742	0.33415769104631	0.331037868347507	0.209277987231844	0	0.360915937385653	0.242823180123403	0.317994183591914	0.404200254474827	0.239453829666683	0.190268873845295	0.220005088507648	0.375541231311678	0.245921661394712	0.331135580348858	0.314806713379816	0.274212321421378	0.286226728612467	0.306566970628854	0.0985829161558921	0.283700887946402	0.303328611038196	0.270345541805579	0.158904153078589	0.299258552602336	0.220651461100073	0.302591804510815	0.266389514477212	0.268016062663531	0.244297584288592	0.228711827360886	0.231667042578547	0.244102084748409	0.492718505291311	0.126672185800651	0.292811740966563	0.18437099457074	0.243885400206285
td_A_700114332	0.2724342326362	0.377650847293783	0.337245197193591	0.380187473548457	0.369281971073356	0.288696032542097	0.360915937385653	0	0.364097075684665	0.223264811314595	0.560403537855846	0.296148659212659	0.254015326518048	0.400270247457213	0.43549382213237	0.276802851642888	0.336778724087165	0.251662070278747	0.302414820044887	0.323676563594025	0.339445465667199	0.341109373446461	0.320640680763125	0.381603312699172	0.28115864910085	0.3067700480912	0.386235485920777	0.322673011256436	0.207232942812008	0.284811310875129	0.335085557167265	0.383134404037994	0.34376445352807	0.252842041588447	0.317434719990395	0.65634480412572	0.379530322896498	0.444025980278941	0.37011407206024	0.186411026810466
td_A_700113104	0.340040673027669	0.355314819144768	0.433292620194779	0.446156972592639	0.435310083406668	0.202157049164444	0.242823180123403	0.364097075684665	0	0.357895953380844	0.461399130372355	0.220009263565529	0.302443242640791	0.272121635914638	0.46022603962628	0.35470928458952	0.416837534749751	0.361892599865925	0.403102821745348	0.259975660797382	0.407518751986391	0.199252666675019	0.350504506677296	0.418932647117337	0.361466802456148	0.183037177889537	0.357920575139755	0.315950068525757	0.357858374531286	0.356959022230792	0.374626285078063	0.186269303312415	0.114636914639382	0.275995565555572	0.366768475878654	0.549389913633648	0.255297130318523	0.277005796172233	0.137390887495626	0.259399806766094
td_A_700024245	0.142614373426011	0.278831714486686	0.220296406375488	0.262231626321828	0.240463582915878	0.242077915759192	0.317994183591914	0.223264811314595	0.357895953380844	0	0.461416892445518	0.338574046040611	0.218314021080086	0.322906437320891	0.311791927269272	0.141413309702585	0.222434513238366	0.165318132263563	0.196540905330198	0.395302080775707	0.215966908449606	0.293322821191458	0.212036775299688	0.261988871798959	0.158733685092136	0.283163796995899	0.269510022162508	0.260217800525981	0.160333164186646	0.176069716000386	0.208834982024058	0.357045812831339	0.34028506633424	0.18399358806196	0.20475566923834	0.552278409444617	0.349301112929313	0.383689475736518	0.331724484844866	0.160069666031455
