bm_700098550	bm_700105215	bm_700107881	bm_700111304	bm_700033225	bm_700101232	bm_700038348	bm_700021685	bm_700105839	bm_700024343	bm_700103610	bm_700106935	bm_700113555	bm_700014977	bm_700024502	bm_700024400	bm_700024745	bm_700014787	bm_700114172	bm_700038535	bm_700106343	bm_700105158	bm_700110595	bm_700102856	bm_700107938	bm_700114223	bm_700023545	bm_700098275	bm_700101084	bm_700096275	td_700111302	td_700021683	td_700037690	td_700111162	td_700023227	td_700110760	td_700113058	td_700106987	td_700095359	td_700111991	td_700038533	td_700114709	td_700102911	td_700106554	td_700107936	td_700099294	td_700097694	td_700114434	td_700024790	td_700099809	td_700107381	td_700014785	td_700024089	td_700105156	td_700038959	td_700095219	td_700023439	td_700105623	td_700024500	td_700038744
bm_700098550	0	-0.100569576063078	-0.105851393808394	-0.119263883267409	-0.0964570742702286	-0.0590655845585273	-0.0931220297687475	-0.107159216567213	-0.104683174045147	-0.112445768012406	-0.103295363449732	-0.0662045723925609	-0.127815934920364	-0.0781256134011124	-0.0935481378483244	-0.091221793271254	-0.124678911218781	-0.0836004916202937	-0.0997232664691678	-0.09294551723179	-0.116883013930471	-0.124813808845329	-0.0705856105339827	-0.0484871754665715	-0.1079176996627	-0.118260422277017	-0.0632879532512936	-0.122788157150225	-0.0583522926064924	-0.115889779866941	-0.0979901363000224	-0.122321879983729	-0.167460855088533	-0.134870577485094	-0.144250836516771	-0.170959527325817	-0.158832656696658	-0.112952035775632	-0.136359718767628	-0.121148951536856	-0.152388443621133	-0.124376277448357	-0.138238677216544	-0.164873699315165	-0.133155567162802	-0.122396649316222	-0.138614683542685	-0.114395778965863	-0.159879815643333	-0.142456113205743	-0.0793799722836455	-0.147669318432537	-0.151064516565158	-0.150591184543934	-0.147242386730735	-0.105461506715625	-0.155908060422273	-0.155155788431124	-0.170903600972438	-0.138653839686695
bm_700105215	-0.100569576063078	0	-0.0473364410889217	-0.0385954776997697	-0.121647789766925	-0.136291336160119	-0.0516926137370777	-0.0326527064299717	-0.0285685161683424	-0.0600171225427652	-0.0309881680471656	-0.0736177959847127	-0.03998798973214	-0.129765582858946	-0.0844352424243712	-0.0743309990023594	-0.0397138677293818	-0.0706258121916735	-0.0219866615224079	-0.0545009764314277	-0.0530104226952066	-0.0413349586798311	-0.0979072160250127	-0.093615163264665	-0.038060094457533	-0.0344954438797232	-0.0648605635928283	-0.0428860592704025	-0.0833492463818868	-0.0363419311642589	-0.0756470241022773	-0.033550670715947	-0.103454273032485	-0.0462643758176265	-0.0574589585875625	-0.179586542871697	-0.0742884131260957	-0.0961744395190321	-0.0527688000516362	-0.0922199316715822	-0.0704613962170891	-0.0341916711469054	-0.112408057310614	-0.0886213412885437	-0.0479622259519909	-0.135181461089455	-0.146766712631415	-0.0910945381096861	-0.136692759090911	-0.0538853730789793	-0.110570047050802	-0.0632375679114089	-0.111503505560951	-0.141490861642286	-0.0628315466889742	-0.102624611333956	-0.0843363529571783	-0.112487498378949	-0.159035958499123	-0.13393407754276
bm_700107881	-0.105851393808394	-0.0473364410889217	0	-0.0539608025140506	-0.121164454064453	-0.133138850438513	-0.057030294806233	-0.0488419146559825	-0.0503875047292404	-0.0636117234026376	-0.0491312258137386	-0.0719977083217837	-0.0619733076588624	-0.129171227489568	-0.0926764522849438	-0.0826896461369986	-0.0607337788709891	-0.0729979799235812	-0.0482468988444004	-0.0639605266618686	-0.0652570083887713	-0.0545975471549893	-0.0959842590730733	-0.0983029835773855	-0.036247943474806	-0.0569157581767961	-0.0670864519397196	-0.0611914955796916	-0.0874981722413667	-0.0555515744063441	-0.0794569004451447	-0.0573631010494978	-0.0956627696376221	-0.0698276672984864	-0.0715485375783379	-0.170793483373865	-0.0917944553534351	-0.1020954130405	-0.0789099084280925	-0.07814869574655	-0.0838141836136464	-0.0584124057158593	-0.11647551057675	-0.0936999195197017	-0.0577123817722508	-0.140760068130601	-0.154805767673959	-0.0973037661203407	-0.12790933366108	-0.0719840573351936	-0.110333415765307	-0.0730414972911663	-0.0951221596180959	-0.14050219129124	-0.0808472318063071	-0.108116845590822	-0.0895070900320509	-0.106907683739641	-0.160045421432115	-0.132416739178389
bm_700111304	-0.119263883267409	-0.0385954776997697	-0.0539608025140506	0	-0.128282074302834	-0.151715395852702	-0.0585845990487218	-0.0258900137443227	-0.0356427469978603	-0.0685390104880131	-0.0476133573471153	-0.0843306119091892	-0.0260631121741966	-0.138155180280917	-0.100325169532946	-0.0853357512801043	-0.0439542617014392	-0.0843854071026611	-0.0371132790246783	-0.0717965095876863	-0.0604670298499874	-0.0525597056150354	-0.107882533254258	-0.110138912331737	-0.0394081581702302	-0.0248969212125955	-0.0804867690490624	-0.0206001875441662	-0.0993722775964588	-0.0237785963004479	-0.08376583126667	-0.0320339994216357	-0.102008581138561	-0.0460266275689424	-0.0473153322619769	-0.1838258032996	-0.0550893278909456	-0.10215692257267	-0.0606683099447224	-0.0995026228085926	-0.0697144913900528	-0.0411269029959389	-0.115000208776593	-0.0891704562455394	-0.0348650872106301	-0.142721942796513	-0.152467678512675	-0.0954017932596045	-0.136819509581622	-0.0363006955653855	-0.121801694785432	-0.0642993554165055	-0.112863984745669	-0.142155558621498	-0.0432261227993206	-0.109774863326609	-0.0849677549498486	-0.110906418086603	-0.156685051171466	-0.134568709387913
bm_700033225	-0.0964570742702286	-0.121647789766925	-0.121164454064453	-0.128282074302834	0	-0.106067088950818	-0.112843156820721	-0.112520140360432	-0.115732478594798	-0.115098183443878	-0.118900913235394	-0.0966895183771767	-0.136440691618806	-0.12536944396109	-0.114667338754252	-0.101123864315252	-0.125861089058011	-0.105078173336364	-0.119262442064361	-0.115085147013199	-0.115514601538882	-0.136114039001568	-0.102042686419627	-0.0855063977894946	-0.116759545401463	-0.129912393545666	-0.0904358118070601	-0.127144589268499	-0.0715162028509864	-0.126051566351879	-0.128893248740148	-0.134189619224593	-0.17253099014777	-0.144707311394498	-0.150042350547995	-0.205422369669874	-0.160928271936481	-0.128960139000244	-0.140318391531053	-0.138961147223531	-0.153280186154041	-0.132792239865083	-0.148765694438362	-0.168744786194371	-0.142328663782088	-0.166380173977528	-0.173870336036366	-0.129989898840553	-0.173918351401156	-0.14723029823776	-0.129231503544523	-0.137154532582873	-0.147086193589553	-0.175981055750582	-0.150102747593358	-0.136812187583435	-0.160690552636244	-0.164389648926675	-0.189035210742707	-0.164753721929104
bm_700101232	-0.0590655845585273	-0.136291336160119	-0.133138850438513	-0.151715395852702	-0.106067088950818	0	-0.122825018654162	-0.131274904731344	-0.134195936270448	-0.148239799372564	-0.136816905228996	-0.0874218225049306	-0.156851647869021	-0.0944790608357316	-0.120323142647831	-0.124195183850451	-0.152965981266627	-0.111568939397397	-0.136416176363591	-0.129213831670885	-0.150507489975811	-0.158891361373523	-0.0777159380066793	-0.0701408591745098	-0.133990255182484	-0.151479397612841	-0.0880434700016499	-0.151530138362337	-0.080432267713996	-0.145931226486542	-0.126132794643757	-0.155543212473566	-0.18731694321338	-0.166518755751497	-0.176428182848568	-0.179772122012556	-0.188216384616137	-0.134210940312275	-0.16065790105078	-0.151668830312252	-0.175490464741778	-0.15888262136046	-0.155381268710446	-0.18696342791701	-0.167507162462124	-0.135070128702399	-0.149662261340139	-0.134287810090925	-0.177466176128976	-0.174752843885362	-0.100062155981516	-0.177862512431117	-0.174437434920147	-0.158905281229936	-0.176527241222128	-0.126423444192073	-0.178316134288617	-0.179039093858962	-0.184789334579394	-0.14996816162428
bm_700038348	-0.0931220297687475	-0.0516926137370777	-0.057030294806233	-0.0585845990487218	-0.112843156820721	-0.122825018654162	0	-0.0541002812493969	-0.0575942141752663	-0.0565558245350013	-0.0512756972571347	-0.059882626394153	-0.0652902948085222	-0.119013306743752	-0.072638605815611	-0.0753179505493412	-0.0650870529352417	-0.0685536344206111	-0.0562065567910982	-0.051284466006997	-0.0699404449682675	-0.0684684805049741	-0.0852479416037494	-0.0849432398042813	-0.0602121170379305	-0.0634422543940911	-0.0602866433634872	-0.0613409869433786	-0.0815099546584998	-0.0585614940398803	-0.0563142946746894	-0.0550270027855143	-0.0854207688051118	-0.0581845068701185	-0.0758415296902565	-0.145452168606748	-0.0831342547403233	-0.0635754142013812	-0.0572568573890461	-0.088443975539012	-0.0710695630210961	-0.0626068684680967	-0.0808299546050213	-0.0847884153842206	-0.0685117197216499	-0.100854979540247	-0.111093927027573	-0.0539759296736974	-0.102945548066191	-0.0703731207179926	-0.0935588240632016	-0.0833679878410231	-0.106445512526201	-0.10846909124926	-0.0709157719587489	-0.0690493159284962	-0.0747161441769549	-0.0875545132014139	-0.125510681371687	-0.100545657403337
bm_700021685	-0.107159216567213	-0.0326527064299717	-0.0488419146559825	-0.0258900137443227	-0.112520140360432	-0.131274904731344	-0.0541002812493969	0	-0.032065155556181	-0.0680343011840281	-0.0457943182282233	-0.0703686135786348	-0.0349525769856313	-0.123577516391451	-0.0969306254713784	-0.0870207442878268	-0.0427034544332453	-0.0749495940329829	-0.0371316256251639	-0.0679857046039415	-0.0585660261133171	-0.0528478103358188	-0.0914102664531196	-0.0960216116370397	-0.0289953496406329	-0.0283539570563199	-0.0656524626473196	-0.0279737046208607	-0.0857119897917065	-0.0223504864650584	-0.082645162539707	-0.0352738270981859	-0.103642908791123	-0.0490274942665103	-0.053271016942595	-0.182179046517799	-0.0644690950012418	-0.100739678364571	-0.0558778362215878	-0.100702413052707	-0.0696810991463511	-0.047174960583031	-0.114686067075309	-0.0896748989411293	-0.0415904029466435	-0.140870431603589	-0.151965092203883	-0.0937791661806497	-0.138162804223036	-0.0501022206139232	-0.117553070524887	-0.0661951003127876	-0.116029963870819	-0.142955392851323	-0.0526883910489107	-0.108090130586844	-0.0854483527503718	-0.113249868788121	-0.15933636174578	-0.136297963209121
bm_700105839	-0.104683174045147	-0.0285685161683424	-0.0503875047292404	-0.0356427469978603	-0.115732478594798	-0.134195936270448	-0.0575942141752663	-0.032065155556181	0	-0.0652463807397628	-0.0344251918705469	-0.0654124148491528	-0.0453412961617302	-0.122877272868653	-0.0883049285545103	-0.0742823581568367	-0.0341633600507009	-0.0700846056188556	-0.0228688066717199	-0.060844700204365	-0.0445278812154761	-0.0499605469951198	-0.0936519521968481	-0.0979886650306219	-0.0350546581643009	-0.03732542818397	-0.0672944339499464	-0.0384458007123714	-0.0859632907019517	-0.0394749124360036	-0.0805471261306794	-0.040432106649311	-0.102846432143933	-0.0554127824941746	-0.0554588726331736	-0.180543926027119	-0.0752965704985173	-0.0972653711701529	-0.0610774147408839	-0.0989663976397709	-0.0677088893722543	-0.0419257452508702	-0.112002023619344	-0.0887069203162947	-0.0501202137695734	-0.13893051606367	-0.148587631545568	-0.090605100081298	-0.136343157240492	-0.0560190640245416	-0.107877226009737	-0.0652494781571978	-0.105951692917901	-0.143916163701556	-0.0636422799868223	-0.111510506527027	-0.0846057484659917	-0.115396306768859	-0.155639615258736	-0.135203916433183
bm_700024343	-0.112445768012406	-0.0600171225427652	-0.0636117234026376	-0.0685390104880131	-0.115098183443878	-0.148239799372564	-0.0565558245350013	-0.0680343011840281	-0.0652463807397628	0	-0.0574659610662851	-0.0849510215434433	-0.0687462930832953	-0.135752077787207	-0.0756193311481421	-0.07047653004047	-0.0704293398389767	-0.0811471025348603	-0.062903875472086	-0.0588299168344048	-0.0648334046772287	-0.0645686082503199	-0.109665043643913	-0.105133321734431	-0.0667391916291393	-0.0694035931504733	-0.0766985464556064	-0.0709004593627788	-0.0937875779914792	-0.0706797734627136	-0.0793464979594209	-0.0647830082943425	-0.0984848729814855	-0.0687345348442544	-0.0757898305712937	-0.16530046815989	-0.083895194239436	-0.0886777132410371	-0.0730590789717862	-0.0895340324990934	-0.0800242557387792	-0.0589955911097356	-0.101066529278348	-0.0949326810878242	-0.0651046645171432	-0.129534182179018	-0.137725094751964	-0.0828558741210416	-0.123326865792772	-0.072181582746226	-0.10823201311675	-0.0694966948016892	-0.0969080912998051	-0.128167535218305	-0.0764159118760316	-0.0959433505577575	-0.0858684147808393	-0.0950523833995411	-0.143498097731634	-0.119115277203066
