bm_700098550	bm_700105215	bm_700107881	bm_700111304	bm_700033225	bm_700101232	bm_700038348	bm_700021685	bm_700105839	bm_700024343	bm_700103610	bm_700106935	bm_700113555	bm_700014977	bm_700024502	bm_700024400	bm_700024745	bm_700014787	bm_700114172	bm_700038535	bm_700106343	bm_700105158	bm_700110595	bm_700102856	bm_700107938	bm_700114223	bm_700023545	bm_700098275	bm_700101084	bm_700096275	td_700111302	td_700021683	td_700037690	td_700111162	td_700023227	td_700110760	td_700113058	td_700106987	td_700095359	td_700111991	td_700038533	td_700114709	td_700102911	td_700106554	td_700107936	td_700099294	td_700097694	td_700114434	td_700024790	td_700099809	td_700107381	td_700014785	td_700024089	td_700105156	td_700038959	td_700095219	td_700023439	td_700105623	td_700024500	td_700038744
bm_700098550	0	0.0912432111372158	0.104757764610075	0.120618058217432	0.105160643200492	0.0876072200212959	0.10417271876126	0.111704548253845	0.108104855601005	0.12376242754694	0.111004868038043	0.0942344508908208	0.109885180507178	0.0846747323749633	0.133161276108565	0.153294123562921	0.114345198136151	0.09986950049884	0.104496435374692	0.107967680398074	0.127529693014372	0.122955636424795	0.0872321269867677	0.0516688208138788	0.111398826618409	0.111664583708935	0.0785831310392321	0.122334191613376	0.0570366481680197	0.117045315080697	0.122373857458723	0.119888929873777	0.213099862593763	0.129362466745199	0.139898333225254	0.289042017384863	0.154422775839593	0.181553314071484	0.15486290720542	0.160793481194503	0.171165902681452	0.102291110369984	0.203645939376178	0.195348122436331	0.118522438904191	0.188406250523467	0.234072581310765	0.151612462329805	0.247952884123062	0.131954527583055	0.121914640144256	0.139155056644662	0.217675647786214	0.244553200148059	0.139132918734983	0.168110771806873	0.182434623459576	0.216371623064769	0.287452055947762	0.224494516624647
bm_700105215	0.0912432111372158	0	0.0515060823396215	0.0408390342616233	0.157255106969833	0.125573305977838	0.0674219219048367	0.0550263179358034	0.0378833159528005	0.0923430316786182	0.0374809076699749	0.0793188802468463	0.031384622974707	0.151194180135363	0.10480306890293	0.139707592021272	0.0492689218648063	0.0722946033115924	0.0267612692197	0.0681758871410774	0.0697532786614738	0.0759917456493318	0.105880041248155	0.110464367470801	0.0638473486140662	0.035507705851607	0.0791133963877512	0.0459284323337869	0.106546481086413	0.0442589580182349	0.0699967104564782	0.0445074552665245	0.174220644817369	0.065377542576929	0.0762329877020853	0.271290656820279	0.100937167046125	0.141850290773562	0.101940474831645	0.130021952433325	0.125505038483912	0.0512861575260194	0.173691449599951	0.153820547433627	0.0601041290836223	0.180524539708316	0.227266913368273	0.131286171743976	0.216025544766384	0.0580097360404604	0.104594360137573	0.0942133195853583	0.18986476279801	0.227246688334501	0.0859357490883532	0.140598468805176	0.140290056725596	0.183688827420954	0.273452996322893	0.212302046478832
bm_700107881	0.104757764610075	0.0515060823396215	0	0.065656684648742	0.161243428474645	0.138801466505033	0.0747084814817573	0.0676467210066785	0.0578988048458818	0.0876569874142787	0.0594178448628631	0.0929745736502724	0.06319736588698	0.141625120149338	0.11722360018113	0.13556474259951	0.0566868183888937	0.0717147046956487	0.0567906300453959	0.0909809983149085	0.0805018752473686	0.0860949696057464	0.117915356608481	0.119050403161388	0.0547670460107873	0.0673764557480591	0.0917568047497934	0.0699691681554141	0.115747623755784	0.0641397124511972	0.0755182070712529	0.0703913100723953	0.155991833876879	0.0891709763195714	0.0782710727271941	0.250921787619982	0.120351064968261	0.141940529469167	0.126449965546606	0.112249855717578	0.128631678214467	0.0696472135594712	0.165573037335483	0.147020561289524	0.0715504854325953	0.182813633619138	0.22259216957603	0.139163726647736	0.198805951480732	0.0775436251240334	0.0915992750281456	0.0893872304645059	0.166416007897799	0.210942748925154	0.108658467835105	0.140253342064641	0.13779146385675	0.168693332251803	0.252335624181669	0.191878857658058
bm_700111304	0.120618058217432	0.0408390342616233	0.065656684648742	0	0.16525197210688	0.119767559124271	0.079368201889707	0.0321009116268385	0.0367785054600776	0.116144176942714	0.0536790234899461	0.0628284007424052	0.0438017235981895	0.165187787672688	0.128621348028597	0.16105476467908	0.0596722531469774	0.0936811983793596	0.0361705588022098	0.0913376356325101	0.0775362550273109	0.0915022948426957	0.0852966957755813	0.10444316238461	0.0427457688954846	0.04030950760653	0.0619266910846882	0.0194755159128446	0.101010310854358	0.0265620256787899	0.0798110434224321	0.0447074807723394	0.171724826898613	0.0638105928893604	0.073586547914127	0.27438463202291	0.0930185198681331	0.152442666186858	0.0891527267841519	0.150603661005598	0.121102296744271	0.071238783081708	0.174062418823236	0.150215887134295	0.0557735804944679	0.205396665328172	0.244787912104025	0.125799666423461	0.217620201840808	0.0561325258276176	0.113489659998748	0.100336700888076	0.2023128393331	0.229076469385727	0.0684108516087445	0.160282641781265	0.135927659814974	0.182158560955784	0.282319113519728	0.213521890992806
bm_700033225	0.105160643200492	0.157255106969833	0.161243428474645	0.16525197210688	0	0.129700901132499	0.1514796468709	0.153706829713652	0.151773073072475	0.153215660351014	0.169055640843156	0.133790940095714	0.169526142922038	0.135667841465488	0.16480482477917	0.171208333969564	0.167764020955113	0.153742400747103	0.158546487184093	0.134385590886451	0.166045763352608	0.143706056931743	0.127911164864214	0.0969327101238941	0.151959402794285	0.162847844839624	0.121583162642198	0.166953167354279	0.0907260388383742	0.162656055948231	0.180588443183029	0.17501480943968	0.230508688628849	0.184198848493776	0.186309570564066	0.290272851686719	0.203783978997751	0.193918438181689	0.185565115808006	0.207530418639837	0.203695369362355	0.163581291877455	0.212106038504512	0.206448263653628	0.166337793702191	0.213136853469091	0.246237692566144	0.181581144697545	0.260164295751715	0.1800307256312	0.177415328836779	0.158535087108177	0.217611495719425	0.250465845369937	0.187457997187483	0.192996814931696	0.216476770457718	0.22181689485131	0.286144241784296	0.23083767496245
bm_700101232	0.0876072200212959	0.125573305977838	0.138801466505033	0.119767559124271	0.129700901132499	0	0.153459225746311	0.105916449095624	0.125029136439566	0.19366932805848	0.146047555996038	0.085828633703828	0.133488308444312	0.134103067194293	0.191051090871594	0.222671914153296	0.152783767577886	0.152895094283995	0.123456038810047	0.164457655483305	0.165681156531611	0.17337228986458	0.0695792959071607	0.0889086791056317	0.119780300836811	0.132118920078147	0.0822706992144318	0.122855109866585	0.0834767029856127	0.116020036394968	0.152962077992061	0.141829449042872	0.25539363250223	0.158150522646062	0.173882166793894	0.327725728969704	0.192947077027425	0.228603278050717	0.186377255272129	0.225262221267474	0.215357580162492	0.1619171798996	0.249035502380419	0.236508593040217	0.156969356230857	0.243150248806903	0.283256370555891	0.189969092156653	0.289277048967044	0.15944632941642	0.162043235333845	0.192094238346138	0.274307456632589	0.284295595127329	0.172282176837632	0.22227847836974	0.226293971912956	0.262766677636525	0.332471185666743	0.268227267041354
bm_700038348	0.10417271876126	0.0674219219048367	0.0747084814817573	0.079368201889707	0.1514796468709	0.153459225746311	0	0.0828774624476037	0.0717043062566437	0.0780123874659905	0.0774058115658099	0.104932420574317	0.080248717802492	0.121731370228458	0.10367068640746	0.124026119803771	0.0801977076825563	0.0838766332602155	0.071495647388487	0.0711057679005794	0.0989791679421166	0.0842072445545039	0.130733009433307	0.101236631484077	0.0824756916252351	0.0848034714592247	0.106351057285041	0.0834910791801616	0.116732808039109	0.0816123311006687	0.066958333661974	0.0733474956004664	0.124022738034806	0.0666706052024826	0.0889168135679941	0.215088353039013	0.0752620852048158	0.0984413424215602	0.0653205376598412	0.129160520510573	0.0773819509027395	0.0661712830123528	0.12020208329659	0.104432008581074	0.0790061608208975	0.136727007621005	0.177245347522726	0.0753167662219843	0.167498342256856	0.0762959366529467	0.0991379676540502	0.0905361866343569	0.16594959572296	0.170901746885749	0.065399273819051	0.092020583455541	0.0884989115653375	0.135976923423378	0.219967067877306	0.155570195983867
bm_700021685	0.111704548253845	0.0550263179358034	0.0676467210066785	0.0321009116268385	0.153706829713652	0.105916449095624	0.0828774624476037	0	0.0473883232391352	0.127407148754106	0.0767897645613237	0.0580151285487269	0.0590249487238529	0.156691669420374	0.13593797893808	0.166848018687908	0.0781038401885302	0.0938297456096404	0.0572147212394424	0.100420078846358	0.0971948379977815	0.107293862705727	0.0771783926822596	0.0936414968051128	0.0298145418716775	0.0601538056480369	0.0573512643577927	0.0243389149643627	0.0936650311626399	0.0265048097373096	0.0856904459460267	0.0662541497748537	0.183371392707522	0.0846802463572016	0.0909134785726249	0.273019456887577	0.105258653940601	0.169481337223276	0.0986434155030269	0.166181641618281	0.133732943186389	0.0920029387555446	0.178881648025405	0.161922814900835	0.0740935583709591	0.208234601609271	0.249677482675326	0.123389852228026	0.233892392618107	0.0774122812526694	0.118761301205716	0.115293573896522	0.218695211094109	0.228537614464982	0.0793207530976044	0.166784254140224	0.148111303541187	0.195560685431111	0.284311338633017	0.212463820142703
bm_700105839	0.108104855601005	0.0378833159528005	0.0578988048458818	0.0367785054600776	0.151773073072475	0.125029136439566	0.0717043062566437	0.0473883232391352	0	0.103921940875331	0.0492826322746308	0.0621508605802021	0.0476805525762751	0.148297128373053	0.114661484778873	0.139975104431154	0.0467683973781414	0.0760741804248569	0.0326722860193245	0.0803221171182756	0.0654969368992008	0.0877778762846739	0.0937789239064193	0.10594598344035	0.05187931929022	0.0433349886304564	0.0696325444612131	0.0419003152054478	0.0995544807550549	0.0413795965912207	0.0712009481844623	0.0480444807443722	0.168003240035392	0.07308914330096	0.0669602908861192	0.264071643399449	0.104090360844775	0.140275932090933	0.104846060143075	0.147127208453761	0.11567373075365	0.066559392542722	0.162083637840802	0.148423107790135	0.0567823230063932	0.189182040232392	0.227554593795283	0.120231043477283	0.212014034483434	0.056383160980101	0.096166332341073	0.0954705157507827	0.186963194840745	0.219976247492765	0.0857678588173224	0.149939991352804	0.134065600836807	0.177584926622843	0.266328039002143	0.201493570489476
bm_700024343	0.12376242754694	0.0923430316786182	0.0876569874142787	0.116144176942714	0.153215660351014	0.19366932805848	0.0780123874659905	0.127407148754106	0.103921940875331	0	0.0865672440908892	0.148033903388358	0.102382317854816	0.138980939310731	0.0796607726981692	0.0951300210532557	0.0900649036237154	0.0940887775302294	0.102604335631781	0.0715694847483759	0.0919314641857754	0.0803835480266385	0.171095281445846	0.13217096003781	0.114476623983089	0.107447416171382	0.140108631395739	0.118731494146203	0.138808668091858	0.120052095501748	0.0972204440995705	0.106754921183572	0.118446872211398	0.097914280576713	0.106052147364518	0.217135450766724	0.113178694484052	0.100659155731484	0.103505240760869	0.107637525553466	0.0994912926047255	0.0799563230725018	0.121054655262551	0.1147223392764	0.0963647914295595	0.140357870680631	0.18208388369831	0.110684408504084	0.162971397076416	0.107831902736862	0.102147225206597	0.0761070830579865	0.128495882473702	0.173881750040939	0.107821742150543	0.0996960196747268	0.105265969875543	0.125875493921916	0.215730917652766	0.157999298379709
