bm_700098550	bm_700105215	bm_700107881	bm_700111304	bm_700033225	bm_700101232	bm_700038348	bm_700021685	bm_700105839	bm_700024343	bm_700103610	bm_700106935	bm_700113555	bm_700014977	bm_700024502	bm_700024400	bm_700024745	bm_700014787	bm_700114172	bm_700038535	bm_700106343	bm_700105158	bm_700110595	bm_700102856	bm_700107938	bm_700114223	bm_700023545	bm_700098275	bm_700101084	bm_700096275	td_700111302	td_700021683	td_700037690	td_700111162	td_700023227	td_700110760	td_700113058	td_700106987	td_700095359	td_700111991	td_700038533	td_700114709	td_700102911	td_700106554	td_700107936	td_700099294	td_700097694	td_700114434	td_700024790	td_700099809	td_700107381	td_700014785	td_700024089	td_700105156	td_700038959	td_700095219	td_700023439	td_700105623	td_700024500	td_700038744
bm_700098550	0	0.109809243693828	0.101013692373222	0.126717111679689	0.100289070069927	0.0956562575231568	0.0974354185405253	0.128187667464798	0.10907350148692	0.105930773906039	0.108600844262105	0.103395382597179	0.127515582230399	0.200445352044503	0.105026340982253	0.0932200115867497	0.119971846756875	0.0981633575151068	0.0980978337953789	0.104008225287139	0.11280786965503	0.108935465111829	0.11639893052639	0.0796360099290707	0.112080710145508	0.116227444336744	0.0987635924928895	0.128369571443034	0.0906160392956088	0.124356795411705	0.108080983100997	0.11252236326515	0.118408864096551	0.119097140700041	0.112698351535051	0.120312884184063	0.130478360529833	0.104920451226388	0.124684673421244	0.146598874778631	0.120246893798215	0.0978031028417617	0.101833880116996	0.1140583034775	0.115566471791138	0.138192776998204	0.13910713777589	0.0914944695572361	0.120889415085461	0.125972313646933	0.0857256735578326	0.106150891950416	0.143521906290092	0.146024245898207	0.129390098484714	0.102692693841439	0.115761715700031	0.108373647725203	0.146151660171892	0.105140477103967
bm_700105215	0.109809243693828	0	0.0767598999927397	0.0380730015126532	0.0933543152483463	0.0650018303961052	0.0582972930216725	0.0364645976377109	0.0219967597346302	0.0696275488386036	0.0351040096769951	0.0436130814357497	0.0357481172501455	0.227863223740247	0.0720191867517768	0.110364335529606	0.0265460705430625	0.124512537937617	0.0446550480585554	0.0383736543776082	0.0484161402839304	0.0437675192960642	0.0900029259034277	0.0911667631941278	0.0340276859014696	0.025617373243304	0.0627245354785312	0.0364278377532247	0.0799848733993782	0.0337598980052502	0.12382032217066	0.0280859990368256	0.0781826921384279	0.0526479928494368	0.0502767113986569	0.107551720684512	0.0390369093849647	0.0751222607409556	0.029564639579568	0.161632077701761	0.0443442505870295	0.0541747327841773	0.117988536258034	0.0726620852690495	0.0338915694362915	0.167007510190247	0.165988956908575	0.107140102382225	0.111791948441107	0.0338377138858268	0.103846719935596	0.0726205220347873	0.163185170274563	0.170898943756156	0.0367892265707062	0.127471483817202	0.0713797112364774	0.133771549992144	0.170214464420343	0.124920040267616
bm_700107881	0.101013692373222	0.0767598999927397	0	0.0860731787828758	0.0818957828829527	0.0680239853020412	0.0578965114109169	0.0889375935855539	0.0727971275500672	0.0685034178855813	0.0692521894992431	0.0676084217681542	0.0896909188766466	0.217069884138528	0.0683032267980631	0.0946633118620932	0.0821914714169922	0.112064652247186	0.0659397173204699	0.0691463290957033	0.0753953874993425	0.0692301078377342	0.0804978246659009	0.0812996692384192	0.0636800262000988	0.0840194156098807	0.0652616537207698	0.0915080406189148	0.0706313616856814	0.0862207629148289	0.108527132500798	0.0728628349650945	0.076852970207277	0.0780806052921699	0.0699878791312711	0.0948206754968595	0.0904985813065113	0.0631005009502963	0.0862076113860911	0.145871603050892	0.0806089913052574	0.0597166583169148	0.103065463968775	0.0753680706184713	0.0716281996907103	0.15706029781129	0.152661860954381	0.0948644853453685	0.0973178436708995	0.0862567260902068	0.0885510671177881	0.0612569404530337	0.141822483861944	0.155117956014631	0.0897470980425395	0.113355112642257	0.0757005835966871	0.116430536440748	0.157250735993178	0.112163472400812
bm_700111304	0.126717111679689	0.0380730015126532	0.0860731787828758	0	0.10701858506014	0.0812847407055465	0.0733354779379814	0.0409909717074897	0.0409428265359834	0.0850577213852771	0.0533410340176891	0.0599290393342118	0.0421612305645374	0.227369146700975	0.0867188051246658	0.12171887430003	0.038392614978651	0.135693012779519	0.0653487547926746	0.0566162610403049	0.0640141548739456	0.0632518547542307	0.0978546705780621	0.106926257368323	0.0448985905043176	0.0392325880049517	0.0781488339773222	0.0436131898152132	0.0958752583951552	0.0393882717958433	0.127446446703875	0.0465160231928267	0.0913294156056547	0.0654218723097758	0.0667162929217671	0.118841871421456	0.0553970640318758	0.0900400111286126	0.0439264973839367	0.163934907718601	0.0600818780332858	0.0735071320781746	0.129214982572566	0.0868001132176907	0.049392668715715	0.178742946157695	0.17451770976963	0.117626932187233	0.123858216503326	0.0477753474246207	0.118389611762688	0.0879798100414969	0.171935489954459	0.180121648488704	0.0421771664248905	0.137877025880992	0.085130796226317	0.143956224710891	0.178095528231916	0.134851628990245
bm_700033225	0.100289070069927	0.0933543152483463	0.0818957828829527	0.10701858506014	0	0.074428673643942	0.0791245014596485	0.105437310530486	0.0874279883600028	0.0824398266932704	0.0852558982638885	0.0805759133113814	0.109007432833099	0.216566455470223	0.0865437538115067	0.102790890750547	0.0965912586397401	0.117320462379707	0.0820363959502103	0.0864772155137782	0.0877974762983049	0.0907321997468719	0.0927628100239213	0.0770435630449454	0.0881198051648236	0.0981148107586483	0.0789745775613919	0.106976899359192	0.0618103620441678	0.10475668258115	0.122699558483692	0.093611376769228	0.0975780741887839	0.0990117134708554	0.0919002183891166	0.0994850239952246	0.110680831522805	0.0841084968345517	0.102486673732513	0.161080725817885	0.0979021116603313	0.07998878441582	0.111572664168537	0.0930328710140132	0.0967970264505742	0.164188707805662	0.162201416117505	0.100434560930655	0.106586819003168	0.104947418076945	0.0980168088198202	0.0813396984396634	0.156343620108913	0.167353141536381	0.108962927081029	0.124464019092466	0.0949551238462731	0.129312176413426	0.164856020592629	0.119423532466494
bm_700101232	0.0956562575231568	0.0650018303961052	0.0680239853020412	0.0812847407055465	0.074428673643942	0	0.0526103803052186	0.0793451568974446	0.0605796922816136	0.0646307263042052	0.0620757562185645	0.0508204128783095	0.0796809909990546	0.216796600196144	0.0634027920843118	0.105288441220198	0.074080887688187	0.115600478420872	0.0534766108415514	0.0607357111880211	0.066992944802594	0.0637313897911823	0.0701886297873804	0.0771752551126497	0.0621228746663684	0.0719989862966204	0.0537347254018136	0.0803810977566489	0.0659819963841033	0.0760619192095435	0.119800002318614	0.0665073421109147	0.0727816883730482	0.0721766404494502	0.0665182049588425	0.10081211047122	0.0862350830149046	0.0685881564775907	0.0778409093125993	0.160883372769942	0.0737266275109091	0.0534976296374856	0.113174996507845	0.0675410956400829	0.0723802594239982	0.163482888490516	0.161766965855613	0.101149809608622	0.107510055681296	0.0816338358965907	0.0968955431794843	0.0671402644147369	0.162111213356085	0.165981242202005	0.0843073051509551	0.123789491518579	0.0693285285048216	0.131239495725204	0.166891423483317	0.120052609143351
bm_700038348	0.0974354185405253	0.0582972930216725	0.0578965114109169	0.0733354779379814	0.0791245014596485	0.0526103803052186	0	0.0730584610859832	0.054509850926055	0.0496273784604556	0.0498066628506389	0.0495898220126999	0.0722670185207856	0.213983641609105	0.0522483104242879	0.0926404763243893	0.0625217082179687	0.112058278516391	0.0467881494730921	0.0478393151381438	0.0568562471985305	0.0519524406668998	0.0779446870527488	0.0754562387565181	0.0545803752027236	0.0670803827464552	0.0501613616934151	0.0733991328477586	0.0669781203909191	0.0704353135034432	0.102765590721936	0.0523017157975504	0.0492040770866745	0.0557630530391058	0.0503536443555418	0.0782053186518007	0.0680006024720426	0.0502679219361243	0.0595322855425544	0.148661775011245	0.0513991486113641	0.0415956660783117	0.0920308032566272	0.0461117931968076	0.0588657838627599	0.142515704280994	0.138940482474839	0.078887915054933	0.0830836454357476	0.0662374340707438	0.0837457120205604	0.0553858096419869	0.143018506724091	0.14319993128861	0.0672262652572684	0.102496167253969	0.0439195223004826	0.109303998442348	0.141363460157287	0.0976463364101462
bm_700021685	0.128187667464798	0.0364645976377109	0.0889375935855539	0.0409909717074897	0.105437310530486	0.0793451568974446	0.0730584610859832	0	0.0398859826318967	0.0848826855066167	0.0527361231052307	0.0584692249651525	0.025869268556989	0.233592391125334	0.0879314875467161	0.125626621336397	0.0361176746147274	0.137461755633656	0.0660758032854612	0.056228501024485	0.0633991839349794	0.0635825048256504	0.100505713320079	0.106885170868	0.0458309375760883	0.036845826628987	0.0770324322543425	0.0212147088595118	0.0954540318118192	0.0342368710787395	0.136206894976506	0.0464395211464771	0.09113099980376	0.0688611598213542	0.0664733263490337	0.120239570733556	0.0540324488892884	0.0908899053816807	0.0415541247335556	0.170798484867834	0.0589661749109892	0.0742887229732016	0.130818715282961	0.0863003254306451	0.0506850593145896	0.182800059508568	0.178826490473223	0.120314211310629	0.125536166297398	0.047522026652114	0.12032783388319	0.0875800527331527	0.174599152278304	0.183364532685543	0.0322891676570733	0.141785363172694	0.0851204321069738	0.146583931195481	0.181021451425323	0.138220100966021
bm_700105839	0.10907350148692	0.0219967597346302	0.0727971275500672	0.0409428265359834	0.0874279883600028	0.0605796922816136	0.054509850926055	0.0398859826318967	0	0.0640434432066147	0.0318284057019722	0.035553910322231	0.0402971507303001	0.222767438655413	0.065964776120398	0.104173600907122	0.0287290448748749	0.120443460177754	0.0414875589774353	0.0335386114027195	0.040098177815751	0.0413372439607533	0.0853021468647475	0.0886713534797205	0.0274311015274157	0.0301685700867881	0.0583721943206679	0.039592288225106	0.0771657109521034	0.0403445716554877	0.121336174265774	0.0251460370963115	0.0744957647866699	0.049823387127603	0.0457712341579952	0.103928640748287	0.0436828426838805	0.072760116057895	0.0344959835607371	0.159776172405671	0.040008959732591	0.0523049658212844	0.114593083771876	0.0686278209079839	0.0296593422419638	0.165690724500401	0.164097371526095	0.102289959765453	0.109203450195635	0.0390830682994075	0.101259330389515	0.0687481923339702	0.159748808283974	0.169016737574907	0.0420297273293958	0.126804590967487	0.0678207996449144	0.131404756835946	0.167447757807956	0.122035068409618
bm_700024343	0.105930773906039	0.0696275488386036	0.0685034178855813	0.0850577213852771	0.0824398266932704	0.0646307263042052	0.0496273784604556	0.0848826855066167	0.0640434432066147	0	0.058659762600037	0.0631075876129836	0.083429730454358	0.213305009248802	0.0606371054464584	0.0909293987889634	0.0728373245325416	0.119134840556589	0.0601344764131193	0.0572899016319778	0.061592184081253	0.0638283750198708	0.087309776390574	0.0826890611505962	0.0655389592048802	0.0775961612800706	0.0543765337949342	0.0853976445892142	0.0713291526444025	0.0829199625144996	0.117374066070964	0.0666559409727551	0.0652102165783755	0.0712484431200615	0.0628189204800695	0.0927956750211431	0.0825969086361975	0.0647226143560765	0.074985983003368	0.154046895376071	0.0672570234576251	0.0536193924641145	0.104542175614048	0.0623732582657288	0.0699524342010799	0.157839773113587	0.155133427822065	0.0949711432298478	0.098366096966729	0.0795180223842461	0.0941053082850414	0.0595932877176854	0.147396384246281	0.159295803150549	0.0807468575114674	0.116463667789174	0.0630419487102797	0.117990788517607	0.157416426131593	0.111623141428815
