bm_700098550	bm_700105215	bm_700107881	bm_700111304	bm_700033225	bm_700101232	bm_700038348	bm_700021685	bm_700105839	bm_700024343	bm_700103610	bm_700106935	bm_700113555	bm_700014977	bm_700024502	bm_700024400	bm_700024745	bm_700014787	bm_700114172	bm_700038535	bm_700106343	bm_700105158	bm_700110595	bm_700102856	bm_700107938	bm_700114223	bm_700023545	bm_700098275	bm_700101084	bm_700096275	td_700111302	td_700021683	td_700037690	td_700111162	td_700023227	td_700110760	td_700113058	td_700106987	td_700095359	td_700111991	td_700038533	td_700114709	td_700102911	td_700106554	td_700107936	td_700099294	td_700097694	td_700114434	td_700024790	td_700099809	td_700107381	td_700014785	td_700024089	td_700105156	td_700038959	td_700095219	td_700023439	td_700105623	td_700024500	td_700038744
bm_700098550	0	0.088690062177564	0.125827290128028	0.141415324951879	0.0976910383178261	0.0901710474852079	0.0950256423811897	0.103572642859456	0.0823530659097283	0.105445042838484	0.0995774173922604	0.0884626204798323	0.0989109231707464	0.135484339709592	0.105481787889267	0.108658419315058	0.0962559843236609	0.116207421309312	0.112579501112591	0.0939061528498256	0.104581752001117	0.102629761951618	0.1265584512818	0.09377344221681	0.12211146502227	0.0993782243600515	0.107515001929478	0.0929060484241674	0.0974098224894525	0.117405084846937	0.141773480268997	0.0974303009564896	0.122469438792694	0.134791848001556	0.114143416949867	0.113528699845366	0.132580754510963	0.10451025891318	0.0993519727081582	0.161893029492914	0.120590539442036	0.116453743863177	0.112217279149537	0.119986097880392	0.118420293957502	0.104040234523471	0.105139281897137	0.109529189876201	0.112501799127733	0.129207725872045	0.0960739292993271	0.126029097432625	0.146794081461599	0.1207649331959	0.10583072063435	0.113736933902916	0.118947432937014	0.120088236050206	0.12474588909298	0.115290320031964
bm_700105215	0.088690062177564	0	0.114502915712518	0.12291971090214	0.0850106553385403	0.0664686016445807	0.0791620922951438	0.0624284978347289	0.0570966529906332	0.091724978254337	0.0724571008793977	0.062774489523376	0.0739954549422166	0.124528214607363	0.0749218151009378	0.103587239213621	0.074382149399567	0.101895659741411	0.0796625439106988	0.0708260490748308	0.07423956262642	0.0793251212259892	0.103327954225833	0.0841338211178309	0.107438643390154	0.0713212721456103	0.0898377277557735	0.0766593621959656	0.0853240412410183	0.0951906683256646	0.11906910553106	0.0683630777015491	0.104277298195963	0.106476010202053	0.0992435167134065	0.0885939876673152	0.107996136976835	0.0782892521016934	0.0763455042720842	0.157095258712026	0.100049547723615	0.100056446497972	0.0985409310092064	0.103530705573237	0.10646362871755	0.0916261442343457	0.0879242982239941	0.0930332037283591	0.0937406911932861	0.104644458229083	0.0756682987956483	0.113913978238506	0.132724648420304	0.10100582677744	0.0894631969268938	0.0980043879109654	0.0962280261328477	0.108229097694052	0.106186007513709	0.0943033770154043
bm_700107881	0.125827290128028	0.114502915712518	0	0.149553445966839	0.129116298957152	0.120800552657183	0.111753318419393	0.128594606378447	0.113739693412658	0.126073866847264	0.122906930014912	0.114960921711111	0.118180616012622	0.149560925690614	0.129643002224601	0.127054799942079	0.126461469038083	0.126184973423743	0.137383390743239	0.11811180981575	0.133635141398005	0.124764987805145	0.137900145251879	0.116074238654893	0.119827426070192	0.128185000728365	0.124317910917506	0.119683713707545	0.125603842457555	0.13907664044503	0.144979268093779	0.116196964219761	0.13891658887996	0.149386931339476	0.117843011781219	0.133283775927228	0.143938497208756	0.117391759319627	0.125560598035142	0.162242434259401	0.139148424007677	0.127322980717853	0.127421923665861	0.144077162573321	0.122746007025712	0.130355318831577	0.12607484719941	0.132953905584972	0.133516664025767	0.139735437086736	0.114105183216197	0.124034298672777	0.135240340953405	0.133085454319148	0.122598046470435	0.130508471622291	0.137017465227636	0.123857544811897	0.144809667172625	0.1351265837952
bm_700111304	0.141415324951879	0.12291971090214	0.149553445966839	0	0.135367823041645	0.126071143646861	0.130290542971304	0.133000018445144	0.117904229326298	0.136817291843281	0.12841803406426	0.117384787926593	0.137687299908312	0.153746375783356	0.138549537774856	0.148559441510085	0.130737765096297	0.151472249280748	0.143617849438534	0.13031443451618	0.135232389208225	0.141489287074848	0.141682779540879	0.132384030513787	0.133357810668875	0.131566271587173	0.135489277779658	0.126804701216987	0.136838024475689	0.143755171357567	0.137221124308507	0.126146086121975	0.156376587970774	0.141949834727152	0.145761117084401	0.137168947788769	0.160702881988404	0.139162112628373	0.134942785922608	0.172269112909117	0.156785830527469	0.146986230482096	0.145374785720438	0.154218869208098	0.144997023360412	0.141089376018205	0.135508013398436	0.138041207032799	0.145651825974859	0.143428024215715	0.127448211627093	0.162417554200039	0.17517995997549	0.153029012178297	0.135897431056191	0.14196036443538	0.148668405835579	0.15650334387224	0.154156998094922	0.145787513973649
bm_700033225	0.0976910383178261	0.0850106553385403	0.129116298957152	0.135367823041645	0	0.0893181774280527	0.098482327736515	0.0933797037477483	0.0739554783602877	0.0975237611943507	0.086898523095862	0.0782585707104764	0.100575960516354	0.124721852310748	0.101648429454077	0.113273590431531	0.0863626698750567	0.117126737456322	0.105516717473114	0.0909123389444817	0.0921148316241559	0.104122620413023	0.119663271549847	0.0912703127149059	0.118363433533069	0.098467767691689	0.0988601990245569	0.0873239596176249	0.079434339716854	0.116791783806645	0.140345107193156	0.0928392392409257	0.121363129551285	0.131571681678642	0.111146843534781	0.103518251470056	0.127403660068485	0.102383221541721	0.0927064559892327	0.162085723153492	0.115259130310005	0.11839371552156	0.112549473289471	0.119043906849989	0.125868973248877	0.109333954561913	0.106141092861715	0.109150011451965	0.110299964518514	0.125307848728323	0.0902312120594642	0.128222653512616	0.143398468413998	0.122960377361505	0.105682033892299	0.111563057484509	0.114873779298187	0.124899404977081	0.12391269869741	0.112896554258279
bm_700101232	0.0901710474852079	0.0664686016445807	0.120800552657183	0.126071143646861	0.0893181774280527	0	0.0864806752258913	0.0690458021974702	0.0652089580657638	0.0977285821740609	0.0869101057749132	0.0692937586715778	0.0816531670965934	0.12924073106094	0.0875836076987998	0.106864592745017	0.0835445931691096	0.110543091850572	0.0957624677918011	0.0800537044167115	0.0855042444890775	0.0967520061998922	0.0984970693280347	0.0849020541064337	0.113099632389731	0.0834331234992443	0.0971796939006556	0.0793874280512299	0.0892161844955928	0.102340630687404	0.129140081574013	0.0828642287802052	0.113983438003474	0.119033377141761	0.108856631995121	0.0932099212799013	0.119312378100473	0.0910409466222221	0.0864877918562801	0.162005297968231	0.1123894217244	0.109887199955964	0.107287632850424	0.113659994414171	0.117835931460168	0.100394849534827	0.100267803158651	0.106904533017607	0.10637408988827	0.118191617742253	0.0866840438320527	0.122312981852157	0.142641818104446	0.114952969965932	0.0962087458739883	0.109600210942734	0.110223896453899	0.120678771135121	0.117207779900341	0.104915144349228
bm_700038348	0.0950256423811897	0.0791620922951438	0.111753318419393	0.130290542971304	0.098482327736515	0.0864806752258913	0	0.0981251890808814	0.0790260775123049	0.090320061011308	0.0922100710196142	0.0794535836663747	0.0928169453069526	0.127303083200235	0.085750530733604	0.100134838360264	0.0850314242802872	0.110808839900652	0.104603828079057	0.0788122518165925	0.0987163777338935	0.0954477384437904	0.120117573995891	0.0870823935871317	0.114605271738365	0.0939276479783468	0.106266214842938	0.0818046496577264	0.0943296649766364	0.114376704451133	0.119013370696127	0.0804186858895083	0.0905753519718367	0.113786568768943	0.0981881131648803	0.0878914382724539	0.106123700688469	0.0772430711252017	0.0774431718908785	0.154679344241724	0.0925614364903916	0.112890672145407	0.0896649316128129	0.09767506220879	0.118145613810097	0.0836405224420035	0.0850377421052242	0.0860333078635425	0.0856652400969546	0.111862645838274	0.0840098247261078	0.109772426136275	0.118986683332169	0.0936243923813712	0.0809010554543816	0.0954881144284453	0.0849373104743292	0.100588342000857	0.0919016594965405	0.0900958145353835
bm_700021685	0.103572642859456	0.0624284978347289	0.128594606378447	0.133000018445144	0.0933797037477483	0.0690458021974702	0.0981251890808814	0	0.0677913871634288	0.103014749870049	0.082368061666619	0.0626589168982355	0.0830392034834889	0.136252391151501	0.0867088794197361	0.116563797468832	0.0807361021285841	0.114078568470916	0.0987849660747324	0.0840615655337814	0.0742567369436338	0.102654198136576	0.100442269531193	0.100928669432664	0.119683641088868	0.0874972640913276	0.10154636390294	0.0909901861666938	0.0955166898780166	0.109056877998153	0.133114901192849	0.0827819155093307	0.119979090178019	0.117433987080556	0.115425318153319	0.0909964676822921	0.115571898953725	0.0943595838717403	0.0862897244135715	0.16885668863769	0.113243598917749	0.122845894016526	0.114659045869007	0.116014110389975	0.120164195186805	0.106742411820229	0.101256324905258	0.114330192188235	0.110302578790902	0.118256793005253	0.0931127937988297	0.134936250241639	0.151918019032193	0.115199909778555	0.0965903933332568	0.11622786346701	0.110605834387878	0.130383349641068	0.115385305262051	0.102670174245612
bm_700105839	0.0823530659097283	0.0570966529906332	0.113739693412658	0.117904229326298	0.0739554783602877	0.0652089580657638	0.0790260775123049	0.0677913871634288	0	0.0849259093419717	0.0698927175230757	0.0603588292184444	0.0713097257758979	0.118569779505005	0.0737746578534703	0.0940683103565417	0.0716003457229995	0.0999430887424929	0.0844018566562497	0.0649572980391069	0.0664606498994013	0.0822239862105846	0.103029491461569	0.0801392129093932	0.103657751949412	0.0734921348889029	0.0848865137094622	0.0702880172937023	0.0776660386119317	0.101489902881233	0.120018013789125	0.0716940238168929	0.105481533723896	0.11109869735164	0.0946930851478683	0.0882184764862901	0.109114972940102	0.0825437625566771	0.0776645499290443	0.1518895162013	0.102416335658632	0.0959563233512183	0.0963232292189672	0.103992342505702	0.104225593697628	0.0939964178658794	0.0908226548778474	0.0926096916015483	0.0983824770550396	0.107394454924933	0.0754398404364324	0.110263219467731	0.130269338317492	0.104151159553256	0.0896991350098856	0.100320560627809	0.100357777699995	0.108531046154834	0.107454655808528	0.0955026744732713
bm_700024343	0.105445042838484	0.091724978254337	0.126073866847264	0.136817291843281	0.0975237611943507	0.0977285821740609	0.090320061011308	0.103014749870049	0.0849259093419717	0	0.0946769274921387	0.0859767742231581	0.104442324140438	0.122586645338077	0.100824861033268	0.0954582681520188	0.0921715105018953	0.115830276208044	0.116518955435515	0.0890875768178525	0.0956028519387952	0.107087495775408	0.126532562723293	0.0938240937443221	0.117258177262482	0.108877945576949	0.0975042630794589	0.0870382051219115	0.096721869448756	0.127576819304833	0.138495219004134	0.0996652496826201	0.117639389009686	0.134565241418615	0.109983201847535	0.101833135060138	0.12747010615834	0.102789740898011	0.0959286193257762	0.163442167429332	0.110121068406649	0.117170526518816	0.104664246818685	0.117488342160618	0.123968034129616	0.101094639419945	0.104732217900765	0.103646459745071	0.107792804680012	0.124877800920543	0.0961147046867078	0.122439374660235	0.13185362369379	0.118818571093903	0.102113116370995	0.112367454574476	0.110085739420076	0.1137130060487	0.119498790245453	0.109460964628749
