bm_700098550	bm_700105215	bm_700107881	bm_700111304	bm_700033225	bm_700101232	bm_700038348	bm_700021685	bm_700105839	bm_700024343	bm_700103610	bm_700106935	bm_700113555	bm_700014977	bm_700024502	bm_700024400	bm_700024745	bm_700014787	bm_700114172	bm_700038535	bm_700106343	bm_700105158	bm_700110595	bm_700102856	bm_700107938	bm_700114223	bm_700023545	bm_700098275	bm_700101084	bm_700096275	td_700111302	td_700021683	td_700037690	td_700111162	td_700023227	td_700110760	td_700113058	td_700106987	td_700095359	td_700111991	td_700038533	td_700114709	td_700102911	td_700106554	td_700107936	td_700099294	td_700097694	td_700114434	td_700024790	td_700099809	td_700107381	td_700014785	td_700024089	td_700105156	td_700038959	td_700095219	td_700023439	td_700105623	td_700024500	td_700038744
bm_700098550	0	0.265030152734892	0.264173933333098	0.184868670582436	0.284830049537069	0.31480915328267	0.275906043311916	0.361291572781181	0.241899366547918	0.370457797899052	0.361088145650953	0.273384463862052	0.363313521439753	0.220664620155701	0.391170299861191	0.394009248131715	0.348635264218731	0.275955708480098	0.274755247110524	0.330776318315407	0.396536865108541	0.399974695384361	0.292445359685246	0.148027826342069	0.190643172429295	0.354709069873685	0.208760512429371	0.161914026759196	0.200608282564425	0.191115199927037	0.328524125713922	0.315621278323561	0.652610364490125	0.38787209619469	0.444537454089616	0.618984091758691	0.615346121434233	0.48342824794977	0.513894867737411	0.448771215013342	0.603245456268447	0.377121415856737	0.544711859635249	0.63516091072567	0.351040165219547	0.440109905561197	0.492309219963103	0.423569538234542	0.611263131562972	0.407049731161084	0.33314236033547	0.485778437517884	0.551003768754591	0.575024371614905	0.485227554932776	0.432811822099981	0.608303478286969	0.574857199217679	0.586489681609107	0.541496160093386
bm_700105215	0.265030152734892	0	0.27361860961632	0.243988551544733	0.453188629646622	0.41747874891609	0.341725690700019	0.453361262106594	0.231454463884148	0.381773989615946	0.19642937029971	0.349603596283696	0.214282526264428	0.303970729435529	0.301924317694264	0.346356728815136	0.279852557871043	0.286468691726934	0.124252712227462	0.301271359272766	0.337621908259843	0.379605365391571	0.377029043919226	0.346466632556094	0.377514625996545	0.206214822905681	0.334066511139021	0.295016477222855	0.375849175844358	0.297614009956368	0.334760852999116	0.269500837984852	0.675967434405782	0.390662851524204	0.472081428642924	0.646326841730792	0.638432363357928	0.517264261298412	0.574439281134956	0.450750976873806	0.632754054817132	0.325177511604206	0.58111120714206	0.659743230806177	0.363085953523072	0.471855821253685	0.528811034161418	0.486703162349834	0.634228625828156	0.381293602840908	0.351637258647173	0.491722075841659	0.560248526360317	0.60053046430915	0.541601933414142	0.465270408815226	0.640340968704472	0.606016795195911	0.617161907923187	0.576406264495381
bm_700107881	0.264173933333098	0.27361860961632	0	0.299652001962517	0.416283295216251	0.489435065343023	0.293490223229405	0.530222496506129	0.280414571447311	0.276170372385414	0.285331787247977	0.44021657730256	0.317006176853021	0.249165870245795	0.340597400385087	0.303846432592176	0.266136092434994	0.236446495877766	0.258926120610189	0.348705340285909	0.336059168488868	0.305497102004337	0.449851901666781	0.339538032563098	0.25122503568862	0.300252713955835	0.37010664066624	0.332652617093134	0.360056886589989	0.359068273589282	0.298994993765947	0.271865918854348	0.510531244795058	0.35016436534507	0.323119585291195	0.492882980380979	0.5611735825563	0.440097226794158	0.540466172861035	0.282811454044628	0.509282122282843	0.281591865864967	0.473484413811428	0.528148785264493	0.227278990071668	0.416798849316337	0.459068960680817	0.445355296900812	0.472398724973136	0.299847065069165	0.315477029419309	0.345205157298407	0.36547267922127	0.492174116430023	0.490143770816215	0.39482431091089	0.510743519658103	0.463168855594396	0.487112335890997	0.455207184212944
bm_700111304	0.184868670582436	0.243988551544733	0.299652001962517	0	0.361260480133981	0.32346799853489	0.314475915531271	0.354854004554568	0.194106024961366	0.427836892762358	0.296775209449454	0.222188430388275	0.3565753590773	0.266124490658198	0.413765761347225	0.428245155654469	0.334154412071039	0.325282844213947	0.214047956197437	0.363704050082474	0.376061225954505	0.444679175557533	0.265640794072189	0.267823445232647	0.25847388272016	0.308339839159096	0.232756187885834	0.177283562832809	0.289650178448581	0.2176746487804	0.313955238179336	0.327374550236362	0.681834716463219	0.416690994213189	0.480885603603613	0.652099765031294	0.64760599869909	0.513983424939959	0.564727905455003	0.511195819232804	0.636444307576089	0.419629658943035	0.580939800704955	0.66573544616839	0.389705792073734	0.471668306256742	0.523380361774791	0.464375759620775	0.641653782208172	0.415358145538654	0.330419170776964	0.529727835595458	0.586490785727823	0.607557781157488	0.521912564301231	0.466701074393783	0.641590549326533	0.609771959815372	0.616523334645056	0.573094166538977
bm_700033225	0.284830049537069	0.453188629646622	0.416283295216251	0.361260480133981	0	0.378688501664093	0.384105951046897	0.414313893083944	0.364964058975262	0.384782521245442	0.488272992792076	0.368573794158381	0.5190994186158	0.339941437448067	0.431989343922885	0.412871236824477	0.449302191987677	0.393851751364461	0.430348127393236	0.395165981004091	0.444098942371367	0.454825563450662	0.36999759669507	0.275119966472556	0.305579098563811	0.493916923433494	0.302091110116606	0.293910467786983	0.24293418110865	0.328767629822218	0.485743650971027	0.504665928513717	0.637477267637662	0.518568033805874	0.506328748978003	0.653039627563837	0.611495108627947	0.496229129567697	0.516158571179057	0.50419667761115	0.57929912541808	0.427880289726501	0.533171683813833	0.624439179175464	0.435337551480242	0.495354317620802	0.507002957740336	0.446804155059477	0.603447406930297	0.544832683046456	0.47118313472336	0.430565497990588	0.521761198765461	0.57417023980723	0.498180568904832	0.477029993777754	0.598558305981541	0.566765326625129	0.566931615043111	0.542059271578833
bm_700101232	0.31480915328267	0.41747874891609	0.489435065343023	0.32346799853489	0.378688501664093	0	0.525005431517801	0.0975099046667661	0.386251007410809	0.633696275716988	0.522593567205931	0.21306345958704	0.496889453945493	0.443281201503567	0.59343769096642	0.641799394189781	0.528757839405211	0.525008860311413	0.435690959929122	0.549310218648573	0.587857520693893	0.625248785766899	0.163472568170866	0.299072668496384	0.323752865335797	0.457864776348414	0.23270741170847	0.257638480784154	0.271171349021175	0.260003022839109	0.547303168628144	0.556871614703609	0.812160601092028	0.620746138683189	0.686831489677894	0.800257553040707	0.777407567340874	0.696183854095346	0.660136649895417	0.699100954494706	0.779879616049914	0.639391089968202	0.727732194683132	0.78866508121827	0.606170957746633	0.646547726368448	0.682265875810486	0.604797979481275	0.772808556582166	0.645441937749149	0.517426562142148	0.699583310500278	0.761285052790248	0.734437820257276	0.646535357251861	0.656835587089482	0.786038906353444	0.75428894604661	0.765128353972741	0.721527120960632
bm_700038348	0.275906043311916	0.341725690700019	0.293490223229405	0.314475915531271	0.384105951046897	0.525005431517801	0	0.563645008676186	0.329128308513089	0.261573615262368	0.349689549217335	0.453431721201888	0.412246661567565	0.231759002544665	0.319860705575604	0.315654259397045	0.361157654825902	0.263345660222992	0.343565130587877	0.278111048579516	0.398507709087498	0.355479683688814	0.475617187179746	0.322017019493668	0.362795331022956	0.424726628247852	0.402148000782279	0.33822562801033	0.390382565860333	0.364093665297728	0.227743678923939	0.267598731695131	0.44041866630255	0.201231431829225	0.333448699828625	0.39019169709475	0.400532306431356	0.256206163749358	0.309592044339549	0.368897297006663	0.376338546485447	0.280173283007503	0.31860845399018	0.434352505633629	0.268560680324192	0.20728090465069	0.268439920276399	0.225126789492646	0.395733997968683	0.324794621914395	0.288922455342387	0.377320478042018	0.41317439883865	0.355391527804205	0.289635370356707	0.205236678897723	0.38104744275849	0.375898594541051	0.364759056596063	0.313141705079785
bm_700021685	0.361291572781181	0.453361262106594	0.530222496506129	0.354854004554568	0.414313893083944	0.0975099046667661	0.563645008676186	0	0.420478112135201	0.666206012464685	0.550839377819987	0.211228984818472	0.537595439296976	0.469486467858139	0.629202547986338	0.680504939575662	0.571338181657657	0.561102284656016	0.467218090182543	0.586925631046441	0.602923883726919	0.66353404633449	0.195132302474906	0.337741091912229	0.357278156780266	0.481214934561105	0.269038695561081	0.293996598095313	0.311403700385309	0.303474757304001	0.592340996798533	0.607154077165937	0.845541333529254	0.662378763366242	0.731687989990563	0.837356152670547	0.811123360261583	0.743781306728996	0.695054481810205	0.743866175212733	0.816791522138515	0.685364970252198	0.765628660947467	0.820146074958942	0.643458253474503	0.694778673372519	0.726298723752077	0.642814035152625	0.810070807922092	0.694037361209829	0.555691515040584	0.738807013002144	0.805097419087723	0.77099773485877	0.681032381836964	0.704345810343142	0.820633109150292	0.790690146367773	0.801285945629399	0.756072784814277
bm_700105839	0.241899366547918	0.231454463884148	0.280414571447311	0.194106024961366	0.364964058975262	0.386251007410809	0.329128308513089	0.420478112135201	0	0.380753532263407	0.249581492625925	0.27890878109837	0.309066316702923	0.240510574369826	0.348018956880235	0.36752831614822	0.242819113612494	0.258947267456423	0.173237174103689	0.322335690605386	0.290525078546339	0.411155446942658	0.32802801940907	0.31440982514888	0.295508771374105	0.274279179876731	0.27027912519231	0.2146563359669	0.310953264992109	0.270343892686531	0.316617589827869	0.292155293530478	0.631341810715744	0.416077320683943	0.390145631165744	0.614565325747847	0.61415878073026	0.472819342116693	0.569274531229546	0.471987344558266	0.566472559070401	0.366339208749163	0.533689182280755	0.621189300269445	0.341494911926542	0.459940128867331	0.498891269700333	0.43978455148734	0.594175578989127	0.362776266463441	0.30054503293064	0.467151332047329	0.500064731510366	0.57875073598638	0.497533892450627	0.466304482523107	0.595064465902304	0.576124431382897	0.564330249582156	0.542970500991735
bm_700024343	0.370457797899052	0.381773989615946	0.276170372385414	0.427836892762358	0.384782521245442	0.633696275716988	0.261573615262368	0.666206012464685	0.380753532263407	0	0.322419604337161	0.568415175454004	0.416728405399199	0.305311034587216	0.231676500296959	0.197862610408064	0.345484087897551	0.272037536685968	0.364072855956422	0.261108767726178	0.332549388876586	0.27404842188965	0.578039889610945	0.417533633448044	0.410990726873238	0.437360836376781	0.478134117716236	0.449727288566974	0.445434887027231	0.477160801323435	0.307702621660399	0.292773795116127	0.409151499980279	0.273190452508635	0.27465976575448	0.419903516771398	0.400294995343017	0.296792189844279	0.394611541135425	0.282243912500685	0.350218560387162	0.188885393486136	0.313072907666859	0.409924951422525	0.209821270877734	0.284299250980853	0.289133729204465	0.319084003321336	0.395143352858509	0.288389686463899	0.338276894847911	0.229961400690366	0.291970247724959	0.349088182263861	0.36744247127071	0.255875170560244	0.357354703857507	0.333433651418775	0.339907043572702	0.303026373442646
